Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.7292 North,69.8542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,1,30.2,10.8,2,0.1
1958,2,0,32.6,12.3,0,-0.1
1958,3,0,38.3,17.9,0,-0.5
1958,4,0,41.5,22.1,0,-0.5
1958,5,1,41.9,24.9,1,-0.5
1958,6,4,40.1,26.8,4,-1.1
1958,7,131,34.3,26.1,125,0.6
1958,8,30,34.1,25.6,28,-1.1
1958,9,107,33.9,24.5,102,2.1
1958,10,9,37.1,21.1,8,2.1
1958,11,4,34.6,14.4,3,2
1958,12,9,30.4,11.2,8,2.5
1959,1,2,27.7,9.3,2,2.3
1959,2,0,32,11.7,0,1.9
1959,3,0,39,17.8,0,1.6
1959,4,0,41.5,21.7,0,1.4
1959,5,0,42.3,25.3,0,1.1
1959,6,19,39.2,26.8,18,0.9
1959,7,271,33.9,25,139,3.6
1959,8,82,32.4,24.5,115,4.7
1959,9,148,33.5,23.7,127,8.6
1959,10,6,37.1,21.7,50,12
1959,11,11,33.9,13.5,21,12
1959,12,0,30.2,9.6,6,11
1960,1,0,28.1,8.6,4,10
1960,2,0,35.2,11.9,3,9.1
1960,3,1,35.4,16.4,3,8.2
1960,4,0,40,20,1,7.5
1960,5,0,41.7,24,1,6.7
1960,6,14,39,26.4,14,6
1960,7,67,34.8,25.5,65,4.6
1960,8,18,32.8,24.7,18,2.7
1960,9,5,35.5,24.3,5,1.3
1960,10,0,37.6,20.6,1,0.8
1960,11,0,35.3,13.5,0,-3.1
1960,12,0,30.1,9.9,1,-2.8
1961,1,0,28.6,9.4,1,-2.6
1961,2,4,30.5,10.5,4,-2
1961,3,0,38.1,17.9,0,-2
1961,4,0,40,20,0,-1.7
1961,5,0,41.4,24.2,0,-1.7
1961,6,62,38.3,25.4,60,2.4
1961,7,261,33.7,25.1,123,4.9
1961,8,110,33.4,25.1,121,6.5
1961,9,130,33.8,23.9,113,10.5
1961,10,2,36.6,20.5,62,14.7
1961,11,0,33.5,13.8,12,13.4
1961,12,0,29.5,8.9,6,12.2
1962,1,0,28.3,7.1,4,11.1
1962,2,0,33.5,12.1,3,10.1
1962,3,13,36.8,16.8,14,10.2
1962,4,0,40.7,21,1,9.3
1962,5,1,42.2,24.4,3,8.5
1962,6,1,39.5,26.1,2,6.7
1962,7,79,34.8,25.6,76,5.6
1962,8,69,33.1,24.4,66,4.7
1962,9,54,34.4,23.9,52,4.7
1962,10,0,37.5,18.7,1,3.9
1962,11,2,34.9,13.7,2,3.5
1962,12,5,29.2,10.4,5,3.5
1963,1,0,29.9,8.9,0,3
1963,2,0,34.9,12.6,1,2.6
1963,3,0,37.8,17.2,1,2.2
1963,4,0,40.4,21,0,1.9
1963,5,0,41.3,23.9,0,1.6
1963,6,1,39.3,26.3,1,-1.6
1963,7,23,35.6,25.7,22,-3.2
1963,8,55,33.4,25,52,-3.6
1963,9,48,34.9,23.4,46,-3
1963,10,17,38,21,16,-2.2
1963,11,11,34.8,15.4,11,-1.4
1963,12,0,31.2,10.4,0,-1.5
1964,1,0,26.9,6.7,0,-1.5
1964,2,0,32.3,10.7,0,-1.5
1964,3,0,38.9,17.9,0,-1.6
1964,4,0,41.5,21.6,0,-1.5
1964,5,1,41.9,24.5,1,-1.4
1964,6,32,38.8,25.5,31,0.8
1964,7,153,34.8,25.3,145,1.8
1964,8,128,33.6,24.9,122,2.8
1964,9,12,34.7,23.5,11,1.9
1964,10,0,36.7,19.5,0,1.2
1964,11,0,33.9,12.3,0,0.7
1964,12,1,29.7,8.4,1,-1.4
1965,1,2,30.5,10.9,2,-1.2
1965,2,0,33.2,12.3,0,-1.3
1965,3,3,37.1,16.9,3,-1.1
1965,4,0,39,19.6,0,-1
1965,5,0,40.8,23.5,0,-1
1965,6,0,39.2,25.9,0,-2
1965,7,193,34.5,25.4,158,1.5
1965,8,72,33.6,24.2,76,1.4
1965,9,2,35.3,23.8,6,-1.2
1965,10,0,38.7,20.7,3,-1.5
1965,11,0,36,14.1,2,-1.7
1965,12,0,30.3,9.5,2,-1.7
1966,1,0,30.1,10.1,1,-1.6
