Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.7708 North,72.6875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,30.1,12.9,42,2.9
1958,2,0,30.9,14,40,2.9
1958,3,0,36,18.1,31,2.6
1958,4,0,39.5,23,17,2.4
1958,5,0,41.1,26.8,11,2
1958,6,75,38.5,27.4,79,1.5
1958,7,248,31.9,25.5,128,1.4
1958,8,203,32.3,25.3,116,0.8
1958,9,480,30.7,23.4,114,3.1
1958,10,77,33.4,20.4,110,4.6
1958,11,1,32.8,16.2,69,5.1
1958,12,0,30,13.8,41,5.1
1959,1,0,28,12,44,5.3
1959,2,0,30.7,13.6,38,5.4
1959,3,0,36.5,18,31,5.1
1959,4,2,39.4,22.6,18,4.9
1959,5,0,41.4,27,11,4.2
1959,6,69,37.4,27.1,73,3.4
1959,7,591,31.3,24.2,126,5.2
1959,8,209,30.5,23.9,114,5
1959,9,438,30.7,23,109,6.7
1959,10,69,33,20.7,106,7.7
1959,11,2,32.4,15.6,69,7.9
1959,12,0,30.4,12.8,46,7.6
1960,1,0,28,10.9,46,7.5
1960,2,0,33.7,13.8,40,7.3
1960,3,0,33.5,17,25,6.6
1960,4,0,38.6,21.3,15,6.1
1960,5,4,40.7,25.7,13,5.4
1960,6,134,36.8,26.3,134,5.7
1960,7,186,32.7,25.4,142,4.6
1960,8,141,30.6,23.9,113,3.1
1960,9,99,32.7,23.8,103,2.5
1960,10,6,34.1,20.2,26,0.8
1960,11,0,33.2,15.1,13,-4
1960,12,0,30.9,13.7,9,-4.4
1961,1,0,28.9,11.9,6,-4.6
1961,2,6,29.2,12.4,10,-4.4
1961,3,0,36.2,18.5,4,-4.5
1961,4,0,38.6,21.5,3,-4.3
1961,5,3,40.5,26,5,-4.1
1961,6,95,36.7,25.9,92,-3.6
1961,7,359,31.4,24.7,120,-2.5
1961,8,211,31.7,24.7,119,-2.3
1961,9,296,30.8,22.9,106,-0.8
1961,10,16,32.9,19.7,90,2.3
1961,11,0,32.3,16.1,60,2.5
1961,12,0,29.2,11.7,46,2.6
1962,1,0,28.1,9.2,36,2.7
