Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 21.8958 North,73.5625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,31.6,13.9,38,1.8
1958,2,0,33.3,14.8,19,1.6
1958,3,5,37.8,19.2,16,1.6
1958,4,0,40.6,24.1,7,1.5
1958,5,0,40.9,27.6,5,0.9
1958,6,116,36.9,27.1,114,0.8
1958,7,375,31,25.3,129,-0.3
1958,8,355,31.3,25.3,118,0.5
1958,9,558,30.4,23.6,111,3.2
1958,10,98,33.5,20.6,122,5.2
1958,11,5,33.4,16.2,71,6.1
1958,12,0,31.3,13.8,42,6.1
1959,1,0,29.7,13.3,38,6.3
1959,2,0,33.1,14.5,19,6
1959,3,0,38.2,19.3,11,5.4
1959,4,0,40.4,23.8,7,5
1959,5,2,41.1,27.7,7,4.2
1959,6,128,35.9,26.6,125,3.9
1959,7,804,30.6,24.1,127,5.6
1959,8,310,29.8,24.1,114,5.2
1959,9,452,30.5,23.3,111,6.5
1959,10,112,33.1,20.8,123,8.7
1959,11,4,33,15.6,69,9.2
1959,12,0,31.8,13.2,48,9.3
1960,1,0,29.6,12,44,9.5
1960,2,0,36.1,14.6,21,8.9
1960,3,0,35.4,18.4,12,7.9
1960,4,0,39.8,22.5,8,7.3
1960,5,16,40.4,26.5,20,7.1
1960,6,166,35.3,25.9,160,7.4
1960,7,299,31.8,25.3,135,6.1
1960,8,233,29.9,23.9,116,4.5
1960,9,167,32.1,23.9,122,3.7
1960,10,12,34,20.2,97,3.2
1960,11,0,33.5,15,62,2.8
1960,12,0,32.2,14,32,2.2
1961,1,0,30.6,13,17,1.6
1961,2,0,31.8,13.1,10,1.3
1961,3,0,38.1,19.7,7,0.9
1961,4,0,39.9,22.8,5,0.8
1961,5,4,40.3,26.7,8,0.6
1961,6,72,35.2,25.4,71,-2.3
1961,7,579,30.5,24.6,117,-1.2
1961,8,280,30.9,24.7,120,-1.2
1961,9,378,30.5,23,109,1.9
1961,10,35,32.8,19.7,98,2.4
1961,11,0,33,15.9,58,2.5
1961,12,0,30.7,11.9,44,2.5
1962,1,0,29.6,10.2,24,2.3
1962,2,0,34.5,14.2,13,2
1962,3,29,36.6,18.3,36,3.5
1962,4,0,39.5,23,6,3.2
1962,5,13,41,26.7,17,3.2
1962,6,43,36.1,26.3,44,1.3
1962,7,391,31.4,24.9,132,1
1962,8,153,30.9,24.4,123,-2.6
1962,9,366,31.3,23.3,121,-1.2
1962,10,0,34,18.4,102,-1.5
1962,11,2,33.6,15.5,52,-1.6
1962,12,9,30.8,13.9,35,-1.4
1963,1,4,31.1,12.2,22,-1.5
1963,2,0,35.6,14.8,10,-1.5
1963,3,9,37.3,18.6,15,-1.1
1963,4,0,39.3,22.5,5,-1.1
1963,5,1,40.3,26.3,5,-1.3
1963,6,73,36,25.9,72,-2
1963,7,413,32.1,25,130,-1.9
1963,8,507,30.4,24.1,116,1.8
1963,9,241,31.4,22.8,133,1.7
1963,10,38,34.1,20.5,104,2.3
1963,11,11,33.6,16.9,62,2.8
1963,12,0,32,13.2,45,2.9
1964,1,0,29,10.7,25,2.5
1964,2,0,33.6,13.4,13,2.3
1964,3,0,38.3,19.1,8,1.9
1964,4,0,40.7,23.8,6,1.7
1964,5,4,40.3,26.5,8,1.3
1964,6,76,35.7,25.5,76,-1
1964,7,669,31.6,24.5,127,1.3
1964,8,338,30.6,24,112,1.6
1964,9,247,31.6,23.2,115,1.7
1964,10,0,33.8,20,87,1.2
1964,11,0,32.7,14.4,60,1
1964,12,0,31.3,11.7,35,-0.4
1965,1,4,31.5,13.7,21,-0.8
1965,2,0,33.7,14.4,10,-0.9
1965,3,1,36.5,18.1,7,-1
1965,4,0,39.2,22.4,5,-0.9
1965,5,1,40.4,26.3,5,-1.2
1965,6,109,36.3,26.1,107,-1.3
1965,7,536,31.4,24.9,123,0.6
1965,8,239,31.4,24.4,118,-0.4
1965,9,27,32,23.3,92,-1.5
1965,10,0,35.5,20.2,81,-2.7
1965,11,1,34.7,15.4,35,-4.2
1965,12,1,31.7,12.9,17,-4.9
1966,1,0,31.1,13,10,-5
1966,2,0,35.4,15.6,7,-4.8
1966,3,0,36.7,17.7,5,-4.6
1966,4,0,39.4,22.5,4,-4.3
1966,5,1,40,26.1,4,-4.3
1966,6,107,35.9,26.5,104,-4
1966,7,483,32.6,25.7,135,-3.4
1966,8,82,31.1,24.7,106,-4.5
1966,9,247,32.3,23.2,132,-3.9
1966,10,1,36,20.9,96,-3.9
1966,11,2,33.7,17.5,60,-3.7
1966,12,0,31.2,12.6,31,-4
1967,1,0,29.5,10.9,15,-3.9
1967,2,0,35.4,14.5,9,-3.5
1967,3,7,36,19.3,13,-2.9
1967,4,0,39.6,22.4,5,-2.6
1967,5,0,40.7,26.4,4,-2.7
1967,6,173,35.4,25.6,165,-1.1
1967,7,575,31.2,25.1,125,2
1967,8,263,30.2,24.4,111,1.6
1967,9,181,31.2,23.4,116,1.2
1967,10,3,34.9,20,87,0.9
1967,11,0,34.1,15.6,49,0.7
1967,12,8,30.5,15.1,37,1.1
1968,1,0,28.6,11.8,26,1.2
1968,2,0,31.6,13.3,14,1.2
1968,3,2,37,18.1,10,1.1
1968,4,0,39.6,22,6,1.1
1968,5,0,39.7,25.6,4,0.7
1968,6,37,36.7,26.6,39,-1.9
1968,7,315,32.2,25.3,125,-2.2
1968,8,376,30.1,24.1,117,-1.6
1968,9,97,33.2,23.8,117,-2.3
1968,10,22,35.4,19.5,87,-1.9
1968,11,0,34.2,15.1,47,-1.8
1968,12,0,31.4,12.7,29,-1.6
1969,1,0,30.5,13.1,24,-1.3
1969,2,0,33.3,14.9,13,-1
1969,3,0,38,20.2,8,-1
1969,4,0,40.9,23.5,6,-0.9
1969,5,0,40.8,27.3,4,-1.1
1969,6,96,36.5,26.6,95,-1.4
1969,7,446,32.3,25.2,127,-1.1
1969,8,181,30.8,24,108,-1.8
1969,9,316,31.1,23.7,122,-0.9
1969,10,0,35.3,20,83,-1.1
1969,11,3,35.2,18,49,-0.9
1969,12,3,33,12.7,32,-0.6
1970,1,0,30.4,12.7,28,0.3
1970,2,0,33.1,15.1,14,0.9
1970,3,10,36.3,18.9,18,1.3
1970,4,0,40.1,24,6,1.3
1970,5,14,40.9,27.6,18,1.6
1970,6,250,34.6,25.3,157,4.4
1970,7,379,31.8,25,129,4.1
1970,8,471,30.5,24.5,114,5.2
1970,9,540,30.9,23.3,108,7.2
1970,10,9,34.5,20.6,81,6.4
1970,11,0,33.1,13.5,47,5.9
1970,12,0,31.4,10.3,30,5.6
1971,1,0,29,12.1,30,5.7
1971,2,0,33.9,13.1,18,5.4
1971,3,0,37.7,17.8,10,4.9
1971,4,0,40.9,24.1,7,4.5
1971,5,25,39.7,26.7,29,5.1
1971,6,141,33.1,26,138,5.4
1971,7,307,30.4,25.2,125,4.3
1971,8,298,30.1,24.7,114,3.5
1971,9,243,31.8,23.6,119,3.4
1971,10,13,32.8,20.1,91,3
1971,11,0,32.4,14.6,46,2.8
1971,12,0,31,11.3,40,2.8
1972,1,0,31,11.5,25,2.7
1972,2,0,30.7,12.9,13,2.5
1972,3,0,37.7,19.2,8,2.3
1972,4,0,39.4,22.4,6,2.1
1972,5,4,40.6,26.5,8,1.7
1972,6,51,36.7,26.7,52,-1.5
