Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 20.9375 North,72.9375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,31.5,15.6,20,1.3
1958,2,0,32.2,16.9,11,1.2
1958,3,6,35.7,19.6,13,1.5
1958,4,0,36.5,23.4,5,1.3
1958,5,2,36.2,26.3,6,1
1958,6,213,34.5,27.2,169,-0.4
1958,7,761,30.4,25.7,122,-0.5
1958,8,409,30.9,25.6,118,0
1958,9,522,29.9,23.7,108,2
1958,10,49,32.9,21.9,109,2.9
1958,11,9,33.4,18.7,70,3.3
1958,12,0,31.3,16.1,37,3.5
1959,1,0,29.6,15.2,20,3.3
1959,2,0,31.9,16.7,11,3
1959,3,0,35.8,19.9,7,2.6
1959,4,0,36.7,23.4,5,2.4
1959,5,3,36.5,26.5,7,1.9
1959,6,458,33.8,26.4,165,3.9
1959,7,1087,30,24.5,119,3.5
1959,8,446,29.7,24.6,112,3.4
1959,9,350,30,23.5,107,3.8
1959,10,101,32.3,22.1,123,6.6
1959,11,8,32.9,18.2,77,7.6
1959,12,0,31.7,15.6,50,8.1
1960,1,0,29.7,14.1,27,7.8
1960,2,0,34.8,16.7,14,7.2
1960,3,0,33.4,19.1,8,6.4
1960,4,0,36.1,22.1,6,5.8
1960,5,13,35.8,25.4,16,5.8
1960,6,253,33.1,25.9,154,5.4
1960,7,617,31,25.8,127,4.8
1960,8,289,29.8,24.3,115,3.7
1960,9,226,31.1,24.2,117,3.2
1960,10,18,33.2,21.5,100,2.7
1960,11,0,33.5,17.8,65,2
1960,12,0,32,16.3,26,1.3
1961,1,0,30.7,14.9,13,0.8
1961,2,0,30.8,15.1,8,0.6
1961,3,0,35.6,20.1,6,-1.8
1961,4,0,36.1,22.3,4,-1.6
1961,5,5,35.5,25.3,8,-1.5
1961,6,182,33.2,25.4,161,-2
1961,7,736,29.8,24.9,113,-1.8
1961,8,333,30.7,25.1,119,-2
1961,9,344,30,23.2,103,-1
1961,10,48,32.3,21.2,104,1.8
1961,11,0,33.1,18.3,65,2
1961,12,0,30.8,14.5,41,1.9
1962,1,0,29.8,12.2,17,1.8
1962,2,0,33.6,16.1,10,1.6
1962,3,24,34.5,18.8,30,3.4
1962,4,0,35.6,22.4,5,3.1
1962,5,17,36.3,25.4,20,3.7
1962,6,84,33.8,26.3,83,1.6
1962,7,577,30.7,25.3,123,1.4
1962,8,193,30.6,24.8,119,-2.6
1962,9,340,30.8,23.5,116,-1.7
1962,10,1,33.8,20.1,103,-2.3
1962,11,3,33.6,18,55,-3
1962,12,13,30.6,16.2,35,-2.6
1963,1,0,31.1,14.4,12,-2.7
1963,2,0,34.4,16.8,8,-2.5
1963,3,4,35.2,19.3,9,-2.2
1963,4,0,35.6,21.9,4,-2
1963,5,1,35.7,25,4,-2.2
1963,6,333,33.9,25.7,161,-1.1
1963,7,925,31.3,25.4,123,-1
1963,8,462,30.2,24.3,114,-0.6
1963,9,218,30.8,23.1,129,-0.8
1963,10,22,33.5,21.9,101,-0.7
1963,11,27,33.5,19.1,73,1.5
1963,12,0,31.8,15.6,39,1.5
1964,1,0,28.9,12.6,17,1.3
1964,2,0,32.4,15.2,10,1.2
1964,3,0,35.7,19.3,7,0.9
1964,4,0,36.7,23,5,0.8
1964,5,3,35.7,25.4,6,-0.2
1964,6,198,33.7,25.5,159,-0.8
1964,7,1032,31,24.8,121,-0.7
1964,8,460,30.4,24.4,111,0.4
1964,9,275,30.7,23.4,108,0.5
1964,10,6,33,21.3,88,0
1964,11,1,32.6,17.1,66,-0.4
1964,12,0,31.1,13.9,26,-1.1
1965,1,0,31.3,15.4,13,-1.2
1965,2,0,32.7,16.4,8,-1.2
1965,3,2,34.4,18.6,8,-1.2
1965,4,0,35.6,21.8,4,-1.1
1965,5,1,35.7,24.9,4,-1.4
1965,6,294,34.1,26,161,-0.8
1965,7,844,30.6,25.2,114,-0.7
1965,8,406,31.1,24.8,117,-0.6
1965,9,55,31.3,23.7,99,-1.7
1965,10,0,34.9,21.3,85,-3.2
1965,11,4,34.5,17.6,39,-5.4
1965,12,2,31.5,15.4,18,-6
1966,1,0,30.9,14.8,9,-5.9
1966,2,0,34.2,17.4,6,-5.5
1966,3,0,34.6,18.4,5,-5.3
1966,4,0,35.5,21.9,3,-4.9
1966,5,2,35.4,24.9,4,-4.7
1966,6,400,33.7,26.4,163,-2.7
1966,7,692,31.6,26,125,-2.5
1966,8,152,30.9,25.1,122,-3.6
1966,9,275,31.6,23.5,129,-3.1
1966,10,2,35.4,22.2,95,-3.6
1966,11,3,33.5,19.7,65,-4.2
1966,12,0,30.9,15.1,22,-4.6
1967,1,0,29.5,13,12,-4.4
1967,2,0,34.1,16.3,7,-4.1
1967,3,1,34,19.9,6,-3.8
1967,4,0,36.1,21.9,4,-3.4
1967,5,0,36.2,25.3,3,-3.5
1967,6,306,33.2,25.6,157,-2.5
1967,7,796,30.5,25.5,119,-2.2
1967,8,265,30.2,24.9,113,-2.7
1967,9,168,30.6,23.6,112,-3
1967,10,4,34.2,21.4,89,-3.3
1967,11,0,34,17.7,54,-3.4
1967,12,11,30.2,17.3,40,-2.6
1968,1,0,28.5,13.6,15,-2.4
1968,2,0,30.4,15.3,9,-2.1
1968,3,4,34.8,18.7,10,-1.8
1968,4,0,35.7,21.4,4,-1.6
1968,5,0,35.1,24.4,3,-1.8
1968,6,87,34.4,26.5,85,-3.3
1968,7,710,31.5,25.6,122,-3
1968,8,556,29.9,24.6,123,-1.9
1968,9,133,32.2,24,126,-2.6
1968,10,34,34.7,20.7,97,-1.7
1968,11,1,34,17.6,61,-1.3
1968,12,0,31.2,14.9,38,-0.9
1969,1,0,30.2,14.7,18,-0.6
1969,2,0,31.9,16.7,10,1.1
1969,3,0,35.3,20.2,7,0.9
1969,4,0,37,22.9,5,0.8
1969,5,0,36.2,26.1,4,-0.4
1969,6,175,34.3,26.4,162,-1.2
1969,7,699,31.5,25.6,124,-1
1969,8,243,30.7,24.4,114,-1.8
1969,9,436,30.2,23.9,118,1.3
1969,10,1,34.5,21.3,88,-0.7
1969,11,3,34.7,20.1,54,-1
1969,12,4,32.9,15.1,35,-0.9
1970,1,0,30.3,14.3,15,-0.8
1970,2,0,31.9,16.9,9,-0.7
1970,3,10,34.1,19.2,15,0.7
1970,4,0,36,23.3,4,0.6
1970,5,13,36.1,26.1,16,1.2
1970,6,391,32.7,25.4,142,2.7
1970,7,633,31,25.5,124,2.4
1970,8,667,30.4,24.9,114,3.6
1970,9,509,30.2,23.5,108,5.2
1970,10,18,33.8,21.9,88,4.6
1970,11,0,33,16.1,60,4.1
1970,12,0,31.2,12.5,35,3.8
1971,1,0,28.9,13.9,17,3.5
1971,2,0,32.7,15,10,3.2
1971,3,0,35.6,18.4,6,2.8
1971,4,0,36.8,23.4,5,2.5
1971,5,24,35.1,25.5,26,3.7
1971,6,216,31.1,26,145,3.2
1971,7,451,29.9,25.8,123,2.8
1971,8,370,29.9,25.1,115,2.4
1971,9,356,31,23.8,117,2.9
1971,10,14,32,21.3,94,2.4
1971,11,0,32.1,16.9,54,1.9
1971,12,0,30.8,13.7,34,1.5
1972,1,0,30.9,13.1,16,1.5
1972,2,0,29.5,15,9,1.4
1972,3,0,35.2,19.4,6,1.1
1972,4,0,35.5,21.8,5,1
1972,5,5,35.9,25.2,8,0.9
1972,6,100,34.4,26.6,97,-1.9
1972,7,422,31.4,25.8,130,-1.7
1972,8,248,30.9,25.1,131,-2.4
1972,9,48,32,23.7,102,-3.4
1972,10,1,35.1,22,78,-4.9
1972,11,6,33.6,17.4,40,-6.2
1972,12,0,31.4,15.6,16,-6.7
1973,1,0,29.2,13.3,9,-6.4
1973,2,0,32.8,16.9,6,-5.9
1973,3,0,35,19.4,5,-5.6
1973,4,0,37.1,24,3,-5.1
1973,5,4,36,26.6,7,-4.7
1973,6,140,33.7,26.6,135,-5.4
1973,7,689,30.4,24.8,121,-4.8
