Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.8125 North,73.5625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,29.9,13.6,39,2.6
1958,2,0,31.8,14.6,39,2.5
1958,3,0,36.9,19.3,19,2.1
1958,4,0,40.3,24.4,12,1.9
1958,5,1,41.2,27.3,8,1.5
1958,6,91,38.5,27.6,92,1.3
1958,7,359,31.3,25.5,126,1.3
1958,8,244,31.7,25.2,112,1.2
1958,9,657,30,23.7,108,3.5
1958,10,84,33.1,20.2,110,5.4
1958,11,1,32.6,15.8,68,6
1958,12,0,30,13.7,44,6
1959,1,0,28,12.7,41,6.1
1959,2,0,31.5,14.2,36,6.2
1959,3,0,37.5,19.1,19,5.6
1959,4,1,40.2,23.8,13,5.3
1959,5,1,41.3,27.4,8,4.6
1959,6,72,37.3,27.4,74,3.6
1959,7,718,30.8,24.2,124,5.6
1959,8,225,29.8,24,109,5.3
1959,9,635,30.2,23.4,107,7
1959,10,88,32.9,20.8,111,8.7
1959,11,3,32.2,15.2,66,9
1959,12,0,30.5,12.8,48,8.9
1960,1,0,27.8,11.5,45,8.8
1960,2,0,34.6,14.4,38,8.5
1960,3,0,34.4,18.2,18,7.7
1960,4,0,39.3,22.7,11,7.1
1960,5,2,40.7,26.1,10,6.3
1960,6,170,36.6,26.5,164,7.2
1960,7,232,32.3,25.3,136,5.9
1960,8,180,29.9,23.9,111,4.3
1960,9,131,32.3,23.9,125,3.5
1960,10,10,33.9,20.1,70,2.6
1960,11,0,32.9,14.5,42,1.7
1960,12,0,31,13.8,20,1
1961,1,0,28.8,12.7,12,-3.1
1961,2,2,29.9,13,10,-3.1
1961,3,0,37.2,19.7,6,-3.2
1961,4,0,39.5,22.8,4,-3
1961,5,1,40.6,26.6,5,-2.9
1961,6,76,36.5,26.1,75,-2.9
1961,7,515,30.9,24.7,118,-1.5
1961,8,201,30.9,24.7,116,-1.4
1961,9,471,30.1,23.2,105,2.3
1961,10,18,32.6,19.6,88,2.6
1961,11,0,32,15.7,57,2.7
1961,12,0,29.2,11.5,46,2.8
1962,1,0,27.9,9.8,33,2.8
1962,2,0,32.7,14.2,25,2.6
1962,3,34,35.6,18.3,46,4
1962,4,2,39.3,23,11,3.7
1962,5,2,41.3,26.7,8,3.2
1962,6,47,37.7,26.7,49,1.8
1962,7,330,31.9,25,133,1.6
1962,8,159,31,24.4,121,-1.9
1962,9,412,31.1,23.5,122,-0.7
1962,10,0,33.6,18,97,1
1962,11,2,32.9,15.1,53,1
1962,12,4,29.6,13.7,37,1
1963,1,0,29.5,11.6,37,1
1963,2,0,34,14.8,19,0.7
1963,3,16,36.3,18.5,27,1.2
1963,4,1,38.9,22.8,9,1.1
1963,5,1,40.4,26.1,7,0.8
1963,6,54,37.3,26.8,56,-0.8
1963,7,296,32.7,25.1,130,-1.1
1963,8,453,30.6,24.2,112,1.6
1963,9,370,31.2,22.7,131,2.3
1963,10,48,34.1,20.4,106,3.4
1963,11,13,32.8,16.9,62,4
1963,12,0,30.9,13,51,4.3
1964,1,0,27.2,10.1,41,4.3
1964,2,0,32,13.4,27,4
1964,3,0,37.5,19.3,15,3.4
1964,4,0,40.5,24,9,3.1
1964,5,2,40.5,26.2,8,2.6
1964,6,58,37,26.3,60,1.7
1964,7,465,31.8,24.7,127,2.3
1964,8,218,30.7,24,108,2.2
1964,9,207,31.6,23.2,116,2
1964,10,0,33.8,19.8,86,2
1964,11,0,32.2,14,65,1.9
1964,12,0,30.1,11.8,41,1.7
1965,1,1,30,13.5,32,1.5
1965,2,0,32.1,14.3,17,1.1
1965,3,8,35.6,18.1,18,1
1965,4,1,38.7,22.7,8,0.9
1965,5,0,40.5,26.3,6,-0.2
1965,6,5,37.8,27,9,-2.3
1965,7,471,31.8,25.1,124,-1.2
1965,8,156,31.6,24.3,118,-1.6
1965,9,37,31.9,23.3,97,-2.2
1965,10,0,35.2,20.5,85,-2.6
1965,11,1,33.9,15.4,53,-3.2
1965,12,0,30.5,12.6,29,-3.9
1966,1,0,29.7,12.8,15,-4.2
1966,2,0,33.9,15.8,10,-4.2
1966,3,1,35.8,17.5,7,-4.3
1966,4,0,39.1,22.8,5,-4.1
1966,5,3,40.3,26,7,-3.8
1966,6,72,37.2,27.3,71,-3.9
1966,7,349,33.2,25.6,138,-3.5
1966,8,53,31.2,24.5,87,-4.8
1966,9,264,32.2,23.3,132,-4.2
1966,10,0,35.9,20.8,93,-3.6
1966,11,1,32.7,17.4,63,-3.2
1966,12,0,30.2,12,43,-3
1967,1,0,27.9,10.3,28,-2.9
1967,2,0,34.1,14.3,16,-2.7
1967,3,20,34.9,19.2,29,-1.5
1967,4,0,39.1,22.5,7,-1.4
1967,5,0,40.9,26.2,5,-1.5
1967,6,136,36.7,26.1,133,1.4
1967,7,519,31.7,25.2,123,2.4
1967,8,225,30.3,24.4,109,2.3
1967,9,202,31,23.3,116,2.1
1967,10,1,34.7,19.9,82,2
1967,11,0,33.3,15.8,46,2
1967,12,10,29.4,15,42,2.4
1968,1,0,26.9,11.6,32,2.6
1968,2,1,30,12.9,30,2.9
1968,3,9,36.1,18,27,3.1
1968,4,0,39.4,22.1,11,2.9
1968,5,0,39.9,25.3,7,2.5
1968,6,19,38.1,27.4,23,0.7
1968,7,187,32.8,25.4,123,-2.2
1968,8,276,30.3,23.9,116,-2.5
1968,9,69,33.4,23.7,104,-2.9
1968,10,4,35.3,19.7,64,-3.2
1968,11,0,33.7,14.9,36,-3.4
1968,12,0,30.2,12.5,23,-3.4
1969,1,0,28.9,13,19,-3.2
1969,2,0,31.7,14.9,11,-3
1969,3,0,37.5,20.7,8,-3
1969,4,0,40.6,23.6,6,-2.8
1969,5,0,41,27.1,4,-2.8
1969,6,101,37.9,27.3,99,-2.4
1969,7,333,32.9,25.4,130,-2.2
1969,8,141,30.9,23.9,105,-2.9
1969,9,198,31.2,23.9,125,-2.7
1969,10,0,35.2,20,80,-2.3
1969,11,4,34.6,17.9,53,-1.7
1969,12,2,31.9,12.6,37,-1.2
1970,1,0,28.8,12.6,31,-0.7
1970,2,1,31.3,15,31,1.3
1970,3,7,35.4,19,23,1.6
1970,4,1,40.1,24.2,11,1.6
1970,5,8,41.2,27.5,15,1.8
1970,6,253,36,26.1,153,5
1970,7,295,32.3,24.9,134,4.6
1970,8,377,30.6,24.5,111,5.7
1970,9,525,30.7,23.4,105,6.8
1970,10,8,34.5,20.5,77,6.5
1970,11,0,32.4,13.3,47,6.1
1970,12,0,30.2,10.5,31,5.8
1971,1,0,27.3,11.8,33,5.7
1971,2,0,32.4,13.1,33,6
1971,3,0,36.8,17.7,21,5.6
1971,4,0,40.7,24.4,13,5.2
1971,5,6,39.9,26.5,14,5
1971,6,153,34.4,26.6,147,5.9
1971,7,299,30.6,25.1,122,5.1
1971,8,217,30.2,24.6,114,4.1
1971,9,162,31.8,23.7,121,3.4
1971,10,7,32.6,20,85,3.4
1971,11,0,31.9,14.4,46,3.2
1971,12,0,29.9,11.2,44,3.3
1972,1,0,29.3,11.3,29,3.3
1972,2,1,29,12.4,30,3.4
1972,3,0,36.9,19.2,16,3.1
1972,4,0,39,22.7,10,2.9
1972,5,0,41,26.4,7,2.5
1972,6,46,38.2,27.2,49,1.2
1972,7,256,32.6,25.5,137,0.6
1972,8,178,31.1,24.8,129,-2.4
1972,9,34,32.9,23,82,-2.9
1972,10,0,35.5,20.4,47,-4.1
1972,11,1,33.3,14.8,21,-4.8
1972,12,0,30.3,13.1,12,-5.3
1973,1,1,27.8,11.3,9,-5.3
1973,2,1,32.7,15.1,7,-5.2
1973,3,0,36.4,19,4,-5
1973,4,0,41.1,24.8,4,-4.7
1973,5,3,41.2,27.7,5,-4.4
1973,6,97,36.9,27.4,94,-4
1973,7,335,31.4,24.3,126,-3.6
1973,8,308,30.4,24.1,110,-2.7
1973,9,546,29.8,23,102,-0.6
1973,10,9,33.3,19.9,81,2.4
1973,11,0,32.6,13.8,53,2.5
1973,12,0,29.2,12.3,44,2.6
1974,1,0,28.6,10.8,33,2.6
1974,2,0,30.7,12.9,27,2.6
1974,3,0,37.6,19.5,15,2.3
1974,4,0,40.2,24.1,10,2.1
1974,5,28,40,26.1,33,3.5
1974,6,32,37.3,27.1,36,1.9
1974,7,161,32.6,26.1,129,0.7
1974,8,88,31.8,24.8,89,-3.7
1974,9,98,33.8,24.5,95,-3.7
1974,10,37,33.6,21.8,43,-4.8
1974,11,0,32.3,13.6,6,-5.9
1974,12,6,29.1,12.2,10,-6.3
1975,1,0,27.2,10.7,3,-6.4
1975,2,0,31.4,13.8,3,-6.3
1975,3,0,35,17.7,3,-6.1
1975,4,0,40,23.4,2,-5.8
1975,5,0,40.5,26.7,2,-5.5
1975,6,142,36.5,26.3,136,-4.2
1975,7,214,31.6,24.9,128,-4.5
1975,8,370,30.4,24.4,121,-3.9
1975,9,509,30.4,23.5,131,-1.9
1975,10,83,32.4,21,106,3.8
1975,11,0,31.2,13.4,59,4.4
1975,12,0,30.2,10.9,48,4.9
1976,1,1,28.5,12.1,42,5.2
1976,2,0,31.5,14.5,37,5.6
1976,3,1,36.4,18.8,23,5.3
1976,4,0,38.8,22.9,13,4.9
1976,5,0,40,26.2,8,4.3
1976,6,206,36.2,26.2,180,6.1
1976,7,480,32.2,25.1,133,6.4
1976,8,364,30.5,23.8,115,7.3
1976,9,174,30.9,22.7,120,6.4
1976,10,0,35.1,20.4,90,5.9
1976,11,28,33.9,18.3,69,6.3
1976,12,0,30.2,13.8,39,5.8
1977,1,1,28,11.9,34,5.6
1977,2,0,32.2,15.3,26,5.2
1977,3,1,38.4,20.3,15,4.6
1977,4,4,39.2,24.4,13,4.4
1977,5,11,39.7,26.9,17,4.4
1977,6,162,36.8,26.4,157,5.3
1977,7,593,31.5,24.8,133,6.3
1977,8,183,30.5,24.5,111,5.4
1977,9,204,31,23.4,129,4.9
1977,10,1,35.5,20.9,87,4.5
1977,11,3,33.2,18.6,53,4.2
1977,12,0,30.5,13.4,38,4
1978,1,0,27.8,11.8,33,3.8
1978,2,2,30.8,15,26,3.7
1978,3,1,34.2,18.6,15,3.3
1978,4,7,39.4,23.9,15,3.4
1978,5,0,41,27.4,6,2.8
1978,6,131,36.6,26.6,129,3.5
1978,7,273,31.3,24.6,119,2.8
1978,8,320,30.1,24.5,112,2.8
1978,9,54,31.3,24,99,1.9
1978,10,17,34.3,20.6,77,1.8
1978,11,12,32.9,17.7,54,1.9
1978,12,9,29.7,13.3,37,2.1
1979,1,0,28.4,13.8,36,2.2
