Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.8542 North,72.1042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,1,29.3,11.9,8,1.7
1958,2,0,31.8,12.7,5,1.5
1958,3,0,36.7,18.2,3,1
1958,4,0,41,23.6,2,0.9
1958,5,0,42.5,27,2,0.7
1958,6,31,40.4,27.6,31,-0.4
1958,7,213,33.1,26.3,131,0.2
1958,8,110,33.6,25.8,110,-0.8
1958,9,433,31.7,24.4,120,2.4
1958,10,51,34.5,19.7,94,3.7
1958,11,1,32.6,14.4,48,5.3
1958,12,0,29.5,12.3,14,5
1959,1,0,26.8,10.2,7,4.6
1959,2,0,31.2,11.9,5,4.2
1959,3,0,37.6,17.9,3,3.4
1959,4,0,40.6,22.9,2,3.1
1959,5,0,42.7,27.2,2,2.7
1959,6,33,38.9,27.7,33,1.9
1959,7,479,32.6,25.1,130,5
1959,8,131,31.4,24.2,115,4.8
1959,9,472,31.7,23.7,112,7.3
1959,10,32,34.5,20.5,89,7.8
1959,11,1,32.2,13.7,36,8.2
1959,12,0,29.6,10.8,13,7.5
1960,1,2,27,9.4,8,6.9
1960,2,0,34.7,12.3,4,6.2
1960,3,0,33.8,16.6,3,5.2
1960,4,0,39.3,21.3,2,4.7
1960,5,0,42.1,25.8,2,4.2
1960,6,56,38.7,27,55,4.1
1960,7,145,33.9,25.8,139,3.1
1960,8,89,31.8,24.5,86,1.6
1960,9,52,34.2,24.3,51,0.7
1960,10,3,35.5,19.6,3,-3.2
1960,11,0,33.4,13.2,1,-3.6
1960,12,2,29.9,11.5,2,-3.6
1961,1,0,27.6,10.5,1,-3.5
1961,2,3,29.6,11,4,-3
1961,3,0,36.8,18.3,0,-3.2
1961,4,0,39.4,21.4,0,-3
1961,5,0,41.9,26.3,1,-2.8
1961,6,73,38.1,26.4,70,-1.7
1961,7,279,32.6,25.4,119,-0.6
1961,8,84,32.6,25.2,102,-0.9
1961,9,487,31.8,23.9,109,4.1
1961,10,10,34.1,19.2,84,4.5
1961,11,0,31.7,14.2,24,4.5
1961,12,0,28.5,9.7,10,4.1
1962,1,0,27.1,7.9,6,3.8
1962,2,0,32.5,12.6,4,3.4
1962,3,80,35.3,17.1,79,6.2
1962,4,0,40,22.3,2,5.7
1962,5,1,42.8,26.6,2,5
1962,6,17,39.5,26.8,17,3.7
1962,7,184,33.6,25.8,146,3.1
1962,8,101,32.6,24.6,104,2
1962,9,165,32.6,23.9,137,1.9
1962,10,0,34.9,17.3,17,1.2
1962,11,2,33.1,13.8,11,0.8
1962,12,2,28.7,11.6,7,0.6
1963,1,2,28.9,9.5,5,-1.6
1963,2,0,34.1,13,3,-1.6
1963,3,21,36,17.3,22,-1
1963,4,0,39.5,22.2,2,-0.9
1963,5,0,41.7,26,2,-1
1963,6,22,39.1,27.3,22,-1.6
1963,7,156,34.7,26,148,-2
1963,8,177,32.5,25,121,-1.8
1963,9,406,33.1,23.3,139,2
1963,10,20,35.7,19.9,98,3
1963,11,15,32.9,15.8,36,3.4
1963,12,2,30.4,11.4,12,3.1
1964,1,0,26.1,7.7,6,2.7
1964,2,0,31.7,11.5,4,2.4
1964,3,0,37.6,18.2,3,1.7
1964,4,0,40.8,23.1,2,1.6
1964,5,2,42.3,26.3,4,1.4
1964,6,29,38.6,26.4,29,0.8
1964,7,293,33.5,25.5,134,1.6
1964,8,175,32.5,24.7,118,2.5
1964,9,130,33.3,23.6,128,2.1
1964,10,0,34.9,18.7,84,2.7
1964,11,0,32.3,12.4,16,2
1964,12,0,29.1,9.9,8,1.6
1965,1,12,29.7,12,17,2.1
1965,2,0,32.2,12.6,3,1.8
1965,3,19,35.3,16.9,21,1.9
1965,4,0,38.4,21.4,2,1.8
1965,5,0,41.3,25.8,2,1.5
1965,6,1,39.3,27,3,-1.6
1965,7,365,33.6,25.8,142,1.7
1965,8,99,33,24.3,118,1.2
1965,9,28,33.7,23.7,91,-0.6
1965,10,0,36.5,20.2,15,-2
1965,11,0,34.4,14.6,8,-2.5
1965,12,0,29.7,10.5,5,-2.7
1966,1,1,29.3,11.1,4,-2.6
1966,2,0,34.2,14.4,2,-2.5
1966,3,0,35.5,16.2,2,-2.8
1966,4,0,39.4,21.7,2,-2.5
1966,5,1,42.1,26.1,2,-2.4
1966,6,48,38.5,27.1,47,-2
1966,7,209,34.9,26,149,-1.9
1966,8,20,32.6,24.7,41,-3.8
1966,9,250,33.7,23.5,147,-2.9
1966,10,0,37.2,20.1,79,-2.2
1966,11,0,32,15.5,16,-2.6
1966,12,0,29.5,9.6,8,-2.7
1967,1,0,26.7,7.6,5,-2.5
1967,2,0,34.3,12.6,3,-2.2
1967,3,80,34.4,17.7,79,3.1
1967,4,0,39.2,21.5,2,2.9
1967,5,0,42.1,25.9,2,2.4
