Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 21.6458 North,69.6458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,1,29.2,16.7,13,1.8
1958,2,0,28.3,17.5,7,1.6
1958,3,0,32,21,5,1.3
1958,4,0,32.4,24.4,4,1.2
1958,5,0,32.7,27.5,3,1
1958,6,80,33.1,28.7,78,-0.6
1958,7,395,30.2,27.4,128,0.5
1958,8,96,30.2,26.9,111,-0.1
1958,9,138,29.4,25.6,118,1.9
1958,10,54,31.9,23.7,110,4.2
1958,11,30,32.1,20.1,74,6.6
1958,12,5,29.3,17.6,31,7.3
1959,1,0,26.4,15.6,12,7
1959,2,0,27.8,17,7,6.6
1959,3,0,32,21.2,5,5.8
1959,4,0,33.1,25,4,5.4
1959,5,1,33.3,28,3,4.9
1959,6,117,32.8,28.2,113,4.2
1959,7,642,29.8,26.2,120,5.8
1959,8,92,29.1,26,104,4.6
1959,9,117,29.1,25,112,5.8
1959,10,19,31.3,24,88,6.9
1959,11,5,31.3,19.2,45,7
1959,12,0,29.3,16.8,16,6.5
1960,1,0,26.9,14.9,9,6
1960,2,0,30.9,17.1,6,5.5
1960,3,0,29.4,20.2,4,4.8
1960,4,0,32,23.1,3,4.4
1960,5,0,32.7,27,2,3.9
1960,6,165,32.4,28,143,4
1960,7,281,30.5,27.4,131,3.6
1960,8,35,29.2,25.7,81,2.3
1960,9,18,30.2,25.7,72,1.5
1960,10,0,31.8,23.1,20,-2.1
1960,11,0,32.5,19.7,10,-2.5
1960,12,0,29.3,17.2,6,-2.4
1961,1,1,27.8,15.4,6,-2.1
1961,2,6,27.1,15.6,9,-1.4
1961,3,0,31.8,21.3,3,-1.5
1961,4,0,31.8,23.1,2,-1.3
1961,5,0,32.1,26.6,2,-1.2
1961,6,263,32.2,27.1,156,1.5
1961,7,529,29.4,26.5,108,3.1
1961,8,229,30,26.3,122,3.6
1961,9,157,29.4,25,106,5.6
1961,10,23,31.4,23.2,96,6.8
1961,11,0,31.6,19.5,50,7.2
1961,12,0,28.6,15.8,17,6.7
1962,1,0,27.1,13,9,6.3
1962,2,0,29.9,16.5,6,5.8
1962,3,26,30.5,19.9,29,6.8
1962,4,0,31.8,23.8,3,6.2
1962,5,0,32.9,26.7,3,5.5
1962,6,26,32.7,28.1,27,3.7
1962,7,393,30.4,27,123,3.9
1962,8,209,29.5,25.8,117,4.1
