Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 21.1875 North,72.8125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,31.6,15.2,21,1.7
1958,2,0,32.2,16.6,12,1.5
1958,3,8,36.7,19.9,15,1.7
1958,4,0,37.6,23.9,5,1.6
1958,5,1,36.6,26.5,5,1.1
1958,6,171,34.8,27.4,164,-0.5
1958,7,422,30.6,26,127,-1.2
1958,8,353,31.3,25.8,122,-0.6
1958,9,377,30.6,24.3,114,2.6
1958,10,50,33.8,22.4,116,3.6
1958,11,8,33.7,18.7,71,3.9
1958,12,1,31.4,15.8,38,4.1
1959,1,0,29.6,14.7,21,3.9
1959,2,0,31.9,16.2,12,3.6
1959,3,0,36.9,20.2,8,3.1
1959,4,0,37.8,23.9,5,2.8
1959,5,3,37,26.8,7,2.3
1959,6,343,34.1,26.7,174,3.3
1959,7,853,30.2,24.8,123,5
1959,8,308,30,24.9,117,4.7
1959,9,259,30.7,24,112,5.1
1959,10,89,33.2,22.6,126,7.2
1959,11,7,33.2,18.2,77,7.7
1959,12,0,31.8,15.3,50,8
1960,1,0,29.7,13.6,25,7.5
1960,2,0,35,16.4,13,6.8
1960,3,0,34.4,19.4,8,5.9
1960,4,0,37.1,22.6,6,5.4
1960,5,12,36.3,25.7,15,5.2
1960,6,254,33.4,26.1,161,5.1
1960,7,409,31.3,26.1,133,4.4
1960,8,191,30,24.5,120,3.2
1960,9,155,32,24.8,122,2.6
1960,10,9,34.1,22.1,105,2.4
1960,11,0,33.7,17.8,65,1.8
1960,12,0,32.1,16,26,1.2
1961,1,0,30.7,14.4,13,0.8
1961,2,3,30.8,14.7,12,0.9
1961,3,0,36.7,20.5,6,-1.4
1961,4,0,37.2,22.8,4,-1.3
1961,5,4,36,25.6,7,-1.3
1961,6,154,33.4,25.5,148,-1.8
1961,7,563,30.1,25.3,117,-1.5
1961,8,261,31,25.3,123,-1.6
1961,9,263,30.7,23.8,109,1
1961,10,34,33.2,21.7,109,1.7
1961,11,0,33.3,18.3,65,1.8
1961,12,0,30.9,14.2,37,1.5
1962,1,0,29.8,11.7,17,1.5
1962,2,0,33.6,15.7,10,1.3
1962,3,36,35.5,19.1,41,3.2
1962,4,0,36.7,23,5,2.9
1962,5,16,36.8,25.7,19,3.2
1962,6,70,34,26.5,69,1.2
1962,7,394,31,25.6,129,-2.1
1962,8,127,30.9,25.1,123,-3.1
1962,9,233,31.5,24.1,122,-2.2
1962,10,0,34.6,20.6,111,-2.3
1962,11,3,33.8,18.1,56,-2.7
1962,12,11,30.7,15.9,35,-2.3
1963,1,0,31.2,13.9,13,-2.2
1963,2,0,34.5,16.5,8,-2.1
1963,3,11,36.2,19.6,16,-1.5
1963,4,0,36.7,22.4,4,-1.4
1963,5,1,36.2,25.3,4,-1.6
1963,6,220,34.1,26,170,-1.4
1963,7,558,31.6,25.7,129,-1
1963,8,391,30.5,24.6,120,1
1963,9,164,31.6,23.7,136,0.7
1963,10,17,34.5,22.5,106,0.9
1963,11,32,33.8,19.2,75,1.8
1963,12,0,31.9,15.3,42,1.9
1964,1,0,28.9,12.1,18,1.8
1964,2,0,32.4,14.8,11,1.6
1964,3,0,36.8,19.7,7,1.3
1964,4,0,37.8,23.6,5,1.1
1964,5,2,36.1,25.7,6,0.8
1964,6,196,33.9,25.6,165,-0.2
1964,7,762,31.3,25.2,125,1.2
1964,8,380,30.7,24.6,115,1.8
1964,9,202,31.6,24,110,1.9
1964,10,2,34,21.8,93,1.6
1964,11,1,32.9,17.1,68,1.3
1964,12,0,31.3,13.7,28,0.6
1965,1,0,31.4,15,14,-0.1
1965,2,0,32.8,16.2,9,-0.8
