Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 20.6042 North,72.9375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,31.3,16.7,28,1.6
1958,2,0,31.6,17.7,15,1.5
1958,3,2,35,20.3,11,1.5
1958,4,0,35.7,23.7,6,1.4
1958,5,3,35.6,26.5,7,1.2
1958,6,304,34.2,27.2,167,0.9
1958,7,1102,30.2,25.6,118,0.8
1958,8,414,30.6,25.6,117,-0.2
1958,9,526,29.7,23.9,108,2.3
1958,10,37,32.7,22.4,105,2.6
1958,11,9,33.3,19.3,75,2.6
1958,12,0,31.1,16.8,42,2.6
1959,1,0,29.4,16.4,28,2.5
1959,2,0,31.4,17.5,15,2.4
1959,3,0,35.1,20.6,9,2.1
1959,4,0,35.9,23.8,6,1.9
1959,5,3,35.9,26.8,7,1.7
1959,6,678,33.5,26.4,161,3.7
1959,7,1089,29.9,24.4,116,3.3
1959,8,584,29.6,24.8,111,3.2
1959,9,345,29.8,23.6,107,3.6
1959,10,98,32,22.4,121,6.5
1959,11,8,32.8,18.7,80,7.4
1959,12,0,31.5,16.4,56,7.8
1960,1,0,29.5,15.2,40,7.9
1960,2,0,34.3,17.4,18,7.4
1960,3,0,32.8,19.8,11,6.7
1960,4,0,35.4,22.6,7,6.2
1960,5,9,35.3,25.7,14,6.2
1960,6,295,32.7,25.9,149,5.4
1960,7,715,30.8,25.6,124,4.8
1960,8,375,29.6,24.4,113,4.1
1960,9,234,30.8,24.3,117,3.5
1960,10,30,32.9,22,103,3.3
1960,11,0,33.3,18.4,73,2.6
1960,12,0,31.7,17,40,2.1
1961,1,0,30.6,16.1,23,1.5
1961,2,0,30.4,15.9,13,1.3
1961,3,0,34.9,20.7,8,1
1961,4,0,35.4,22.7,6,0.9
1961,5,4,34.8,25.5,8,0.9
1961,6,325,33,25.4,155,0.7
1961,7,748,29.6,24.8,111,0.6
1961,8,396,30.5,25.1,117,-0.2
1961,9,323,29.8,23.4,101,0.6
1961,10,56,32,21.6,105,2
1961,11,0,33,18.9,73,2.2
1961,12,0,30.6,15.3,51,2.5
1962,1,0,29.6,13.3,29,2.5
1962,2,0,33.2,16.8,15,2.3
1962,3,7,33.8,19.5,16,2.9
1962,4,0,34.8,22.8,7,2.7
1962,5,12,35.7,25.6,16,3.3
1962,6,129,33.4,26.4,126,1.7
1962,7,646,30.5,25.1,119,1.6
1962,8,281,30.3,24.9,117,0.9
1962,9,367,30.5,23.6,116,1.7
1962,10,3,33.7,20.6,103,-1.4
1962,11,3,33.3,18.6,63,-2.2
1962,12,15,30.3,16.9,46,-1.7
1963,1,0,31,15.6,21,-1.9
1963,2,0,33.8,17.5,12,-1.9
1963,3,0,34.5,20,8,-1.9
1963,4,0,34.7,22.3,6,-1.8
1963,5,0,35.2,25.3,5,-2
1963,6,531,33.5,25.7,156,-0.5
1963,7,1242,31.1,25.2,119,0
1963,8,461,30,24.4,111,0
1963,9,220,30.6,23.3,128,-0.4
1963,10,24,33.2,22.3,102,-0.1
1963,11,26,33.3,19.6,79,1.2
1963,12,0,31.5,16.3,48,1.4
1964,1,0,28.7,13.7,26,1.1
1964,2,0,31.9,15.9,14,1
1964,3,0,34.9,19.9,9,0.8
1964,4,0,35.9,23.4,6,0.7
1964,5,2,35,25.5,6,-0.2
1964,6,255,33.5,25.5,158,-0.7
1964,7,1086,30.9,24.7,120,-0.7
1964,8,528,30.2,24.4,109,0.1
1964,9,275,30.5,23.5,110,0.2
1964,10,11,32.7,21.7,90,-0.8
1964,11,2,32.4,17.8,73,-1.1
1964,12,0,30.8,14.6,44,-1.7
1965,1,0,31,16.4,19,-1.7
1965,2,0,32.1,17.2,11,-1.7
1965,3,1,33.7,19.3,8,-1.6
1965,4,0,34.9,22.2,5,-1.5
1965,5,0,35.1,25.1,5,-1.7
1965,6,475,33.8,25.9,154,-0.7
1965,7,926,30.4,25,111,-0.6
1965,8,514,30.8,24.9,118,0
1965,9,49,31,23.8,97,-1.5
1965,10,0,34.6,21.6,87,-3.4
1965,11,5,34.3,18.2,57,-5.9
1965,12,4,31.3,16.2,25,-7
1966,1,0,30.6,15.8,12,-7
1966,2,0,33.7,18.1,8,-6.7
1966,3,0,34,19.1,6,-6.3
1966,4,0,34.8,22.3,4,-5.9
1966,5,2,34.8,25.1,5,-5.5
1966,6,581,33.4,26.4,159,-3.4
1966,7,714,31.4,25.9,122,-3.1
1966,8,218,30.7,25.2,121,-3.3
1966,9,279,31.4,23.7,130,-2.9
1966,10,3,35.1,22.6,97,-3.7
1966,11,3,33.4,20.2,73,-4.2
1966,12,1,30.6,15.9,36,-4.9
1967,1,0,29.4,14.2,17,-5
1967,2,0,33.5,17.1,10,-4.6
1967,3,0,33.4,20.6,7,-4.3
1967,4,0,35.4,22.4,5,-3.9
1967,5,0,35.6,25.5,4,-3.9
1967,6,410,33,25.7,157,-3.1
1967,7,852,30.3,25.3,116,-2.8
1967,8,317,30,25,112,-2.9
1967,9,184,30.4,23.8,113,-3.2
1967,10,5,34,21.8,91,-3.6
1967,11,0,33.8,18.1,62,-3.9
1967,12,14,29.9,18,47,-2.9
1968,1,0,28.3,14.7,25,-2.5
1968,2,0,29.9,16.1,14,-2.2
1968,3,1,34.1,19.4,10,-1.9
1968,4,0,34.9,21.8,6,-1.7
1968,5,0,34.5,24.6,5,-1.8
1968,6,109,34.1,26.4,107,-3
1968,7,832,31.2,25.5,119,-2.7
1968,8,642,29.7,24.8,122,-2.1
1968,9,148,31.9,24.2,126,-2.9
1968,10,39,34.4,21.1,101,-1.9
1968,11,1,33.8,18.1,69,-1.6
1968,12,0,31,15.7,45,-1.2
1969,1,0,30,15.8,28,-0.8
1969,2,0,31.4,17.4,15,-0.6
1969,3,0,34.6,20.8,9,1
1969,4,0,36.2,23.3,6,1
1969,5,0,35.6,26.3,5,-0.4
1969,6,220,34,26.4,159,-1
1969,7,839,31.3,25.4,121,-0.9
1969,8,330,30.5,24.4,116,-1.1
1969,9,462,29.9,24,117,1.7
1969,10,1,34,21.9,90,-1
1969,11,4,34.4,20.6,62,-1.4
1969,12,4,32.3,16.1,44,-1.3
1970,1,0,30.1,15.4,23,-1.3
1970,2,0,31.4,17.6,13,-1.2
1970,3,1,33.4,19.8,10,-1
1970,4,0,35.1,23.7,6,-0.9
1970,5,9,35.4,26.3,13,0.5
1970,6,461,32.4,25.4,140,1.4
1970,7,695,30.8,25.4,121,1.2
1970,8,776,30.1,24.9,113,1.7
1970,9,436,30,23.6,109,3.1
1970,10,22,33.5,22.3,92,2.7
1970,11,0,32.8,16.7,68,2.2
1970,12,0,30.9,13.1,41,2.1
1971,1,0,28.8,14.9,26,2
1971,2,0,31.9,16,14,1.9
1971,3,0,34.6,19.4,9,1.7
1971,4,0,35.9,23.8,6,1.5
1971,5,15,34.6,25.7,18,2.5
1971,6,250,31.1,25.7,143,1.9
1971,7,505,29.9,25.5,123,1.7
1971,8,483,29.8,25.1,116,1.5
1971,9,360,30.7,23.9,117,2.2
1971,10,16,31.8,21.6,94,1.6
1971,11,0,31.8,17.5,62,1.1
1971,12,0,30.3,14.6,45,1
1972,1,0,30.7,14.2,24,0.9
1972,2,0,29.1,15.9,13,0.8
1972,3,0,34.4,20,8,0.7
1972,4,0,34.8,22.2,6,0.6
1972,5,4,35.3,25.4,8,0.6
1972,6,125,34.1,26.6,122,-1.6
1972,7,513,31.2,25.7,128,-1.4
1972,8,313,30.6,25.2,129,-1.7
1972,9,54,31.7,23.8,104,-3
1972,10,2,34.6,22.6,83,-4.7
1972,11,10,33.2,18.2,59,-5.8
1972,12,0,31.1,16.4,25,-7.1
1973,1,0,29,14.5,14,-6.9
1973,2,0,32.2,17.7,9,-6.5
1973,3,0,34.2,20.1,6,-6
1973,4,0,36.3,24.5,5,-5.6
1973,5,2,35.4,26.9,6,-5.2
1973,6,173,33.4,26.6,164,-5.6
1973,7,779,30.2,24.7,118,-5.1
1973,8,508,30.1,24.5,114,-4.5
1973,9,564,28.9,23.4,104,-1.4
1973,10,12,33.2,22.5,94,-1.8
1973,11,0,32.7,17.5,66,-2.2
1973,12,1,30.4,15.9,46,-2.7
1974,1,0,30.1,14.2,20,-2.7
1974,2,0,31,16.1,11,-2.4
1974,3,0,35.1,20.5,8,-2.2
1974,4,0,35.7,23.7,5,-2
1974,5,10,34.6,25.2,14,-1.1
1974,6,75,33.5,26.4,74,-2.6
1974,7,488,31,26,115,-2.3
1974,8,258,30.7,25,113,-2.6
1974,9,142,32.2,24.6,107,-3.2
1974,10,47,32.5,23.4,105,-1.9
1974,11,0,32.5,16.7,71,-1.5
1974,12,1,29.7,15.3,50,-0.9
1975,1,0,29.1,13.9,27,-0.6
1975,2,0,31.4,16.7,14,1.4
