Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 30.3958 North,76.7708 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,38,20.8,8,43,0
1958,2,7,23.1,8,33,-0.5
1958,3,19,29.7,14.3,38,-1
1958,4,2,37.5,20.9,11,-1.1
1958,5,3,39.5,23.8,8,-1.5
1958,6,21,40.6,27.1,24,-2.1
1958,7,344,34,27,134,-0.9
1958,8,213,33.3,25.8,115,-0.7
1958,9,484,32.5,23.2,119,3.6
1958,10,102,31.7,16.8,98,4.9
1958,11,1,27.6,10.3,43,4.9
1958,12,30,22.4,7.4,38,5.2
1959,1,86,19.1,5.8,51,6
1959,2,17,21.8,7.2,45,5.8
1959,3,19,29.9,13.8,65,5.8
1959,4,1,35.3,19.6,16,5.2
1959,5,19,38.3,24.1,26,4.8
1959,6,29,40.4,27.6,32,3.8
1959,7,302,33.7,26.4,143,3.9
1959,8,271,33.1,26.1,121,4.2
1959,9,238,33,24,117,4.2
1959,10,52,32.9,18.2,86,4.4
1959,11,12,27.4,9.3,43,4.4
1959,12,0,22.8,6.5,22,3.6
1960,1,69,18.7,5.4,51,4
1960,2,0,26.4,10.3,27,3.1
1960,3,42,27.6,12.5,51,3
1960,4,2,34,17.9,9,2.5
1960,5,3,40.1,24.5,8,1.7
1960,6,36,41.1,27.1,37,1.2
1960,7,291,34.4,26.3,130,1.5
1960,8,277,33.1,26.4,122,2.1
1960,9,101,34.2,23.7,117,1.1
1960,10,49,31.9,16.2,86,1.4
1960,11,0,28,7.7,34,1.2
1960,12,17,22.2,6.3,27,1.1
1961,1,101,19.9,6.5,47,2.4
1961,2,55,20.8,6.8,57,3.4
1961,3,8,29.1,14,47,3.3
1961,4,4,34.8,18.4,17,3.1
1961,5,7,39.1,24,14,2.6
1961,6,51,39.9,26.9,53,2.4
1961,7,242,34.5,26.6,133,2.1
1961,8,320,32.8,25.9,118,2.9
1961,9,176,33.4,24,121,2.4
1961,10,91,31.8,16.6,97,3.6
1961,11,3,24.8,9.5,39,3.7
1961,12,22,19.8,4.4,32,3.9
1962,1,104,18.8,5.2,47,5.3
1962,2,26,23.7,9,45,5.5
1962,3,29,28.1,13.3,67,6.3
1962,4,1,35.9,19.6,36,6.8
1962,5,5,39,24,17,6
1962,6,32,40.3,26.7,38,5
1962,7,290,35.3,27,142,4.8
1962,8,173,33.8,25.9,120,3.9
1962,9,597,32.3,22.9,125,7.3
1962,10,1,32.1,16.6,67,6
1962,11,18,27,9.8,41,5.7
1962,12,15,20.9,5.9,25,5.1
1963,1,9,19.5,4.8,20,3.9
1963,2,18,25.1,9.2,24,3
1963,3,54,28.2,13,56,2.9
1963,4,3,34.2,18.6,6,2.4
1963,5,13,37.8,22.7,15,2
1963,6,34,39.9,26.9,34,1.4
1963,7,185,36.3,27.3,161,-2.1
1963,8,284,32.5,25.7,124,-2.1
1963,9,269,33.1,22.6,124,-1.2
1963,10,3,33.1,17.5,73,-1.6
1963,11,12,27.7,11.6,38,-1.3
1963,12,20,22.4,5.6,29,-1.2
1964,1,24,18,4.7,31,-1.5
1964,2,8,22.5,7.8,14,-2
1964,3,9,30.1,14.2,13,-2.7
1964,4,3,35.8,19.5,6,-2.7
1964,5,22,38,21.4,23,-2.3
1964,6,19,39.8,26.9,20,-2.9
1964,7,465,33.3,25.4,145,2.3
1964,8,329,33.6,25.8,134,3.3
1964,9,277,32.8,23.2,125,3.7
1964,10,0,32,16.6,69,2.8
1964,11,1,27.5,8,30,2.3
1964,12,12,21.7,6.3,24,1.8
1965,1,25,21.8,7.2,31,1.1
1965,2,32,22.5,8,36,0.8
1965,3,22,28.3,12.3,25,-1.7
1965,4,10,32.7,17,13,-1.4
1965,5,22,37.8,22.8,23,-1.1
1965,6,5,40.8,27.4,7,-2.2
1965,7,235,34.9,25.8,150,-2.3
1965,8,127,33.5,24.7,130,-3.3
1965,9,74,33.8,22.7,98,-3.7
1965,10,33,32.8,17.1,46,-4.2
1965,11,7,28.7,10.6,15,-4.5
1965,12,1,22.1,4.8,6,-4.8
1966,1,2,21.8,5,5,-5.4
1966,2,36,25.7,10,37,-4.9
1966,3,19,29,12.9,20,-5.1
1966,4,2,34.8,19.1,3,-4.9
1966,5,24,39.9,22.8,24,-4.3
1966,6,90,39.5,25.6,87,-2.8
1966,7,161,36.3,25.5,153,-3.6
1966,8,328,33.4,25.5,134,-3.2
1966,9,197,33.3,21.8,136,-3
1966,10,66,32.6,15.9,92,-1.8
1966,11,3,27.2,9.2,38,-1.3
1966,12,8,21.9,4.8,27,-1.3
1967,1,3,19.1,4.7,19,-1.8
1967,2,15,25.8,9.2,27,-2
1967,3,84,27.5,12,83,-0.6
1967,4,1,34.5,17.7,7,-0.7
1967,5,4,38.8,22.6,7,-1
1967,6,24,41,26.9,26,-1.5
1967,7,287,35.4,25.9,134,-1
1967,8,332,32.6,25.1,124,1.7
1967,9,176,33.5,22.5,123,1.4
1967,10,59,32.1,15.3,86,2
1967,11,6,27,9.2,37,2.2
1967,12,53,21.9,6,46,3.4
1968,1,47,18.2,5.1,45,3.6
1968,2,26,21.1,6,40,3.7
1968,3,21,28.8,12.6,50,3.8
1968,4,1,34.8,18.4,13,3.6
1968,5,2,38.7,22.8,8,2.8
1968,6,46,40.7,26.6,49,2.5
1968,7,299,34.9,25.4,143,2.6
1968,8,219,33.6,25,132,2.4
1968,9,34,35.8,23,100,1
1968,10,72,32,15.4,84,1.2
1968,11,1,28.7,8.5,24,0.7
1968,12,15,22.3,6.2,24,-1
1969,1,13,19.6,6.1,19,-1.6
1969,2,18,23.1,8.9,22,-1.9
1969,3,31,33.3,13.4,32,-2.1
1969,4,4,34.5,19.1,6,-2
1969,5,15,38.1,22.4,16,-1.8
1969,6,19,40.6,26.9,20,-2.4
1969,7,219,35.5,25.7,155,-2.7
1969,8,196,34.2,25.6,123,-3.2
1969,9,218,33.5,22.8,129,-2.7
1969,10,2,33.4,17.2,69,-2.9
1969,11,0,29.7,10,30,-2.9
1969,12,0,23.5,6,14,-3.1
1970,1,62,20.2,6.1,49,-2.3
1970,2,24,22.8,7.5,33,-1.9
1970,3,36,28.3,13,42,-1.7
1970,4,0,37,19.8,5,-1.8
1970,5,17,40.3,24.7,20,-1.6
1970,6,88,38.7,25.2,86,1.2
1970,7,194,36.5,26,146,-0.7
1970,8,272,33.7,25.2,130,-0.8
1970,9,258,34.4,23.5,122,0.6
1970,10,18,33.7,17.1,71,-0.1
1970,11,0,28.4,8.1,33,0
1970,12,0,23.1,6,16,-0.7
1971,1,25,19.1,4.9,30,-0.9
1971,2,30,24.1,7.7,36,-0.9
1971,3,6,29.4,13.3,12,-1.5
1971,4,4,36.9,19.5,8,-1.5
1971,5,32,38.1,22.7,33,-0.7
1971,6,97,38.2,26.1,94,1.9
1971,7,214,34.2,25.5,130,1.4
1971,8,386,33,24.6,114,2.8
1971,9,142,33.7,21.8,128,2
1971,10,25,32.4,16.2,74,1.8
1971,11,12,28.2,9.5,38,2
1971,12,1,23.9,6.2,21,1.4
1972,1,18,21,6.5,26,0.8
1972,2,26,21.5,6.3,34,0.7
1972,3,15,30,13.4,20,-1.2
1972,4,5,34.6,17.4,9,-1.1
1972,5,0,41.3,23.7,3,-1.5
1972,6,33,41,26.6,34,-1.8
1972,7,239,36.4,25.7,151,-1.9
1972,8,198,33.6,25.1,137,-2.5
1972,9,153,33.5,21.3,126,-2.7
1972,10,31,32.2,15.8,75,-2.2
1972,11,20,27.5,10.3,41,-1.3
1972,12,16,22.4,6.6,31,-1
1973,1,60,19.5,5.9,50,1.4
1973,2,19,24.8,8.7,34,1.3
1973,3,21,28.5,12.6,37,1.1
1973,4,0,37.7,19.7,9,0.8
1973,5,16,40.7,23.9,21,0.8
1973,6,81,39.9,26.9,81,1.6
1973,7,237,35.5,25.8,145,1.2
1973,8,286,33.2,24.8,126,1.5
1973,9,99,34.7,23.2,114,-0.8
1973,10,57,32,16.2,83,0.7
1973,11,0,28.1,8.6,32,0.6
1973,12,29,20.6,4.7,37,1.1
1974,1,13,19.5,5.3,24,-0.5
1974,2,5,21.9,6.8,17,-1
1974,3,9,30.3,14.6,15,-1.6
1974,4,1,37.6,19.6,5,-1.7
1974,5,12,39.5,23.3,14,-1.7
1974,6,40,38.9,25.5,41,-1.7
1974,7,177,34.9,25.4,142,-2.3
1974,8,139,34.1,25.3,126,-3.3
1974,9,48,34.9,22.4,60,-3.7
1974,10,26,32.2,16.5,32,-4.4
1974,11,0,27.3,8.4,5,-4.8
1974,12,14,20.4,4.9,16,-4.7
1975,1,48,18.2,5.1,46,-4.1
1975,2,20,21.8,6.8,21,-4.1
1975,3,29,27.7,12.2,30,-4
1975,4,0,34.9,18.5,2,-4
1975,5,4,40,23.7,5,-4.2
1975,6,67,38.1,25.3,65,-3.3
1975,7,235,33.8,24.7,147,-3.3
1975,8,246,32.8,25.3,126,-3.1
1975,9,280,32.2,22.8,134,-2.1
1975,10,45,32.7,17.2,84,-1.5
1975,11,0,27,7.8,39,-1.2
1975,12,0,22.8,5.9,19,-1.6
1976,1,44,20.2,6.7,43,-1.3
1976,2,41,22.7,8.6,46,-0.8
1976,3,23,27.4,13,31,-1
1976,4,3,34.3,17.8,9,-1
1976,5,13,39.2,22.8,16,-1
1976,6,63,37.3,25.2,62,0.4
1976,7,279,35,26.1,147,0.6
1976,8,303,31.8,24.3,129,1.4
1976,9,132,34.2,20.8,118,0.7
1976,10,19,33.5,15.6,73,-0.1
1976,11,1,29,9.8,34,-0.6
1976,12,1,22.3,6.1,18,-1
1977,1,65,19.4,6,49,0.6
1977,2,2,24,7.6,19,-0.4
1977,3,1,31.3,13.9,10,-1.2
1977,4,14,35,18.5,19,-0.7
1977,5,24,36.9,21.7,27,0.3
1977,6,73,38,25.9,72,1.1
1977,7,352,33.5,25.6,147,1.9
1977,8,215,33.3,25.2,126,1.8
1977,9,242,32.6,22.6,133,1.9
1977,10,42,33,16.6,82,2.1
1977,11,0,29.3,11,34,2
1977,12,25,22.7,7,35,2.2
1978,1,8,18.9,4.9,22,1.3
1978,2,33,22,7.8,39,1.4
1978,3,69,25.9,11.2,74,2.1
1978,4,4,35.6,18.2,10,1.9
1978,5,1,42.5,25.6,5,1.2
1978,6,81,40,26.9,80,1.9
1978,7,246,33.5,25.4,132,1.7
1978,8,308,32.8,25.3,126,2.4
1978,9,247,32.9,23,121,2.6
1978,10,6,32.8,16.4,66,2
1978,11,11,25.8,10.6,33,2
1978,12,6,22.5,5.8,20,1.6
1979,1,60,19.7,5.8,51,1.9
1979,2,52,21.5,7.2,53,2.7
1979,3,44,26.1,11.5,58,2.8
1979,4,7,36.1,19.7,15,2.7
1979,5,16,37.7,22.2,20,2.5
1979,6,42,39.9,26.3,44,2.1
1979,7,195,35.3,25.7,153,1.2
1979,8,119,34.8,25.4,125,-2.3
1979,9,87,33.7,21.5,92,-2.6
1979,10,8,33.1,17,14,-3.9
1979,11,10,27.5,12.2,14,-4.2
1979,12,10,22.6,7.1,13,-4.2
1980,1,18,19.8,5.8,19,-4.5
1980,2,12,24.4,9.2,13,-4.9
1980,3,36,27.5,12.5,35,-4.5
1980,4,2,37.4,20,3,-4.5
1980,5,5,41.6,25.5,5,-4.6
1980,6,57,39.5,26.4,55,-4
1980,7,481,34,25.8,134,-1.1
1980,8,181,33.8,25,133,-1.4
1980,9,101,33.9,22.5,120,-2.1
1980,10,39,32.4,16.9,79,-1.7
1980,11,14,27.9,9.8,39,-1.3
1980,12,42,22.2,6.4,44,1.8
1981,1,88,19.1,6.5,46,2.8
1981,2,18,24.3,8.8,39,2.8
1981,3,59,27.1,12.5,73,3.4
1981,4,1,35.8,18.7,16,3.2
1981,5,13,39.8,24,20,2.9
1981,6,48,40.2,26.9,51,2.6
1981,7,312,33.7,25.7,135,3
1981,8,173,33.9,25.5,135,2.1
1981,9,70,34.5,22.7,109,0.9
1981,10,6,31.9,15.5,59,-2.1
1981,11,36,25.4,9.3,44,-1.4
1981,12,1,21.3,5.3,11,-1.9
1982,1,60,19.8,7,49,-1.3
1982,2,22,21.1,7.4,30,-1.2
1982,3,95,25.4,11.3,91,1.7
1982,4,19,33.8,17.6,23,2.1
1982,5,34,36,21.5,36,2.6
1982,6,39,39.3,26,40,2.1
1982,7,186,36.4,26.4,170,0.9
1982,8,259,33.5,25.2,128,-1.7
1982,9,34,34.3,21.9,100,-2.7
1982,10,28,32.3,17,56,-3.2
1982,11,10,27.1,10.7,22,-3.3
1982,12,21,22.1,7,27,-3.1
1983,1,73,19,5.6,51,-2.1
1983,2,20,21.8,6.9,30,-1.8
1983,3,27,26.9,12.1,33,-2
1983,4,12,31.8,16,16,-1.5
1983,5,42,36.8,22,43,1.4
1983,6,37,38,25.4,37,0.9
1983,7,206,34.8,25.4,150,-0.6
1983,8,248,33.6,25.4,110,-1
1983,9,159,34.1,23.1,112,-1.2
1983,10,85,31.4,15.9,97,1.3
1983,11,1,27.7,8.8,44,1.6
1983,12,7,21.9,6.6,26,1.4
1984,1,5,18.7,5.4,22,0.6
1984,2,44,21.6,6.5,49,1.1
1984,3,10,30.7,14.3,22,-0.6
1984,4,6,35.4,18.7,12,0.1
1984,5,8,41.8,25.2,12,-0.8
1984,6,58,40.5,27.4,59,0.3
1984,7,258,33,26.1,146,0
1984,8,262,34,24.9,112,0.7
1984,9,164,32.3,22,126,-0.3
1984,10,4,32,15,72,-0.7
1984,11,3,27,9,31,-0.8
1984,12,14,22.2,6.3,25,-0.8
1985,1,19,19.3,5.5,25,-1.2
1985,2,2,25.1,8.3,8,-2.2
1985,3,7,31,14.9,11,-2.9
1985,4,12,35.8,18.9,14,-2.4
1985,5,7,40.2,23.8,9,-2.6
1985,6,38,39.8,25.9,38,-2.7
1985,7,384,34,25.3,138,-1
1985,8,266,33.9,25.3,131,1.8
1985,9,190,34,22.6,129,1.5
1985,10,138,30.7,15.3,102,3.7
1985,11,1,27,10.4,45,3.9
1985,12,34,22.7,7,42,4.3
1986,1,16,19.1,5.2,31,3.6
1986,2,35,22.7,8,45,3.8
1986,3,43,27.5,12.6,63,4
1986,4,5,34.4,18,16,3.9
1986,5,22,37.2,21.2,28,3.8
1986,6,49,38.8,25.8,51,3.5
1986,7,203,33.7,25.2,147,2.5
1986,8,198,33.7,25.1,137,1.4
1986,9,113,34.1,22,124,0.6
1986,10,49,31.4,16.4,76,0.8
1986,11,6,27.6,10.8,31,0.7
1986,12,13,20.5,4.8,23,-1.3
1987,1,53,20.2,6,50,-0.8
1987,2,23,24.6,9.5,31,-0.8
1987,3,28,29.2,14,32,-1
1987,4,4,35.5,19.1,8,-1
1987,5,58,35.5,20.6,58,1.6
1987,6,24,39.5,26.1,25,0.7
1987,7,113,36.6,26.4,109,-2.6
1987,8,120,34.7,25.5,115,-4
1987,9,36,35.3,23.6,35,-4.6
1987,10,85,32.7,17.1,82,-4.1
1987,11,0,29.3,9,1,-4.9
1987,12,8,22.1,6.7,9,-4.9
1988,1,14,21.2,7.4,14,-5.3
1988,2,16,24.8,9.5,16,-5.4
1988,3,45,28,13,44,-4.9
1988,4,2,36.6,19.9,2,-4.8
1988,5,7,41,25.1,7,-4.8
1988,6,66,39.3,25.9,64,-3.9
1988,7,257,34,26.1,130,-3.5
1988,8,331,32.8,24.8,126,-2
1988,9,581,33.4,23.1,124,4.9
1988,10,6,32.1,16,74,4
1988,11,1,27.7,9.5,29,3.3
1988,12,32,22.5,6.4,36,3.5
1989,1,106,17.9,5.1,51,4.6
1989,2,7,22.1,7.8,34,4.1
