Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 28.4792 North,77.0208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,17,22.6,8.9,36,0
1958,2,3,24.2,9.7,34,-0.7
1958,3,10,31.6,16.2,43,-1
1958,4,1,38.6,22.9,18,-1.3
1958,5,2,40.4,26,12,-1.6
1958,6,11,41.6,28.7,17,-2.3
1958,7,329,34.3,27.8,138,-0.6
1958,8,211,34.3,26.5,109,2.1
1958,9,276,32.4,25.3,126,4
1958,10,26,32.4,18.9,78,4.3
1958,11,3,28.7,12,42,4.6
1958,12,6,23.4,9,31,4.5
1959,1,28,20.9,6.9,41,4.8
1959,2,3,23.4,9.1,34,4.5
1959,3,3,32.4,15.4,40,4.2
1959,4,1,36.8,21.1,19,3.8
1959,5,19,39.5,25.8,28,3.8
1959,6,23,40.5,29.5,29,3.1
1959,7,177,34.4,27.4,155,2.5
1959,8,210,33.5,26.6,126,2.2
1959,9,144,33.2,25.7,124,2.3
1959,10,15,33.4,20.2,52,2
1959,11,6,28.6,11.3,27,1.9
1959,12,0,24,7.7,15,1.4
1960,1,11,20.6,6.4,20,1.2
1960,2,0,28.1,11.4,10,0.6
1960,3,25,29.4,14.7,31,0.7
1960,4,4,35.5,19.8,8,-0.2
1960,5,3,40.8,25.9,7,-1
1960,6,23,41.2,29.1,25,-1.4
1960,7,199,35.3,27,138,-1.1
1960,8,300,33.3,26.7,116,1.3
1960,9,42,35.1,25.1,95,-0.6
1960,10,87,33.1,18.3,98,2
1960,11,0,29.1,9.6,39,2.2
1960,12,5,23.5,7.7,24,2.1
1961,1,26,21.2,7.4,36,2.5
1961,2,30,21.7,8.5,44,3
1961,3,1,31.1,15.6,26,2.6
1961,4,3,36.1,20.1,17,2.4
1961,5,8,39.8,25.8,16,2.2
1961,6,42,39.8,28.3,46,2.2
1961,7,171,34.9,27.4,145,1.7
1961,8,397,33.2,26.3,115,3.7
1961,9,114,33.4,25.7,120,3.6
1961,10,82,32.3,18.5,103,5.1
1961,11,3,26.1,11.1,44,5.4
1961,12,5,20.9,5.3,28,5.3
1962,1,29,20.3,5.4,43,5.7
1962,2,8,24.5,10.6,35,5.6
1962,3,13,30.1,15.1,52,6.1
1962,4,1,37.3,21.4,26,5.9
1962,5,2,40.1,25.8,16,5.1
1962,6,17,41.1,28.3,25,4
1962,7,209,35.9,28,144,3.8
1962,8,123,34.4,26.5,119,2.7
1962,9,229,32.6,24.5,128,3.5
1962,10,0,32.9,17.6,53,3
1962,11,3,28.6,11.2,37,2.8
1962,12,9,22.2,7.5,23,2.7
1963,1,4,21.5,5.2,17,2.1
1963,2,7,26.6,11,22,1.8
