Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 29.3125 North,76.3125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,21,22,7.8,23,-1.1
1958,2,2,24.2,8.1,5,-1.4
1958,3,9,31.2,14.5,10,-1.6
1958,4,1,38.8,21.4,2,-1.7
1958,5,2,40.7,24.3,3,-2
1958,6,11,41.7,27.4,12,-2.7
1958,7,189,34.7,27,139,-1.2
1958,8,104,34.3,25.9,106,-0.8
1958,9,250,32.6,23.9,123,3.9
1958,10,28,32.4,17.7,76,5.7
1958,11,2,28.4,10.7,17,6.2
1958,12,10,23.4,7.8,16,6.1
1959,1,35,20.3,5.8,37,6.3
1959,2,5,23.3,7.4,7,5.3
1959,3,5,31.8,13.8,6,4.4
1959,4,1,36.7,19.7,2,3.7
1959,5,15,39.6,24.3,15,3.6
1959,6,19,40.9,28,19,2.7
1959,7,132,34.5,26.5,126,2.4
1959,8,147,33.5,25.9,126,2.6
1959,9,134,33.3,24.5,125,3.1
1959,10,14,33.4,19,19,3
1959,11,7,28.3,9.9,10,2.9
1959,12,0,23.8,6.5,2,2.2
1960,1,18,20,5.3,19,2
1960,2,0,28,10.1,1,1.3
1960,3,22,28.9,12.8,22,1.5
1960,4,3,35.3,18.1,4,1.2
1960,5,2,41.2,24.6,2,0.6
1960,6,23,41.5,27.5,22,-1.1
1960,7,132,35.3,26.1,126,-0.8
1960,8,160,33.5,26.1,120,1
1960,9,33,35,24.2,45,-0.9
1960,10,35,32.9,17,40,0.1
1960,11,0,28.8,8.2,4,-0.9
1960,12,6,23.3,6.4,8,-0.8
1961,1,40,20.8,6.4,40,0.9
1961,2,25,21.7,6.8,26,1.4
1961,3,2,30.6,14,3,0.7
1961,4,4,36,18.4,4,-0.1
1961,5,6,40.2,24.2,7,-0.7
1961,6,34,40.1,26.9,33,0.1
1961,7,118,35,26.5,113,-0.6
1961,8,201,33.2,25.6,115,1.9
1961,9,100,33.6,24.6,115,2.3
1961,10,46,32.3,17.1,75,3.5
1961,11,3,25.7,9.7,12,3.5
1961,12,5,20.9,4.5,10,3.3
1962,1,37,19.8,4.6,39,3.8
1962,2,9,24.6,9,10,3.3
1962,3,15,29.6,13.4,16,3.1
1962,4,1,37.2,19.8,2,2.6
1962,5,2,40.3,24.3,3,1.9
1962,6,13,41.2,26.9,13,1
1962,7,150,35.9,27,143,1.3
1962,8,77,34.4,25.8,73,-1.6
1962,9,268,32.5,23.3,130,2.7
1962,10,0,32.7,16.7,57,3.9
1962,11,7,28.1,9.8,17,3.8
1962,12,8,22,6.2,13,3.6
1963,1,3,20.7,4.2,6,2.8
1963,2,7,26.6,9.4,9,2.3
1963,3,14,29.9,13.1,15,2.1
1963,4,4,35.5,19,5,1.8
1963,5,7,38.9,23.1,8,1.5
1963,6,28,40.3,27.2,27,1.2
1963,7,78,37.3,27.5,75,-2.1
1963,8,143,33.2,25.7,128,-1.5
1963,9,150,33.6,23,131,1.3
1963,10,0,34,18.2,7,1
1963,11,4,28.4,12.1,8,0.9
1963,12,9,23.4,5.7,11,1
1964,1,6,18.8,3.9,8,-0.5
1964,2,2,23.7,7.9,3,-0.8
1964,3,2,31.8,14.3,3,-1.3
1964,4,3,37.1,19.8,4,-1.3
1964,5,14,39.1,22,14,-1
1964,6,12,40.5,27.2,12,-1.7
1964,7,264,34,25.5,144,2.6
1964,8,195,34,25.7,141,4.6
1964,9,141,33,23.6,128,5.6
1964,10,0,32.7,16.9,57,6.6
1964,11,0,28.2,8.1,10,5.9
1964,12,6,22.6,6,11,5.3
1965,1,10,22.7,7.3,13,4.3
1965,2,14,24,8.1,15,4
1965,3,7,29.7,12.5,8,3.2
1965,4,11,33.7,17.3,12,3.3
1965,5,10,38.9,23.1,10,2.9
1965,6,3,41.5,27.8,4,1.4
1965,7,123,35.5,26,117,0.8
1965,8,69,34.4,24.8,66,-3.1
1965,9,72,34.4,23.1,69,-3.5
1965,10,10,33.6,18,10,-3.9
1965,11,3,29.6,11,3,-3.7
1965,12,0,22.7,4.7,1,-3.7
1966,1,2,22.6,5.5,2,-4
1966,2,19,26.8,10.4,18,-3.3
1966,3,5,30.5,12.8,5,-3.5
1966,4,1,36.3,19.3,2,-3.4
1966,5,20,40.9,23.5,19,-2.6
1966,6,62,39.7,26.1,59,-1.2
1966,7,70,37.3,26,67,-2.5
1966,8,151,33.9,25.4,142,-2
1966,9,90,33.7,22.4,86,-2.1
1966,10,28,33.8,17,27,-2.1
1966,11,4,27.6,10.5,4,-1.9
1966,12,1,22.9,4.6,2,-2.1
1967,1,0,19.9,3.9,0,-2.6
1967,2,4,27.1,9.2,4,-2.7
1967,3,49,28.7,12.5,46,-0.9
1967,4,1,35.6,18.1,1,-1.1
1967,5,2,40,23.2,2,-1.4
1967,6,14,41.4,27.2,13,-2
1967,7,136,35.8,26,129,-1.6
1967,8,199,33,25,124,1.7
1967,9,110,33.5,22.8,117,2.1
1967,10,26,33.1,16.2,50,2.7
1967,11,6,27.8,10.2,14,2.8
1967,12,29,23,6.3,32,3.9
1968,1,20,19.3,5.3,22,3.7
1968,2,10,22.4,6.3,12,3.3
1968,3,8,30.3,12.6,9,2.8
1968,4,1,36.3,18.5,2,2.3
1968,5,2,39.8,23.2,3,1.7
1968,6,19,41.2,27.1,18,1.1
1968,7,159,35.8,25.7,149,1.5
1968,8,115,34.4,25.2,110,1
1968,9,8,36.4,23.5,8,-2.5
1968,10,23,33.1,16.5,22,-2.5
1968,11,0,29.7,9.2,1,-2.5
1968,12,3,23.3,6.3,3,-2.5
1969,1,6,20.6,5.9,6,-2.8
1969,2,8,24,8.9,8,-2.7
1969,3,13,34.8,13.6,13,-2.6
1969,4,4,36,19.7,4,-2.4
1969,5,11,39.1,22.9,10,-2.1
1969,6,17,41.5,27.6,16,-2.4
1969,7,124,36.4,26.1,118,-2.5
1969,8,79,34.9,25.7,75,-3.3
1969,9,106,34,23.6,101,-3
1969,10,2,34.6,18.1,2,-3.6
1969,11,0,30.5,10.5,0,-3.5
1969,12,0,24.5,6,0,-3.5
1970,1,34,21.1,6.2,32,-2.5
1970,2,25,23.6,7.8,24,-1.7
1970,3,26,29.5,13.2,25,-0.9
1970,4,0,38.2,20.3,1,-1.1
1970,5,13,41.3,25.2,12,-0.9
1970,6,54,39,25.6,51,1.9
1970,7,66,37.1,26.2,63,-1.5
1970,8,134,34.1,25.4,127,-1.3
1970,9,140,34.2,23.9,129,-0.6
1970,10,6,34.4,17.9,6,-0.9
1970,11,0,29.1,8.5,0,-1.1
1970,12,0,24,6,0,-1.4
1971,1,12,19.9,4.9,12,-1.4
1971,2,12,25.3,7.8,11,-1.3
1971,3,1,31,13.3,2,-1.7
1971,4,5,38,19.9,5,-1.6
