Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 29.6875 North,76.9792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,31,21.1,8.6,34,0
1958,2,4,23.6,8.6,7,-0.6
1958,3,14,30.4,15.1,15,-0.8
1958,4,2,38,21.6,3,-1
1958,5,2,40.1,24.4,3,-1.2
1958,6,16,40.8,27.1,17,-1.9
1958,7,288,34.2,26.9,133,1.3
1958,8,221,33.5,26,106,1.5
1958,9,337,32.2,24.3,119,4.1
1958,10,76,31.6,18.1,91,4.9
1958,11,2,27.1,11.9,38,5.4
1958,12,17,22.2,8.7,25,5.4
1959,1,63,19.5,6.7,53,5.8
1959,2,9,22.5,7.9,17,5.4
1959,3,10,30.7,14.4,14,4.4
1959,4,1,35.9,20.3,4,3.8
1959,5,12,38.9,24.6,13,3.6
1959,6,23,40.3,27.6,24,2.7
1959,7,205,33.9,26.3,146,2.5
1959,8,249,33.3,26.4,118,2.4
1959,9,162,32.8,25,119,2.5
1959,10,38,32.6,19.5,82,2.7
1959,11,9,27,11,22,2.8
1959,12,0,22.6,7.6,6,2.1
1960,1,41,19.2,6.3,42,2.2
1960,2,0,27.1,10.8,3,1.2
1960,3,32,28.2,13.4,32,1.5
1960,4,3,34.7,18.7,4,1.2
1960,5,2,40.7,25,3,0.7
1960,6,28,41.1,27.3,28,-1.1
1960,7,211,34.7,26.1,129,-0.7
1960,8,292,33.2,26.6,115,1.3
1960,9,65,34.3,24.6,104,-0.8
1960,10,85,31.9,17.5,94,0.8
1960,11,0,27.5,9.3,8,0.6
1960,12,10,22.1,7.5,14,0
1961,1,66,20.1,7.3,48,1.4
1961,2,40,21.2,7.4,47,2.4
1961,3,3,29.8,14.7,8,1.6
1961,4,4,35.4,19.1,7,1.4
1961,5,5,39.6,24.5,7,1.2
1961,6,45,39.8,26.9,44,1.2
1961,7,182,34.6,26.4,134,1
1961,8,372,32.9,26,112,2.6
1961,9,122,33.1,25,120,2
1961,10,105,31.6,17.9,104,3.7
1961,11,2,24.4,11.1,40,4.3
1961,12,13,19.5,5.4,24,4.6
1962,1,72,19.1,5.8,50,5.5
1962,2,16,24.1,9.5,35,6.1
1962,3,19,28.8,14,25,5.8
1962,4,1,36.6,20.3,5,5.2
1962,5,2,39.6,24.5,5,4.5
1962,6,25,40.5,26.7,26,3.6
1962,7,213,35.5,27,139,3.4
1962,8,155,34,26.1,116,2.2
1962,9,373,32.3,23.9,125,5.1
1962,10,0,32,17.6,54,4.3
1962,11,10,26.8,11.3,19,3.7
1962,12,13,20.7,7.1,17,3.4
1963,1,7,20,5.4,10,2.4
1963,2,11,25.7,9.8,13,1.8
1963,3,27,28.9,13.7,27,1.7
1963,4,4,34.9,19.4,5,1.5
1963,5,7,38.4,23.3,8,1.2
1963,6,39,39.8,26.9,38,0.9
1963,7,123,36.6,27.3,117,-2
1963,8,276,32.7,26,121,-1.9
1963,9,230,33,23.4,124,-0.6
1963,10,3,33.2,18.8,56,-0.8
1963,11,8,27.2,13.3,17,-1
1963,12,17,22.2,6.7,21,-0.8
1964,1,13,18.3,5.3,15,-1.3
1964,2,4,23.1,8.5,6,-1.7
1964,3,5,31,15,6,-2.2
1964,4,3,36.4,20.3,4,-2.1
1964,5,12,38.4,22.1,12,-1.8
1964,6,16,39.9,27,16,-2.5
1964,7,380,33.4,25.2,142,2.5
1964,8,333,33.7,26,130,3.7
1964,9,211,32.6,24.1,124,4.2
1964,10,0,32,17.7,54,3.5
1964,11,1,27,9.5,10,2.7
1964,12,10,21.5,7.3,14,2.3
1965,1,17,22.1,8.2,20,1.5
1965,2,21,23.1,8.6,22,1.2
1965,3,12,28.9,13.1,13,0.7
1965,4,11,33.2,17.9,12,0.9
1965,5,9,38.3,23.4,10,0.8
1965,6,5,41,27.6,5,-2.1
1965,7,176,35,25.8,153,-2.3
1965,8,137,33.7,25,132,-3.1
1965,9,95,33.8,23.6,95,-3.2
1965,10,25,32.7,18.4,26,-4
1965,11,4,28.3,12.3,6,-4.1
1965,12,0,21.8,5.9,2,-4.2
1966,1,3,21.9,6,4,-4.7
1966,2,24,26.2,10.7,24,-4.2
1966,3,8,29.7,13.6,9,-4.3
1966,4,1,35.5,19.9,2,-4.1
1966,5,16,40.4,23.6,16,-3.5
1966,6,80,39.3,25.8,77,-2
1966,7,119,36.6,25.6,113,-3
1966,8,295,33.5,25.7,132,-2.7
1966,9,123,33.2,22.9,131,-2.8
1966,10,56,32.8,17.4,87,-1.9
1966,11,4,26.5,11.2,17,-1.3
1966,12,4,21.7,5.8,9,-1.4
1967,1,2,19.4,5.2,6,-2
1967,2,8,26.5,9.8,10,-2.3
1967,3,60,28,12.9,58,-0.7
1967,4,1,35,18.5,2,-0.9
1967,5,2,39.4,23.2,2,-1.1
1967,6,21,41,27,21,-1.6
1967,7,211,35.5,25.9,134,-1.2
1967,8,370,32.7,25.4,118,2.2
1967,9,140,33.3,23.4,122,1.9
1967,10,49,32.1,16.6,83,2.4
1967,11,6,26.4,11,26,2.8
1967,12,44,21.6,7.1,44,4.1
1968,1,37,18.5,6,38,4.1
1968,2,16,21.7,6.7,20,3.8
1968,3,13,29.5,13.2,16,3.3
1968,4,1,35.5,19.1,4,2.9
1968,5,1,39.3,23.4,3,2.3
1968,6,33,40.6,26.7,33,1.9
1968,7,234,35.1,25.4,141,2.1
1968,8,212,33.8,25.4,131,1.8
1968,9,24,35.8,23.9,76,-1.5
1968,10,51,32.1,16.9,58,-1.7
1968,11,0,28.3,10.2,5,-2
1968,12,7,22,7.3,10,-2.1
1969,1,11,19.9,6.9,13,-2.5
1969,2,12,23.6,9.6,13,-2.6
1969,3,19,34,14.2,20,-2.4
1969,4,4,35.3,20,5,-2.3
1969,5,9,38.5,23,10,-2
1969,6,22,40.8,27.2,22,-2.4
1969,7,183,35.7,25.6,152,-2.4
1969,8,178,34.3,25.8,118,-3.1
1969,9,179,33.3,23.9,126,-2.4
1969,10,1,33.5,18.5,55,-2.4
1969,11,0,29.2,11.7,10,-2.6
1969,12,0,23.2,7,5,-2.7
1970,1,57,20.4,6.9,50,-1.7
1970,2,29,23.1,8.1,33,-0.9
1970,3,35,28.8,13.8,36,1.7
1970,4,0,37.5,20.5,2,1.2
1970,5,13,40.8,25.2,14,1.3
1970,6,73,38.6,25.3,71,2.2
1970,7,121,36.7,26,116,0.9
1970,8,251,33.7,25.6,126,-1.4
1970,9,182,34.1,24.5,122,-0.8
1970,10,18,33.6,18.4,70,-0.6
1970,11,0,27.9,9.7,10,-0.7
1970,12,0,22.9,7.1,5,-1
1971,1,22,19.3,5.7,24,-1
1971,2,18,24.6,8.3,20,-1
1971,3,4,30.1,13.9,5,-1.5
1971,4,5,37.3,20.1,6,-1.3
1971,5,18,38.3,23.1,18,-0.7
1971,6,80,37.9,26,77,1.7
1971,7,180,34.1,25.4,125,1.5
1971,8,349,33,24.9,108,2.9
1971,9,131,33.6,22.9,125,2.4
1971,10,31,32.3,17.6,77,2.5
1971,11,7,27.7,11.1,19,2.5
1971,12,0,23.6,7.3,6,1.8
1972,1,14,21.2,7.2,17,1.3
1972,2,18,21.9,6.9,20,1.1
1972,3,7,30.7,14.2,8,-1.1
1972,4,6,35.1,18.2,7,-0.9
1972,5,0,41.7,24.4,1,-1.2
1972,6,27,41.1,26.8,27,-1.5
1972,7,193,36.5,25.7,151,-1.5
1972,8,224,33.7,25.4,132,-1.8
1972,9,102,33.5,22.2,115,-2.1
1972,10,35,32.2,17.1,70,-1.6
1972,11,12,27.4,11.8,21,-1.2
1972,12,8,22.2,7.8,12,-1.2
1973,1,48,19.8,6.7,47,-0.6
1973,2,12,25.3,9.5,14,-0.8
1973,3,10,29.3,13.5,12,-1
1973,4,0,38.3,20.5,2,-1.2
1973,5,8,41.1,24.5,9,-1.1
1973,6,53,39.8,27,51,-0.6
