Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 16.3542 North,73.5625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,31.6,19.7,61,1.2
1958,2,0,30.8,20.3,47,1.4
1958,3,4,32.8,22.3,37,1.5
1958,4,11,33.4,25.4,29,1.6
1958,5,80,32.8,26.1,88,1.8
1958,6,432,30.6,25.3,123,1.6
1958,7,3342,27.3,23.5,90,1.5
1958,8,832,27.8,23.7,100,1.3
1958,9,259,27.8,22.9,95,1.1
1958,10,115,30,23.2,117,-0.7
1958,11,24,32.4,21.4,85,-1
1958,12,0,31.4,20,72,-1.5
1959,1,0,30.5,20.3,64,-1.5
1959,2,0,30.9,20.4,47,-1.5
1959,3,0,32.9,22.6,31,-1.8
1959,4,9,33.4,25.3,26,-1.7
1959,5,120,33.2,26.4,120,1.4
1959,6,1204,29.6,24.1,114,1.2
1959,7,2554,27.2,22.6,90,1.1
1959,8,810,27.1,23.2,84,1
1959,9,587,27.8,22.6,90,1
1959,10,78,29.4,23.3,100,-1.2
1959,11,53,31.8,20.8,93,0.6
1959,12,0,32.1,19.8,69,-0.5
1960,1,0,30.9,19.4,62,0
1960,2,0,33,19.5,48,0.1
1960,3,3,31.3,22.5,37,-0.1
1960,4,5,33.4,24.6,24,-0.7
1960,5,121,32.5,25.3,119,1.5
1960,6,397,29.2,23.9,102,1.4
1960,7,2301,28.1,23.9,99,1.2
1960,8,734,27.5,23.2,88,1.1
1960,9,558,28.5,23,93,1.1
1960,10,61,30.1,22.8,88,-1.3
1960,11,26,32.2,20.4,81,-1.6
1960,12,1,32,20.1,65,-2.3
1961,1,0,31.3,19.5,58,-2.5
1961,2,0,29.9,18.7,45,-2.6
1961,3,0,32.7,22.7,30,-2.7
1961,4,10,33.4,24.7,26,-2.5
1961,5,359,31.8,24.7,145,5.3
1961,6,387,29.1,23.1,108,4.8
1961,7,3498,26.8,22.9,86,4.3
1961,8,1070,27.9,23.4,89,3.9
1961,9,409,28,22.5,80,3.5
1961,10,213,29.2,22.4,102,4.4
1961,11,11,31.8,20.7,81,3.1
1961,12,0,31.5,19,68,2.2
1962,1,0,30.5,17,60,1.9
1962,2,0,32.3,19.2,48,1.7
1962,3,1,31.7,21.6,35,1.3
1962,4,4,32.6,24.6,23,0.9
1962,5,68,32.6,24.8,76,0.9
1962,6,420,29.9,24.4,122,0.8
1962,7,2407,27.7,23.3,91,0.7
1962,8,1149,27.5,23,86,0.7
1962,9,394,28.3,22.3,95,0.6
1962,10,142,31.5,22.1,127,-1
1962,11,34,31.7,20,87,-0.8
1962,12,125,30.2,19.6,115,5.4
1963,1,0,31.4,18.9,74,7.1
1963,2,0,32.1,19.1,62,8.3
1963,3,4,32.5,22.1,66,9.8
1963,4,7,32.5,23.9,40,9.4
1963,5,57,32.8,25.1,72,8.3
1963,6,856,29.5,23.2,105,7.4
1963,7,2250,28.2,23.3,96,6.6
1963,8,1256,27.3,22.6,88,6
1963,9,181,28.7,22.4,108,5.2
1963,10,285,30.1,22.9,115,7
1963,11,9,31.8,21.1,81,5.5
1963,12,0,31.8,19.4,69,4.2
1964,1,0,29.7,17.5,64,3.6
1964,2,0,31.2,18.5,47,3
1964,3,4,32.7,21.9,36,2.5
1964,4,5,33.6,25.1,22,1.8
1964,5,10,32.5,25.4,21,-3.2
1964,6,427,30,23.5,116,-2.9
1964,7,1961,28,22.7,103,-2.6
1964,8,1880,27.3,22.4,86,-2.3
1964,9,626,27.9,21.9,95,-2
1964,10,355,29.7,22.2,107,3.7
1964,11,38,31,19.4,87,3.6
1964,12,5,30.9,17.4,74,3.2
1965,1,0,30.7,18.9,64,3.3
1965,2,0,30.8,19.1,53,3.3
1965,3,0,31.6,21.4,40,3
1965,4,17,32.7,24,36,3.3
1965,5,35,32.5,24.8,46,2.2
1965,6,434,29.9,23.6,108,1.9
1965,7,3404,27.6,23.2,94,1.7
1965,8,716,28.2,23.2,106,1.6
1965,9,281,28.9,22.7,106,1.3
1965,10,40,32,22.5,94,-2.4
1965,11,5,33.4,20.1,75,-3.8
1965,12,102,31.9,19.6,116,3
1966,1,0,30.8,18.8,58,2.5
1966,2,0,32.1,19.8,48,2.2
1966,3,1,32.3,21.6,33,1.7
1966,4,1,33,24.5,19,0.9
1966,5,138,31.9,24.6,136,2.6
1966,6,556,30,24.5,108,2.3
1966,7,1904,28.4,23.9,99,2.1
1966,8,314,28.3,23.7,97,1.8
1966,9,510,29.1,22.4,109,1.7
1966,10,117,31.7,22.7,118,0.8
1966,11,214,31.6,21.4,125,6.1
1966,12,23,30.9,19.1,84,7
1967,1,0,30.5,18.2,75,8.3
1967,2,0,32,18.9,60,8.9
1967,3,0,31.5,22.8,60,9.5
1967,4,9,33.8,24.7,38,9
1967,5,23,33.3,25.6,39,7
1967,6,1485,30,24.3,124,6.3
1967,7,1898,27.5,23.5,94,5.6
1967,8,830,27.6,23.5,89,5
1967,9,476,28.2,22.6,96,4.5
1967,10,164,30.7,22.2,120,4.2
1967,11,8,32.2,19.5,85,2.8
1967,12,27,30.4,21.3,77,3
1968,1,0,29.3,18.4,60,2.8
1968,2,0,29.5,19,48,2.8
1968,3,2,32.2,21.7,41,2.6
1968,4,24,32.9,23.8,43,3.5
1968,5,34,32.4,24.8,45,2.2
1968,6,881,30.2,24.1,124,2
1968,7,1636,28,23.3,98,1.8
1968,8,552,27.6,23.6,98,1.6
1968,9,261,29.2,22.6,102,1.3
1968,10,202,31.1,21.3,120,2
1968,11,20,32.3,19.7,87,1.3
1968,12,1,31.5,19,70,0.7
1969,1,0,30.3,18.9,63,-0.1
1969,2,0,30.9,20.1,47,0
1969,3,3,32.7,23.1,38,-0.7
1969,4,8,34.1,25.3,26,-0.7
1969,5,15,33.3,26.3,26,-2.1
1969,6,575,30.3,24.2,122,-1.9
1969,7,2261,28.2,23.3,96,-1.7
1969,8,1446,28.2,23.1,108,-1.5
1969,9,528,27.5,22.6,102,-1.3
1969,10,93,30.6,23.2,109,-2.2
1969,11,39,32.4,21.6,83,-1.8
1969,12,4,31.8,20,74,-1.9
1970,1,0,30.6,18.7,59,-1.7
1970,2,0,30.6,20.1,49,-1.5
1970,3,0,31.5,22.1,36,-1.5
1970,4,7,33,25.5,26,-1.5
1970,5,122,32.4,25.6,123,1.4
1970,6,516,28.9,23.5,111,1.2
1970,7,2227,28.1,23.7,96,1.1
1970,8,1319,27.4,23.1,89,1
1970,9,319,27.9,22.5,93,0.8
1970,10,216,30.4,22.8,118,1.8
1970,11,0,32.2,18.9,84,-1.3
1970,12,0,31.2,16.1,67,-2
1971,1,0,29.7,18.2,58,-2.2
1971,2,0,30.2,19.4,44,-2.2
1971,3,0,31.9,22.3,31,-2.4
1971,4,5,33.3,25.4,22,-2.5
1971,5,75,32.2,25.3,82,-2.2
1971,6,937,28.5,23,110,-1.9
1971,7,1256,27.9,23.6,101,-1.7
1971,8,797,27.6,23.3,100,-1.6
1971,9,400,28.5,22.7,101,-1.4
1971,10,71,29.4,22,101,-2.6
