Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 30.6875 North,76.8542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,50,20.7,8.4,49,0
1958,2,9,22.7,8.5,38,-0.6
1958,3,22,28.9,14.3,57,-1.1
1958,4,2,36.8,20.8,16,-1.4
1958,5,3,38.9,23.6,11,-1.8
1958,6,25,40.5,27.3,29,-2.4
1958,7,425,33.7,27,132,-1.2
1958,8,253,33,25.8,114,-1.2
1958,9,544,32.4,23.7,116,3
1958,10,130,31.2,17.5,99,4.4
1958,11,1,27,10.7,43,4.3
1958,12,42,21.9,7.7,44,4.6
1959,1,115,19,6.3,51,5.6
1959,2,24,21.2,7.5,50,5.2
1959,3,26,29.1,13.7,75,5.3
1959,4,2,34.6,19.6,37,4.9
1959,5,21,37.6,23.9,33,4.6
1959,6,33,40.4,27.8,39,3.6
1959,7,404,33.3,26.3,139,4
1959,8,320,32.8,26.2,118,4
1959,9,286,32.9,24.6,112,4.1
1959,10,72,32.4,18.8,92,4.3
1959,11,12,26.7,9.6,46,4.4
1959,12,1,22.3,6.8,26,3.5
1960,1,105,18.6,5.9,52,4.2
1960,2,0,25.8,10.7,38,3.1
1960,3,47,26.8,12.5,70,3.2
1960,4,3,33.3,17.9,23,2.8
1960,5,4,39.5,24.4,14,2
1960,6,43,41,27.3,47,1.5
1960,7,373,34.1,26.3,130,1.8
1960,8,320,32.9,26.5,118,2.1
1960,9,128,34,24.2,124,1.2
1960,10,45,31.5,16.9,89,1.2
1960,11,0,27.3,8,38,0.9
1960,12,24,21.7,6.6,33,0.9
1961,1,136,19.8,7,47,2.4
1961,2,75,20.4,7.2,61,3.5
1961,3,12,28.4,14,68,3.6
1961,4,6,34.2,18.4,54,4.1
1961,5,8,38.5,23.8,23,3.6
1961,6,57,39.9,27.2,62,3.3
1961,7,303,34.2,26.6,130,2.9
1961,8,353,32.6,26,114,3.4
1961,9,210,33.3,24.6,116,3
1961,10,106,31.4,17.3,101,4
1961,11,3,24.2,9.9,40,3.9
1961,12,33,19.3,4.9,38,4.2
1962,1,142,18.7,5.8,47,5.7
1962,2,37,23.2,9.3,49,5.7
1962,3,33,27.3,13.3,71,5.9
1962,4,2,35.2,19.6,55,6.5
1962,5,6,38.3,23.8,22,5.6
1962,6,39,40.2,26.9,46,4.7
1962,7,354,34.9,27,141,4.5
1962,8,206,33.6,26,117,3.4
1962,9,686,32.2,23.5,121,6.4
1962,10,1,31.6,17.4,67,5
1962,11,20,26.3,10.2,42,4.7
1962,12,19,20.4,6.3,29,4.2
1963,1,11,19.4,5.3,24,3
1963,2,25,24.6,9.6,35,2.2
1963,3,70,27.5,12.9,75,2.2
1963,4,5,33.6,18.5,10,1.6
1963,5,15,37.2,22.5,18,1.2
1963,6,34,39.9,27.2,35,-1.9
1963,7,242,35.8,27.2,157,-2.4
1963,8,336,32.2,25.8,120,-2
1963,9,300,33,23.1,121,-1.3
1963,10,3,32.7,18.1,73,-1.8
1963,11,14,27,11.8,40,-1.7
1963,12,23,21.9,5.9,33,-1.5
1964,1,37,17.9,5.3,41,-1.7
1964,2,12,22,8.2,25,-2.3
1964,3,12,29.3,14.2,19,-3
1964,4,5,35.1,19.4,10,-3.2
1964,5,27,37.3,21.2,29,-2.7
1964,6,22,39.7,27.1,24,-3.3
1964,7,543,33,25.4,144,-1.1
1964,8,380,33.5,25.9,132,2.5
1964,9,303,32.7,23.8,123,2.8
1964,10,0,31.7,17.4,69,1.8
1964,11,1,26.9,8.4,31,1.2
1964,12,14,21.3,6.8,26,0.8
1965,1,33,21.5,7.5,37,-1.6
1965,2,46,21.9,8.4,49,-1.5
1965,3,29,27.5,12.2,36,-1.8
1965,4,14,32.2,17,19,-1.7
1965,5,29,37.1,22.6,31,-1.3
1965,6,7,40.7,27.6,9,-2.4
1965,7,284,34.5,25.7,146,-2.5
1965,8,146,33.1,24.7,137,-3.6
1965,9,65,33.7,23.2,105,-4.1
1965,10,51,32.4,17.8,76,-3.8
1965,11,9,28,11,32,-3.7
1965,12,1,21.7,5.2,15,-4
1966,1,2,21.7,5.4,10,-4.7
1966,2,48,25.2,10.3,49,-4.3
1966,3,26,28.3,13,29,-4.5
1966,4,3,34,19,6,-4.5
1966,5,26,39.3,22.6,27,-4
1966,6,102,39.6,26,99,-2.6
1966,7,203,35.9,25.4,151,-3.2
1966,8,396,33.2,25.6,130,-2.5
1966,9,229,33,22.2,131,-2.3
1966,10,84,32.1,16.5,98,-1.2
1966,11,3,26.6,9.4,41,-0.8
1966,12,12,21.4,5.2,31,-0.8
1967,1,3,19,5.2,22,-1.5
1967,2,22,25.2,9.5,36,-1.7
1967,3,95,26.8,12,91,1.1
1967,4,2,33.9,17.7,17,1
1967,5,5,38.1,22.4,12,-0.3
1967,6,27,40.9,27.1,31,-0.9
1967,7,362,35.1,25.9,133,0.4
1967,8,365,32.4,25.2,120,1.2
1967,9,202,33.4,23,119,1
1967,10,73,31.5,15.9,91,1.5
1967,11,6,26.2,9.4,38,1.7
1967,12,62,21.4,6.4,46,2.9
1968,1,62,17.9,5.5,44,3.2
1968,2,36,20.5,6.3,47,3.3
1968,3,25,28,12.6,63,3.5
1968,4,2,34.2,18.4,36,3.6
1968,5,2,38,22.6,15,2.9
1968,6,57,40.6,26.8,62,2.7
1968,7,371,34.5,25.3,141,2.8
1968,8,253,33.2,25,128,2.3
1968,9,39,35.6,23.5,98,1.1
1968,10,91,31.4,16,95,1.6
1968,11,1,27.9,8.7,31,1.1
1968,12,23,21.8,6.5,31,1
1969,1,18,19.5,6.6,27,-1.3
1969,2,25,22.6,9.2,33,-1.6
1969,3,37,32.5,13.3,43,-1.8
1969,4,7,33.9,19,11,-1.9
1969,5,17,37.5,22.2,20,-1.7
1969,6,21,40.5,27.1,22,-2.4
1969,7,263,35.1,25.6,152,-2.6
1969,8,250,34,25.6,120,-2.9
1969,9,248,33.3,23.3,126,-2.4
1969,10,4,32.9,17.9,69,-2.8
1969,11,0,29,10.3,32,-2.9
1969,12,0,23,6.3,16,-3.2
1970,1,77,20.2,6.6,48,-2.5
1970,2,25,22.4,7.8,37,-2.3
1970,3,35,27.6,12.9,52,-2.2
1970,4,0,36.3,19.7,10,-2.4
1970,5,19,39.7,24.5,24,-2.2
1970,6,100,38.8,25.6,99,-1
1970,7,269,36.1,25.9,143,-1.3
1970,8,320,33.5,25.3,126,-1
1970,9,298,34.3,24,119,1.1
1970,10,24,33.2,17.7,73,0.7
1970,11,0,27.8,8.4,35,-0.2
1970,12,0,22.7,6.4,19,-0.9
1971,1,32,19.1,5.4,36,-1.2
1971,2,39,23.6,8,44,-1
1971,3,8,28.7,13.4,19,-1.8
1971,4,5,36.2,19.4,12,-1.9
1971,5,39,37.7,22.7,42,-1
1971,6,117,38.2,26.3,114,2.1
1971,7,259,33.9,25.4,128,1.5
1971,8,469,32.9,24.7,111,3
1971,9,158,33.5,22.3,125,2.2
1971,10,30,32.1,16.9,76,1.9
1971,11,13,27.6,9.8,40,1.9
1971,12,1,23.4,6.5,24,1.2
1972,1,25,21.1,7.1,31,0.6
1972,2,34,21.1,6.7,41,-1
1972,3,18,29.4,13.4,31,-1.5
1972,4,8,33.9,17.3,15,-1.4
1972,5,1,40.6,23.3,6,-1.9
1972,6,39,40.9,26.8,40,-2.1
1972,7,282,36,25.5,150,-2.3
1972,8,225,33.4,25.1,133,-2.8
1972,9,192,33.2,21.8,123,-2.7
1972,10,40,31.6,16.4,78,-2.4
1972,11,24,26.7,10.7,44,-1.4
1972,12,22,22,7,35,-1.1
1973,1,79,19.4,6.4,49,1.3
1973,2,26,24.3,9,43,1.3
1973,3,28,27.8,12.5,60,1.3
1973,4,1,37,19.6,20,0.9
1973,5,20,40,23.6,28,0.9
1973,6,103,40,27.1,104,1.9
1973,7,302,35.1,25.7,143,1.5
1973,8,325,33,24.8,121,1.8
1973,9,110,34.6,23.7,116,0.9
1973,10,70,31.5,16.8,89,1.4
1973,11,0,27.3,9,36,1.3
1973,12,39,20.1,5,43,1.8
1974,1,20,19.3,5.9,31,1.1
1974,2,7,21.4,7.1,26,-0.6
1974,3,11,29.6,14.6,26,-1.6
1974,4,1,36.9,19.5,9,-1.8
1974,5,16,38.9,23,20,-1.7
1974,6,49,38.8,25.7,50,-1.6
1974,7,195,34.5,25.3,141,-2.3
1974,8,170,33.9,25.3,121,-3.3
1974,9,58,34.6,22.8,88,-3.7
1974,10,30,31.7,17.1,56,-4
1974,11,0,26.5,8.7,12,-4.3
1974,12,18,19.8,5.3,24,-4.1
1975,1,64,18.1,5.5,49,-3.6
1975,2,29,21.2,7.1,35,-3.4
1975,3,37,26.9,12.1,41,-3.4
1975,4,0,34.2,18.4,4,-3.6
1975,5,5,39.3,23.4,8,-3.8
1975,6,76,38.1,25.6,75,-3
1975,7,278,33.4,24.6,144,-3.1
1975,8,296,32.5,25.2,122,-2.8
1975,9,312,32.1,23.3,131,-1.9
1975,10,52,32.4,17.7,86,-1.5
1975,11,0,26.2,8.1,40,-1.3
1975,12,0,22.2,6.2,21,-1.8
1976,1,62,20.1,7.1,47,-1.4
1976,2,54,22.2,8.9,56,-0.7
1976,3,28,26.6,13,52,-0.8
1976,4,4,33.8,17.8,16,-0.9
1976,5,12,38.5,22.6,18,-1.1
1976,6,74,37.3,25.5,74,0.4
1976,7,333,34.6,26,145,0
1976,8,350,31.5,24.3,124,1
1976,9,149,34.1,21.3,115,-0.5
1976,10,26,33,16.2,74,-0.6
1976,11,0,28.3,10.2,35,-0.7
1976,12,1,21.8,6.4,20,-1.2
1977,1,82,19.3,6.6,49,-0.6
1977,2,2,23.5,7.9,27,-1.1
1977,3,1,30.5,13.9,22,-1.8
1977,4,19,34.4,18.6,28,-1.4
1977,5,28,36.4,21.5,33,-1
1977,6,85,37.9,26.1,85,1
1977,7,424,33.2,25.6,144,1.7
1977,8,263,33,25.2,122,1.4
1977,9,282,32.5,23.1,130,1.7
1977,10,50,32.5,17.3,84,1.7
1977,11,0,28.7,11.3,36,1.5
1977,12,34,22,7.2,41,1.8
1978,1,11,18.7,5.3,26,0.9
1978,2,45,21.6,8.1,49,1.1
1978,3,79,25.2,11.2,84,1.7
1978,4,5,34.9,18.1,19,1.6
1978,5,1,41.8,25.4,9,1
1978,6,91,39.9,27.2,91,1.7
1978,7,298,33.1,25.3,130,1.4
1978,8,376,32.6,25.3,122,2.2
1978,9,287,32.8,23.5,117,2.4
1978,10,7,32.3,17.1,66,1.7
1978,11,14,25,10.9,36,1.7
1978,12,7,22,6.1,23,1.2
1979,1,84,19.6,6.2,52,1.6
1979,2,63,21.1,7.4,60,2.4
1979,3,51,25.5,11.6,73,2.8
1979,4,11,35.5,19.7,35,2.9
1979,5,18,37.1,22,28,2.8
1979,6,46,39.8,26.5,50,2.3
1979,7,247,35,25.6,150,1.5
1979,8,156,34.6,25.4,148,-2
1979,9,107,33.4,22,119,-2.4
1979,10,10,32.6,17.6,52,-3
1979,11,11,26.9,12.4,25,-3.2
1979,12,13,22.1,7.4,20,-3.3
1980,1,25,19.7,6.3,28,-3.7
1980,2,16,23.8,9.5,19,-4.1
1980,3,37,26.8,12.5,38,-4.1
1980,4,3,36.7,19.9,5,-4.3
1980,5,6,40.9,25.2,7,-4.5
1980,6,63,39.4,26.6,62,-3.9
1980,7,588,33.7,25.7,132,-1.2
1980,8,208,33.5,25,130,-1.8
1980,9,117,33.7,23,124,-2.3
1980,10,48,31.8,17.5,83,-2
1980,11,18,27.3,10,44,-1.3
1980,12,52,21.7,6.7,51,1.8
1981,1,112,19,6.9,46,2.9
1981,2,23,23.8,9.1,47,2.7
1981,3,70,26.5,12.5,84,3.7
1981,4,1,35.1,18.6,49,4.5
1981,5,16,39.2,23.8,31,4.1
1981,6,44,39.9,27,50,3.4
1981,7,391,33.4,25.7,133,3.7
1981,8,219,33.6,25.5,132,2.8
1981,9,77,34.2,23,110,1.6
1981,10,8,31.4,16,65,0.7
1981,11,39,24.7,9.6,47,1.1
1981,12,1,20.7,5.6,16,-1.8
1982,1,80,19.8,7.5,49,-1.2
1982,2,31,20.7,7.7,40,-1
1982,3,108,24.8,11.2,94,1.7
1982,4,26,33.3,17.7,48,2.4
1982,5,39,35.5,21.4,48,3
1982,6,42,39.2,26.2,47,2.4
1982,7,223,35.9,26.2,168,1.3
1982,8,293,33.3,25.2,125,0.7
1982,9,41,34.1,22.4,103,-2.4
1982,10,28,31.8,17.6,63,-2.7
1982,11,9,26.4,10.9,29,-2.9
1982,12,26,21.5,7.4,31,-2.6
1983,1,94,19,6.1,51,-1.7
1983,2,26,21.2,7.2,38,-1.6
1983,3,35,26,11.8,53,-1.6
1983,4,16,31.2,16,25,-1.3
1983,5,47,36.3,21.8,51,1.3
1983,6,43,37.9,25.5,44,0.9
1983,7,253,34.3,25.3,150,-0.6
1983,8,282,33.5,25.5,106,-0.9
1983,9,165,34,23.6,110,-1.1
1983,10,106,30.9,16.5,104,1.3
1983,11,2,27,9.2,46,1.5
1983,12,9,21.4,6.9,29,1.2
1984,1,7,18.7,5.9,26,-0.7
1984,2,58,21.1,6.8,59,0.6
1984,3,12,29.9,14.3,38,-0.6
1984,4,7,34.7,18.6,18,-0.8
1984,5,10,41.1,25,16,-1.1
1984,6,71,40.5,27.6,72,-0.6
1984,7,331,32.6,26,143,0
1984,8,300,33.8,25,106,0.7
1984,9,185,31.9,22.5,124,-0.3
1984,10,5,31.6,15.8,72,-0.9
1984,11,3,26.2,9.4,33,-1
1984,12,20,21.7,6.7,30,-1
1985,1,27,19.3,6,32,-1.4
1985,2,2,24.6,8.6,15,-2.4
1985,3,10,30.2,14.9,16,-3.2
1985,4,16,35.2,18.9,20,-3
1985,5,8,39.5,23.5,11,-3.2
1985,6,43,39.7,26.1,43,-3.2
1985,7,463,33.6,25.2,134,-1.7
1985,8,327,33.7,25.3,127,-1.1
1985,9,220,33.8,23.1,126,-1
1985,10,174,30.3,16,101,3.7
1985,11,2,26.2,10.8,44,3.7
1985,12,42,22.2,7.3,46,4.1
1986,1,16,19,5.6,32,3.2
1986,2,43,22.3,8.3,50,3.3
1986,3,51,26.7,12.5,70,3.5
1986,4,7,33.7,17.9,29,3.4
1986,5,25,36.5,20.9,34,3.4
1986,6,55,38.7,26,58,3
1986,7,259,33.3,25.1,143,2.3
1986,8,242,33.5,25.2,133,1.4
1986,9,129,33.8,22.5,129,-1.7
1986,10,69,30.9,17,89,-0.9
1986,11,8,26.8,11.2,41,0.4
1986,12,17,19.9,5.1,32,0.9
1987,1,67,19.8,6.2,50,1.2
1987,2,30,24,9.8,44,1.1
1987,3,33,28.4,13.9,60,1.1
1987,4,6,34.8,19,20,0.9
1987,5,68,34.9,20.4,73,2.5
1987,6,28,39.3,26.2,31,1.6
1987,7,143,36.1,26.4,140,-2.2
1987,8,141,34.4,25.5,135,-3.2
1987,9,36,35.1,24.1,37,-3.6
1987,10,115,32.2,17.7,109,-2.9
1987,11,0,28.6,9.3,2,-3.5
1987,12,10,21.5,7,11,-3.8
1988,1,20,21.1,7.9,21,-4.3
1988,2,21,24.3,9.8,21,-4.6
1988,3,49,27.2,13,47,-4.4
1988,4,2,35.9,19.8,3,-4.6
1988,5,9,40.3,24.8,9,-4.7
1988,6,73,39.2,26.1,70,-3.9
1988,7,337,33.6,26,127,-3.4
1988,8,386,32.6,24.9,124,-2
1988,9,672,33.2,23.7,122,4.4
1988,10,6,31.7,16.6,73,3.3
1988,11,1,27,9.9,31,2.6
1988,12,45,21.9,6.7,46,3
1989,1,133,17.7,5.5,51,4.1
1989,2,10,21.5,8.3,40,3.5
1989,3,38,26.9,12.9,68,3.6
1989,4,1,33,17.2,29,3.2
1989,5,5,38.1,23.4,17,2.5
1989,6,33,37.5,25.8,39,1.8
1989,7,450,34.6,25,146,2.7
1989,8,281,32.4,24.4,121,2.5
1989,9,177,33.7,22.8,130,1.8
1989,10,12,31.7,16.7,73,1.2
1989,11,16,26.2,10,40,1.2
1989,12,23,20.4,6.5,32,1.2
1990,1,8,21.8,8.6,24,-1.3
1990,2,67,21.8,9.1,61,0.7
1990,3,57,25.2,11.6,65,1
1990,4,4,33.4,18,12,0.6
1990,5,24,38.6,24.1,29,0.8
1990,6,42,39.2,27.6,44,-0.3
1990,7,394,34,25.6,140,0.9
1990,8,376,32.8,25.2,115,1.8
1990,9,285,32.8,24.4,111,2.1
1990,10,7,30.2,16.4,70,1.4
1990,11,12,27.1,10.5,38,1.3
1990,12,56,20.9,7.1,51,2.1
1991,1,3,17.6,5.3,20,1.1
1991,2,56,21.9,9,54,1.5
1991,3,17,27.1,13.1,33,0.8
1991,4,12,32.5,17.4,20,0.7
1991,5,22,37.7,23.4,27,0.7
1991,6,50,38.9,26.3,51,-0.2
1991,7,157,36.1,26.9,150,-1.8
1991,8,296,32.9,25.4,129,-2.5
1991,9,140,33.3,24,121,-2.8
1991,10,12,31.2,15.9,75,-3
1991,11,10,25.8,9.8,36,-2.8
1991,12,28,21.5,7.3,35,-2.3
1992,1,102,19.6,7.7,52,-1.2
1992,2,47,21.5,7.4,54,1.5
1992,3,34,26.2,13.9,62,1.7
1992,4,3,33.2,18.4,27,1.6
1992,5,22,36.9,22.4,32,1.6
1992,6,33,39.1,26.7,37,0.9
1992,7,177,32.8,26,144,-1.5
1992,8,292,32.7,25.1,110,-1.8
1992,9,245,33,22.4,124,-1.5
1992,10,32,31.2,16.9,79,-1.4
1992,11,30,26.2,10.2,47,0.8
1992,12,3,22.6,7.4,25,-0.4
1993,1,37,18.4,6.8,41,-0.6
1993,2,29,25,10.3,40,-0.8
1993,3,33,24.8,12,47,-0.9
1993,4,6,34.3,18.1,14,-1.1
1993,5,12,39.1,24.5,16,-1.2
1993,6,77,39.3,27.2,77,-0.7
1993,7,325,33,25.9,143,-0.7
1993,8,102,34.4,25.6,129,-2.1
1993,9,254,31.9,24.2,116,-1.6
1993,10,0,31.3,17.7,71,-2.2
1993,11,1,27.7,11.1,32,-2.4
1993,12,0,22.7,6.5,17,-2.9
1994,1,71,19.6,8.5,49,-2.3
1994,2,24,21.6,9.2,36,-2.2
1994,3,7,29.6,14.6,20,-3.1
1994,4,7,32.3,18,14,-3
1994,5,31,39.3,24,34,-2.4
1994,6,42,39.9,27.5,44,-2.5
1994,7,383,33.4,26.5,123,-1.7
1994,8,303,32.3,25.9,111,-1.1
1994,9,129,32.4,23.2,127,-1.7
1994,10,16,30.8,16.4,74,-1.9
1994,11,0,26.8,11,31,-2
1994,12,18,21.5,7.9,29,-1.9
1995,1,121,17.7,6,49,1.3
1995,2,79,22.4,8.7,61,2.5
1995,3,37,26.1,13.1,74,3
1995,4,6,32.5,17.8,52,3.8
1995,5,1,39.2,24.5,17,3
1995,6,39,40.8,27.7,45,2.2
1995,7,294,34.4,26.7,141,1.7
1995,8,527,31.1,25.7,116,3.9
1995,9,212,33,23.8,124,3.4
1995,10,10,31.8,18.1,72,2.6
1995,11,11,26.7,10.5,39,2.3
1995,12,3,20.6,8.1,20,1.5
1996,1,52,18.8,7.8,50,1.3
1996,2,46,23.4,10,50,1.3
1996,3,27,28.4,15.2,38,0.7
1996,4,4,34.6,19.6,11,-1.4
1996,5,9,37.3,23.4,13,-1.6
1996,6,156,38.4,27.4,151,2.2
1996,7,184,34.3,26.2,149,1
1996,8,377,31.8,25,114,1.1
1996,9,187,32.8,24.1,118,0.8
1996,10,55,30.4,17.4,88,1
1996,11,0,26.1,10,40,1
1996,12,0,21.9,5.7,23,-0.6
1997,1,26,18.9,5.6,33,-1.3
1997,2,9,22.8,8,25,-2
1997,3,26,27.2,13.9,33,-2.3
1997,4,20,32.7,18,24,-1.9
1997,5,31,35.6,22,33,-1.4
1997,6,88,36.8,25.8,86,1.1
1997,7,272,35,26.2,139,0.6
1997,8,393,32.2,25.1,130,1.4
1997,9,133,33.1,24.2,120,0.6
1997,10,135,29.7,14.9,95,2.4
1997,11,33,23.5,11.2,50,3.4
1997,12,34,17.8,7,39,3.8
1998,1,3,18.9,6.1,29,2.9
1998,2,44,22.9,9.2,52,3
1998,3,44,26.1,12.3,70,3.4
1998,4,10,34.7,19.3,36,3.5
1998,5,9,39.3,24.3,20,3
1998,6,56,39.4,27.1,60,2.7
1998,7,280,34.5,26.5,145,2
1998,8,221,33.3,26,132,1.1
1998,9,211,32.6,24.8,126,0.9
1998,10,180,29.9,19.4,101,3.5
1998,11,10,26,11.2,47,3.7
1998,12,0,22.1,5.9,28,2.9
1999,1,122,18.7,6.9,49,4.1
1999,2,11,24.3,10.2,44,3.5
1999,3,12,28.7,14.7,69,3.3
1999,4,1,36.6,20,27,2.7
1999,5,10,38.3,24.8,21,2.2
1999,6,70,38.3,26.4,74,2.3
1999,7,212,35,26,146,1.3
1999,8,258,32.9,26.3,130,-1.6
1999,9,174,33.9,24.9,111,-1.7
1999,10,35,31.8,18.8,81,-1.6
1999,11,1,27.9,11.8,39,-1.5
1999,12,2,22.9,6.9,22,-1.9
2000,1,75,19.9,7.1,55,-1.4
2000,2,58,20.8,7.5,57,1
2000,3,22,27.3,12.7,46,0.7
2000,4,2,36.6,20.5,14,-0.4
2000,5,25,39.9,26.1,31,0.2
2000,6,90,37.9,27.2,90,1.1
2000,7,423,33.1,26.2,143,1.8
2000,8,183,33.1,26,136,0.7
2000,9,86,33.6,23.9,113,-1.7
2000,10,1,33.4,18.3,64,-2.4
2000,11,10,27.2,12.3,31,-2.6
2000,12,0,23,7.4,12,-3.1
2001,1,29,18.8,6.8,33,-3.5
2001,2,15,24.1,10.1,20,-4
2001,3,16,28.4,14.1,18,-4.4
2001,4,12,34.5,19.3,14,-4.2
2001,5,47,39.2,25.2,47,-3
2001,6,104,36.9,27,100,-1.5
2001,7,365,33.8,26.5,142,-1.1
2001,8,113,34,26.2,127,-2.5
2001,9,95,33.5,24,120,-3
2001,10,12,32.5,19.1,59,-3.4
2001,11,0,27.6,11.4,22,-3.8
2001,12,6,21.2,9.3,16,-4
2002,1,32,20,6.6,35,-4.2
2002,2,30,22.9,8.9,33,-4.1
2002,3,19,29.8,13.3,21,-4.5
2002,4,5,35.7,20.8,7,-4.5
2002,5,15,40.7,24.7,17,-4.4
2002,6,65,39.1,27.4,63,-3.8
2002,7,85,36,26.3,82,-5.4
2002,8,240,32.7,27.1,124,-5.9
2002,9,317,30.5,23.8,120,-4.6
2002,10,16,31.3,18.9,71,-4.5
2002,11,1,27.1,12,34,-4.3
2002,12,16,21.8,8.9,28,-4
2003,1,57,20.1,5.5,53,-3.6
2003,2,93,22.5,9,64,-1.8
2003,3,28,27.9,13,60,-1.6
2003,4,4,35.7,19.5,19,-1.6
2003,5,7,37.3,23.3,14,-1.8
2003,6,88,39.4,28.1,89,-1
2003,7,440,33.3,26.1,134,2.1
2003,8,194,32.6,26,120,1.1
2003,9,132,33.3,23.5,118,-1.2
2003,10,43,32,17.2,86,-1.1
2003,11,22,26,10.2,46,0.6
2003,12,28,21.2,7,37,0.8
2004,1,68,19.5,7.4,51,1.1
2004,2,12,25.3,8.4,39,0.6
2004,3,0,32.8,15.1,24,-1.4
2004,4,4,36.9,20.9,14,-1.6
2004,5,35,39.6,23.7,40,-1
2004,6,81,36.9,26.7,82,1
2004,7,122,34.8,26.8,119,-1.5
2004,8,217,32.9,25.2,131,-2.4
2004,9,21,34.8,23,62,-3.1
2004,10,113,29.9,16.9,99,-2.1
2004,11,6,27.7,10.4,25,-2.1
2004,12,13,23.3,7.4,22,-2.4
2005,1,86,19.1,5.9,49,-1.7
2005,2,69,21.1,9.2,61,-0.6
2005,3,49,29.1,13.7,65,1.6
2005,4,4,34.1,18.7,18,1.1
2005,5,4,36.5,23.2,12,-0.5
2005,6,52,39.4,28.1,54,-0.8
2005,7,284,33.4,26.1,140,-1
2005,8,156,34.8,25.6,147,-2.3
2005,9,278,33.1,24.8,122,-1.7
2005,10,22,31.3,18.1,76,-1.8
2005,11,2,26.9,11,37,-1.8
2005,12,0,20.6,6.2,18,-2.2
2006,1,45,19.4,9.1,46,-2.3
