Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 28.8958 North,76.6042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,20,22.5,8.5,25,-1.2
1958,2,3,24.5,8.8,7,-1.6
1958,3,9,31.4,15.2,11,-1.6
1958,4,1,38.9,22.2,3,-1.7
1958,5,2,40.6,25.1,4,-2
1958,6,11,41.7,28,12,-2.7
1958,7,255,34.8,27.6,138,-1
1958,8,146,34.7,26.6,110,1.9
1958,9,261,32.8,24.8,124,4.2
1958,10,26,32.8,18.5,77,4.8
1958,11,3,28.5,11.4,32,5.1
1958,12,8,23.4,8.4,20,5.1
1959,1,31,20.8,6.5,36,5.2
1959,2,4,23.6,8.2,8,4.4
1959,3,4,32.2,14.5,7,3.6
1959,4,1,36.9,20.4,3,3.1
1959,5,19,39.6,25,19,3
1959,6,20,40.8,28.7,20,2.3
1959,7,158,34.8,27.2,151,1.9
1959,8,176,33.8,26.5,126,1.8
1959,9,145,33.6,25.4,124,2.2
1959,10,14,33.8,19.9,41,2.1
1959,11,6,28.6,10.8,16,1.9
1959,12,0,23.9,7.1,6,1.4
1960,1,15,20.5,6,18,1.3
1960,2,0,28.3,10.7,3,0.6
1960,3,22,29.2,13.6,23,0.9
1960,4,3,35.6,18.9,4,0.7
1960,5,2,41.1,25.2,3,-0.5
1960,6,24,41.4,28.3,23,-1.1
1960,7,166,35.6,26.7,137,-0.8
1960,8,219,33.7,26.7,116,1.2
1960,9,35,35.5,24.9,97,-0.6
1960,10,55,33.3,17.8,75,0.8
1960,11,0,29,9,9,-0.2
1960,12,6,23.4,7.1,11,0
1961,1,32,21.1,7,34,1
1961,2,31,22,7.6,32,1.5
1961,3,1,30.9,14.7,3,0.9
1961,4,3,36.1,19.2,4,0.7
1961,5,8,40,24.9,9,-0.1
1961,6,38,40.1,27.6,37,0.2
1961,7,146,35.2,27.1,139,-0.6
1961,8,285,33.6,26.3,112,2
1961,9,107,33.8,25.4,118,2.1
1961,10,59,32.6,18,93,3.6
1961,11,3,25.9,10.5,32,4.1
1961,12,5,20.9,4.9,17,4.1
1962,1,33,20.3,5.1,38,4.4
1962,2,9,24.9,9.8,13,4
1962,3,14,29.9,14.1,16,3.7
1962,4,1,37.4,20.6,3,3.2
1962,5,2,40.2,25,4,2.5
1962,6,15,41.2,27.5,16,1.6
1962,7,182,36.1,27.6,146,1.7
1962,8,94,34.8,26.5,99,0.7
1962,9,250,32.9,24.2,128,2.3
1962,10,0,33.1,17.3,70,2.6
1962,11,5,28.4,10.6,24,2.6
1962,12,9,22.1,6.8,17,2.6
1963,1,3,21.3,4.8,8,1.9
