Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 36.0625 North,-95.8125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,36,9,-3.4,35,-1.4
1958,2,39,6.9,-4,30,-1.3
1958,3,115,9.8,0.3,61,0.8
1958,4,80,20.4,8.3,91,0
1958,5,101,26.5,14.7,110,-0.5
1958,6,163,31.1,18.3,159,0.5
1958,7,159,32,21.3,159,1.3
1958,8,132,32.4,19.9,130,1.9
1958,9,75,28.8,17.5,74,1.3
1958,10,16,23.4,9.1,18,-1.3
1958,11,47,18.9,3.7,46,-1.7
1958,12,23,9.4,-3.5,23,-2.2
1959,1,11,6.8,-5.1,11,-2.5
1959,2,40,11,-2.1,39,-2.7
1959,3,89,17,2.6,85,-2.6
1959,4,66,21.9,8.4,63,-3
1959,5,173,26.3,16.2,134,-2.4
1959,6,120,29.7,18.3,124,-2
1959,7,200,30.8,19.6,172,1.6
1959,8,48,33.1,20.7,60,1.2
1959,9,145,29.9,16.4,140,1.4
1959,10,182,21.7,8.5,94,2.3
1959,11,57,13.9,-0.8,65,2
1959,12,79,12.6,1,56,2.2
1960,1,42,7.3,-2.3,33,2.1
1960,2,59,7.3,-4.2,30,2.4
1960,3,31,9.4,-2.6,55,1.8
1960,4,93,23.1,9.4,112,1.7
1960,5,208,25.1,12.2,143,2.4
1960,6,83,30.2,18.7,128,2.4
1960,7,172,32,20.4,167,3.5
1960,8,76,32.1,20.2,101,3.5
1960,9,31,31.1,16.6,40,2.2
1960,10,76,25.5,11.2,78,1.8
1960,11,25,18.2,3.3,27,0.8
1960,12,88,8.9,-2.5,51,1.1
1961,1,15,8.3,-6.6,16,0.6
1961,2,48,12.1,0,48,-1.3
1961,3,90,17.6,4.2,87,-1.1
1961,4,40,20.7,7,52,-1.9
1961,5,159,24.7,13,137,-1.5
1961,6,108,28.7,17,117,-1.4
1961,7,237,31.6,19.8,183,1.7
1961,8,91,30.8,18.9,120,2.3
1961,9,163,27.5,15.4,127,2.8
1961,10,56,24.3,9.8,79,2.2
1961,11,87,14.8,2.8,65,2.1
1961,12,44,8.1,-2.6,40,1.9
1962,1,28,5.6,-7,4,1.8
1962,2,30,13.7,-0.7,54,1.2
1962,3,49,14.8,0.8,63,0.6
1962,4,77,20.3,8,85,-0.2
1962,5,45,29.5,16.8,50,-2.4
1962,6,133,29.4,18,131,-1.9
1962,7,102,33.4,21.2,100,-1.6
1962,8,48,34.7,19.5,47,-2
1962,9,195,27.6,16,114,-0.7
1962,10,79,24.9,12.2,91,1.2
1962,11,41,15.9,3.6,51,0.8
1962,12,26,10.7,-1.4,36,-0.5
1963,1,19,5.1,-8.3,2,-0.8
1963,2,2,11.2,-4.4,32,-1.6
1963,3,63,19.5,4.2,69,-2
1963,4,72,24,11.7,73,-2.4
1963,5,85,26.5,14.9,84,-2.9
1963,6,44,32.6,19.7,44,-3.7
1963,7,106,34.9,21.8,103,-3.2
1963,8,40,35.2,20.6,40,-3.6
1963,9,43,31,16.8,42,-4.1
1963,10,11,30.4,11.6,11,-4.9
1963,11,42,18.7,2.6,40,-5.1
1963,12,26,6.3,-6.5,8,-4.6
1964,1,15,11.7,-3.3,31,-5.1
1964,2,40,10.2,-3.2,39,-5
1964,3,70,16.1,0.4,67,-4.9
1964,4,115,24,11.2,110,-4.5
1964,5,143,26.5,15.3,136,-4.2
1964,6,86,30.4,19,82,-4.3
1964,7,25,35.9,21.5,24,-4.7
1964,8,168,33,20.2,159,-3
1964,9,95,28.4,16.5,91,-2.9
1964,10,18,23.3,7.4,17,-3.6
1964,11,111,17.9,5.4,73,-3
1964,12,23,10.2,-2.6,30,-3.2
1965,1,60,10.4,-2.3,50,-2.9
1965,2,37,10.9,-3.4,41,-3
1965,3,29,10.3,-2.2,35,-3.3
1965,4,98,25.2,10.8,98,-3.3
1965,5,110,26.8,15.7,108,-3.4
1965,6,100,30,18.7,97,-3.4
1965,7,78,34,21.5,75,-3.2
1965,8,114,33.6,19.4,110,-2.5
1965,9,100,29.8,17,96,-2.5
1965,10,3,24.9,8,4,-3.4
1965,11,6,19.9,5.6,7,-4
1965,12,75,14.1,1.8,64,-3.6
1966,1,26,5.8,-5.3,9,-3.4
1966,2,70,9.8,-3,45,-2.7
1966,3,28,18.2,3.5,46,-3.4
1966,4,115,21.5,7.4,111,-2.8
1966,5,88,26.1,12.1,91,-3.3
1966,6,69,30.4,17.4,70,-3.6
1966,7,87,35.4,22.9,86,-3.3
1966,8,127,30.9,19.1,123,-2.2
1966,9,49,27.6,14.6,49,-2.6
1966,10,21,23.6,6.8,22,-3.3
1966,11,26,19.2,5.2,26,-3.8
1966,12,41,10.2,-3.1,40,-3.7
1967,1,31,11.5,-3.5,31,-4.1
1967,2,15,10.9,-3.5,15,-4.6
1967,3,36,20.5,5.5,35,-5.1
1967,4,160,23.3,12.4,124,-3.8
1967,5,140,24.4,11.7,131,-3.3
1967,6,105,29.7,18.8,110,-2.9
1967,7,109,30.8,18.8,109,-2.3
1967,8,43,31.8,17.5,44,-2.6
1967,9,151,26.5,14.4,112,-1.7
1967,10,101,23.8,8.6,100,-1.3
1967,11,19,16.1,1.7,32,-1.8
1967,12,42,10,-1.3,42,-1.9
1968,1,76,6.8,-2.6,28,-1.2
1968,2,30,9,-3.9,38,-1.3
1968,3,102,16.5,3,88,-0.9
1968,4,115,21.8,7.9,115,0.4
1968,5,165,24.2,12.3,119,1.3
1968,6,109,29.8,18.4,131,1.5
1968,7,40,31.9,20.2,76,1.2
1968,8,94,32.1,20.4,101,1.4
1968,9,75,28.9,13.6,77,0.9
1968,10,57,24.1,8.5,58,-0.5
1968,11,139,13.8,2.1,56,0.8
1968,12,58,9.4,-3.3,49,0.9
1969,1,62,7.4,-3.2,31,1.2
1969,2,58,10.8,-1,51,1.4
1969,3,65,12.2,-0.9,71,1.3
1969,4,67,22.5,9.5,97,1.2
1969,5,103,26.3,14.1,114,0.9
1969,6,124,29.1,17.6,130,1
1969,7,20,35.4,22.6,36,-0.6
1969,8,68,33.7,19.6,73,-0.7
1969,9,46,30.3,16.3,48,-1.3
1969,10,179,21.9,9,92,1
1969,11,9,17.1,1,42,-0.6
1969,12,48,9.8,-0.9,46,-0.6
1970,1,13,4.9,-7.3,2,-0.7
1970,2,20,11.9,-1.7,39,-1.2
1970,3,72,12.8,1.3,69,-1
1970,4,128,22.3,9,117,0.5
1970,5,88,27.2,14.2,105,-0.6
1970,6,116,29.7,18.3,119,0
1970,7,37,34.2,20,41,-1
1970,8,31,35.9,20.5,33,-1.8
1970,9,218,29.9,17.8,130,1.3
1970,10,173,21,8.8,91,2.5
1970,11,25,14.5,1.4,50,1.9
1970,12,23,13.2,-0.2,39,1.3
1971,1,46,8.4,-4.5,38,1.2
1971,2,60,9.5,-3.3,48,1.3
1971,3,5,16.4,0.9,54,-1.4
1971,4,54,22.6,7.9,64,-2.1
1971,5,98,25.1,11.7,100,-2.4
1971,6,110,31.3,19.2,109,-2.3
1971,7,127,32.4,19.9,123,-1.7
1971,8,56,31.6,18.4,56,-1.8
1971,9,178,28.7,16.8,134,-0.8
1971,10,148,24.7,12,101,1.5
1971,11,44,16.5,3.8,57,1.2
1971,12,115,11.6,2.1,53,2.1
1972,1,7,7.8,-4.1,23,1.4
1972,2,19,12.1,-1.7,43,0.8
1972,3,26,19,3.9,62,-1.9
1972,4,106,23.8,9.6,112,-1.8
1972,5,65,25.8,12.6,68,-2.5
1972,6,67,31.9,17.9,68,-3
1972,7,80,32.2,20,79,-2.8
1972,8,67,34,19.7,66,-2.7
1972,9,89,30,18.7,86,-2.7
