Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 28.9792 North,77.0208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,22,22,8.9,26,1
1958,2,3,24,9.2,6,-0.4
1958,3,12,31.2,15.7,13,-0.6
1958,4,1,38.6,22.5,3,-0.7
1958,5,2,40.4,25.5,3,-1
1958,6,9,41.4,28.2,9,-1.7
1958,7,308,34.3,27.5,137,1.6
1958,8,219,34.1,26.5,106,2.1
1958,9,271,32.4,25,123,4.3
1958,10,40,32,18.6,82,4.7
1958,11,3,28.1,11.8,27,5
1958,12,9,23.1,8.8,17,4.8
1959,1,38,20.4,7,41,5
1959,2,5,23.2,8.6,8,4.1
1959,3,5,31.8,14.9,7,3.3
1959,4,1,36.5,20.8,3,2.8
1959,5,13,39.4,25.4,13,2.7
1959,6,15,40.5,28.8,16,2
1959,7,179,34.3,27.2,154,1.6
1959,8,223,33.4,26.7,123,1.1
1959,9,135,33.1,25.5,122,1.4
1959,10,21,32.9,19.9,77,1.7
1959,11,7,28.1,11.1,22,1.9
1959,12,0,23.5,7.6,7,1.4
1960,1,20,20.1,6.5,23,1.4
1960,2,0,27.9,11.2,3,0.7
1960,3,25,29,14.1,26,1.1
1960,4,3,35.3,19.4,4,0.8
1960,5,2,40.9,25.6,3,-0.4
1960,6,18,41.2,28.5,18,-1
1960,7,201,35.1,26.8,134,-0.6
1960,8,298,33.3,26.8,115,1.4
1960,9,43,34.8,25.1,98,-0.8
1960,10,89,32.5,18,95,1.2
1960,11,0,28.6,9.3,9,0.9
1960,12,5,23.1,7.6,10,0.7
1961,1,33,20.8,7.5,35,1.2
1961,2,29,21.7,8.1,30,1.7
1961,3,1,30.6,15.2,3,1
1961,4,3,35.9,19.7,4,0.7
1961,5,6,39.9,25.3,7,0.6
1961,6,31,40,27.9,30,0.7
1961,7,174,34.9,27.2,142,-0.2
1961,8,400,33.1,26.3,112,2.3
1961,9,100,33.4,25.6,114,2
1961,10,92,32,18.3,102,3.6
1961,11,2,25.5,10.9,34,4.2
1961,12,7,20.5,5.3,17,4.3
1962,1,41,19.9,5.7,43,4.7
1962,2,10,24.5,10.2,13,4.3
1962,3,14,29.7,14.6,16,4
1962,4,1,37.1,21,3,3.5
1962,5,2,40,25.3,3,2.8
1962,6,15,40.9,27.7,15,2
1962,7,203,35.8,27.7,143,2
1962,8,132,34.3,26.5,120,0.9
1962,9,257,32.6,24.5,127,2.7
1962,10,0,32.5,17.7,63,2.5
1962,11,6,28,11.2,17,2.1
1962,12,11,21.7,7.3,16,2.1
1963,1,4,20.9,5.3,7,1.4
1963,2,8,26.4,10.5,10,1
1963,3,14,29.8,14.2,15,0.9
