Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 31.6875 North,76.5208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,51,17.7,8.1,48,-0.2
1958,2,12,19.8,8.3,44,-1.1
1958,3,33,25.5,13.8,69,-1.8
1958,4,7,32,19,55,-2.5
1958,5,6,34,21.4,22,-3
1958,6,42,35.6,24,49,-3.4
1958,7,556,30.4,24.8,126,-2.7
1958,8,307,29.2,23.2,117,-2.9
1958,9,595,28.2,20.9,108,-0.7
1958,10,97,27.4,16.9,92,3
1958,11,2,23.6,11.2,40,2.7
1958,12,86,19.5,8.6,44,3.6
1959,1,148,15.9,5.7,48,5
1959,2,41,17.7,7.3,52,4.6
1959,3,46,25.4,13.4,80,4
1959,4,6,30.1,17.8,72,3.6
1959,5,30,32.8,21.8,47,3.2
1959,6,37,35.8,24.7,45,2.1
1959,7,677,29.8,23.9,128,2.7
1959,8,465,29.4,23.5,115,2.7
1959,9,308,28.8,21.6,101,2.8
1959,10,63,28.7,18.1,83,3.1
1959,11,27,23.2,10.1,49,3.4
1959,12,3,19.7,7.9,28,2.5
1960,1,118,15.7,5.5,50,3
1960,2,0,22.7,10.6,41,1.8
1960,3,79,23.2,12.1,88,1.8
1960,4,9,28.4,16.1,63,1.4
1960,5,8,34.8,22.3,25,0.6
1960,6,60,36.3,24.2,66,-1.6
1960,7,544,30.4,24.1,125,-1.1
1960,8,412,29.5,23.9,114,-1
1960,9,125,29.6,21.5,116,-1.4
1960,10,13,27.7,16.3,72,-1.8
1960,11,0,23.2,9.4,33,-2.1
1960,12,46,19.3,7.3,46,-1.8
1961,1,188,16.9,6.6,46,1.9
1961,2,93,17.4,7.1,57,2.9
1961,3,26,25,13.6,70,2.3
1961,4,22,29.5,16.7,83,2.6
1961,5,12,34,21.6,35,1.9
1961,6,68,35.6,24.3,76,1.6
1961,7,466,30.8,24.3,125,1.4
1961,8,441,29.2,23.3,112,1.5
1961,9,257,29.3,21.8,106,1.5
1961,10,77,27.7,17,88,2.2
1961,11,7,21.2,10.3,38,2.1
1961,12,52,17.1,5.9,42,2.4
1962,1,157,15.9,5.6,45,4
1962,2,58,20.2,9.2,55,4
1962,3,56,24.1,12.8,79,3.8
1962,4,6,30.4,17.9,81,4.1
1962,5,9,33.6,21.6,36,3.2
1962,6,49,35.5,23.9,58,2.3
1962,7,480,31.2,24.8,135,2.1
1962,8,293,29.9,23.3,116,1.4
1962,9,779,28,20.8,111,4
1962,10,1,27.7,16.8,62,2.9
1962,11,35,22.8,11.1,49,3.1
1962,12,33,18,7.2,38,2.7
1963,1,10,16.5,5.1,26,1.5
1963,2,38,21.4,9.3,46,0.9
1963,3,120,24,12.4,101,1.3
1963,4,15,28.8,16.8,44,0.8
1963,5,23,32.5,20.2,35,-1.2
1963,6,35,35.4,24.2,41,-1.9
1963,7,337,32,24.9,150,-2.3
1963,8,402,28.8,23.2,114,-2
1963,9,279,28.7,20.4,112,-1.6
1963,10,1,28.9,17.6,67,-2.2
1963,11,26,23.8,12.1,45,-1.8
1963,12,41,19.6,6.9,44,-1.6
1964,1,64,14.7,5.2,51,-1.5
1964,2,18,18.9,8.2,35,-2.1
1964,3,21,25.9,13.7,48,-3
1964,4,17,30.2,17.7,29,-3.5
1964,5,37,32.7,19.4,43,-3.2
1964,6,42,34.7,23.7,45,-3.6
1964,7,754,29.4,23.1,136,-2.2
1964,8,521,29.9,23.1,125,-1.5
1964,9,288,28.6,21.2,115,-1.1
1964,10,0,27.9,16.7,64,-1.7
1964,11,1,23.5,9.2,32,-2
1964,12,27,18.9,7.8,35,-2.2
1965,1,45,18.4,7,45,-2.4
1965,2,64,18.4,8.7,61,-2
1965,3,50,24.2,12,65,-2.3
1965,4,43,27.6,15.1,56,-2.3
1965,5,45,32.5,20.2,51,-1.8
1965,6,10,35.7,24.5,15,-2.8
1965,7,414,30.7,23.3,137,-2.8
1965,8,208,29.2,21.9,130,-3.4
1965,9,42,29.4,20.4,92,-3.8
1965,10,53,28.7,16.9,74,-3.4
1965,11,18,24.7,11.7,38,-3.2
1965,12,3,19.4,6.4,21,-3.7
1966,1,1,18.7,4.8,17,-4.6
1966,2,82,21.9,10.1,58,-3.7
1966,3,56,24.7,12.8,68,-3.8
1966,4,12,29,17,24,-4.3
1966,5,39,34.3,20.5,45,-3.8
1966,6,137,34.9,23.1,135,-2.4
1966,7,300,31.6,23.1,144,-2.8
1966,8,505,29.4,23.1,123,-2.2
1966,9,307,28.4,19.6,115,-1.6
1966,10,74,27.6,15.7,87,-0.6
1966,11,6,23.3,9.6,39,1.5
1966,12,19,18.8,6.3,33,1.1
1967,1,2,15.9,5.1,23,-1.2
1967,2,38,21.7,9.6,45,-1.3
1967,3,156,23.5,11.6,87,1.4
1967,4,7,29.2,16,74,1.7
1967,5,8,33.1,20.1,34,1.2
1967,6,31,36.1,23.9,42,-0.7
1967,7,468,31.6,23.8,130,-0.9
1967,8,491,28.9,22.6,117,0.4
1967,9,208,29.3,20.4,113,-0.1
1967,10,66,27.3,15.2,83,0.9
1967,11,7,22.8,10.1,36,0.9
1967,12,113,19,7.3,42,2.6
1968,1,77,14.9,4.9,43,3
1968,2,55,17.3,5.9,53,3.1
1968,3,46,24.7,12.3,73,2.8
1968,4,6,29.4,16.9,80,3.1
1968,5,4,33,20.3,29,2.2
1968,6,71,35.9,23.7,79,1.8
1968,7,532,30.9,23.2,135,1.8
1968,8,381,29.5,22.2,124,1.5
1968,9,28,31.1,20.8,88,-1.3
1968,10,78,27.1,15.3,85,-0.7
1968,11,3,24.2,9.4,30,-1.1
1968,12,40,19.2,7.5,41,-1
1969,1,24,16.2,6.1,32,-1.6
1969,2,41,19,9.1,45,-1.8
1969,3,69,28.4,13.5,76,-2
1969,4,27,29,17.3,39,-2.2
1969,5,29,32.9,20.1,35,-2
1969,6,25,35.5,23.7,29,-2.8
1969,7,398,31.5,23.4,145,-2.8
1969,8,328,30.3,23.1,119,-2.9
1969,9,223,28.9,20.6,119,-2.7
1969,10,10,28.8,17.2,66,-2.9
1969,11,1,25.2,11.3,33,-3
1969,12,0,20.4,7.3,19,-3.6
1970,1,78,17.1,6.3,46,-3.1
1970,2,30,19.6,7.6,42,-3.2
1970,3,43,24.3,12.6,60,-3.4
1970,4,1,31.6,18,22,-4
1970,5,20,35.3,22.4,30,-4
1970,6,153,34.5,22.8,149,-2.3
1970,7,365,32.3,23.6,141,-2.5
1970,8,452,29.9,22.5,121,-2.1
1970,9,308,30,21.3,111,-1.5
1970,10,22,29.3,17.1,68,-1.6
1970,11,0,24.3,9,34,-1.8
1970,12,0,20.1,7.4,19,-2.3
1971,1,30,16.3,5.1,35,-2.7
1971,2,56,20.4,8,55,-2.5
1971,3,11,25.5,13.2,34,-3.4
1971,4,14,31.7,17.9,25,-3.8
1971,5,54,33.5,21.3,58,-3
1971,6,162,34.1,23.5,150,-1.2
1971,7,361,30.4,23.3,127,-1.4
1971,8,609,29.3,22.3,114,2.1
1971,9,129,29.1,19.6,118,1.4
1971,10,16,28.1,16.1,67,0.9
1971,11,18,24.2,10.6,40,0.9
1971,12,2,20.9,7.4,23,-1.3
1972,1,35,17.9,7,38,-1.7
1972,2,47,17.8,6.8,50,-1.7
1972,3,35,25.8,13.2,53,-2.2
1972,4,20,29.2,15.5,33,-2.5
1972,5,3,35.3,21.2,11,-3.1
1972,6,57,36,23.7,59,-3.1
1972,7,346,32,23.1,147,-3.4
1972,8,300,29.6,22.5,130,-3.5
1972,9,219,28.7,19.4,118,-3.3
1972,10,42,27.3,15.5,74,-2.8
1972,11,38,23.5,11.2,49,-1.6
1972,12,43,19.5,8.1,44,-1.1
1973,1,91,16.3,6.3,47,1.6
1973,2,38,21.1,8.7,50,1.4
1973,3,49,24.3,12.2,76,1.3
1973,4,3,32.1,17.7,65,1.1
1973,5,30,35.3,21.5,47,1
1973,6,142,35.7,24.1,144,1.8
1973,7,496,31.2,23.5,138,1.7
1973,8,524,29.3,22.1,115,2.1
1973,9,119,30.3,21.1,115,1.3
