Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 32.1042 North,76.2708 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,66,17.8,8.3,45,-0.1
1958,2,14,20.3,8.6,45,-1.1
1958,3,40,25.7,14.1,71,-1.9
1958,4,13,32.1,19.1,49,-3
1958,5,10,34.1,21.5,23,-3.6
1958,6,56,36,24.1,61,-4
1958,7,596,31.4,25.4,127,-3.6
1958,8,421,29.9,23.7,123,-3.3
1958,9,747,28.9,21.4,110,-2
1958,10,104,27.8,17.3,93,2.2
1958,11,3,23.7,11.3,42,1.9
1958,12,141,19.3,8.5,43,3.4
1959,1,205,15.9,5.8,46,5.2
1959,2,58,17.6,7.4,57,4.7
1959,3,58,25.4,13.6,85,3.9
1959,4,10,30.4,17.9,74,3.2
1959,5,47,33.1,22,61,2.8
1959,6,42,36.4,24.8,48,1.5
1959,7,873,30.6,24.2,129,1.6
1959,8,614,30.3,24.1,118,1.5
1959,9,372,29.6,21.9,100,1.5
1959,10,71,29.3,18.6,86,2
1959,11,39,23.3,10.4,55,2.7
1959,12,9,19.6,7.9,31,1.7
1960,1,134,15.9,5.5,49,2.1
1960,2,4,22.9,10.8,44,0.8
1960,3,97,23.2,12.2,97,0.7
1960,4,19,28.3,16.1,69,-1.4
1960,5,14,35.1,22.4,28,-2.1
1960,6,73,36.8,24.3,78,-2.4
1960,7,661,31.3,24.7,128,-2.1
1960,8,549,30.4,24.5,116,-1.9
1960,9,139,30.1,22,117,-2
1960,10,6,28.1,16.7,70,-2.7
1960,11,1,23.2,9.8,30,-3.1
1960,12,71,19.4,7.3,50,-2.8
1961,1,263,17,6.8,44,2.5
1961,2,103,17.5,7.3,57,3.2
1961,3,34,25.1,13.9,74,2.2
1961,4,40,29.4,16.6,91,2.1
1961,5,17,34.4,21.8,33,1.2
1961,6,81,36.3,24.5,86,0.8
1961,7,573,31.7,24.8,126,0.7
1961,8,557,30.1,23.8,114,0.7
1961,9,341,30,22.3,107,0.7
1961,10,87,28,17.4,92,1.5
1961,11,10,21.5,10.3,40,1.5
1961,12,67,17.2,6,44,1.8
1962,1,185,16.1,5.8,45,3.3
1962,2,75,20.5,9.6,55,3.4
1962,3,68,24.3,13,84,2.9
1962,4,13,30.4,17.9,86,2.9
1962,5,12,33.9,21.7,29,1.7
1962,6,56,36.1,24,61,0.8
1962,7,562,32,25.3,137,0.7
1962,8,402,30.6,23.8,119,-1.4
1962,9,1031,28.7,21.3,111,1.6
1962,10,1,28.1,17.2,63,0.6
1962,11,44,22.8,11.3,52,1.2
1962,12,54,17.9,7.2,46,0.9
1963,1,10,16.7,5.2,26,-1.4
1963,2,47,21.6,9.6,51,-2
1963,3,149,24.1,12.7,100,-1.3
1963,4,27,28.8,16.8,76,-1.4
1963,5,32,32.8,20.2,46,-1.6
1963,6,38,36,24.4,44,-2.4
1963,7,369,32.7,25.3,152,-2.4
1963,8,482,29.6,23.7,118,-2.2
1963,9,325,29.4,20.9,115,-1.9
1963,10,3,29.2,17.9,67,-2.6
1963,11,34,23.9,12,47,-2.1
1963,12,67,19.7,7,51,-1.9
1964,1,100,14.6,5.3,50,-1.6
1964,2,25,19.1,8.4,45,-2.2
1964,3,27,26.1,14.1,66,-3
1964,4,33,30.1,17.7,55,-3.6
1964,5,46,32.9,19.7,54,-3.3
1964,6,71,35.1,23.7,74,-3.5
1964,7,894,30.2,23.5,137,-2.9
1964,8,705,30.7,23.6,128,-2.5
1964,9,344,29.4,21.7,116,-2.1
1964,10,0,28.3,17,65,-2.8
1964,11,1,23.5,9.3,30,-3.3
1964,12,49,18.9,7.8,47,-3.3
1965,1,69,18.3,6.9,47,-3.4
1965,2,82,18.4,8.9,59,-3
1965,3,60,24.4,12.3,76,-3.2
1965,4,73,27.7,15,93,-2.7
1965,5,59,32.6,20.2,69,-2
1965,6,12,36.1,24.6,19,-3.2
1965,7,507,31.4,23.6,138,-2.9
1965,8,292,29.7,22.2,133,-2.8
1965,9,47,30.1,20.9,93,-3
1965,10,67,29.1,17.3,80,-2.7
1965,11,22,24.9,11.9,40,-2.4
1965,12,5,19.3,6.4,22,-3.3
1966,1,2,18.7,4.9,15,-4.5
1966,2,118,22,10.4,56,-3.5
1966,3,75,24.7,13.1,84,-3.5
1966,4,23,28.9,16.9,53,-3.9
1966,5,52,34.5,20.6,62,-3.4
1966,6,155,35.5,23.3,150,-2
1966,7,370,32.1,23.5,145,-2
1966,8,632,30.1,23.7,126,-1.7
1966,9,497,28.9,20.1,114,-1.1
1966,10,94,27.8,16,93,2.1
1966,11,7,23.4,9.7,42,1.9
1966,12,26,18.9,6.4,37,1.4
1967,1,3,16,5.2,24,-1.5
1967,2,56,21.8,10,54,-1.7
1967,3,189,23.6,11.9,89,1.4
1967,4,13,29.2,16,87,1.6
1967,5,17,33.2,20.2,45,1.1
1967,6,35,36.5,24,45,-1.2
1967,7,494,32.3,24.3,132,-1.1
1967,8,659,29.6,23.1,119,-0.9
1967,9,250,30,21,116,-0.9
1967,10,80,27.5,15.5,88,0.8
1967,11,8,22.9,10.2,37,0.8
1967,12,183,18.9,7.3,41,3.2
1968,1,107,14.9,4.9,41,3.5
1968,2,71,17.4,6.1,53,3.6
1968,3,59,24.8,12.6,78,2.9
1968,4,12,29.5,16.9,84,2.7
1968,5,7,33.1,20.3,23,1.6
1968,6,76,36.5,23.9,81,1
1968,7,612,31.7,23.7,136,0.9
1968,8,553,30.1,22.6,127,0.8
1968,9,25,31.5,21.2,88,-1.3
1968,10,92,27.3,15.6,91,-0.9
1968,11,5,24.2,9.5,30,-1.4
1968,12,57,19.2,7.6,44,-1.4
1969,1,40,16.3,6.2,41,-2
1969,2,60,19.1,9.4,56,-2.1
1969,3,87,28.5,13.9,89,-2.2
1969,4,56,28.9,17.2,72,-2.3
1969,5,41,33.2,20.1,48,-2
1969,6,31,35.9,23.8,35,-2.9
1969,7,480,32.3,23.9,146,-2.7
1969,8,406,31,23.6,122,-2.5
1969,9,254,29.5,21.1,121,-2.4
1969,10,23,29.1,17.6,70,-2.6
1969,11,1,25.2,11.5,33,-2.9
1969,12,0,20.5,7.5,18,-3.7
1970,1,96,17.2,6.6,44,-3.4
1970,2,40,20,8,48,-3.6
1970,3,48,24.3,13,67,-4
1970,4,4,31.7,18.2,28,-4.9
1970,5,23,35.7,22.7,33,-5
1970,6,191,35.2,23.1,169,-3
1970,7,387,33,24.1,144,-2.8
1970,8,604,30.7,23.1,122,-2.5
1970,9,373,30.6,21.9,111,-2.1
1970,10,32,29.7,17.5,71,-2.1
1970,11,0,24.5,9.2,34,-2.3
1970,12,1,20,7.4,18,-3.1
1971,1,32,16.4,5.3,36,-3.8
1971,2,71,20.6,8.3,56,-3.6
1971,3,13,25.9,13.6,34,-4.8
1971,4,25,31.7,17.9,34,-5.4
1971,5,64,34,21.7,67,-4.4
1971,6,188,34.9,23.8,151,-2.5
1971,7,433,31.3,23.9,128,-2.3
1971,8,766,30,22.8,118,-1.9
1971,9,138,29.5,20,121,-2.1
1971,10,19,28.6,16.6,68,-2.3
1971,11,20,24.4,10.8,40,-2
1971,12,3,20.9,7.4,21,-2.9
1972,1,50,18,7.3,45,-3.2
1972,2,62,17.9,7,57,-3.2
1972,3,56,25.8,13.5,67,-3.6
1972,4,29,29.2,15.5,42,-3.9
1972,5,11,35.3,21.3,19,-4.4
1972,6,69,36.4,23.8,71,-4.4
1972,7,414,32.6,23.6,151,-4.1
1972,8,418,30.1,23,134,-3.8
1972,9,287,29.2,19.9,120,-3.5
1972,10,59,27.5,15.8,81,-2.8
1972,11,44,23.8,11.4,52,-1.5
1972,12,66,19.5,8.2,44,-0.9
1973,1,128,16.4,6.6,46,2.2
1973,2,49,21.4,9.1,54,1.9
1973,3,65,24.3,12.5,84,1.5
1973,4,10,32,17.7,74,1.2
1973,5,40,35.6,21.7,54,0.9
1973,6,154,36.6,24.4,153,1.6
1973,7,628,31.8,23.9,140,1.4
1973,8,808,30.1,22.6,116,1.5
1973,9,159,30.9,21.7,118,1
1973,10,39,27.8,16.4,76,0.9
1973,11,0,24.1,9.8,33,-0.4
1973,12,115,18.2,6,46,0.9
1974,1,60,16.2,6.1,45,0.6
1974,2,31,18.2,7.5,47,-0.4
1974,3,27,26.1,14.9,69,-1.4
1974,4,6,32.3,17.8,45,-2.4
1974,5,29,34.5,21.3,42,-2.5
1974,6,129,34.4,22.7,130,-1.7
1974,7,370,31.5,23.7,137,-1.7
1974,8,320,30.8,23.3,116,-1.7
1974,9,93,30.2,20.4,107,-2
1974,10,18,27.9,16.3,64,-2.4
1974,11,0,23.1,9.2,28,-2.8
1974,12,51,17.1,6.5,46,-2.8
1975,1,93,15.3,5.3,45,-2.6
1975,2,69,18,7.1,57,-2.3
1975,3,103,23.3,11.8,95,-1.9
1975,4,8,29.1,16.7,68,-1.8
1975,5,21,34.6,21.1,35,-2.2
1975,6,135,34.1,22.9,136,-1.5
1975,7,576,30.3,22.4,140,-1.3
1975,8,799,29.6,22.6,124,-1
1975,9,453,28.5,21.1,123,-0.6
1975,10,26,29,17.3,71,-0.9
1975,11,0,22.5,9,35,-1.3
1975,12,1,19.6,7.4,17,-2.3
1976,1,124,17.2,6.7,43,-1.8
1976,2,106,19.1,8.9,58,-0.8
1976,3,67,23.1,12.8,87,-0.9
1976,4,22,29.2,16.1,87,0.4
1976,5,18,34.3,20.8,37,-0.6
1976,6,136,33.3,22.6,138,0.6
1976,7,521,31.7,24.1,142,-0.1
1976,8,921,28.6,21.7,120,1
1976,9,338,29.6,19.5,109,1
1976,10,50,28.5,16.3,78,1
1976,11,0,24.4,11,36,-0.4
1976,12,4,19.2,7.5,21,-1.3
1977,1,156,16.2,6.7,48,0.7
1977,2,6,20.4,7.9,38,-0.9
1977,3,5,27.2,14,53,-2
1977,4,85,30,17.2,101,-1.7
1977,5,55,32.3,19.7,65,-1.2
1977,6,163,34.1,23.2,159,1.3
1977,7,620,30.7,23.9,140,1.2
1977,8,499,30.1,23,124,1.1
1977,9,281,29,21.2,121,0.9
1977,10,72,28.8,17.2,87,1.4
1977,11,3,25.3,12.1,38,1.1
1977,12,75,19.2,8.4,48,1.3
1978,1,33,15.6,5.5,39,-0.6
1978,2,74,18.7,8.7,58,0.2
1978,3,194,21.9,11.3,101,1.8
1978,4,26,30.4,16.5,90,2.2
1978,5,5,37.4,23.4,41,1.4
1978,6,142,36.4,24.6,145,2.1
1978,7,780,30.4,23.4,131,2
1978,8,742,29.8,23.4,120,2
1978,9,351,29.3,21.1,112,1.9
1978,10,6,28.6,16.8,62,1
1978,11,33,22.1,10.8,44,1.3
1978,12,12,19.6,7.2,24,-1
1979,1,112,16.6,5.8,47,-0.8
1979,2,114,18.4,7.4,56,1.1
1979,3,121,22.2,11.7,93,1.7
1979,4,40,30.9,18.5,102,2.4
1979,5,40,32.3,19.9,74,2.6
1979,6,86,35.7,23.5,95,2.2
1979,7,440,32.2,23.7,142,1.9
1979,8,290,31.1,23.1,139,1.4
1979,9,252,28.9,19.3,121,1.2
1979,10,20,28.9,17.1,68,0.6
1979,11,30,24,12.3,46,0.8
1979,12,26,19.7,8.3,34,-1
1980,1,61,16.7,6.6,48,-1.5
1980,2,47,20.3,9.3,51,-1.9
1980,3,74,23.4,12.4,79,-2
1980,4,18,31.9,18.1,41,-2.9
1980,5,14,35.9,22.8,24,-3.4
1980,6,133,35.4,23.8,132,-2.5
1980,7,998,31.1,24.1,131,-1.9
1980,8,470,30,22.7,136,-1.8
1980,9,220,29.2,20.5,122,-1.8
1980,10,48,28,16.9,77,-1.5
1980,11,36,24.3,10.4,51,-0.6
1980,12,116,19.3,7.5,47,2.2
1981,1,235,16.4,6.9,42,4.6
1981,2,58,20.6,9.2,56,4.2
1981,3,156,23.6,12.5,89,5.1
1981,4,12,30.6,16.9,96,4.9
1981,5,27,35.2,22.3,48,4.1
1981,6,46,35.4,23.9,54,2.9
1981,7,835,30.7,23.9,129,2.8
1981,8,384,30.2,23.2,132,2.3
1981,9,67,30,20.4,102,1.7
1981,10,18,27.4,15.5,60,0.6
1981,11,60,21.7,10.1,58,1.6
1981,12,2,18.3,6.5,17,-1.7
1982,1,120,17,7.1,46,-1.4
1982,2,66,17.7,7.5,54,-1.1
1982,3,245,21.7,11.1,85,2.8
1982,4,113,28.8,16.1,115,4.6
1982,5,67,31.6,19.4,115,7.2
1982,6,56,34.8,23.2,94,6.3
1982,7,294,32.6,24.2,166,5.4
1982,8,569,30,23,125,4.9
1982,9,65,29.6,20,104,4
1982,10,46,27.9,16.9,69,3.3
1982,11,32,22.9,11.2,44,3.2
1982,12,78,18.7,8.3,46,3.1
1983,1,144,16.1,6.2,46,3.6
1983,2,61,18.5,7.1,56,3.4
1983,3,122,22.1,11.4,92,3.8
1983,4,67,26.7,14.5,97,4.7
1983,5,103,32.2,20,124,7.3
1983,6,72,33.5,22.5,109,6.9
1983,7,442,31.1,23.3,153,6.1
1983,8,589,30.4,23.2,111,5.5
1983,9,218,30.2,21.6,111,4.7
1983,10,109,27.1,16.1,97,5.6
1983,11,3,23.7,10,42,4.9
1983,12,13,18.8,7.8,29,3.8
1984,1,12,15.9,5.9,28,2.3
1984,2,120,18,7.2,59,2.9
1984,3,48,26.7,14.5,82,1.9
1984,4,33,29.7,17.1,77,1.4
1984,5,18,36.6,23.2,32,-2.2
1984,6,98,37,24.9,101,-1.8
1984,7,769,30.3,23.3,134,-1.5
1984,8,657,30.9,22.6,93,-1.2
1984,9,306,27.9,20,113,-1.1
1984,10,8,27.8,15.6,65,-1.7
1984,11,12,22.9,10.1,34,-1.8
1984,12,60,18.7,8.1,45,-1.7
1985,1,44,16.5,6,44,-2.2
1985,2,9,21.7,8.7,32,-3.3
1985,3,24,26.6,15.1,40,-4.6
1985,4,74,30.5,17.2,79,-4.3
1985,5,23,34.8,21.5,28,-4.5
1985,6,72,35.4,23.3,72,-4.5
1985,7,784,31,23.2,123,-3.9
1985,8,576,30.4,23.3,129,-3.5
1985,9,226,30.1,21.1,119,-3.3
1985,10,136,26.9,15.8,91,-1
1985,11,4,23.1,11.2,41,-0.9
1985,12,132,19.7,8.4,47,3
1986,1,12,15.8,4.8,33,1.9
1986,2,86,19.5,8.2,55,2.2
1986,3,115,23.2,12.3,92,2.5
1986,4,43,28.8,16.1,99,3.2
1986,5,43,32.2,19.2,82,3.6
1986,6,93,34.6,23.1,103,3.2
1986,7,518,30.3,23.3,135,2.8
1986,8,540,30,22.8,127,2.5
1986,9,205,29.7,19.9,119,2
1986,10,67,27.3,16.7,80,2.4
1986,11,27,23.2,11.9,46,2.7
1986,12,69,17.2,6.4,45,2.9
1987,1,103,16.7,5.5,46,3
1987,2,69,20.9,9.6,57,3
1987,3,72,24.9,13.5,82,2.7
1987,4,34,30,17.2,94,3.1
1987,5,117,30.4,18.4,127,4.9
1987,6,81,34.6,22.7,95,4.2
1987,7,252,31.9,24.5,177,3.5
1987,8,250,31.3,23.3,131,2.8
1987,9,47,31.2,21.7,96,2.1
1987,10,145,27.9,17.2,94,3.5
1987,11,0,24.8,10.3,41,2.9
1987,12,23,19.2,7.8,34,2.1
1988,1,52,18.2,7.8,47,1.3
1988,2,45,21.3,9.9,51,0.6
1988,3,128,23.6,12.8,94,1
1988,4,8,31.2,18.1,65,-1.3
1988,5,11,35.9,22.9,26,-2.1
1988,6,132,35,23.3,133,-1.4
1988,7,801,30.9,24.2,122,-1
1988,8,611,29.5,22.7,128,-0.9
1988,9,949,29.2,21.3,112,2
1988,10,13,27.5,16.3,68,1.2
1988,11,3,24,10.7,31,-1.1
1988,12,140,19.5,7.9,46,1.3
1989,1,144,15,5.4,48,2.3
1989,2,26,18.6,8.4,45,1.5
1989,3,66,23.6,12.8,79,1.1
1989,4,12,28,15.5,70,0.7
1989,5,17,33.4,21.5,32,-1.6
1989,6,54,33.4,23.1,59,-2.1
1989,7,896,31.1,23.4,146,-1.6
1989,8,521,28.9,22.1,129,-1.5
1989,9,249,30,20.4,123,-1.5
1989,10,19,27.9,16.3,68,-1.8
1989,11,25,22.7,10.7,42,-1.4
1989,12,68,18.5,7.7,42,-1.1
1990,1,53,18.5,8.9,49,-1.5
1990,2,142,19.1,9.5,54,1.5
1990,3,174,22.3,11.4,91,2.9
1990,4,28,28.5,16.4,94,3.3
1990,5,36,34.9,22.6,68,3.3
1990,6,55,35.5,24.6,65,2.4
1990,7,710,31.3,23.9,147,2.3
1990,8,776,30,22.7,114,2.3
1990,9,433,29.6,21.9,107,2.3
1990,10,9,26.8,15.7,63,1.4
1990,11,16,24.2,11,38,1.2
1990,12,177,18.4,8.2,49,3
1991,1,22,14.5,4.9,37,2
1991,2,85,18.7,9.2,52,2.4
1991,3,55,23.9,12.9,78,1.8
1991,4,76,27.7,15.5,102,2.9
1991,5,40,33.1,20.8,81,3.3
1991,6,87,34.7,23.2,97,2.8
1991,7,340,32.4,25.1,157,2.3
1991,8,468,30.1,22.8,126,2
1991,9,224,29.8,21.4,109,1.6
1991,10,16,27.3,15.6,68,0.9
1991,11,4,22.9,10.2,31,-1.3
1991,12,35,19.1,8.8,37,-1.7
1992,1,208,16.8,7.8,46,1.5
1992,2,92,19,7.7,60,2.1
1992,3,126,22.5,13.8,88,2.7
1992,4,18,28.5,16.5,88,2.9
1992,5,52,32.4,20.1,81,3.2
1992,6,62,34.5,23.4,71,2.3
1992,7,339,30.2,23.8,135,1.9
1992,8,615,29.9,23,121,1.7
1992,9,487,29.1,20.3,112,2
1992,10,30,27.9,16.5,72,1.5
1992,11,47,23.5,10.6,54,2.3
1992,12,16,20.3,8.3,30,1.4
1993,1,64,15.4,6.8,48,0.8
1993,2,60,22.1,10.7,57,-1.1
1993,3,91,21.9,11.9,91,-1
1993,4,29,30.1,16.4,68,-1.1
1993,5,27,34.9,22.8,39,-1.4
1993,6,120,35.1,24.1,122,-1
1993,7,669,30.1,23.8,139,-0.8
1993,8,97,31.4,23.8,126,-1.1
1993,9,231,28.8,21.3,110,-1.2
1993,10,2,27.7,17,64,-1.9
1993,11,6,24.3,11.8,32,-2.3
1993,12,0,20,8.1,16,-3.2
1994,1,116,16.9,8,45,-2.8
1994,2,52,18.7,9,54,-2.8
1994,3,37,26.4,14.4,69,-3.4
1994,4,28,27.7,16.1,54,-3.7
1994,5,69,34.7,21.9,77,-2.7
1994,6,74,35.9,24.3,77,-2.8
1994,7,492,31,24.3,114,-2.6
1994,8,585,29.7,23.4,111,-2.3
1994,9,274,28.3,20.8,123,-2.1
1994,10,31,27.1,16,72,-2.2
1994,11,1,24.1,11.2,32,-2.4
1994,12,91,18.5,9.2,46,-1.7
1995,1,134,14.5,5.8,45,-0.7
1995,2,171,19.4,8.6,55,3.4
1995,3,55,23.1,13.1,79,2.7
1995,4,32,27.6,16,84,2.9
1995,5,7,34.8,22.6,31,1.9
1995,6,83,36.4,24.9,90,1.4
1995,7,894,31.3,24.6,130,1.5
1995,8,931,28.6,23,111,1.7
1995,9,176,28.9,21.4,116,1.2
1995,10,22,27.8,17.7,68,0.7
1995,11,30,23.7,11,47,1
1995,12,16,18.2,8.7,27,-1.1
1996,1,109,16.1,7.2,47,-0.9
1996,2,105,20.5,10.1,58,0.8
1996,3,97,25,15.2,94,1
1996,4,30,29.7,18.1,97,1.6
1996,5,28,32.8,21.5,58,1.5
1996,6,318,34.1,24,152,4.8
1996,7,319,31.2,24.1,154,4.2
1996,8,851,28.8,22.8,117,4.1
1996,9,171,29.1,21.9,117,3.3
1996,10,53,27,16.5,80,3.2
1996,11,3,22.9,10.8,38,2.7
1996,12,8,19.5,6.6,25,1.5
1997,1,38,16.1,5.3,40,-1.9
1997,2,21,20.3,8.1,34,-2.9
1997,3,68,24.3,13.5,73,-3.3
1997,4,65,28.6,15.9,71,-3.2
1997,5,46,31.7,19.7,50,-2.8
1997,6,124,33.1,23.1,121,-2
1997,7,621,32.3,24.3,141,-1.8
1997,8,1068,29.6,22.6,119,-1.1
1997,9,193,30,22,116,-1.3
1997,10,121,27.1,13.9,86,2.3
1997,11,57,21.4,11.1,56,3.6
1997,12,50,16.5,7.9,41,3.6
1998,1,38,16.1,6.1,43,2.7
1998,2,102,20.1,9.1,57,3.3
1998,3,57,23,12.3,81,2.7
1998,4,52,30.3,17.8,95,3.2
1998,5,23,34.9,22.7,52,2.6
1998,6,63,34.9,24.3,72,1.8
1998,7,460,31.8,24.6,150,1.5
1998,8,329,30.2,24.1,132,1.2
1998,9,242,29.3,22.6,114,0.9
1998,10,155,27.3,18.7,94,3.2
1998,11,4,23.2,11,42,2.8
1998,12,4,19.2,6.8,27,1.7
1999,1,214,16.1,7.1,46,3.4
1999,2,31,21.5,10.1,47,2.6
1999,3,44,25.2,14.6,78,1.7
1999,4,15,32,19.2,58,0.6
1999,5,20,34.9,23.3,34,-2.2
1999,6,101,34.4,23.7,104,-1.9
1999,7,398,32.2,24.6,142,-1.8
1999,8,661,29.8,23.9,129,-1.5
1999,9,221,30.4,22.6,111,-1.6
1999,10,6,28.3,18.3,65,-2.2
1999,11,11,24.3,12.3,36,-2.3
1999,12,1,20.6,7.9,17,-3.2
2000,1,134,16.7,7.2,50,-2.6
2000,2,71,18.3,7.5,57,-2.2
2000,3,24,24.2,12.6,69,-2.9
2000,4,12,31.9,18.8,51,-3.5
