Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 31.6042 North,76.9375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,65,18,8.5,46,-0.2
1958,2,17,20.2,8.7,45,-1
1958,3,49,25.9,14.1,75,-1.5
1958,4,13,32.1,19.1,69,-2.3
1958,5,10,34.1,21.5,27,-2.9
1958,6,55,35.2,23.8,61,-3.3
1958,7,586,30.2,24.5,125,-2.5
1958,8,301,29.1,23,114,-2.6
1958,9,477,28.1,20.9,107,2.2
1958,10,116,27.2,16.7,92,3.2
1958,11,2,23.8,11.6,41,2.8
1958,12,92,19.7,8.9,43,3.6
1959,1,173,16.3,6.1,47,4.9
1959,2,52,18.2,7.8,56,4.4
1959,3,67,25.8,13.8,89,3.9
1959,4,14,30.2,17.9,90,3.5
1959,5,47,32.9,21.9,65,2.9
1959,6,51,35.4,24.4,59,1.8
1959,7,677,29.5,23.6,126,2.5
1959,8,399,29.3,23.4,113,2.5
1959,9,269,28.7,21.6,102,2.8
1959,10,78,28.5,18,88,3.1
1959,11,30,23.4,10.6,51,3.4
1959,12,3,20,8.2,29,2.5
1960,1,161,16,5.8,49,3.3
1960,2,0,23,11,42,2.1
1960,3,108,23.7,12.5,103,2.1
1960,4,17,28.7,16.3,86,1.8
1960,5,14,34.8,22.3,32,0.7
1960,6,81,35.9,23.9,86,-1.7
1960,7,545,30.2,23.7,125,-1.2
1960,8,378,29.2,23.6,110,-1
1960,9,123,29.4,21.5,114,-1.4
1960,10,23,27.5,16.1,75,-1.6
1960,11,0,23.3,9.8,34,-1.9
1960,12,52,19.6,7.7,48,-1.6
1961,1,211,17.2,6.9,44,1.8
1961,2,134,17.8,7.5,59,3
1961,3,37,25.4,14,74,2.3
1961,4,37,29.7,16.9,93,2.3
1961,5,20,34,21.7,47,1.6
1961,6,93,35.1,23.9,101,1.3
1961,7,450,30.5,23.9,124,1.1
1961,8,405,29.1,23.2,110,1.3
1961,9,204,29.1,21.7,104,1.3
1961,10,92,27.6,17,92,2
1961,11,9,21.4,10.8,39,1.9
1961,12,72,17.3,6.2,41,2.5
1962,1,199,16.1,5.9,44,4.3
1962,2,74,20.6,9.7,56,4.3
1962,3,72,24.5,13.2,85,3.9
1962,4,11,30.6,18.1,87,3.8
1962,5,17,33.6,21.7,46,2.7
1962,6,70,35.1,23.6,80,2
1962,7,459,31.1,24.5,133,1.7
1962,8,255,29.8,23.2,112,1
1962,9,614,28,20.8,109,3.9
1962,10,1,27.5,16.7,62,2.8
1962,11,39,23.1,11.6,50,3
1962,12,40,18.2,7.5,41,2.6
1963,1,16,16.8,5.4,29,1.5
1963,2,53,21.7,9.7,55,1
1963,3,174,24.4,12.8,103,1.7
1963,4,27,29,16.9,92,1.7
1963,5,37,32.7,20.4,61,1.3
1963,6,49,34.9,23.9,59,-1.1
1963,7,345,31.8,24.6,146,-1.5
1963,8,378,28.6,23.1,111,-1.2
1963,9,252,28.5,20.4,110,-0.7
1963,10,2,28.7,17.5,66,-1.3
1963,11,31,24,12.6,47,-1
1963,12,46,19.9,7.3,46,-0.9
1964,1,72,15.2,5.7,52,-1
1964,2,25,19.3,8.6,41,-1.5
1964,3,31,26.3,14.1,60,-2.4
1964,4,28,30.5,17.9,44,-3.1
1964,5,67,32.7,19.4,73,-2.8
1964,6,54,34.3,23.4,57,-3.2
1964,7,696,29.2,22.8,134,-2
1964,8,456,29.8,23,122,-1.3
1964,9,246,28.4,21.1,112,-0.8
1964,10,0,27.9,16.7,64,-1.5
1964,11,1,23.8,9.7,32,-1.8
1964,12,29,19.2,8.2,35,-2.1
1965,1,48,18.9,7.4,46,-2.4
1965,2,88,18.9,9.1,61,-1.9
1965,3,73,24.6,12.2,82,-2
1965,4,75,27.8,15.2,95,-1.7
1965,5,75,32.6,20.4,87,-1.3
1965,6,15,35.4,24.2,23,-2.3
1965,7,394,30.6,23,137,-2.4
1965,8,191,29.2,21.9,126,-3.1
1965,9,40,29.2,20.4,90,-3.7
1965,10,69,28.6,16.9,82,-3.2
1965,11,20,25,12.2,40,-3
1965,12,3,19.6,6.7,22,-3.5
1966,1,3,19,5.1,18,-4.3
1966,2,97,22.3,10.6,58,-3.6
1966,3,80,25.1,13.1,86,-3.5
1966,4,22,29.3,17.2,47,-4
1966,5,65,34.4,20.5,73,-3.6
1966,6,182,34.5,22.6,157,-2.3
1966,7,295,31.5,22.8,142,-2.6
1966,8,472,29.3,23,119,-1.8
1966,9,232,28.4,19.6,114,-1.3
1966,10,86,27.6,15.7,92,1.6
1966,11,12,23.6,10,43,1.6
1966,12,24,19.1,6.6,36,1.3
1967,1,3,16.3,5.4,24,-1
1967,2,49,22.2,10,52,-1.2
1967,3,199,23.9,11.9,89,1.4
1967,4,12,29.4,16.1,88,1.5
1967,5,12,33.3,20.3,54,1
1967,6,45,35.7,23.6,58,-1
1967,7,479,31.4,23.5,130,-0.9
1967,8,425,28.7,22.5,114,0.4
1967,9,181,29.1,20.3,112,-0.1
1967,10,70,27.2,15.1,85,0.7
1967,11,9,23,10.4,37,0.7
1967,12,113,19.2,7.6,41,2.1
1968,1,93,15.2,5.2,42,2.5
1968,2,69,17.7,6.4,55,2.6
1968,3,58,25.1,12.6,79,2.2
1968,4,12,29.5,16.9,87,2.1
1968,5,6,33.1,20.5,33,1.1
1968,6,104,35.5,23.4,110,0.9
1968,7,530,30.6,22.8,135,1
1968,8,323,29.4,22.1,122,0.7
1968,9,31,30.9,20.7,88,-1.6
1968,10,84,27,15.2,88,-1
1968,11,3,24.4,9.7,31,-1.4
1968,12,51,19.5,7.9,45,-1.2
1969,1,30,16.6,6.5,35,-1.7
1969,2,51,19.6,9.6,52,-1.8
1969,3,90,28.9,13.7,91,-1.9
1969,4,52,29.1,17.3,72,-2
1969,5,49,33,20.2,57,-1.9
1969,6,35,35.1,23.5,40,-2.6
1969,7,390,31.3,23,143,-2.7
1969,8,335,30.2,22.9,118,-2.6
1969,9,217,28.8,20.6,117,-2.2
1969,10,11,28.7,17.1,66,-2.5
1969,11,1,25.6,11.7,33,-2.7
1969,12,0,20.7,7.7,18,-3.3
