Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 33.7292 North,75.1458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,72,8.4,1.7,27,-0.6
1958,2,18,11.7,1.1,33,-1.5
1958,3,78,16.3,5.9,69,-1.9
1958,4,95,22.8,11.6,101,-2.6
1958,5,64,23.8,11.9,105,-3.2
1958,6,26,30.6,17.3,39,-3.9
1958,7,39,30.2,19.9,43,-4
1958,8,47,28,18.5,49,-3.7
1958,9,97,27.1,14.8,95,-2.7
1958,10,18,22.2,8.5,19,-2.9
1958,11,28,16,3,28,-3
1958,12,209,10.3,1,28,-1.5
1959,1,187,5.6,-1.4,22,2.8
1959,2,158,7.8,0,36,3.1
1959,3,145,15.4,5.8,73,2.5
1959,4,62,21.5,9.8,98,1.3
1959,5,171,23.2,12.5,134,2
1959,6,11,31.7,18.4,70,1.5
1959,7,144,28.7,18.3,135,2.9
1959,8,30,29,19.1,42,2.4
1959,9,51,28.4,15.3,55,2.1
1959,10,42,24.7,10.1,44,1.6
1959,11,121,15.5,2,52,2.8
1959,12,44,9.9,-0.2,38,2.2
1960,1,45,6.7,-1.3,26,1.6
1960,2,60,13.3,3.5,42,0.7
1960,3,159,13.3,4.4,68,0.6
1960,4,138,18.8,8.5,107,-1.3
1960,5,87,25,12.6,121,-1.3
1960,6,25,31.6,17.7,58,-1.8
1960,7,72,29.4,19.3,79,-1.4
1960,8,45,29.2,19.3,49,-1.5
1960,9,17,27.7,15.3,20,-2.1
1960,10,0,22.9,8,3,-2.9
1960,11,11,15.2,2.1,13,-3.2
1960,12,96,10.3,-1.2,39,-3
1961,1,177,7.6,0.2,28,-1.5
1961,2,69,8.3,-0.1,38,-1.8
1961,3,65,15.7,5.7,70,-2.4
1961,4,201,20.3,8.8,107,-1.7
1961,5,54,25.4,12.3,108,-2.1
1961,6,39,31.6,18,57,-2.6
1961,7,59,30,19.2,65,-2.3
1961,8,33,28.9,18.5,37,-2.4
1961,9,67,28.5,16,66,-2.1
1961,10,50,22.5,8.7,50,-1.9
1961,11,50,14.6,1.3,48,-1.6
1961,12,51,8.6,-2.1,32,-1.9
1962,1,41,6.5,-0.8,27,-2.3
1962,2,128,11.4,2.4,36,-2.6
1962,3,52,15.5,5.1,62,-3.1
1962,4,174,21.1,10.6,108,-2.7
1962,5,38,24.2,12.1,101,-3.2
1962,6,35,31.2,17.6,48,-3.7
1962,7,55,29.7,19.6,59,-3.4
1962,8,37,28.8,18.7,39,-3.4
1962,9,170,26.4,14.4,104,-1.1
1962,10,4,22.4,8.1,41,-1.1
1962,11,80,14.9,2.9,47,2.2
1962,12,88,8.7,-0.8,31,2.1
1963,1,0,7,-1.7,18,1.2
1963,2,67,12.1,2.5,39,-1.3
1963,3,255,15.1,5,69,-0.6
1963,4,176,19.8,9.1,100,0.4
1963,5,75,23.2,10.3,108,-0.1
1963,6,14,31.5,18.3,49,-0.8
1963,7,24,30.3,19.7,34,-1.5
1963,8,23,28.3,18.8,27,-2
1963,9,46,27.5,14.5,47,-2.1
1963,10,10,23.8,9.2,12,-2.6
1963,11,87,16.4,3.2,49,-1.6
1963,12,120,10.3,-1.2,37,-1.2
1964,1,132,4,-1.7,15,2
1964,2,85,9.2,1.1,34,1.6
1964,3,69,16.7,6.4,71,0.6
1964,4,207,20.8,10.3,110,1.1
1964,5,70,23.4,10.9,110,0.7
1964,6,68,29.7,16.7,94,0.8
1964,7,91,28.4,18.2,96,1.3
1964,8,48,29.4,18.5,51,1
1964,9,40,27.6,15.4,42,-0.4
1964,10,0,23,8.1,2,-1.4
1964,11,4,15.9,0.8,5,-2
1964,12,149,9.7,-0.4,38,-1.5
1965,1,111,7.7,-0.5,25,-0.7
1965,2,159,8.8,1.8,33,1.5
1965,3,87,15,4.8,67,0.7
1965,4,219,18.4,7,93,1.6
1965,5,135,22.9,10.4,124,2.2
1965,6,10,30.8,17.7,79,2.3
1965,7,48,29.1,18.1,58,1.7
1965,8,32,27.6,17,36,1.1
1965,9,19,27.7,14.1,22,-1.3
1965,10,53,23.7,8.6,53,-1.1
1965,11,41,17.1,3.7,40,-1
1965,12,17,9.9,-1.6,18,-1.7
1966,1,1,8.7,-1.5,2,-2.8
1966,2,276,12.1,3.3,32,-1.9
1966,3,210,14.6,5.5,64,-1.3
1966,4,115,19.5,9,96,-1.5
1966,5,133,24.3,11.4,130,-0.7
1966,6,37,31.1,17.4,100,1.8
1966,7,58,29.3,17.9,68,1.6
1966,8,34,28.3,18.8,39,1.2
1966,9,152,26.1,13.6,101,2.7
1966,10,109,21.4,7.6,77,4.1
1966,11,4,15.9,1.2,27,3.6
1966,12,28,9.4,-1.5,29,2.8
1967,1,13,6,-1.4,17,1.7
1967,2,151,11.5,3.1,32,1.5
1967,3,185,14.1,4.2,61,1.6
1967,4,99,20.1,8.7,95,0.9
1967,5,150,23.2,10.9,127,1.7
1967,6,23,31.4,17.7,91,2.1
1967,7,22,30.4,19.2,33,1.1
1967,8,43,28.2,18.2,47,0.9
1967,9,51,27.9,14.9,53,0.7
1967,10,53,21.2,6.9,53,0.8
1967,11,30,15.3,2.2,30,-0.2
1967,12,250,9.6,-0.7,25,1.6
1968,1,107,4.8,-2.6,12,2.3
1968,2,85,7.9,-1.7,28,1.9
1968,3,105,15.2,5.2,58,1.3
1968,4,119,20.4,9.7,105,0.8
1968,5,57,22.5,10.6,95,-1.1
1968,6,21,31.6,17.9,52,-1.6
1968,7,46,29.6,18.6,54,-1.6
1968,8,47,28.2,17.7,51,-1.5
1968,9,2,29,15,5,-2.3
