Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 33.1458 North,75.5625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,86,13.3,5.4,40,-0.7
1958,2,19,14.8,3.8,39,-1.6
1958,3,64,20.4,9.4,72,-2.1
1958,4,49,26.7,15,87,-2.9
1958,5,31,29,17.3,55,-3.9
1958,6,30,32.5,20.2,39,-4.2
1958,7,118,30.8,22.5,116,-4.1
1958,8,119,28.6,21,115,-4
1958,9,197,27.4,17.9,109,-2.6
1958,10,53,25.7,14.2,73,-2
1958,11,11,21.2,9,33,-1.9
1958,12,207,16,6.3,39,2.2
1959,1,257,10.8,2.3,39,3.9
1959,2,134,11.1,2.4,43,4
1959,3,99,19.7,9.2,81,3.1
1959,4,29,25.1,13.3,91,1.9
1959,5,94,28.2,17.8,118,1.7
1959,6,17,33.3,21.1,29,0.6
1959,7,301,29.5,21,129,2.3
1959,8,116,29.3,21.4,118,2
1959,9,97,28.5,18.4,98,2.1
1959,10,53,27.8,15.7,79,2.4
1959,11,75,20.7,8.1,64,3.5
1959,12,29,15.9,5.4,38,2.8
1960,1,91,11.5,2.4,40,2.4
1960,2,26,16.4,5.8,40,1.5
1960,3,141,17.6,7.8,81,1.2
1960,4,70,22.7,11.8,100,0.8
1960,5,37,30.1,18.1,92,-1.6
1960,6,34,33.3,20.5,47,-2
1960,7,181,30.2,21.9,134,-1.5
1960,8,133,29.5,21.7,122,-1.3
1960,9,34,28.3,18.5,64,-1.9
1960,10,1,26.4,13.7,13,-2.9
1960,11,4,20.4,8.2,11,-3.2
1960,12,94,16,4.5,47,-2.9
1961,1,274,12.5,3.7,40,-1
1961,2,104,11.5,2.4,45,-0.8
1961,3,52,19.8,9.3,71,-1.4
1961,4,124,23.9,12.2,118,-1
1961,5,31,30.2,17.8,97,-1.1
1961,6,47,33.2,20.9,60,-1.4
1961,7,147,30.7,21.8,128,-1.3
1961,8,111,29.3,21,108,-1.4
1961,9,109,28.7,19,105,-1.1
1961,10,68,26,14.4,74,-0.9
1961,11,24,19.5,7.8,30,-1
1961,12,50,14.2,3.6,43,-1.4
1962,1,111,11.6,2.8,41,-1.5
1962,2,131,14.6,4.8,44,-1.4
1962,3,70,19.3,8.5,74,-1.9
1962,4,77,25,13.9,101,-1.9
1962,5,22,29.2,17.6,76,-2.4
1962,6,35,32.9,20.4,48,-2.7
1962,7,135,30.7,22.4,130,-2.6
1962,8,99,29.4,21.1,100,-2.9
1962,9,317,26.8,17.6,105,2.3
1962,10,3,25.9,14,61,1.9
1962,11,62,20.1,9.1,60,2.6
1962,12,83,14.5,4.8,42,2.4
1963,1,3,12,2.1,25,1.4
1963,2,64,15.4,4.8,46,-1.4
1963,3,204,19,8.2,79,-0.8
1963,4,96,23.6,12.5,106,-0.6
1963,5,52,28.2,15.9,112,0.3
1963,6,17,33.1,21.1,39,-0.8
1963,7,73,31.3,22.4,80,-1.7
1963,8,79,28.7,21.2,81,-2.3
1963,9,88,27.9,17.6,88,-2.3
1963,10,7,27.2,14.8,10,-3.2
1963,11,56,21.6,9.4,54,-2.5
1963,12,106,16.2,4.4,48,-2.2
1964,1,154,9.3,2.1,42,-1.6
1964,2,65,12.6,3.5,42,-1.8
1964,3,51,20.9,9.7,70,-2.3
1964,4,117,24.6,13.5,118,-1.9
1964,5,55,28.4,16.1,111,-1.7
1964,6,65,31.6,19.7,78,-1.6
1964,7,223,29.2,20.7,135,-0.6
1964,8,152,29.8,20.9,130,1
1964,9,86,27.9,18.4,101,1
1964,10,0,26.2,13.8,56,-0.4
1964,11,3,21.1,7,18,-1
1964,12,114,15.5,5.2,46,-0.7
1965,1,116,13.1,3.3,37,0.1
1965,2,139,12.2,4.4,43,0.8
1965,3,74,19.1,8.1,75,-0.6
1965,4,167,22.3,10.4,107,1.2
1965,5,90,28,15.9,122,2.1
1965,6,10,32.5,20.6,62,1.9
1965,7,124,30.1,20.6,123,1.4
1965,8,77,28.3,19.5,84,-1.1
1965,9,24,28.3,17.3,29,-1.9
1965,10,59,27.3,14.1,60,-1.9
1965,11,30,22.5,9.8,31,-1.8
1965,12,14,15.8,4,16,-2.5
1966,1,1,14,1.8,2,-3.6
1966,2,250,15.6,5.6,41,-2.8
1966,3,141,18.9,8.7,76,-2.5
1966,4,67,23.4,12.4,93,-2.5
1966,5,85,29.5,16.6,120,-1.8
1966,6,56,32.6,20,81,-1.4
1966,7,124,30.4,20.6,124,-1.5
1966,8,113,28.9,21.2,111,-1.7
1966,9,238,26.7,16.6,105,1.4
1966,10,103,25.1,13.1,86,2.7
1966,11,2,21.1,7.3,37,2.4
1966,12,30,15.3,4,36,1.9
1967,1,10,11,2.2,25,0.9
1967,2,123,15,5.3,42,-1.2
1967,3,217,18.3,7.6,71,0.7
1967,4,53,23.9,11.9,86,-0.4
1967,5,65,28.2,16.2,106,0.1
1967,6,22,33.1,20.4,41,-0.8
1967,7,80,31.3,21.8,85,-1.5
1967,8,137,28.6,20.6,119,-1.4
1967,9,74,28.4,17.9,80,-1.5
1967,10,67,24.9,12.3,68,-1.3
1967,11,13,20.6,8.3,17,-1.5
1967,12,261,15.5,4.9,36,1.8
1968,1,135,10,1.2,33,2.3
1968,2,103,11.1,0.9,38,2.3
1968,3,93,19.4,8.5,69,1.6
1968,4,59,24.2,13,93,1.1
1968,5,23,27.8,15.9,75,-1.1
1968,6,31,33.4,20.6,44,-1.6
1968,7,133,30.6,21.1,128,-1.6
1968,8,137,28.8,19.9,125,-1.5
1968,9,3,29.6,17.9,13,-2.5
1968,10,75,24.9,12.5,74,-2.1
1968,11,21,21.4,7.4,25,-2.1
1968,12,64,15.3,5,37,-2.2
1969,1,79,11.2,3,40,-2.4
1969,2,132,12.7,4.4,43,-2.3
1969,3,123,22.7,9.9,79,-2.3
1969,4,174,23.4,13,109,-0.8
1969,5,71,28.6,16,111,1.9
1969,6,24,32.5,20.1,71,1.8
1969,7,115,31.2,21.3,119,1.2
1969,8,63,29.8,21.1,69,-1.3
1969,9,49,28,17.8,52,-1.9
1969,10,54,26.9,14.5,55,-1.9
1969,11,1,22.5,9.5,3,-2.4
1969,12,0,16.9,5.2,2,-3.1
1970,1,98,12.3,3.8,36,-3.2
1970,2,72,14.5,3.5,44,-3.6
1970,3,76,18.9,8.7,72,-3.7
1970,4,32,26.5,14.4,73,-4.4
1970,5,36,31.3,18.8,50,-5.1
1970,6,93,32.6,20.1,97,-4
1970,7,92,31.6,21.3,93,-4.3
1970,8,126,30,20.7,120,-4
1970,9,108,29,18.7,103,-3.5
1970,10,53,27.6,14.5,53,-3.3
1970,11,0,22.1,7.2,2,-3.6
1970,12,5,16.5,5.1,7,-4.1
1971,1,23,11.9,2.3,23,-4.7
1971,2,109,14.4,3.6,42,-5
1971,3,15,20.8,9.3,42,-5.5
1971,4,82,26.8,14.3,87,-5.6
1971,5,56,30,18.5,62,-5.8
1971,6,85,32.1,20.4,86,-4.8
1971,7,104,30.2,21.2,102,-4.8
1971,8,136,29,20.6,121,-4.4
1971,9,27,27.6,16.9,30,-4.8
1971,10,11,26.5,13.6,14,-5.2
1971,11,20,22.2,8.8,21,-5
1971,12,4,17.4,5,6,-5.4
1972,1,78,12.8,4.2,40,-5.4
1972,2,115,11.2,2.2,46,-5.4
1972,3,156,20,9.2,71,-4.9
1972,4,53,24,11.5,85,-4.7
1972,5,57,30,17.2,104,-4.3
1972,6,32,32.9,20.1,49,-4.3
1972,7,112,30.8,20.7,115,-4.4
1972,8,121,28.6,20.6,118,-4.2
1972,9,91,27.4,16.7,91,-4
1972,10,75,25.1,12.4,73,-3.4
1972,11,40,21.6,9.2,40,-2.9
1972,12,93,15.8,5.6,39,-2.6
1973,1,210,11.5,3.5,43,-1.4
1973,2,95,15.3,4.2,44,-1.3
1973,3,130,18.6,8.2,78,-1.2
1973,4,69,26.5,13.4,95,-1.3
1973,5,58,30.9,17.9,108,-1.2
1973,6,44,34,21.2,61,-1.4
1973,7,177,30.5,21.2,139,-0.9
1973,8,232,28.9,19.9,113,1.6
1973,9,62,29.4,18.6,95,1.3
1973,10,20,25.7,13.3,58,1.1
1973,11,0,21.8,7.6,21,-0.4
1973,12,122,15.3,3.7,43,0.4
1974,1,140,11.3,3.3,40,0.8
1974,2,105,11.5,2.6,44,0.9
1974,3,69,20.7,10.8,74,-0.6
1974,4,23,27,13.7,80,-1.5
1974,5,42,30,17.6,69,-2.2
1974,6,90,31,19.1,97,-1.5
1974,7,112,30.2,20.9,113,-1.8
1974,8,62,29.5,20.9,64,-2.5
1974,9,46,28.1,17.2,47,-3
1974,10,12,25.6,12.9,13,-3.6
1974,11,1,21,7.2,2,-4
1974,12,93,13.5,4.2,41,-3.6
1975,1,106,11.1,2.5,39,-3.4
1975,2,139,11.5,2.2,42,-2.7
1975,3,177,17.8,7.1,76,-2.1
1975,4,38,23.6,12.6,84,-2.5
1975,5,66,29.6,16.9,105,-2.4
1975,6,59,31,19.4,71,-2.2
1975,7,202,29.1,19.4,140,-1.4
1975,8,290,28.5,19.8,127,2.4
1975,9,142,27.1,17.8,117,2.8
1975,10,6,27,14,62,2.4
1975,11,3,19.8,7,30,1.9
1975,12,8,16,5.1,19,0.9
1976,1,163,12.5,3.6,37,1.1
1976,2,196,12.5,4,45,2.1
