Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 34.5625 North,76.1458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,38,-3,-10.2,0,0
1958,2,8,0.2,-11.1,0,-1.2
1958,3,35,6.8,-2.4,42,-2.2
1958,4,31,14.2,5.3,65,-1.9
1958,5,24,15.4,4.9,47,-1.9
1958,6,4,23,10.8,10,-1.8
1958,7,3,26.7,15.5,6,-1.9
1958,8,9,23.9,13.3,10,-1.6
1958,9,10,20.5,8.9,11,-1.3
1958,10,2,13.9,2.5,3,-1.7
1958,11,7,7.1,-2.7,7,-1.7
1958,12,60,0.9,-6.3,0,1.3
1959,1,63,-5.1,-12.7,0,2.8
1959,2,50,-4,-11.7,0,3.1
1959,3,66,5.2,-2.7,32,2.6
1959,4,21,13.7,4,110,1.4
1959,5,79,14.7,5.3,113,2.7
1959,6,2,23.5,11.6,9,2
1959,7,14,25.7,14.3,17,2.4
1959,8,2,25.2,14,4,1.7
1959,9,5,22.2,9.3,6,1.3
1959,10,7,16.4,4,8,0.9
1959,11,17,6.9,-3.3,17,1.4
1959,12,16,0,-7.7,0,0.9
1960,1,13,-4.2,-12.8,0,-1.4
1960,2,38,2,-8.3,0,-2.1
1960,3,48,3.9,-3.4,15,-2.2
1960,4,40,10,2.2,100,-1.9
1960,5,38,16.7,5.6,55,-1.6
1960,6,5,23.8,11.3,11,-1.5
1960,7,8,25.9,15.3,10,-1.3
1960,8,6,25.4,14.2,8,-1.3
1960,9,1,20.8,9.3,3,-1.6
1960,10,0,14.7,2.1,1,-2.1
1960,11,4,6.2,-3.6,4,-2.1
1960,12,29,0.7,-8.9,0,-1.7
1961,1,56,-3.5,-11.7,0,-0.9
1961,2,16,-3.3,-11.9,0,-1.3
1961,3,17,5.7,-2.8,39,-2.5
1961,4,41,12,3.1,93,-3.1
