Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 34.3542 North,73.4792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,57,15.2,3.8,36,0.9
1958,2,16,17,2.6,41,-0.9
1958,3,80,21.8,8,78,-1.4
1958,4,77,27.7,15.4,93,-2
1958,5,43,29.7,16.9,57,-2.7
1958,6,50,35.1,21.2,55,-2.9
1958,7,115,33.8,22.6,113,-3.3
1958,8,171,31.3,21.3,145,-3.3
1958,9,89,30.7,18.3,95,-3.1
1958,10,10,27.9,12.8,14,-3.7
1958,11,32,21.7,7.8,34,-3.5
1958,12,162,16.4,4.6,34,-1.7
1959,1,143,12.9,1,42,2.9
1959,2,156,13,1.7,47,3.5
1959,3,129,21.1,8.4,84,3
1959,4,82,26.6,12.6,111,2.1
1959,5,142,29.6,17.3,146,2.7
1959,6,23,36.2,22.1,40,1.8
1959,7,425,32.1,21,148,3
1959,8,109,32.3,21.9,132,2.1
1959,9,99,32.2,18.7,106,2
1959,10,41,30.3,14.3,59,1.7
1959,11,88,21,7.1,57,2.5
1959,12,63,15.9,3.2,52,2.4
1960,1,31,14,1.1,37,1.8
1960,2,78,18.8,6.1,45,1.3
1960,3,132,18.9,6.9,81,1.1
1960,4,125,23.8,11.7,114,1.2
1960,5,69,30.9,17.4,123,1.3
1960,6,33,36.3,21.6,42,-0.7
1960,7,245,33.2,22,162,-0.8
1960,8,163,32.9,21.9,156,-1.2
1960,9,42,31.1,18.4,96,-1.5
1960,10,3,28.7,12.3,13,-2.5
1960,11,13,20.7,6.9,17,-2.7
1960,12,70,16,1.9,53,-2.5
1961,1,128,14.8,2.7,40,-1.3
1961,2,51,13.5,1.7,48,-1.6
1961,3,46,21.3,7.5,72,-2.3
1961,4,157,26,12.6,114,-1.7
