Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 34.1042 North,74.8125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,50,7.4,1.1,24,-0.1
1958,2,13,11.2,0.5,33,-1.3
1958,3,62,16.1,5.4,63,-1.8
1958,4,86,22.4,11.2,92,-2.5
1958,5,62,24.4,11.8,91,-3.2
1958,6,22,29.8,15.3,31,-3.7
1958,7,28,31.2,19.6,32,-3.8
1958,8,58,29,18.2,58,-3.4
1958,9,52,27.9,13.5,51,-2.8
1958,10,11,22.7,7.1,12,-3.3
1958,11,27,16.4,2,27,-3.2
1958,12,123,9.9,0.4,25,-1.9
1959,1,110,4.8,-1.8,17,2.5
1959,2,110,7.2,-0.5,37,3.1
1959,3,124,15.1,5.5,70,2.7
1959,4,58,21.2,9.1,92,1.5
1959,5,156,24,12.5,135,2.2
1959,6,10,30.8,16.3,51,1.8
1959,7,117,29.8,18,118,3.1
1959,8,22,30.3,19,28,2.1
1959,9,32,29.3,13.8,35,1.7
1959,10,40,25.2,8.7,41,1.3
1959,11,99,16,1,53,2.4
1959,12,29,9.5,-0.9,33,1.9
1960,1,23,6,-1.6,22,1.3
1960,2,51,12.9,3.3,34,0.6
1960,3,118,13.2,4.2,68,-1.3
1960,4,119,18.5,7.9,102,-1.2
1960,5,86,25.6,12.4,120,-0.9
1960,6,21,30.8,15.8,49,-1.2
1960,7,56,30.5,19.1,63,-1
1960,8,50,30.5,19.1,53,-1
1960,9,11,28.2,13.7,14,-1.7
1960,10,0,23.4,6.7,2,-2.5
1960,11,12,15.5,1.1,13,-2.9
1960,12,61,9.6,-2.3,41,-2.6
1961,1,88,6.8,-0.2,27,-1.7
1961,2,40,7.8,-0.6,39,-2.1
1961,3,49,15.5,5.2,62,-2.6
1961,4,145,20.5,8.8,103,-2.3
1961,5,45,26.6,12.4,107,-2.8
1961,6,38,30.7,16,48,-3.1
1961,7,45,31.1,18.9,49,-2.8
1961,8,34,30,18.1,36,-2.9
1961,9,39,29.1,14.5,39,-2.7
1961,10,42,22.8,7.1,42,-2.6
1961,11,44,15.2,0.1,43,-2.3
1961,12,33,8.2,-2.8,31,-2.4
1962,1,17,5.8,-1.2,17,-2.9
1962,2,76,10.9,1.8,34,-3.1
1962,3,30,15.8,5,43,-3.7
1962,4,159,20.9,10.3,102,-3.2
1962,5,32,25.2,12.2,77,-3.9
1962,6,33,30.5,15.8,43,-4.2
1962,7,46,30.6,19.4,50,-3.9
1962,8,39,29.9,18.6,40,-3.8
1962,9,107,26.9,12.9,102,-1.9
1962,10,5,22.6,6.6,7,-2.4
1962,11,59,15.2,1.6,49,-1.7
1962,12,51,8.3,-1.5,33,-1.5
1963,1,0,6.2,-2.1,8,-2.2
1963,2,47,11.7,2.3,33,-2.8
1963,3,215,15.1,4.8,68,-1.9
1963,4,145,19.7,8.8,94,-1.2
1963,5,58,24.2,10.4,101,-1.1
1963,6,13,30.9,16.5,36,-1.6
1963,7,18,31,19.2,26,-2.2
1963,8,23,29.6,18.6,27,-2.7
1963,9,25,27.9,12.9,27,-2.8
1963,10,12,24.1,7.7,14,-3.2
1963,11,66,16.5,1.8,50,-2.3
1963,12,75,9.9,-1.7,41,-1.7
1964,1,76,2.8,-2.2,8,-0.7
1964,2,64,8.4,0.4,33,1.6
1964,3,56,16.5,6,63,0.7
1964,4,167,20.4,9.7,103,1.2
1964,5,50,24.3,11.1,104,0.8
1964,6,65,29,14.8,78,0.9
1964,7,76,29.3,17.8,80,1.5
1964,8,45,30.6,18.2,47,1
1964,9,26,28.1,13.8,27,-0.3
1964,10,0,23.3,6.6,2,-1.6
1964,11,2,16.3,-0.3,4,-2.3
1964,12,103,9.2,-1.3,42,-1.4
1965,1,73,6.8,-0.8,21,-0.7
1965,2,114,8.1,1.1,35,1.9
1965,3,67,14.7,4.3,65,1.1
1965,4,152,18.1,6.4,89,1.6
1965,5,116,24,10.5,121,2.3
1965,6,11,30,15.8,65,2.5
1965,7,37,29.8,17.7,46,1.9
