Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 32.8958 North,75.1458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,68,17.3,8,46,-0.4
1958,2,13,20,8.1,46,-1.6
1958,3,43,25.3,13.1,70,-2.4
1958,4,20,31.7,18.5,29,-3.6
1958,5,15,34.4,21.4,19,-3.9
1958,6,40,38.4,25.2,41,-4
1958,7,281,33.4,25.1,139,-4
1958,8,324,31.2,23.5,128,-3.9
1958,9,444,30.7,21.4,113,-2.2
1958,10,51,28.6,16.6,81,-1.6
1958,11,6,23.4,10.5,35,-1.5
1958,12,152,18.8,8,42,2.5
1959,1,239,14.9,5.1,44,4.4
1959,2,101,16.4,6.7,55,4.3
1959,3,65,24.7,12.9,90,3.4
1959,4,12,30,16.7,47,2
1959,5,47,33.5,21.9,55,1.9
1959,6,20,39.2,26.2,25,0.9
1959,7,653,32.1,23.6,140,2.3
1959,8,415,31.8,24,126,2.1
1959,9,219,31.7,21.8,107,1.9
1959,10,52,30.7,18.1,86,2
1959,11,48,22.9,9.5,57,2.8
1959,12,20,18.8,7.1,32,1.9
1960,1,83,15.6,5.2,47,1.4
1960,2,16,21.8,10.2,41,-1.9
1960,3,104,22.5,11.4,99,-1.8
1960,4,32,27.7,15.2,45,-2.5
1960,5,18,35.4,22.2,23,-2.9
1960,6,40,39.3,25.6,42,-3.1
1960,7,413,32.9,24.4,142,-2.5
1960,8,397,32,24.3,127,-2.3
1960,9,71,31.6,21.9,105,-2.7
1960,10,1,29.4,16.2,27,-3.9
1960,11,2,22.8,9.5,11,-4.4
1960,12,65,18.7,6.2,49,-4
1961,1,275,16.5,6.5,45,-1.6
1961,2,77,16.8,6.7,56,-1.4
1961,3,39,24.7,12.9,79,-2
1961,4,63,28.8,15.5,83,-2.1
1961,5,18,35.4,21.9,26,-2.4
1961,6,52,39,25.8,54,-2.4
1961,7,354,33.2,24.2,134,-2.1
1961,8,350,31.7,23.5,118,-2.1
1961,9,260,32,22.4,112,-1.6
1961,10,71,29,16.7,93,-0.8
1961,11,15,21.7,9.1,41,1.1
1961,12,33,17,5.4,36,0.7
1962,1,106,15.5,5.5,44,-0.1
1962,2,104,19.8,9.1,56,0.8
1962,3,55,24.2,12.2,80,-0.5
1962,4,31,30,17.3,64,-1
1962,5,13,34.5,21.7,22,-1.5
1962,6,44,38.7,25.4,47,-1.8
1962,7,296,33.3,24.8,145,-2
1962,8,324,31.8,23.6,129,-2
1962,9,658,29.9,20.8,112,2.5
1962,10,3,28.8,16.4,63,1.6
1962,11,38,22.3,10.4,45,1.7
1962,12,58,17.4,6.4,45,1.5
1963,1,2,16.1,4.8,14,-1.4
1963,2,47,20.8,9.3,49,-2.3
1963,3,135,24,12,101,-2
1963,4,46,28.5,15.9,63,-2.3
1963,5,32,33.3,19.9,39,-2.3
1963,6,23,39,26.1,26,-3
1963,7,169,34,24.9,162,-3.2
1963,8,255,31.2,23.7,129,-3.6
1963,9,205,31.2,21,123,-3.3
1963,10,6,30.2,17.3,67,-3.6
1963,11,34,23.7,10.9,43,-3.2
1963,12,74,19,6.1,50,-2.8
1964,1,148,13.2,4.5,43,-2
1964,2,41,17.9,7.8,49,-2.3
1964,3,34,25.8,13.5,75,-2.9
1964,4,53,29.6,17,66,-3.4
1964,5,32,33.7,20.2,38,-3.3
1964,6,73,37.5,24.8,74,-2.9
1964,7,517,31.8,23.2,145,-1.7
1964,8,487,32.2,23.4,138,-1.4
1964,9,176,31.1,21.7,122,-1.5
1964,10,0,29.2,16.2,61,-2.1
1964,11,2,23.3,8.4,13,-2.7
1964,12,76,18.2,6.8,46,-2.3
1965,1,104,17,6.1,42,-2.1
1965,2,100,17.6,8.5,56,-1.6
1965,3,54,24.1,11.8,78,-1.9
1965,4,84,27,13.7,102,-1.1
1965,5,53,33.2,20,68,1.3
1965,6,11,38.4,25.6,18,-0.9
1965,7,287,32.7,23.2,145,-1.1
1965,8,237,30.8,22.1,136,-1.6
1965,9,45,31.6,20.7,92,-2.1
1965,10,64,30.1,16.7,75,-2
1965,11,19,24.6,11.4,27,-2
1965,12,9,18.5,5.7,13,-2.7
1966,1,1,17.9,4.7,4,-3.8
1966,2,190,20.9,10.1,54,-2.6
1966,3,93,23.8,12.5,91,-2.5
1966,4,31,28.2,15.8,87,-2
1966,5,48,34.8,20.9,56,-1.5
1966,6,80,38.6,25,82,-0.9
1966,7,278,33,23.1,152,-1.2
1966,8,354,31.4,23.7,131,-1.3
1966,9,458,30,20,112,1.8
1966,10,91,28.1,15.5,90,2.8
1966,11,1,23.3,8.7,38,2.6
1966,12,21,18,5.7,30,1.9
1967,1,7,15,4.8,20,0.7
1967,2,86,20.4,9.6,53,-1.6
1967,3,165,23.3,11.2,85,-0.7
1967,4,25,28.7,15.3,85,0.3
1967,5,30,33.5,20.2,39,-0.1
1967,6,26,39.1,25.5,30,-0.7
1967,7,188,33.9,24.3,145,-1.2
1967,8,457,31.1,23.1,127,-1.1
1967,9,151,31.6,21.3,113,-1.3
1967,10,65,27.8,14.9,80,0.7
1967,11,8,22.9,9.8,33,0.8
1967,12,201,18.3,6.6,37,3.1
1968,1,128,13.9,4,35,3.6
1968,2,82,16.4,5.3,47,3.4
1968,3,72,24.4,12.3,78,2.8
1968,4,24,29.2,16.5,73,2.3
1968,5,13,33,20.1,23,1.5
1968,6,38,39.2,25.6,41,0.9
1968,7,307,33.3,23.7,142,-1.5
1968,8,433,31.3,22.5,128,-1.3
1968,9,5,33,21.4,66,-1.8
1968,10,71,27.9,15,75,-1.9
1968,11,13,23.6,9,19,-2.2
1968,12,43,18.2,6.8,40,-2.3
1969,1,66,15.2,5.7,42,-2.6
1969,2,93,18,8.6,54,-2.6
1969,3,92,27.6,13.7,94,-2.6
1969,4,80,28.4,16.4,102,-1.9
1969,5,44,33.8,20.1,58,-1.2
1969,6,28,38.4,25.2,33,-1.6
1969,7,283,33.8,23.9,152,-1.9
1969,8,210,32.2,23.6,127,-2.3
1969,9,113,31.3,21.3,115,-2.6
1969,10,44,29.8,17.1,74,-2.2
1969,11,0,24.8,10.9,25,-2.2
1969,12,0,19.7,6.9,9,-2.8
1970,1,90,16.3,6.5,39,-2.8
1970,2,60,19.7,8,56,-3
1970,3,52,23.9,12.4,70,-3.2
1970,4,13,31.6,17.9,34,-4.1
1970,5,19,36.7,22.9,26,-4.2
1970,6,124,38.5,25,122,-2.5
1970,7,200,34.3,23.9,150,-2.9
1970,8,409,32.4,23.2,123,-2.7
1970,9,241,32.2,22,111,-2.3
1970,10,43,30.6,16.9,73,-1.8
1970,11,0,24.3,8.5,30,-1.8
1970,12,3,19.2,6.8,13,-2.4
1971,1,19,15.8,5,23,-3.1
1971,2,84,19.6,8,53,-3.2
1971,3,11,25.9,13.1,28,-4.2
1971,4,38,31.8,17.6,43,-4.7
1971,5,35,35.5,22.6,37,-4.4
1971,6,112,37.9,25.3,109,-2.9
1971,7,242,32.8,23.7,137,-3.2
1971,8,427,31.5,23,123,-2.8
1971,9,56,30.9,20.3,95,-3.2
1971,10,9,29.3,15.8,33,-3.8
1971,11,11,24.5,10.2,19,-3.9
1971,12,3,20.1,6.7,7,-4.5
1972,1,74,16.6,6.7,41,-4.5
1972,2,80,16.6,6.5,54,-4.4
1972,3,95,25,12.8,86,-4.1
1972,4,23,28.9,15,61,-4.1
1972,5,25,35.3,21.2,34,-3.9
1972,6,46,38.9,25.2,49,-3.8
1972,7,237,33.6,23.2,155,-4
1972,8,363,31.2,22.9,134,-3.8
1972,9,190,30.7,20.1,118,-3.6
1972,10,64,28,14.9,80,-2.6
1972,11,25,23.9,10.8,42,-1.7
1972,12,66,18.6,7.2,40,-1.2
1973,1,174,15.4,6.1,45,2.4
1973,2,66,20.5,8.6,57,1.9
1973,3,86,23.6,11.9,90,1.5
1973,4,26,31.4,17.1,77,1.3
1973,5,35,36.2,22,44,1.1
1973,6,59,39.9,26.3,62,0.8
1973,7,429,33.2,23.7,147,1.1
1973,8,704,31.3,22.5,118,1.8
1973,9,135,32.6,22,121,1.1
1973,10,17,28.8,15.8,70,0.7
1973,11,0,24.2,9,15,-1.2
1973,12,98,18.1,5.3,46,-0.6
1974,1,108,15.3,6.1,43,0.2
1974,2,66,16.8,6.8,55,-0.1
1974,3,41,25.7,14.4,77,-0.8
1974,4,10,32,17.3,36,-1.9
1974,5,22,35.3,21.7,30,-2
1974,6,106,36.9,24.1,105,-1
1974,7,264,32.9,23.5,146,-1.4
1974,8,215,32.2,23.4,126,-1.9
1974,9,83,31.5,20.6,105,-2.3
1974,10,10,28.5,15.3,46,-2.8
1974,11,0,23,8.6,10,-3.3
1974,12,61,16.4,5.8,44,-3
1975,1,93,15.2,5.3,43,-2.9
1975,2,103,16.9,6.4,53,-2.4
1975,3,119,22.8,10.9,94,-2
1975,4,17,28.6,16.1,77,-1.8
1975,5,35,35,21.2,44,-1.8
1975,6,89,36.9,24.5,90,-1.1
1975,7,446,31.8,22.1,150,-0.6
1975,8,827,30.9,22.4,131,2
1975,9,337,30.4,21.2,123,2.4
1975,10,4,29.9,16.4,65,1.6
1975,11,1,22.1,8.4,12,0.7
1975,12,4,18.9,6.8,9,-2.1
1976,1,149,16.5,6.3,42,-1.7
1976,2,145,17.9,8.2,57,-0.6
1976,3,80,22.3,11.9,90,-0.8
1976,4,28,29,15.6,74,-0.8
1976,5,18,35.2,21.2,28,-1.3
1976,6,61,36.3,24.2,64,-1.2
1976,7,257,33.4,24,147,-1.6
1976,8,1007,29.9,21.4,124,1.7
1976,9,331,31,19.8,112,2.2
1976,10,58,29,16,81,2.5
1976,11,0,23.9,10.2,33,2.1
1976,12,9,18.7,6.8,19,1.2
1977,1,184,15.1,6.3,44,1.8
1977,2,10,19.6,7.4,40,0.8
1977,3,9,26.7,13.5,41,-1.9
1977,4,79,29.9,16.8,85,-1.9
1977,5,42,33.4,20.3,45,-1.7
1977,6,93,37.3,24.9,91,-0.9
1977,7,304,32.8,24,150,-1.2
1977,8,355,31.6,22.9,127,-1.2
1977,9,109,30.8,21.4,114,-1.7
1977,10,76,29.7,17.2,86,-0.7
1977,11,6,25.1,11.8,35,-0.6
1977,12,61,18.7,8,43,0.1
1978,1,56,14.9,5.3,41,-0.4
1978,2,77,18.2,8.3,56,-0.6
1978,3,205,21.7,11,97,1.4
1978,4,28,30.3,16.2,87,1.5
1978,5,11,38.2,23.7,22,0.8
1978,6,78,39.7,26.5,80,1.1
1978,7,675,31.9,23.1,141,2.7
1978,8,512,31.3,23.5,130,2.7
1978,9,193,31.3,21.2,113,2.3
1978,10,5,29.4,16.3,60,1.5
1978,11,32,22.4,10.2,39,1.8
1978,12,6,19.4,6.9,14,0.8
1979,1,87,16.2,5.8,42,-1.1
1979,2,129,18.3,7.5,52,-0.6
1979,3,136,22,11.1,86,0.5
1979,4,28,30.8,18.2,87,1
1979,5,44,32.7,20.1,53,1.1
1979,6,62,38.5,25,64,0.9
1979,7,225,33.9,23.6,149,-0.6
1979,8,283,31.9,23,141,-1.1
1979,9,240,30.3,19.5,119,-0.8
1979,10,20,29.9,16.3,67,-1
1979,11,32,24.3,10.9,42,0.5
1979,12,26,19.3,7.7,30,-0.4
1980,1,87,15.8,6.4,42,-0.7
1980,2,94,19,8.7,55,-0.6
1980,3,84,23,11.7,84,-0.7
1980,4,22,31.8,17.6,78,-0.7
1980,5,17,36.2,22.7,27,-1.2
1980,6,108,38.6,25.5,108,0.8
1980,7,541,32.9,24,144,1.7
1980,8,380,31.3,22.7,140,1.3
1980,9,261,30.7,20.5,118,1.5
1980,10,41,28.9,16.2,73,1.5
1980,11,27,24.3,9.6,43,1.8
1980,12,70,18.7,6.6,41,1.9
1981,1,293,16.1,6.9,38,4.4
1981,2,97,19.7,8.9,53,4.2
1981,3,176,23.6,11.9,85,4.9
1981,4,25,30.6,16.7,84,4.4
1981,5,23,36.1,22.8,33,3.6
1981,6,39,37.9,25.2,43,2.7
1981,7,576,32.1,23.6,136,3.6
1981,8,245,31.2,23,136,2.7
1981,9,41,31.4,20.4,92,1.8
1981,10,23,28,15,37,0.6
1981,11,33,22,9.5,38,0.7
1981,12,1,18.2,6.2,5,-2.4
1982,1,113,16.4,6.6,41,-2.3
1982,2,96,16.8,6.6,49,-1.9
1982,3,262,21.3,10.2,77,2.4
1982,4,107,28.8,15.7,109,3.9
1982,5,49,32.7,19.7,100,5.6
1982,6,32,37.5,24.8,42,4.5
1982,7,166,33.9,23.8,160,3.5
1982,8,448,31.2,22.9,128,3
1982,9,69,30.7,20.1,104,2
1982,10,61,28.6,16.3,73,1.9
1982,11,39,22.6,10.5,45,2.4
1982,12,87,18,7.3,42,2.6
1983,1,154,15.6,6,42,3.2
1983,2,85,18.3,6.8,52,3
1983,3,183,21.4,10.4,86,3.9
1983,4,93,26.5,13.9,101,4.9
1983,5,87,33.2,20.2,114,7.2
1983,6,55,36.3,24,74,6.9
1983,7,261,32.4,22.8,158,5.6
1983,8,489,31.6,23,117,5.3
1983,9,178,31.7,21.7,111,4.6
1983,10,81,28.1,15.4,89,5
1983,11,2,23.8,9.2,37,4.6
1983,12,6,18.4,7.2,20,3.4
1984,1,20,15.5,5.7,26,2.2
1984,2,137,16.9,6.8,55,2.2
1984,3,68,26.2,13.9,84,1.6
1984,4,48,29.3,16.5,87,1.5
1984,5,21,37.2,23.4,30,0.8
1984,6,53,40.1,26.6,56,0.6
1984,7,478,32,22.9,138,1.2
1984,8,580,32.3,22.5,103,1.6
1984,9,230,29.2,19.9,111,1.6
1984,10,10,28.7,15,65,1
1984,11,16,22.7,9.6,29,0.9
1984,12,55,17.7,7.3,39,0.7
1985,1,47,16,6,41,-0.5
1985,2,18,21.2,8.4,34,-2
1985,3,21,25.9,14.5,28,-3.1
1985,4,66,30.4,16.5,67,-3.2
1985,5,30,35.5,21.7,32,-3.2
