Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.8125 North,86.4375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,13,27.1,13.5,42,0.8
1958,2,16,28.5,15.4,33,0.8
1958,3,7,34.4,18,16,-0.3
1958,4,10,39.9,25.3,15,-0.1
1958,5,21,41.1,28.1,24,-0.9
1958,6,90,38.8,27.7,89,-2.2
1958,7,313,32.4,25.6,117,-2.3
1958,8,431,31.1,24.9,116,1.6
1958,9,208,31.8,24.5,98,1.4
1958,10,123,31.3,22.6,108,1.7
1958,11,2,28,16,58,1.6
1958,12,0,26.3,13.6,37,1.6
1959,1,30,25.2,12.8,50,2.3
1959,2,3,27.6,14.1,25,1.9
1959,3,6,32.9,18,17,1.5
1959,4,11,38.9,25,17,1.4
1959,5,34,40.4,27.2,37,1.2
1959,6,145,36.1,26.4,141,0.7
1959,7,256,31.4,25.3,120,-1.4
1959,8,334,31.2,25.2,114,-1.2
1959,9,265,30.6,24.2,96,0.8
1959,10,251,29.5,22.4,95,3.5
1959,11,0,27.4,14.9,53,3.2
1959,12,0,25.3,12.6,39,3.1
1960,1,1,25.1,11.5,33,2.6
1960,2,0,30.6,15.5,16,2
1960,3,23,31.4,17.4,31,2.1
1960,4,1,40.7,24.5,7,1.4
1960,5,18,40.4,27.5,21,0.7
1960,6,95,36.9,26.7,93,-2.1
1960,7,373,31,25,120,-1.7
1960,8,285,31.4,25.6,117,-1.6
1960,9,235,30.9,24.7,98,-1
1960,10,67,30.7,21.6,94,-1.4
1960,11,1,27.1,13.9,49,-1.5
1960,12,0,26.4,12.2,31,-1.6
1961,1,20,25.6,12.8,39,-1.3
1961,2,41,25.6,13.8,52,1
1961,3,1,33.2,20,9,-0.5
1961,4,2,39.8,24.7,7,-0.9
1961,5,33,40.1,27.3,35,-0.9
1961,6,208,35.2,25.6,146,0.5
1961,7,156,31.6,25,118,-1.1
1961,8,326,31.3,25.4,108,-1.3
1961,9,205,31.1,24.4,98,-1.2
1961,10,162,30.4,21.4,105,1.1
1961,11,0,26.6,14,54,1
1961,12,1,23.9,9.9,39,1.2
1962,1,13,24.5,10.3,41,1.4
1962,2,9,28.2,14.6,27,1.3
1962,3,4,34,17.1,13,0.8
1962,4,8,38.7,24.1,14,0.6
1962,5,22,39.5,26.5,26,-0.4
1962,6,147,35.9,26.2,136,-0.8
1962,7,217,32.4,25.5,125,-1.7
1962,8,356,30.9,24.8,110,-1.5
1962,9,179,31.5,24.5,106,-1.9
1962,10,76,29.9,21,93,-2
1962,11,0,27.9,14.1,49,-1.9
1962,12,1,25.7,12,34,-1.7
1963,1,2,25,10.5,31,-1.8
1963,2,2,30.5,14.9,15,-2.1
1963,3,17,33.2,17.5,24,-1.8
1963,4,16,38.2,23.2,21,-1.5
1963,5,47,38.5,25.5,48,-1
1963,6,227,35.6,25.9,159,1.1
1963,7,294,31.5,25.3,112,1
1963,8,256,31.4,25.3,118,0.6
1963,9,256,31.9,24.6,109,1
1963,10,215,30.8,21.8,105,2.9
1963,11,13,28.3,15.7,58,3.1
1963,12,0,26.3,13.2,41,3.2
1964,1,2,25.2,12,37,2.8
1964,2,5,29,15.3,22,2.3
1964,3,3,34.4,19.6,13,1.6
1964,4,19,38.3,24.7,24,1.7
1964,5,44,39.1,26.1,46,1.7
1964,6,170,36.6,26.5,163,1.3
1964,7,360,30.4,24.2,125,1.2
1964,8,254,31.3,25.3,119,0.7
1964,9,164,31.5,24.7,108,-1.4
1964,10,123,30.4,22.8,108,-0.9
1964,11,9,27.4,15.6,65,0.3
1964,12,0,25.9,12.6,40,0.8
1965,1,0,25.8,12.6,33,-0.3
1965,2,10,28.4,14.5,23,-0.2
1965,3,20,32.3,16.4,27,0.2
1965,4,9,38,23.8,14,-0.1
1965,5,14,40.5,27.4,17,-1.1
1965,6,125,37.1,26.9,122,-1.7
1965,7,269,31.4,24.9,129,-2.3
