Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.2708 North,87.2292 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,12,27.4,12.2,42,0.7
1958,2,20,28.9,14.3,44,0.9
1958,3,2,35.5,17.9,16,-0.4
1958,4,16,39.6,24,23,-0.6
1958,5,50,39.2,27,54,-0.9
1958,6,114,37.8,27.5,112,-2.1
1958,7,303,32.8,26,121,-2.5
1958,8,518,31.7,25.3,116,2.4
1958,9,197,32.4,25,101,2.1
1958,10,124,32.1,22.9,109,2.1
1958,11,4,29.1,15.9,55,1.9
1958,12,0,26.7,12.6,38,1.8
1959,1,27,25.5,11.5,47,2.2
1959,2,2,28.1,13.1,36,1.9
1959,3,6,34,17.9,21,1.5
1959,4,16,38.7,24,24,1.2
1959,5,50,38.3,26,54,0.8
1959,6,194,35,26.1,151,-0.2
1959,7,253,31.9,25.8,121,-1.3
1959,8,367,31.8,25.5,116,0.8
1959,9,270,31.2,24.6,101,1.6
1959,10,291,30.4,22.6,100,4.1
1959,11,0,28.6,14.9,52,3.5
1959,12,0,25.7,11.5,36,3.3
1960,1,1,25.5,10.2,32,2.7
1960,2,0,31.1,14.5,29,2.2
1960,3,13,32.5,17.3,26,2
1960,4,0,40.7,23.5,8,1
1960,5,36,38.5,26.3,40,-1.6
1960,6,116,35.8,26.4,114,-2.6
1960,7,353,31.3,25.3,122,-2.5
1960,8,243,32,25.8,123,-2.7
1960,9,238,31.5,25,99,-1.9
1960,10,74,31.5,21.7,99,-2.2
1960,11,2,28.2,13.9,48,-2.2
1960,12,0,26.8,11.2,30,-2.2
1961,1,20,25.9,11.6,39,-1.7
1961,2,47,26.1,12.7,60,1.3
1961,3,2,34.4,19.7,18,0.8
1961,4,5,39.6,23.6,14,-0.5
1961,5,68,38.1,26.1,71,0.2
1961,6,233,34.2,25.4,140,0.7
1961,7,151,32.2,25.5,127,-1.2
1961,8,339,31.9,25.6,118,-1.2
1961,9,214,31.8,24.8,107,-1
1961,10,179,31.1,21.5,105,1.1
1961,11,1,27.6,13.8,51,0.9
1961,12,0,24.3,8.9,37,1
1962,1,14,24.8,9,40,1.1
1962,2,8,28.7,13.6,35,1.2
1962,3,3,35.1,16.8,19,0.7
1962,4,14,38.5,22.9,23,-0.2
1962,5,56,37.4,25.1,59,-0.6
1962,6,176,34.9,26,133,-0.7
1962,7,216,32.9,26,130,-1.5
1962,8,417,31.5,25.1,116,-0.6
1962,9,138,32.2,24.9,112,-1.5
1962,10,90,30.8,21,99,-1.5
1962,11,0,29,14,48,-1.5
1962,12,1,26.2,10.9,33,-1.3
1963,1,1,25.3,9.1,33,-1.5
1963,2,1,31.1,13.8,25,-1.7
1963,3,14,34.3,17.4,26,-1.6
1963,4,41,37.8,21.9,46,-0.9
1963,5,60,36.4,24.2,62,-0.8
1963,6,280,34.6,25.7,148,1.2
1963,7,305,31.9,25.7,111,1.5
1963,8,175,32,25.5,124,-1.1
1963,9,245,32.6,25,114,-0.7
1963,10,231,31.6,21.8,112,2.1
1963,11,28,29.3,15.5,67,2.6
