Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.1458 North,83.8125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,27,26.4,11.3,51,-0.6
1958,2,9,28,13.2,42,-0.8
1958,3,26,34.7,16.6,46,0.3
1958,4,8,40.4,23.4,19,-0.1
1958,5,1,42.9,27.5,8,-0.6
1958,6,59,41.1,29.4,61,-1.6
1958,7,401,33.6,26.4,121,-0.8
1958,8,323,31.7,25.6,113,0.4
1958,9,254,31.7,24.7,106,1.1
1958,10,99,31.9,21.1,107,1.9
1958,11,0,29.1,14,54,2.1
1958,12,0,26.4,10.9,42,2.1
1959,1,68,24.5,10.4,68,3.4
1959,2,3,27.1,11.8,41,3.1
1959,3,4,33.8,16.8,33,2.8
1959,4,4,39.2,23.2,18,2.5
1959,5,12,42,26.6,21,2.3
1959,6,55,38.7,28,58,1.2
1959,7,283,32.9,26.5,131,0.7
1959,8,306,31.7,25.8,117,-1.3
1959,9,178,30.8,24.8,104,-1.6
1959,10,127,30.5,21.9,107,1.6
1959,11,0,28.5,13.5,54,1.8
1959,12,0,25.8,10.3,39,1.9
1960,1,5,24.3,9.3,36,1.5
1960,2,0,30.1,13.2,37,1.2
1960,3,37,32.1,16.1,58,1.9
1960,4,4,40.1,22.2,16,1.5
1960,5,2,42.2,26.6,10,1
1960,6,77,39.6,28.6,79,-1.2
1960,7,356,32.3,26.2,121,-0.8
1960,8,412,31.7,26,115,1.2
1960,9,176,31,25.3,106,0.6
1960,10,37,31.4,20.6,90,-0.3
1960,11,0,28.1,12.1,44,-0.8
1960,12,0,26,9,30,-0.9
1961,1,37,24.7,10.6,49,0.5
1961,2,35,25.4,11.5,54,1.2
1961,3,1,33.6,18.2,23,0.7
1961,4,0,39.8,22.7,12,-0.3
1961,5,3,42,26.8,11,-0.8
1961,6,171,37.4,26.9,157,0.7
1961,7,218,32.9,26,122,-0.8
1961,8,371,31.8,25.8,113,-0.7
1961,9,212,31,24.8,105,-0.8
1961,10,83,31.1,20.3,99,0.7
1961,11,0,27.3,12.2,52,1
1961,12,7,23.7,7.4,39,1.2
1962,1,22,23.6,8,45,1.3
1962,2,10,27.3,12.2,40,1.3
1962,3,6,33.9,15.3,31,1.1
1962,4,6,38.6,22,18,1
1962,5,3,41.2,26.1,11,0.6
1962,6,105,38.9,28.5,106,-0.1
1962,7,271,34,26.6,135,-0.9
1962,8,300,31.3,25.3,111,-1.1
1962,9,295,31.1,24.6,110,0.6
1962,10,17,30.6,19.6,78,-0.6
1962,11,0,29,12.5,45,-0.8
1962,12,4,26.1,9.7,35,-0.9
1963,1,8,24.1,7.9,30,-1.2
1963,2,5,29.7,12.3,28,-1.6
1963,3,29,32.5,15.6,40,-1.1
1963,4,4,37.8,21.2,12,-1.2
1963,5,25,40,24.9,29,-0.6
1963,6,112,37.4,26.8,111,-0.7
1963,7,317,32.4,25.8,119,-0.7
1963,8,425,31.7,25.7,112,1.1
1963,9,244,31.8,24.4,115,1
1963,10,130,31.7,21.1,114,2.5
1963,11,3,29.3,14.8,60,2.8
1963,12,0,26.5,10.3,39,2.7
1964,1,3,24.3,9.4,38,2.1
1964,2,9,27.9,12.9,41,2
