Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.0625 North,84.5208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,39,26.3,10.9,57,0.3
1958,2,31,27.6,13,52,0
1958,3,30,34,16.3,40,0.1
1958,4,21,38.3,22.3,27,-0.1
1958,5,6,39.7,25.3,10,-1
1958,6,115,37.2,25.7,113,-1.8
1958,7,523,29.9,23.1,101,-1.4
1958,8,377,29,22.6,102,-1.3
1958,9,269,29.5,22.1,97,-0.8
1958,10,153,29.2,19.4,109,1.6
1958,11,5,26.4,13.2,58,1.7
1958,12,0,25.2,10.4,40,1.7
1959,1,57,24.5,10.3,64,2.4
1959,2,5,26.8,11.7,34,1.8
1959,3,4,32.8,16.5,17,1.2
1959,4,17,37.3,22.1,24,0.9
1959,5,39,39.1,24.5,43,0.7
1959,6,129,34.5,24.4,127,-1.4
1959,7,380,29.3,23.1,104,-1.8
1959,8,364,29,22.8,103,-1.8
1959,9,208,28.6,22.1,90,-1.8
1959,10,188,27.9,19.6,98,1.9
1959,11,0,25.7,11.9,52,1.8
1959,12,1,24.3,9.4,37,1.8
1960,1,4,24.5,9.2,34,1.3
1960,2,0,29.6,12.8,21,-0.6
1960,3,53,31.2,15.8,61,0.8
1960,4,9,38.5,21.3,15,-0.5
1960,5,11,38.9,24.6,15,-1.1
1960,6,157,35.4,24.8,151,-1.5
1960,7,472,28.7,22.8,101,-1.3
1960,8,460,29.1,23.1,100,-0.6
1960,9,189,28.8,22.6,96,-1
1960,10,59,28.8,18.5,91,-1.3
1960,11,0,25.5,11,45,-1.4
1960,12,1,24.9,8.5,31,-1.4
1961,1,59,24.8,10.4,63,0.8
1961,2,79,24.9,11.5,82,2
1961,3,0,32.8,18.4,18,1.4
1961,4,1,38.1,21.9,10,0.7
1961,5,27,38.8,24.5,32,-1.1
1961,6,299,33.5,23.5,142,0.5
1961,7,302,29.3,22.7,100,-0.1
1961,8,460,29,22.9,98,1
1961,9,275,28.7,22,90,1.4
1961,10,124,28.5,18.4,104,2
1961,11,0,25,11,52,1.9
1961,12,6,23,6.9,41,2.1
1962,1,22,23.7,7.7,46,2
1962,2,18,27.1,12,41,1.7
1962,3,17,33.4,15.2,28,1.4
1962,4,18,36.9,21.1,24,1.1
1962,5,9,38.3,23.8,13,-1
1962,6,194,34.6,24.5,140,-1
1962,7,353,30.3,23.4,115,-1.3
1962,8,304,28.7,22.4,97,-1.9
1962,9,274,29.1,22,102,-1.3
1962,10,59,28.1,18.1,91,-1.5
1962,11,0,26.3,11.2,45,-1.6
1962,12,3,24.8,8.9,35,-1.6
1963,1,5,24.1,7.8,28,-1.9
1963,2,6,29.3,12.2,18,-2.4
1963,3,44,32.6,15.5,49,-1.7
1963,4,18,36.5,20.2,22,-1.7
1963,5,90,37.4,23,89,1.2
1963,6,199,33.7,23.5,152,0.9
1963,7,358,29.1,22.9,107,-0.4
1963,8,470,29.2,22.8,100,1.1
1963,9,265,29.6,22.2,102,1.2
1963,10,217,29.1,19,106,3.4
1963,11,4,27,13.1,58,3.3
1963,12,0,25,9.8,38,3
1964,1,3,24.6,9.7,36,2.3
1964,2,20,27.9,12.8,36,1.8
1964,3,2,33.9,17.8,11,1.1
1964,4,30,36.9,22.2,34,1
1964,5,57,38.2,23.7,58,1.2
1964,6,252,34.8,24,152,1.3
1964,7,474,28,21.8,112,1.6
1964,8,470,28.9,22.9,97,2.1
1964,9,235,29.1,22.2,99,1.9
1964,10,78,28.6,19.9,96,1.6
1964,11,16,25.6,12.6,58,2
1964,12,0,24.9,9.5,39,1.7
1965,1,5,25.1,10.3,32,1.1
1965,2,8,27.5,12.1,22,-1
1965,3,25,32,14.8,32,-0.9
1965,4,40,36.2,20.8,44,0.4
1965,5,13,39.1,24.6,17,-1
1965,6,81,35.8,25.2,80,-2
1965,7,400,29.4,22.9,112,-2.2
1965,8,307,28.8,22.6,110,-2.7
1965,9,227,29.1,22.1,102,-2.6
1965,10,45,29.1,18.8,86,-2.9
1965,11,0,27,12.6,47,-3
1965,12,2,23.6,9.4,33,-3
1966,1,74,24,10.1,73,-1.7
1966,2,14,29.1,13.4,31,-1.9
1966,3,1,33.3,16.6,11,-2.3
1966,4,3,38.4,22,9,-2.6
1966,5,9,40.1,25.1,13,-3.1
1966,6,288,34.6,24.3,163,-2.4
1966,7,159,30.4,23.3,119,-3.2
1966,8,245,29,22.5,107,-4.2
1966,9,110,29.5,22.2,107,-5.4
1966,10,19,28.9,18.3,77,-5.8
1966,11,16,26.6,13.4,50,-5.4
1966,12,11,23.8,8.9,35,-4.9
1967,1,28,23.8,10.1,43,-4.5
1967,2,0,28.9,12.8,11,-4.9
1967,3,77,30.4,15.8,80,-3.1
1967,4,30,36.4,19.4,33,-2.7
1967,5,15,39,24.3,17,-3
1967,6,166,36,24.8,158,-3.2
1967,7,373,29.9,23.1,117,-3.5
1967,8,624,28.6,22.4,98,-1.1
1967,9,297,28.7,21.9,98,2.5
1967,10,26,28.8,18,80,1.4
1967,11,0,26.1,10.9,44,0.6
1967,12,9,25.5,10.3,34,-1.4
1968,1,45,23.8,9.4,55,-1
1968,2,22,26.5,11.3,33,-1.1
1968,3,10,32.1,16.1,17,-1.4
1968,4,2,36.2,20.7,7,-1.9
1968,5,6,39.3,24.3,9,-2.6
1968,6,261,32.7,23.3,145,-2.1
1968,7,332,28.8,22.8,111,-2.1
1968,8,369,29.1,22.6,110,-2.1
1968,9,116,30,22.7,108,-3.4
1968,10,92,28.3,18.3,104,-2.9
1968,11,4,26.1,12.8,54,-2.5
1968,12,3,25.1,9.7,41,-2.2
1969,1,15,24.7,8.7,39,-2.2
1969,2,10,28.7,13,24,-2.5
1969,3,9,34.2,18.2,17,-2.7
1969,4,17,38.1,21.8,21,-2.7
1969,5,69,38.3,23.2,69,-1.8
1969,6,155,35,24.7,148,-2.1
1969,7,501,29.1,22.9,109,-1.8
1969,8,448,28.2,22.1,99,-1.1
1969,9,236,28.8,22.1,98,-1
1969,10,20,29.1,18.7,78,-1.9
1969,11,18,27,13.3,52,-1.8
1969,12,0,24.6,9.3,28,-2
1970,1,49,24.1,10.2,57,-1.4
1970,2,37,27,12.2,49,-1.1
1970,3,39,31.7,17,45,-0.6
1970,4,6,37.7,21.8,11,-1.1
1970,5,48,39.4,24.6,49,-0.9
1970,6,349,33.1,22.9,155,0.8
1970,7,382,29.2,22.5,111,1.2
1970,8,344,29.1,22.9,108,0.7
1970,9,351,28.4,22.2,99,1.9
1970,10,71,28.7,19,95,1.5
1970,11,2,25.6,11.8,54,1.3
1970,12,0,24.4,8.1,33,0.9
1971,1,74,23.4,9.9,73,1.9
1971,2,29,26.1,11.2,48,1.9
1971,3,7,32.1,15.3,18,1.4
1971,4,63,34.1,20.1,67,2.4
1971,5,101,36,22,101,3.5
1971,6,588,31.4,22.1,138,5.8
1971,7,546,27.9,21.8,104,6.5
1971,8,627,27.5,21.8,94,7.9
1971,9,163,29.1,22,102,6.2
1971,10,132,28.1,18.5,109,6.4
1971,11,2,24.8,11.3,55,5.9
1971,12,0,24.5,8.4,38,5.4
1972,1,16,24.3,9,39,4.8
1972,2,88,24.7,10.4,87,5.8
1972,3,1,32.6,16.7,21,4.9
1972,4,33,37.3,20.5,42,4.7
1972,5,3,40,25,9,3.3
1972,6,73,36.7,24.9,74,1.8
1972,7,307,30.2,23.1,120,0.6
1972,8,449,28.9,22.3,108,1
1972,9,206,29.6,21.4,111,-2.3
1972,10,131,28.9,17.4,109,-1.3
1972,11,16,26,11.6,59,1.4
1972,12,1,25.1,9.1,43,1.5
1973,1,13,25.1,9.9,42,1.3
1973,2,11,28.4,13.4,32,0.8
1973,3,15,31.8,15.7,25,-0.2
1973,4,4,38.2,22.5,11,-1.1
1973,5,29,38.2,24,32,-1.3
1973,6,202,34.1,23.6,154,-1.3
1973,7,287,29.6,23,110,-1.9
1973,8,418,28.9,22.4,102,-1.5
1973,9,281,28.4,22.1,94,-0.8
1973,10,181,28,19.1,106,2.4
1973,11,4,24.4,12.9,55,2.4
1973,12,10,23,9.5,43,2.7
1974,1,1,23.4,8.7,35,2
1974,2,6,26.8,10.8,26,1.3
1974,3,32,32.2,17.3,41,1.4
1974,4,3,36.5,22.4,10,0.7
1974,5,22,38,23.8,25,-1.3
1974,6,106,35,24,104,-2
1974,7,524,28.9,22.4,109,-1.6
1974,8,338,28.9,22.4,101,-1.9
1974,9,189,29.4,22,96,-2.2
1974,10,102,29.3,19.6,104,-1.6
1974,11,4,25.6,12.6,57,-1.3
1974,12,1,23,7.7,37,-1
1975,1,42,23.6,8.9,55,1
1975,2,18,26.9,12.3,41,0.9
1975,3,40,32.9,16.4,49,1.1
1975,4,5,38.2,21.7,11,-0.6
1975,5,20,39.7,24.4,24,-1
1975,6,168,34.2,23.6,161,-1.3
1975,7,549,28.3,22.2,116,-0.9
1975,8,230,28.8,22.3,108,-2.1
1975,9,296,28.7,21.8,108,-1.4
1975,10,89,29.1,19.9,100,-1.1
1975,11,6,25,11.9,57,-0.8
1975,12,0,23.8,7.8,37,-0.7
1976,1,4,24.4,9.3,32,-1.1
1976,2,19,27.3,13.4,32,-1.3
1976,3,3,32.3,17.5,11,-1.8
1976,4,35,36.9,20.9,38,-1.3
1976,5,29,37.9,23.3,31,-1.5
1976,6,105,34.9,23.9,102,-2.2
1976,7,430,29.7,22.5,116,-2.3
1976,8,370,28.5,22,100,-2.2
