Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.9792 North,85.3542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,31,25.1,11.1,55,0.2
1958,2,17,26.1,13,46,-0.1
1958,3,17,33.2,17,36,-0.2
1958,4,15,37.9,23.2,25,-0.1
1958,5,12,39.8,26.5,18,-1.2
1958,6,107,37.3,26.3,106,-2.1
1958,7,364,30.4,23.7,108,-2
1958,8,460,29.1,22.9,102,-0.8
1958,9,239,29.9,22.4,96,1.1
1958,10,143,29.2,19.8,108,2
1958,11,1,25.9,13.2,53,1.8
1958,12,0,24.1,10.6,41,1.7
1959,1,69,23.2,10.3,71,2.9
1959,2,3,25.2,11.7,42,2.4
1959,3,11,32,17,35,2.1
1959,4,13,36.8,22.9,25,1.9
1959,5,30,39,25.5,36,1.4
1959,6,134,34.7,25.1,132,0.7
1959,7,277,29.6,23.7,113,-1.5
1959,8,320,29.2,23.2,106,-1.9
1959,9,215,28.7,22.2,91,-1.7
1959,10,178,27.6,19.7,98,1.7
1959,11,0,25.3,12.3,51,1.5
1959,12,0,23.2,9.7,38,1.4
1960,1,3,23.1,9.2,36,0.9
1960,2,0,28.2,13.1,34,-0.5
1960,3,49,30.4,16.4,62,0.8
1960,4,4,38.2,22.1,13,-0.5
1960,5,14,39,25.6,20,-1.1
1960,6,120,35.5,25.4,119,-1.8
1960,7,358,29,23.2,108,-1.8
1960,8,367,29.3,23.5,108,-1.4
1960,9,223,28.9,22.6,96,-1.3
1960,10,52,28.5,18.7,89,-1.7
1960,11,0,25,11.2,44,-1.8
1960,12,0,23.8,8.7,31,-1.9
1961,1,36,23.5,10.5,50,-1.4
1961,2,63,23.4,11.5,73,1.4
1961,3,0,32.1,18.7,23,0.8
1961,4,2,37.6,22.6,13,-0.4
1961,5,22,38.8,25.6,29,-1.2
1961,6,245,33.6,24.1,140,0.7
1961,7,188,29.7,23.2,107,-0.7
1961,8,379,29.2,23.3,102,0.2
1961,9,196,29.2,22.4,94,-0.7
1961,10,149,28.3,18.5,104,1.1
1961,11,1,24.5,11.3,51,1.1
1961,12,6,21.4,6.7,42,1.3
1962,1,25,22.4,7.8,50,1.4
1962,2,19,25.8,12.2,46,1.5
1962,3,9,32.6,15.8,33,1.1
1962,4,10,36.6,22,22,0.9
1962,5,18,38.2,24.8,25,-0.5
1962,6,168,34.7,25.2,136,-0.7
1962,7,255,30.7,23.8,117,-1.3
1962,8,397,28.8,22.7,100,-0.9
1962,9,222,29.4,22.2,101,-0.9
1962,10,48,27.7,17.9,85,-1.3
1962,11,0,25.8,11.4,45,-1.5
1962,12,4,23.6,9,36,-1.5
