Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.4792 North,85.6042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,26,24.8,11.1,53,0.3
1958,2,7,26.5,13.2,46,-0.1
1958,3,7,33.7,17.5,47,-0.3
1958,4,11,38.8,24.3,29,0
1958,5,10,40.3,27.1,21,-1
1958,6,128,38.2,27.3,129,-1.9
1958,7,247,31.9,24.7,118,-2.2
1958,8,410,30.1,24.2,106,-1.1
1958,9,189,30.7,23.5,99,-0.9
1958,10,138,30.2,20.9,108,1.7
1958,11,0,27.1,13.9,54,1.6
1958,12,0,24.5,11.1,43,1.7
1959,1,56,23,10.3,62,2.9
1959,2,1,25.6,12,45,2.6
1959,3,9,32.6,17.5,56,2.8
1959,4,11,37.6,24.1,32,2.7
1959,5,23,39.5,26.2,34,2.1
1959,6,158,35.7,25.8,152,1.5
1959,7,195,31,24.7,124,-1.6
1959,8,237,30.3,24.5,113,-2.6
1959,9,164,29.5,23.2,98,-2.9
1959,10,169,28.5,20.9,99,-1.1
1959,11,0,26.4,13.1,52,-0.9
1959,12,0,23.6,10.3,40,-0.6
1960,1,2,22.9,9.2,37,-0.8
1960,2,0,28.6,13.3,39,-1
1960,3,30,31,16.9,64,1.3
1960,4,2,38.9,23.2,20,0.7
1960,5,13,39.6,26.3,23,-0.6
1960,6,143,36.5,26.3,143,-1.6
1960,7,263,30.4,24.3,117,-1.8
1960,8,261,30.5,24.9,116,-2.1
1960,9,195,29.7,23.6,98,-1.7
1960,10,50,29.4,19.8,89,-2.1
1960,11,0,26,12,46,-2.1
1960,12,0,24.3,9.4,34,-2.1
1961,1,24,23.2,10.5,44,-1.7
1961,2,33,23.9,11.7,57,-0.7
1961,3,0,32.6,19.1,37,-1
1961,4,2,38.5,23.7,19,-1.2
1961,5,18,39.4,26.3,28,-1.5
1961,6,259,34.8,25.1,143,-0.6
1961,7,137,31.3,24.3,122,-1.5
1961,8,285,30.4,24.6,111,-1.7
1961,9,146,30,23.4,102,-2.1
1961,10,163,29.2,19.7,105,1.4
1961,11,1,25.4,12.1,52,1.4
1961,12,2,21.7,7.3,42,1.6
1962,1,23,22.2,7.8,49,1.7
1962,2,12,26.1,12.4,44,1.9
1962,3,7,33.1,16.2,54,1.9
1962,4,9,37.4,23,29,1.8
1962,5,18,38.6,25.6,29,1.3
1962,6,195,35.7,26.1,139,1.2
1962,7,196,32.1,24.8,125,-0.7
1962,8,356,29.9,24,107,0.4
1962,9,171,30.1,23.2,104,-0.6
1962,10,48,28.6,19,84,-1.1
1962,11,0,26.8,12.2,47,-1.2
1962,12,2,24,9.6,37,-1.2
1963,1,5,22.7,7.9,36,-1.5
1963,2,2,28.4,12.5,35,-1.7
1963,3,21,32.1,16.7,47,-1.5
1963,4,12,36.8,22.3,26,-1.3
1963,5,46,37.6,24.7,53,-0.7
1963,6,256,34.9,25.1,152,1.1
1963,7,233,30.8,24.3,109,1
1963,8,315,30.4,24.5,115,1.6
1963,9,188,30.7,23.2,107,1.4
1963,10,190,29.6,20,108,3.1
1963,11,13,27.1,14,59,3.4
1963,12,0,24.6,10.5,42,3.3
1964,1,5,22.9,9.4,42,2.8
1964,2,4,26.7,13,42,2.4
1964,3,2,33.8,18.7,41,1.8
1964,4,14,37.2,24,32,1.7
1964,5,39,38.2,24.9,48,1.8
1964,6,219,36.2,25.6,181,1.6
1964,7,304,29.7,23.3,120,1.7
1964,8,221,30.3,24.5,116,1.3
1964,9,175,30.2,23.5,105,1
1964,10,108,29.6,21,106,1.3
1964,11,6,26.3,13.5,56,1.5
1964,12,0,24.1,10.1,43,1.6
1965,1,0,23.7,10.2,39,1
1965,2,3,26.4,12.4,39,0.7
1965,3,16,31.6,15.7,49,0.7
1965,4,10,36.6,22.7,26,-0.1
1965,5,8,39.7,26.2,17,-1.1
1965,6,109,37,26.5,111,-2
