Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.7292 North,84.5208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,31,26.2,11.1,55,0.2
1958,2,14,27.7,13.1,48,-0.1
1958,3,34,34.7,17,65,0.1
1958,4,12,39.6,23.3,27,0
1958,5,3,41.7,26.7,13,-0.7
1958,6,87,39.6,28,90,-1.6
1958,7,445,32,24.9,111,-1.1
1958,8,389,30.6,24.1,106,0.5
1958,9,282,30.7,23.4,101,1
1958,10,130,30.7,20.5,110,2.1
1958,11,0,27.4,13.6,54,2.1
1958,12,1,25.6,10.7,44,2
1959,1,64,24.4,10.4,68,3.1
1959,2,3,26.7,11.8,45,2.6
1959,3,8,33.5,17.1,47,2.2
1959,4,6,38.4,23,24,2
1959,5,16,40.9,25.7,26,1.6
1959,6,93,37,26.7,95,0.7
1959,7,324,31.3,24.9,118,-1.4
1959,8,314,30.6,24.4,110,-1.5
1959,9,207,29.8,23.4,95,-1.7
1959,10,152,29.3,20.8,101,1.7
1959,11,0,27,12.7,51,1.7
1959,12,0,24.8,9.8,39,1.6
1960,1,4,24.3,9.2,37,1.2
1960,2,0,29.8,13.2,40,0.7
1960,3,62,31.9,16.5,84,1.7
1960,4,5,39.8,22.2,22,1.2
1960,5,4,40.9,25.9,14,0.6
1960,6,108,37.8,27.1,110,-1.3
1960,7,383,30.6,24.4,111,-1.3
1960,8,419,30.7,24.7,109,0.7
1960,9,212,30,23.8,102,-0.4
1960,10,44,30.2,19.7,88,-0.7
1960,11,0,26.6,11.6,44,-0.9
1960,12,0,25.1,8.7,32,-1
1961,1,37,24.6,10.3,51,0.4
1961,2,56,24.9,11.6,70,1.4
1961,3,0,33.4,18.7,35,0.9
1961,4,1,39.2,22.6,17,-0.3
1961,5,8,40.7,25.9,17,-1
1961,6,236,35.8,25.7,148,0.7
1961,7,231,31.3,24.4,110,-0.6
1961,8,395,30.7,24.5,105,0.4
1961,9,230,30.1,23.5,96,-0.1
1961,10,110,29.9,19.4,105,1.2
1961,11,1,26.1,11.7,52,1.3
1961,12,8,23.1,7,43,1.6
1962,1,23,23.5,7.8,49,1.7
1962,2,16,27.2,12.2,48,1.7
1962,3,11,34,15.7,50,1.5
1962,4,6,38.1,22,23,1.3
1962,5,6,40.2,25.2,16,0.7
1962,6,147,37,26.8,141,0.6
1962,7,290,32.3,25.1,123,-1
1962,8,345,30.2,23.9,104,-1.2
1962,9,292,30.2,23.3,105,-0.7
1962,10,29,29.4,19,80,-1.2
1962,11,0,27.4,11.8,45,-1.4
1962,12,5,25.2,9.2,38,-1.5
1963,1,6,24,7.9,33,-1.8
1963,2,6,29.5,12.4,34,-2.1
1963,3,50,32.9,16,65,-1.4
1963,4,7,37.5,21.1,17,-1.5
1963,5,43,39,24.2,48,-0.7
1963,6,166,36,25.8,158,-0.6
1963,7,331,31,24.5,113,-0.9
1963,8,438,30.8,24.4,107,0.7
1963,9,262,30.8,23.3,107,0.9
1963,10,184,30.4,20,109,3
1963,11,6,28,13.8,58,3.1
1963,12,0,25.6,10.2,39,2.9
1964,1,4,24.2,9.5,41,2.3
1964,2,12,27.9,12.9,46,1.9
1964,3,2,34.7,18.4,31,1.2
1964,4,14,38,23,28,1.1
1964,5,25,39.7,24.6,33,1.1
1964,6,213,37.3,26.2,163,1.4
1964,7,386,29.8,23.4,121,1.4
1964,8,406,30.7,24.6,105,1.9
1964,9,261,30.3,23.5,105,1.8
1964,10,72,30.1,20.9,95,1.7
1964,11,13,26.8,13.2,56,2
1964,12,0,25.3,9.8,42,1.8
1965,1,0,25.1,10.3,34,1
1965,2,3,27.5,12.2,37,-1
1965,3,27,32.5,15.3,46,-0.9
1965,4,19,37.3,21.6,30,-0.6
1965,5,6,41,25.7,13,-1
1965,6,62,38.3,27.4,65,-2
1965,7,336,31.4,24.6,123,-2.2
1965,8,292,30.4,23.9,114,-2.4
1965,9,230,30.4,23.2,107,-2.4
1965,10,35,30.3,19.7,82,-2.7
1965,11,2,28.2,13.3,49,-2.7
1965,12,3,24,9.4,36,-2.6
1966,1,46,23.8,10.1,56,-1.7
1966,2,9,29.2,13.7,41,-1.8
1966,3,1,33.9,17,25,-2.3
1966,4,0,39.6,22.9,13,-2.5
1966,5,6,41.8,26.2,14,-2.7
1966,6,211,37.1,26.7,172,-2.1
1966,7,115,32.4,24.9,114,-3.2
1966,8,270,30.6,24,115,-4.4
1966,9,71,30.6,23.4,92,-5.3
1966,10,8,30.3,19.2,61,-6
1966,11,11,27.9,13.9,41,-6.2
1966,12,15,24.2,9.1,34,-5.9
1967,1,3,23.7,9.9,23,-6.1
1967,2,1,29.1,13,13,-6.7
1967,3,83,31.1,16.2,86,-4.8
1967,4,12,37.3,20.1,17,-4.6
1967,5,8,40.6,25.3,12,-4.6
1967,6,114,38.4,27,111,-4.8
1967,7,296,31.9,24.7,127,-4.9
1967,8,608,30.2,24,106,-3
1967,9,315,30,23.2,102,-2.1
1967,10,19,30.2,19,78,-2.7
1967,11,0,27,11.5,46,-2.8
1967,12,13,25.6,10.3,40,-2.5
1968,1,54,23.6,9.5,62,-1.5
1968,2,8,26.4,11.3,37,-1.6
1968,3,5,32.9,17,28,-2
1968,4,0,37.5,21.7,13,-2.2
1968,5,4,41,25.4,12,-2.6
1968,6,172,34.9,25.5,152,-2.2
1968,7,249,30.6,24.4,119,-2.7
1968,8,343,30.8,24.2,117,-2.9
1968,9,100,31.2,23.8,107,-4.1
1968,10,50,29.6,19.3,90,-4
1968,11,0,27.3,13.5,47,-3.8
1968,12,5,25.5,10,40,-3.7
1969,1,11,24.6,8.6,37,-3.7
1969,2,9,28.7,12.9,37,-3.9
1969,3,11,34.8,18.5,26,-4.1
1969,4,8,38.9,22.3,17,-4
1969,5,37,40.2,24.5,41,-3
1969,6,134,37.5,26.9,132,-3.1
1969,7,444,31,24.5,119,-2.5
1969,8,383,29.8,23.6,107,-1.8
1969,9,264,30,23.3,100,-1.5
1969,10,9,30.6,19.9,75,-2.4
1969,11,14,28.3,14,53,-2.2
1969,12,0,25.1,9.6,30,-2.4
