Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.6458 North,87.8542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,10,27,12.3,41,-0.1
1958,2,16,28.2,13.7,45,0.3
1958,3,2,35.4,17.8,30,-0.4
1958,4,18,39.1,24,31,-0.5
1958,5,61,38.3,26.6,66,-0.9
1958,6,117,36.8,27.5,117,-2.3
1958,7,267,33.1,26.6,121,-3.1
1958,8,472,31.8,26.1,110,-1.4
1958,9,185,32.5,25.8,99,-1.5
1958,10,121,32,23.6,108,-1.2
1958,11,5,28.7,16.3,54,-1.1
1958,12,0,26.6,13.2,38,-0.8
1959,1,38,25.2,11.6,52,1.7
1959,2,2,27.5,12.8,39,1.6
1959,3,9,34,17.6,41,1.5
1959,4,18,37.9,23.9,32,1.3
1959,5,73,37.4,25.7,78,1.1
1959,6,207,34.2,26.2,132,0.8
1959,7,236,32.2,26.4,121,-1.1
1959,8,389,31.9,26.2,114,1
1959,9,248,31.3,25.4,100,1.6
1959,10,332,30.2,23.2,98,4.7
1959,11,0,27.9,15.1,51,4
1959,12,0,25.7,12.1,35,3.8
1960,1,1,25.2,10.2,32,3
1960,2,0,30.7,14.2,33,2.5
1960,3,14,32.5,17.1,40,2.3
1960,4,1,40.3,23.4,14,1.3
1960,5,56,37.8,26.1,62,0.7
1960,6,134,35.1,26.5,131,-2.6
1960,7,349,31.7,26.1,121,-2.7
1960,8,210,32.2,26.5,123,-3.1
1960,9,251,31.7,25.8,97,-2
1960,10,69,31.4,22.4,97,-2.4
1960,11,2,27.8,14.2,47,-2.5
1960,12,0,26.8,11.9,29,-2.4
1961,1,22,25.6,11.7,39,-1.9
1961,2,33,25.6,12.5,52,-0.8
1961,3,3,34.6,19.7,33,-0.9
1961,4,7,39.1,23.5,21,-1.3
1961,5,82,37.2,25.8,86,-1
1961,6,252,33.7,25.8,134,-0.6
1961,7,170,32.5,26.2,128,-1.6
1961,8,319,32.1,26.3,122,-1.6
