Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.1458 North,84.1875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,28,26.3,11.2,52,-0.6
1958,2,10,27.9,13.2,44,-0.7
1958,3,24,34.6,16.6,48,0.1
1958,4,10,40,23.2,23,-0.1
1958,5,2,42.4,27,10,-0.7
1958,6,67,40.8,29.1,70,-1.6
1958,7,422,33.7,26.4,122,-0.9
1958,8,326,31.6,25.5,112,0.4
1958,9,258,31.7,24.6,105,1.1
1958,10,111,31.7,21.1,110,2
1958,11,0,28.8,13.8,54,2.2
1958,12,0,26.3,10.8,43,2.2
1959,1,67,24.5,10.4,68,3.4
1959,2,2,27,11.7,42,3.1
1959,3,5,33.6,16.7,39,2.9
1959,4,5,38.8,22.9,21,2.6
1959,5,15,41.5,26,24,2.3
1959,6,66,38.3,27.7,70,1.3
1959,7,298,32.8,26.3,130,0.8
1959,8,288,31.7,25.7,117,-1.3
1959,9,183,30.7,24.7,103,-1.6
1959,10,127,30.2,21.7,106,1.4
1959,11,0,28.1,13.3,53,1.6
1959,12,0,25.6,10.1,39,1.7
1960,1,4,24.3,9.3,36,1.3
1960,2,0,29.9,13.1,37,0.9
1960,3,41,31.9,16,65,1.6
1960,4,4,39.8,22.1,17,1.3
1960,5,4,41.8,26.1,12,0.7
1960,6,85,39.1,28.2,87,-1.3
1960,7,358,32.1,25.9,121,-1.1
1960,8,393,31.7,26,116,0.8
1960,9,184,30.9,25.2,105,-0.4
1960,10,38,31.1,20.5,89,-0.7
1960,11,0,27.8,12,44,-0.8
1960,12,0,25.9,8.8,30,-0.9
1961,1,37,24.6,10.5,49,0.5
1961,2,42,25.3,11.5,59,1.2
1961,3,1,33.4,18.1,27,0.8
1961,4,0,39.3,22.4,14,-0.3
1961,5,5,41.5,26.2,13,-0.9
1961,6,191,37,26.6,150,0.7
1961,7,219,32.8,25.8,121,-0.7
1961,8,353,31.9,25.8,113,-0.6
1961,9,204,31,24.8,104,-0.8
1961,10,90,30.8,20.2,101,0.7
1961,11,0,27,12.1,51,0.9
1961,12,8,23.5,7.1,40,1.2
1962,1,22,23.5,7.9,46,1.3
1962,2,12,27.3,12.2,41,1.3
1962,3,7,33.7,15.2,36,1.2
1962,4,6,38.2,21.8,20,1.1
1962,5,4,40.8,25.5,13,0.6
1962,6,122,38.3,28,121,0
1962,7,278,33.9,26.4,133,-0.9
1962,8,304,31.3,25.2,111,-1
1962,9,282,31,24.4,109,0.5
1962,10,21,30.3,19.5,79,-0.6
1962,11,0,28.6,12.4,45,-0.7
1962,12,4,25.9,9.5,36,-0.8
1963,1,6,24.1,7.8,31,-1.2
1963,2,5,29.7,12.3,30,-1.6
1963,3,33,32.4,15.5,45,-1
1963,4,5,37.4,21,13,-1.1
1963,5,38,39.6,24.3,42,0.6
1963,6,126,37.1,26.6,124,-0.1
1963,7,304,32.5,25.8,118,-0.3
1963,8,416,31.8,25.6,113,0.9
1963,9,241,31.7,24.3,114,0.8
1963,10,150,31.2,20.9,113,2.5
1963,11,4,28.9,14.6,59,2.7
1963,12,0,26.3,10.2,39,2.7
1964,1,4,24.2,9.3,39,2.1
1964,2,11,27.8,12.9,42,1.9
1964,3,1,34.7,17.8,26,1.3
1964,4,11,38.4,23,24,1.2
1964,5,21,40.4,24.9,28,1.2
1964,6,178,38.3,26.9,170,1.5
1964,7,342,31.3,24.7,124,1.3
1964,8,380,31.9,25.8,114,1.9
1964,9,237,31.2,24.8,110,1.7
1964,10,60,31.6,21.4,94,1.7
1964,11,11,28,13.4,53,1.9
1964,12,0,26,9.8,39,1.7
1965,1,0,25.2,10.1,31,1
1965,2,1,27.7,12.2,32,-1
1965,3,16,32.2,14.9,31,-1
1965,4,17,37.5,21.4,26,-0.6
1965,5,5,41.7,25.8,11,-1
1965,6,45,39.7,28.3,48,-2
1965,7,317,33,25.9,134,-2.1
1965,8,247,31.9,25.2,122,-2.4
1965,9,206,31.5,24.1,112,-2.4
1965,10,30,31.4,20.5,82,-2.6
1965,11,2,29,13.6,49,-2.5
1965,12,3,25.1,9,34,-2.4
1966,1,37,24.2,10,49,-1.7
1966,2,7,29.4,13.5,36,-1.8
1966,3,0,33.8,16.6,18,-2.2
1966,4,0,39.6,22.5,11,-2.4
1966,5,5,42.3,26.2,12,-2.6
1966,6,180,38.2,27.6,172,-1.9
1966,7,105,34.1,26.3,105,-3.5
1966,8,216,31.6,25.2,119,-4.4
1966,9,60,31.8,24.6,80,-5
1966,10,5,31.6,20,34,-6.1
1966,11,9,29.2,14.2,23,-6.9
1966,12,14,24.9,9.2,22,-6.9
1967,1,1,23.9,9.8,7,-7.3
1967,2,0,29.5,13,5,-7.8
1967,3,52,31.1,15.7,53,-6.2
1967,4,9,37.5,20.1,12,-5.9
1967,5,7,41.5,25.5,9,-5.8
1967,6,90,39.6,28.1,87,-5.9
1967,7,273,33.5,26,140,-5.9
1967,8,560,31.4,25.2,115,-4.1
1967,9,301,31,24.1,107,-3
1967,10,15,31.4,19.8,79,-3.4
1967,11,0,28,12.3,45,-3.4
1967,12,12,26.3,10.4,38,-3
1968,1,44,23.5,9.6,54,-2.1
1968,2,6,26.5,11.2,33,-2.1
1968,3,2,32.9,16.7,20,-2.4
1968,4,0,37.7,21.4,11,-2.5
1968,5,3,41.5,25.4,10,-2.8
1968,6,131,36.1,26.6,129,-2.5
1968,7,220,32.2,25.7,127,-3.1
1968,8,312,32,25.2,124,-3.5
1968,9,93,32.3,25,108,-4.4
1968,10,36,30.4,20.1,85,-4.3
1968,11,0,28.3,13.8,44,-4.2
1968,12,4,26,10.2,36,-4.1
1969,1,11,24.6,8.7,33,-4.1
1969,2,7,29.1,12.9,28,-4.3
1969,3,8,34.7,17.8,19,-4.3
1969,4,7,38.8,22,15,-4.1
1969,5,31,40.6,24.5,35,-3.2
1969,6,106,38.6,27.6,105,-3.3
1969,7,420,32.7,26,126,-2.4
1969,8,339,31,24.8,113,-1.7
1969,9,240,30.9,24.5,106,-1.4
1969,10,6,31.7,20.7,75,-2.1
1969,11,11,29.6,14.5,51,-2
1969,12,0,25.9,9.7,28,-2.2
1970,1,49,24.1,10.1,57,-1.2
1970,2,22,26.9,11.9,42,-0.9
1970,3,18,32.4,16.8,39,-0.7
1970,4,1,39.5,22.6,12,-0.9
1970,5,22,42,26.1,28,-0.7
1970,6,190,36.6,26.1,166,1.1
1970,7,311,32.7,25.5,127,0.8
1970,8,260,32,25.7,124,-0.2
1970,9,400,30.6,24.5,107,2.1
1970,10,36,31.4,21,85,1.5
1970,11,0,28.1,12.9,49,1.2
1970,12,0,25.9,8.6,32,0.8
1971,1,57,23.5,9.5,60,1.7
1971,2,8,26.4,11,35,1.4
1971,3,5,32.7,15.5,28,1.1
1971,4,26,36,20.9,37,1.7
1971,5,49,38.6,23.6,54,2.7
1971,6,366,34.7,25.4,144,5
1971,7,454,31.2,24.6,119,6.8
1971,8,553,30.4,24.5,106,8
1971,9,141,31.6,24.1,110,6.3
1971,10,87,30.7,20.5,103,6.3
1971,11,1,27.3,12.7,51,5.9
1971,12,0,26,8.9,37,5.4
1972,1,17,24.5,8.9,39,4.9
1972,2,61,25.1,10.2,69,5.9
1972,3,2,32.9,16.1,39,5.4
1972,4,16,38.8,20.9,32,5.3
1972,5,1,42.8,26,11,4.2
1972,6,37,40.2,27.9,41,2.4
1972,7,253,34,25.9,141,1.4
1972,8,336,31.8,24.8,122,0.9
1972,9,151,31.6,23.8,122,-3.1
1972,10,106,31.3,19.5,108,-1.8
1972,11,13,28,12.7,56,-0.9
1972,12,1,25.9,9.4,43,1.9
