Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.3542 North,85.4375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,19,27.5,11.9,51,0.5
1958,2,28,29.2,14.5,54,0.8
1958,3,15,36.1,18.4,44,-0.2
1958,4,9,39.7,24.1,24,-0.2
1958,5,11,40,26.4,20,-1.3
1958,6,100,37.3,26.2,102,-2.5
1958,7,421,30.8,24.3,104,-2.3
1958,8,341,30,23.6,106,-2.1
1958,9,253,30.6,23.2,98,-1.6
1958,10,104,30.1,21.1,105,-0.6
1958,11,15,27.3,14.9,65,1.5
1958,12,0,26.1,11.5,43,1.7
1959,1,20,25.7,11.3,49,2
1959,2,5,28.4,13,41,1.6
1959,3,4,34.8,18.3,31,1
1959,4,15,38.8,24,28,1
1959,5,51,39.5,25.7,57,1.1
1959,6,146,34.5,24.8,141,-0.6
1959,7,321,30.1,24.2,103,-1.6
1959,8,357,29.8,23.6,103,-1.5
1959,9,245,29.5,23.1,87,-1
1959,10,145,28.6,21,96,2.2
1959,11,0,26.5,13.3,53,1.9
1959,12,1,25.1,10.4,40,2
1960,1,1,25.6,10.2,38,1.7
1960,2,0,31.1,14.3,37,1.1
1960,3,34,33.3,17.8,58,1.4
1960,4,3,40.2,23.6,17,0.9
1960,5,20,39.3,25.9,27,-0.6
1960,6,151,35.4,25.3,145,-1.4
1960,7,470,29.5,23.8,102,-0.8
1960,8,368,30,24.1,99,0.3
1960,9,206,29.8,23.7,94,-0.5
1960,10,49,29.6,20.1,86,-0.7
1960,11,1,26.4,12.8,47,-1
