Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.4792 North,86.4792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,14,29.2,13.7,48,0.7
1958,2,22,30.6,16.2,51,1
1958,3,8,37.2,20,36,0.6
1958,4,17,40.2,25.2,31,-0.3
1958,5,27,40.1,27.8,34,-1.4
1958,6,99,37.9,27.5,100,-2.7
1958,7,281,32.5,26.2,111,-2.9
1958,8,288,31.5,25.3,113,-2.7
1958,9,247,32,25,100,-2.5
1958,10,110,31.6,23.2,105,-1.9
1958,11,18,29.1,16.7,64,-1.3
1958,12,0,27.5,13.4,43,-0.9
1959,1,20,27.3,13,49,1.3
1959,2,5,29.8,14.7,42,1.1
1959,3,6,35.8,19.8,34,0.7
1959,4,26,39.2,25,39,0.7
1959,5,69,39.5,26.9,74,0.9
1959,6,184,35.2,26.2,156,-0.3
1959,7,226,31.7,26,110,-1.1
1959,8,317,31.5,25.5,109,-1
1959,9,331,30.7,24.7,90,1.2
1959,10,221,29.8,22.8,94,3.5
1959,11,0,28.2,15.1,53,2.9
1959,12,0,26.4,12.2,38,2.8
1960,1,0,27,11.8,37,2.3
1960,2,0,32.7,16.1,38,1.8
1960,3,26,34.3,19.2,49,1.7
1960,4,2,40.9,25,15,0.9
1960,5,35,39.5,27.4,41,-1.3
1960,6,134,36.1,26.7,131,-2.1
1960,7,387,31.1,25.6,113,-1.2
1960,8,269,31.7,26,106,-0.6
1960,9,248,31,25.3,95,0
1960,10,67,31,22.1,92,-0.4
1960,11,2,28.1,14.5,49,-0.6
1960,12,0,27.6,11.9,34,-0.7
1961,1,24,27.4,13.1,46,0.5
1961,2,37,27.7,14.5,57,1.3
1961,3,3,36.1,22.3,32,0.7
1961,4,4,40,25,19,-0.6
1961,5,69,39.1,26.9,75,0.4
1961,6,233,34.5,25.6,136,0.8
1961,7,175,31.8,25.7,113,-0.9
1961,8,347,31.7,25.8,101,0.6
1961,9,316,31.2,25,89,1.5
1961,10,91,30.8,22,97,1.5
1961,11,0,27.8,14.5,51,1.1
1961,12,0,25.2,9.7,39,1.1
1962,1,9,26.4,10.4,39,1.1
1962,2,8,30.3,15.2,39,0.9
1962,3,17,36.9,19.1,41,0.8
1962,4,32,38.8,24.4,44,1
1962,5,28,38.6,26.2,35,-0.6
1962,6,186,35,26,126,-0.6
1962,7,221,32.7,26.2,118,-1.3
1962,8,215,31.4,25.3,109,-2.1
1962,9,229,31.8,25.2,104,-2.2
1962,10,114,30.2,21.7,110,-1.6
1962,11,0,28.8,14.7,51,-1.6
1962,12,0,26.9,11.8,40,-1.3
1963,1,0,26.9,10.7,38,-1.3
1963,2,1,32.6,15.8,36,-1.5
1963,3,18,36.2,19.6,40,-1.5
1963,4,37,38.5,23.2,47,-1
1963,5,73,37.7,25.3,77,0.5
1963,6,228,34.8,25.7,146,0.9
1963,7,233,31.8,25.9,110,-0.4
1963,8,232,31.8,25.6,111,-0.7
1963,9,317,32.2,25.2,105,0.8
1963,10,166,31,22.3,105,2.1
1963,11,11,29.3,16.1,59,2
1963,12,0,27.5,12.9,42,2
1964,1,0,27,12.4,43,1.6
1964,2,9,31.1,16.3,44,1.2
1964,3,9,37.2,21.6,30,0.6
1964,4,43,38.4,24.7,52,1
1964,5,63,38.6,26.1,68,1
1964,6,127,35.7,26.3,126,-1.2
1964,7,382,30.6,24.8,123,0.5
1964,8,261,31.7,25.7,108,0.8
1964,9,204,31.7,25.3,104,-0.7
1964,10,92,30.5,23.2,100,0.1
1964,11,15,28.5,16.4,63,0.2
1964,12,0,27.2,12.6,44,0.1
1965,1,3,27.6,13.1,38,-0.2
1965,2,12,30.5,15.3,43,-0.1
1965,3,27,35.1,18.5,46,0.1
1965,4,24,38.3,24.1,34,0
1965,5,26,39.6,27.1,32,-1
1965,6,175,36.2,26.7,160,-1.4
1965,7,263,31.6,25.5,117,-1.8
1965,8,321,31,25,113,-1.5
1965,9,281,31.5,25,105,-1
1965,10,73,30.9,22.1,95,-1.2
1965,11,0,29.6,16,54,-1.5
1965,12,0,25.8,12.5,42,-1.6
1966,1,39,26.5,12.8,54,-0.6
1966,2,5,32.2,16.6,37,-0.8
1966,3,4,36.5,20.1,24,-1.4
1966,4,7,40.3,25.1,18,-1.9
1966,5,16,40.5,27.5,22,-2.8
1966,6,240,35.4,26.2,161,-2.3
1966,7,157,32.6,25.8,121,-3.3
1966,8,227,31.6,25.3,116,-4.4
1966,9,182,31.4,24.7,113,-5.1
1966,10,53,30.4,21.1,90,-5.2
1966,11,27,29,16.8,62,-4.3
1966,12,1,26.1,11.9,39,-4
1967,1,23,26.6,13.2,46,-3.1
1967,2,0,31.8,16,35,-3.2
1967,3,48,33.7,19.7,65,-2.2
1967,4,38,38.2,22.4,47,-1.6
1967,5,23,39.2,26.6,29,-2.2
1967,6,176,36.6,26.5,160,-2.4
1967,7,256,32.3,25.9,119,-2.8
1967,8,316,31.3,25.2,105,-2.4
1967,9,268,31,24.8,99,-2
1967,10,50,30.8,21.4,87,-2.4
1967,11,0,28.6,14,46,-2.6
1967,12,0,27.7,13.1,34,-2.6
1968,1,11,26.8,12.3,40,-2.5
