Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.3542 North,85.3125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,29,26,11.5,53,0.2
1958,2,27,27.4,13.7,54,0.1
1958,3,25,34,17.2,45,-0.1
1958,4,18,38.2,23,28,-0.1
1958,5,11,38.9,25.2,18,-1.1
1958,6,114,36.6,25.2,113,-1.9
1958,7,422,30.2,23.3,102,-1.8
1958,8,393,28.9,22.3,100,-1.1
1958,9,277,29.7,22.1,96,-0.7
1958,10,149,29.6,19.9,107,1.6
1958,11,5,26.4,14.1,57,1.6
1958,12,0,24.7,11.1,42,1.4
1959,1,46,24.1,10.8,60,2
1959,2,5,26.4,12.2,43,1.6
1959,3,7,32.6,17.3,27,1
1959,4,17,37.1,22.7,27,0.8
1959,5,36,38.2,24.2,42,0.6
1959,6,146,33.9,23.9,142,-1.3
1959,7,316,29.3,23.2,105,-1.9
1959,8,339,29,22.6,102,-1.8
1959,9,259,28.6,21.8,88,-1.4
1959,10,202,28,19.9,96,2.1
1959,11,0,25.8,13,51,1.9
1959,12,1,23.9,10.1,40,1.7
1960,1,2,24,9.4,36,1.2
1960,2,0,29.5,13.6,36,-0.6
1960,3,58,31,16.6,71,0.7
1960,4,5,38.7,22.1,14,-0.5
1960,5,15,38.2,24.6,20,-1.2
1960,6,140,34.8,24.3,137,-1.8
1960,7,415,28.7,22.8,102,-1.7
1960,8,382,29.1,22.9,102,-1.2
1960,9,233,28.8,22.4,95,-1.3
1960,10,61,29,18.9,91,-1.6
1960,11,0,25.5,11.9,45,-1.7
1960,12,1,24.4,9.2,34,-1.8
1961,1,41,24.4,10.7,54,-1
1961,2,70,24.5,12,79,1.7
1961,3,1,32.8,19.2,28,1.1
1961,4,1,37.9,22.4,14,-0.5
1961,5,30,38,24.4,37,-1.1
1961,6,274,32.9,23,137,0.6
1961,7,232,29.4,22.8,100,-0.4
1961,8,398,29.1,22.8,97,0.6
1961,9,275,29,22,90,0.9
1961,10,143,28.8,18.7,103,1.7
1961,11,0,25.2,12.1,51,1.5
1961,12,6,22.4,7.4,44,1.6
1962,1,19,23.3,8.1,46,1.6
1962,2,16,27,12.7,45,1.4
1962,3,16,33.4,16.1,37,1.1
1962,4,15,36.8,21.8,26,0.8
1962,5,14,37.4,23.6,21,-0.7
1962,6,184,34,24,133,-1
1962,7,289,30.4,23.5,112,-1.5
1962,8,318,28.7,22.2,97,-1.6
1962,9,261,29.2,21.9,100,-1.3
1962,10,66,28.3,18.4,92,-1.6
1962,11,0,26.3,12.2,47,-1.6
1962,12,4,24.3,9.5,39,-1.6
1963,1,3,23.8,8.3,34,-1.9
1963,2,5,29.3,13,29,-2.4
1963,3,45,32.6,16.5,56,-1.8
1963,4,19,36.5,20.9,25,-1.7
1963,5,78,36.4,22.6,80,-0.7
1963,6,219,33.2,23.1,148,-0.6
1963,7,318,29.2,23,103,-0.8
1963,8,388,29.2,22.6,101,0.4
1963,9,290,29.7,22.1,101,1.2
1963,10,221,29.2,19.2,105,3.2
1963,11,8,26.8,13.9,57,3.2
1963,12,0,24.7,10.6,41,2.9
1964,1,3,24,9.9,40,2.2
1964,2,14,27.6,13.4,45,1.7
1964,3,4,33.9,18.7,19,0.9
1964,4,27,36.5,22.5,35,0.9
1964,5,57,37.2,23.3,60,1.1
1964,6,230,34.3,23.8,155,1.1
1964,7,428,28,21.8,112,1.4
1964,8,374,29.1,22.7,98,1.5
1964,9,231,29.2,22.1,100,1
1964,10,93,28.8,20.2,100,1
1964,11,15,25.8,13.6,60,1.4
1964,12,0,24.4,10.2,43,1.2
1965,1,3,24.7,10.8,37,0.6
1965,2,11,27.3,12.7,39,-0.5
1965,3,30,31.9,15.6,42,0
1965,4,26,36,21.4,33,0.1
1965,5,14,38.3,24.4,19,-1.2
1965,6,96,35.1,24.7,96,-2.1
1965,7,341,29.4,22.9,112,-2.6
1965,8,340,28.6,22.3,106,-2.4
1965,9,253,29.2,22,101,-2.2
1965,10,47,29.1,18.9,85,-2.6
1965,11,1,27.1,13.5,49,-2.8
1965,12,2,23,9.8,37,-2.8
1966,1,60,23.6,10.5,65,-1.5
1966,2,11,29,14,41,-1.7
1966,3,3,33.3,17.3,18,-2.3
1966,4,3,38.4,22.6,11,-2.6
1966,5,13,39.1,24.8,19,-3.1
1966,6,244,34.1,23.9,162,-2.6
1966,7,143,30.4,23.2,119,-3.5
1966,8,263,29,22.3,107,-4.8
1966,9,116,29.3,21.9,108,-6.1
1966,10,25,28.7,18.2,78,-6.5
1966,11,20,26.5,14.3,55,-5.8
1966,12,11,23.2,9.4,41,-5.3
1967,1,17,23.4,10.4,40,-4.9
1967,2,1,28.7,13.5,23,-5.3
1967,3,90,30.4,16.7,98,-3.4
1967,4,28,36.1,19.8,34,-2.8
1967,5,16,38,23.9,21,-3.2
1967,6,148,35.3,24.2,144,-3.5
1967,7,317,29.8,23.1,114,-3.9
1967,8,516,28.7,22.2,99,-2.1
1967,9,302,28.8,21.8,96,-1.2
1967,10,34,28.9,18.2,81,-2
1967,11,0,26.1,11.7,45,-2.3
1967,12,9,24.9,10.7,38,-2.2
1968,1,33,23.5,9.7,50,-1.8
1968,2,16,26.3,11.8,39,-1.9
1968,3,11,32.4,17.3,24,-2.2
1968,4,3,36.5,21.5,11,-2.6
1968,5,10,38.4,24,15,-3.2
1968,6,305,32.1,22.7,139,-2.1
1968,7,322,28.7,22.8,109,-1.6
1968,8,367,29.2,22.5,110,-1.3
1968,9,118,30.1,22.6,107,-3
1968,10,105,28.4,18.5,108,-2.5
1968,11,5,26.2,13.7,55,-2.1
1968,12,3,24.7,10.4,46,-1.8
1969,1,13,24.2,9,43,-1.8
1969,2,10,28.4,13.4,39,-2.1
1969,3,16,34,18.8,29,-2.3
1969,4,17,37.8,22.2,25,-2.2
1969,5,69,37.6,23.2,71,-1.3
1969,6,163,34.4,24.2,154,-1.6
1969,7,407,29.2,23,110,-1.6
1969,8,430,28.2,21.9,100,-0.6
1969,9,267,28.9,21.9,95,0.2
1969,10,28,29.3,18.9,79,-1
1969,11,24,27,14.2,57,-0.7
1969,12,0,24.2,10,33,-0.9
1970,1,35,23.6,10.5,51,0.3
1970,2,25,26.7,12.7,46,0
1970,3,46,31.7,17.9,59,0.6
1970,4,5,37.7,22.5,14,-0.5
1970,5,43,38.6,24.4,47,-0.5
1970,6,311,32.7,22.6,152,0.3
1970,7,343,29.2,22.5,110,0.6
1970,8,301,29.1,22.7,107,-0.4
1970,9,370,28.5,22,97,1.4
1970,10,94,28.8,19.3,101,1.3
1970,11,3,25.9,12.9,58,1.2
1970,12,0,24.1,8.9,39,0.9
1971,1,58,22.9,10.2,65,1.9
1971,2,26,25.7,11.7,51,2
1971,3,8,32.2,16.1,32,1.5
1971,4,61,33.9,20.6,71,2.8
1971,5,90,35.3,22,93,3.8
1971,6,510,31.1,21.8,135,5.9
1971,7,498,27.9,21.8,102,7
1971,8,596,27.5,21.6,92,8.6
1971,9,192,29.2,21.8,100,7
1971,10,136,28.4,18.9,108,7
1971,11,4,25,12.3,55,6.4
1971,12,0,24.3,9.3,40,5.8
1972,1,12,24.1,9.5,40,5.1
1972,2,71,24.3,10.8,78,5.9
1972,3,1,32.5,17.4,33,5
1972,4,22,37.1,21,35,4.7
1972,5,3,39.1,24.8,12,3.2
1972,6,69,35.8,24.2,72,1.5
1972,7,254,30.2,23.1,119,-3.1
1972,8,406,28.7,22,105,-2.9
1972,9,216,29.8,21.5,111,-3.2
1972,10,114,29.1,17.7,108,-2.5
1972,11,16,26.2,12.6,58,-1.7
1972,12,1,24.4,9.5,45,-1.4
1973,1,15,24.6,10.2,46,-1.3
1973,2,12,28.3,13.9,44,-1.4
1973,3,18,31.5,16.3,36,-1.4
1973,4,4,37.9,23,15,-1.8
1973,5,37,36.8,23.3,42,-1.7
1973,6,235,33.3,22.8,149,-1.4
1973,7,252,29.7,23.1,108,-1.9
1973,8,363,28.9,22.1,101,-1.5
1973,9,342,28.6,22,92,1.3
1973,10,190,28.2,19.3,105,2.8
1973,11,6,24.6,14,55,2.7
1973,12,12,22.4,10.2,46,2.9
1974,1,2,23,9.1,39,2.3
1974,2,4,26.4,11.2,38,1.7
1974,3,50,31.8,17.9,65,2
1974,4,5,36.1,22.8,14,1.3
1974,5,26,37,23.5,31,0.8
1974,6,115,34.4,23.6,114,-1.6
1974,7,449,28.8,22.4,108,-1.4
1974,8,314,29,22.3,101,-1.5
1974,9,245,29.1,21.5,92,-1.4
1974,10,106,29.8,20.2,105,-1
1974,11,3,25.8,13.8,58,-0.8
1974,12,2,22.6,8.4,39,-0.7
1975,1,32,23.3,9.4,52,0.4
1975,2,16,26.6,12.8,48,0
1975,3,37,32.8,17.3,55,0.7
1975,4,4,37.8,22.2,15,-0.5
1975,5,24,38.4,24,30,-0.9
1975,6,146,33.7,23.3,142,-1.5
1975,7,477,28.3,22.2,113,-1.1
1975,8,211,28.8,22.1,106,-2.2
1975,9,324,28.8,21.6,107,-1.2
1975,10,101,29.4,20.3,103,-1
1975,11,7,25.2,13.1,60,-0.7
1975,12,0,23.4,8.5,41,-0.7
1976,1,2,24.2,9.9,35,-1
1976,2,24,27.3,14.2,48,-1.1
1976,3,3,32.3,18.4,18,-1.6
1976,4,26,36.9,21.5,34,-1.3
1976,5,41,36.8,22.9,45,-1.3
1976,6,114,34.2,23.3,112,-2
