Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.2292 North,87.6458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,18,26.3,11,45,0.6
1958,2,7,27.2,12.6,39,0.7
1958,3,1,34.1,16.5,24,-0.4
1958,4,13,37.5,22.4,25,0
1958,5,42,36.5,25.5,48,-1
1958,6,160,35.1,26.4,153,-2.1
1958,7,242,32.7,26.3,124,-3.2
1958,8,561,31.2,26.1,106,-0.7
1958,9,176,32,25.2,100,-0.8
1958,10,111,31.8,22.5,107,-0.6
1958,11,4,29.3,14.9,54,1.6
1958,12,0,26.2,11.7,36,1.6
1959,1,41,24.6,10.3,53,2.5
1959,2,0,26.6,11.7,36,2.4
1959,3,11,33.1,16.4,38,2.4
1959,4,12,36.7,22.2,25,2.2
1959,5,41,35.9,24.5,47,1.4
1959,6,246,32.8,25.2,125,1.6
1959,7,224,31.8,26.1,123,-1.1
1959,8,311,31.8,25.9,115,-0.6
1959,9,202,30.9,24.3,101,0.3
1959,10,250,29.7,22.4,98,3.1
1959,11,0,28.1,14.2,51,2.7
1959,12,0,25.6,10.7,34,2.5
1960,1,0,24.5,9,33,1.9
1960,2,0,29.6,13.1,31,1.7
1960,3,20,31.5,15.8,41,1.9
1960,4,0,38.5,21.4,12,1.1
1960,5,46,36.3,24.9,51,-1
1960,6,168,33.7,25.5,149,-2
1960,7,302,31.2,25.9,119,-2.7
1960,8,208,31.7,26.3,123,-3.3
1960,9,243,30.8,25.1,97,-1.9
1960,10,55,30.8,21.4,90,-2.5
1960,11,1,27.9,13.2,45,-2.6
