Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 31.1875 North,75.9792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,24,20.5,7.6,35,0.6
1958,2,6,23,8.4,32,-0.6
1958,3,15,29.6,14.5,32,-1.3
1958,4,3,36.9,20.1,11,-1.4
1958,5,2,39.5,23.2,7,-1.7
1958,6,25,40.9,26.8,27,-2.1
1958,7,249,34.2,27.2,147,-1.7
1958,8,134,33.2,25.6,128,-2.2
1958,9,375,32.2,23,117,2.8
1958,10,79,31.4,17.1,88,4
1958,11,1,27.2,10.1,40,4.3
1958,12,48,22.3,7.3,45,4.9
1959,1,74,18.7,5.2,49,5.8
1959,2,22,21.2,7.3,44,5.7
1959,3,20,29.5,13.8,61,5.5
1959,4,2,34.9,18.8,15,4.8
1959,5,16,38.2,23.5,23,4.5
1959,6,26,41,27.4,29,3.6
1959,7,287,33.7,26.2,150,3.7
1959,8,257,33.1,25.9,129,4.5
1959,9,165,32.8,23.9,114,4.5
1959,10,39,32.7,18.4,80,4.8
1959,11,12,26.8,9.1,41,5
1959,12,1,22.5,6.3,21,4
1960,1,46,18.4,5,46,4
1960,2,0,26,10.5,15,2.9
1960,3,41,27.2,12.6,46,2.6
1960,4,4,33.3,17,8,2.1
1960,5,2,40.2,24,6,1.4
1960,6,35,41.5,27,36,1
1960,7,252,34.4,26.3,142,1.1
1960,8,202,33.3,26.3,132,1.1
1960,9,53,33.9,23.5,101,-1.3
1960,10,8,31.8,16.6,52,-1.6
1960,11,0,27,7.9,14,-2
1960,12,24,21.9,5.9,28,-1.7
1961,1,102,19.6,6.1,46,1.7
1961,2,45,20.6,7.1,50,2.4
1961,3,11,29,14.1,40,1.9
1961,4,9,34.1,17.5,21,1.9
1961,5,5,39.3,23.4,12,1.5
1961,6,42,40.6,26.9,44,1.3
1961,7,230,34.5,26.4,143,1.2
1961,8,218,32.8,25.6,124,1.4
1961,9,140,33.3,23.9,119,1.5
1961,10,53,31.6,17,83,2.3
1961,11,2,24.5,9.1,34,2.6
1961,12,19,19.8,4.5,28,2.6
1962,1,78,18.5,4.9,45,3.6
1962,2,28,23.5,9.3,42,3.9
1962,3,38,28,13.3,63,4.2
1962,4,2,35.2,18.7,20,3.9
1962,5,4,39,23.4,12,3.4
1962,6,24,40.6,26.4,28,2.6
1962,7,273,35.2,27,154,2.6
1962,8,150,33.6,25.6,132,2
1962,9,497,32,22.6,125,6
1962,10,0,31.9,17.1,67,5.4
1962,11,18,26.3,9.6,40,5.3
1962,12,14,20.8,5.8,25,4.7
1963,1,3,19.2,4.5,15,3.5
1963,2,18,24.8,9.5,24,2.7
1963,3,62,28.1,13.1,64,2.8
1963,4,6,33.5,17.6,9,2.3
1963,5,12,37.7,21.8,14,2
1963,6,21,40.5,26.9,22,1.1
1963,7,163,36,27.2,157,-2.2
1963,8,207,32.5,25.6,131,-2.3
1963,9,138,33,22.5,126,-2
1963,10,1,32.9,17.7,38,-2.2
1963,11,11,26.9,10.8,23,-2.2
1963,12,21,22.3,5.5,27,-2.1
1964,1,26,17.2,4.1,30,-2.1
1964,2,8,22.2,8.1,11,-2.6
1964,3,8,29.8,14.1,11,-3.3
1964,4,8,34.9,18.4,9,-3.2
1964,5,18,38,21.1,18,-2.8
1964,6,22,40,26.5,22,-3.2
1964,7,435,33.3,25.3,158,-0.8
1964,8,272,33.5,25.4,144,3.1
1964,9,176,32.6,23.1,128,3.3
1964,10,0,31.6,16.6,66,2.9
1964,11,0,26.7,7.6,29,2.7
1964,12,15,21.6,6.2,25,2.2
1965,1,25,21.2,6.5,31,1.7
1965,2,32,22.1,8.6,37,1.5
1965,3,25,28.3,12.6,28,0.9
1965,4,21,32,15.8,23,1.2
1965,5,22,37.7,22,23,1.4
1965,6,4,41,27.1,5,-1.1
1965,7,221,34.7,25.5,156,-1.1
1965,8,100,33.2,24.3,116,-2.3
1965,9,21,33.6,22.4,34,-3.4
1965,10,24,32.7,17.3,30,-3.9
1965,11,8,28.2,10.4,12,-3.9
1965,12,1,21.9,4.6,4,-4.2
1966,1,0,21.4,4.5,3,-4.8
1966,2,46,25.2,10.2,46,-4.1
1966,3,25,28.7,13.1,26,-4.1
1966,4,5,33.9,17.9,6,-4.1
1966,5,19,39.8,22.3,19,-3.5
1966,6,84,40,25.7,81,-2.3
1966,7,144,35.7,25.2,138,-3.1
1966,8,259,33.2,25.4,142,-2.7
1966,9,181,32.6,21.5,131,-2
1966,10,51,31.9,15.9,84,-0.8
1966,11,1,26.6,8.7,35,1.7
1966,12,8,21.7,4.8,25,1.4
1967,1,1,18.4,4.2,16,0.6
1967,2,20,25.3,9.6,29,-0.2
1967,3,101,27.5,12.2,92,1.5
1967,4,2,33.9,16.8,10,1.4
1967,5,4,38.6,22,8,1
1967,6,17,41.3,26.6,20,-0.6
1967,7,236,35.4,26,148,0
1967,8,262,32.6,25,134,0.8
1967,9,109,33.3,22.4,115,0.6
1967,10,52,31.5,15.4,80,1.5
1967,11,3,26.4,9.1,33,1.8
1967,12,72,21.8,6,44,3.3
1968,1,36,17.7,4.6,38,3.5
1968,2,33,20.6,6.1,43,3.9
1968,3,26,28.8,12.9,55,3.9
1968,4,2,34.3,17.8,17,3.6
1968,5,2,38.5,22.1,9,3
