Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 15.1458 North,76.9375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,30.1,17.4,0,-0.9
1958,2,2,32.6,20,2,-0.8
1958,3,7,36,22.4,6,-0.6
1958,4,21,36.6,24.3,20,0.1
1958,5,65,36.1,24.6,62,0.7
1958,6,43,33.2,24.4,41,-0.4
1958,7,65,29.1,22.3,62,-0.6
1958,8,79,29.8,22.5,75,0.5
1958,9,114,29.9,21.4,109,-0.6
1958,10,92,29.6,21.3,87,-0.8
1958,11,22,29.8,19.6,21,-1.1
1958,12,2,28.9,16.8,2,-1.5
1959,1,0,30.1,17.8,0,-1.5
1959,2,2,33.3,19.9,2,-1.4
1959,3,0,36.5,21.6,0,-1.5
1959,4,17,36.8,24,16,-1.5
1959,5,61,36.8,24.6,58,-1.2
1959,6,93,31.2,22.8,88,1.8
1959,7,91,28.8,21.8,86,2.3
1959,8,48,30,22.1,45,1.7
1959,9,142,29.8,21.5,135,1.6
1959,10,40,29.5,21.4,38,-1.8
1959,11,12,29.2,19,11,-2.4
1959,12,5,29.1,16.8,5,-2.5
1960,1,0,29.9,17.5,0,-2.5
1960,2,0,32.9,18.8,0,-2.4
1960,3,14,35.3,21.9,14,-1.5
1960,4,11,36.6,23.7,10,-1.8
1960,5,42,36.3,23.8,40,-2
1960,6,37,31.6,22.7,35,-2.2
1960,7,61,29.7,22.8,58,-2
1960,8,12,30.8,22.8,11,-3.4
1960,9,210,29.6,21.7,114,-1.4
1960,10,70,30,21,109,-1.1
1960,11,20,29.3,18.1,28,-1
1960,12,0,29.2,16.9,5,-1.2
1961,1,0,29.7,17.7,3,-1
1961,2,2,31.9,19,4,-0.8
1961,3,1,36.6,22.6,3,-0.8
1961,4,15,37.2,24,15,-0.9
1961,5,101,35.5,23.8,97,2.1
1961,6,61,30.9,22.1,59,2.3
1961,7,116,28.7,21.9,111,3.7
