Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 11.9375 North,76.9375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,9,29,17.7,12,0.1
1958,2,2,31.2,19.7,5,-0.1
1958,3,17,33.6,21.2,18,0.4
1958,4,91,33.3,22.2,88,1.4
1958,5,189,31.3,21.5,152,2.3
1958,6,24,29.4,21.1,37,2.4
1958,7,48,27.1,20.4,52,2.5
1958,8,64,27.2,20,65,3
1958,9,64,29,19.7,63,2.3
1958,10,132,28,20.3,112,1.9
1958,11,114,27.9,19.3,105,2.6
1958,12,3,27.9,17.1,12,2.2
1959,1,0,29.5,17.7,4,1.6
1959,2,4,31.8,19,6,1.4
1959,3,0,34.4,19.8,2,0.9
1959,4,54,33.7,21.9,53,0.8
1959,5,103,32.5,21.7,99,-1.2
1959,6,72,27.9,20.5,69,1
1959,7,52,26.4,20.1,50,1.3
1959,8,33,28.2,19.8,32,0.9
1959,9,107,28.7,20.1,102,1.5
1959,10,130,28.5,20.5,118,1
1959,11,67,27.7,19,66,0.7
1959,12,17,27.6,17,18,-0.5
1960,1,1,29,17.8,2,-1.1
1960,2,0,30.7,18.7,1,-1.3
1960,3,12,33.6,20.4,12,-1.1
1960,4,72,33.3,21.8,69,0.4
1960,5,140,32.4,21.2,133,-0.1
1960,6,14,29,20.6,14,-0.7
1960,7,78,27,20.6,74,1.1
1960,8,25,28.5,20.3,24,-0.5
1960,9,77,27.8,19.9,74,0
1960,10,148,28.5,19.9,119,-0.5
1960,11,115,27.6,18.7,108,0.5
1960,12,3,27.8,17,12,0.3
1961,1,22,28.3,18.2,25,0.9
1961,2,8,30.8,19.3,10,1
1961,3,2,34.8,21.1,4,-0.3
1961,4,90,34.2,22.1,86,0.8
