Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 12.8542 North,75.2292 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,1,31,20.5,74,0.1
1958,2,0,31.1,22.3,63,-0.1
1958,3,6,32.8,24.2,69,0.1
1958,4,94,33,25.7,110,0.7
1958,5,240,31.8,25.5,156,1.3
1958,6,502,29.8,24.1,125,1.1
1958,7,1793,27.3,23,102,1
1958,8,1087,27.5,23.1,108,0.9
1958,9,279,28.9,22.8,115,-0.4
1958,10,250,29.3,23.4,117,-0.1
1958,11,113,30.7,22.5,113,1
1958,12,4,31,20.2,81,-0.4
1959,1,0,31.5,20.5,75,0.7
1959,2,0,31.8,21.7,64,0.7
1959,3,0,33.6,22.9,67,-0.1
1959,4,58,33.3,25.3,85,-0.4
1959,5,162,32.8,25.5,156,-0.6
1959,6,1623,28.4,23.5,115,0
1959,7,1920,26.6,22.5,95,0
1959,8,884,28.2,22.7,101,0
1959,9,604,28.6,23.1,108,0.9
1959,10,175,29.6,23.4,117,-0.9
1959,11,67,30.3,22,99,-1
1959,12,13,30.9,20.2,78,-1.3
1960,1,1,31,20.6,72,-1.2
1960,2,0,31,21.6,60,-1.3
1960,3,23,32.7,23.4,75,0.7
1960,4,123,33,25.2,130,1.8
1960,5,86,32,24.6,100,0.9
1960,6,491,29.2,23.3,110,0.8
1960,7,1337,27.3,23.3,108,0.7
1960,8,634,28.4,23.1,104,0.6
1960,9,520,27.9,23,99,1.1
1960,10,329,29.7,22.9,116,1.8
1960,11,143,30.1,21.4,114,3.3
1960,12,2,30.9,20,77,2.5
1961,1,1,30.4,21,74,2.6
1961,2,4,30.5,21.6,65,2.7
1961,3,3,33.2,23.9,70,2.7
1961,4,137,33.7,25.4,140,3.9
1961,5,424,31.6,25.1,149,6.1
1961,6,1194,28.1,22.9,113,5.5
1961,7,4052,26.4,22.4,95,4.9
1961,8,482,27.6,23,100,4.4
1961,9,611,28.6,22.5,100,4.9
1961,10,436,29.7,22.5,113,6.4
1961,11,32,30.3,21.6,86,4.8
1961,12,12,30.4,20.1,76,3.7
1962,1,6,30,19.7,70,3.1
1962,2,9,30.7,21.7,61,2.8
1962,3,1,32.4,22.9,61,2.1
1962,4,102,32.5,24.9,115,2.5
1962,5,147,31.7,24.8,141,2.1
1962,6,560,29.8,23.3,125,1.8
1962,7,1228,27.3,22.9,100,1.7
1962,8,938,27.5,22.9,106,1.5
1962,9,395,28.3,22.9,107,1.4
1962,10,568,29,23.6,115,4.8
1962,11,29,30.4,21,86,3.2
1962,12,83,30.5,19.8,106,4.9
1963,1,1,29.8,20.4,72,4.6
1963,2,3,30.8,20.6,64,4.4
1963,3,27,32.4,23.4,80,5.2
1963,4,121,32.4,24.4,128,6
1963,5,88,32.8,25,107,4.5
1963,6,464,28.9,23.3,114,4
1963,7,1212,27.8,22.9,107,3.6
1963,8,1360,27.8,22.7,102,3.2
1963,9,251,29.2,22.9,113,2.4
1963,10,405,29.8,22.9,117,3.8
1963,11,24,30.2,22.2,84,2.3
1963,12,32,30.8,20.2,85,2.1
1964,1,0,31.2,19,70,1.5
1964,2,0,31.8,21,58,0.9
1964,3,1,33.2,23.6,61,-2.1
1964,4,37,34.1,25.4,67,-3
1964,5,59,33.3,25.6,75,-4
1964,6,452,29.8,23.1,121,-3.6
1964,7,2207,27.3,22.5,107,-3.2
1964,8,1544,27.6,22.4,104,-2.9
1964,9,363,28.1,22.2,103,-2.6
1964,10,261,30,22.3,112,-2.3
1964,11,97,29.6,20.8,107,-1.4
1964,12,28,30.4,18.6,87,-0.9
1965,1,3,30.8,19.4,76,1.5
1965,2,0,30.4,21.4,62,1.6
1965,3,3,32.4,23,69,1.7
1965,4,29,32.6,24.6,69,-1
1965,5,37,32.5,25.1,62,-2.4
1965,6,395,29.7,22.9,113,-2.1
1965,7,1211,28.2,22.2,110,-1.9
1965,8,674,28,22.8,117,-1.7
1965,9,240,29.3,23,116,-2.1
1965,10,63,30.8,23.6,106,-4
1965,11,57,31,22.6,96,-4.2
1965,12,72,30.5,20.8,99,-2.5
1966,1,2,30.8,20.8,67,-2.5
1966,2,0,31.8,22,59,-2.6
1966,3,5,33.2,23.8,62,-2.6
1966,4,44,33.6,25.1,75,-3.2
1966,5,97,32.7,24.8,108,-3.8
1966,6,226,29.7,23.2,116,-3.4
1966,7,1175,27.7,23.1,101,-3
1966,8,381,28.7,23.2,107,-2.7
1966,9,486,28.6,23,116,-2.1
1966,10,409,29.9,23,124,2
1966,11,177,30.5,21.8,114,4.3
1966,12,40,30.5,20.1,91,4.8
1967,1,4,30.8,19.5,78,5.3
1967,2,0,31.6,20.2,66,5.3
1967,3,1,32.6,22.8,72,5.2
1967,4,46,34,25,83,4.1
1967,5,73,32.9,25.6,92,2.7
1967,6,1588,29.3,23.7,128,2.4
1967,7,1077,27.4,22.2,100,2.2
1967,8,976,27.9,22.4,102,1.9
1967,9,158,28.5,22.6,112,0.9
1967,10,180,29,22.8,123,-2.6
1967,11,25,30.2,20.7,85,-3.5
1967,12,19,30.8,20.8,75,-3.5
1968,1,0,30.3,19.6,67,-3.5
1968,2,10,31,20.7,59,-3
1968,3,8,32.1,23.3,64,-2.7
1968,4,175,32.6,24.6,158,2.6
1968,5,142,32.7,25.2,143,2.1
1968,6,921,29.2,23.5,118,1.9
1968,7,914,26.9,22.7,94,1.7
1968,8,642,28.4,22.8,106,1.6
1968,9,414,28.6,23,114,1.5
1968,10,187,29.7,22.5,121,-0.8
1968,11,34,30.1,22,87,-1.7
1968,12,5,30.6,20,74,-2.4
1969,1,0,30.6,19.6,66,-2.7
1969,2,0,31.5,21.4,56,-2.9
1969,3,5,33.8,23.8,61,-3.2
1969,4,121,34.1,25.5,128,-1.8
1969,5,73,33.1,25.5,90,-2.7
1969,6,634,29.8,23.5,117,-2.4
1969,7,1019,27.6,22.7,100,-2.1
1969,8,888,28.2,23.2,122,-1.9
1969,9,432,28.8,22.4,115,-1.5
1969,10,251,29.6,23.1,119,-1.5
1969,11,127,30.9,22,117,1.3
1969,12,29,30,20.9,84,1.7
1970,1,1,30.7,20.3,73,2.3
1970,2,0,31.3,21.5,67,2.6
1970,3,8,32.9,23.4,76,3
1970,4,105,33.1,25.8,119,3.6
1970,5,147,32,25.3,144,3.1
1970,6,242,28.6,23.1,117,2.8
1970,7,1135,27.7,22.7,104,2.5
1970,8,830,27.4,22.6,103,2.2
1970,9,293,28.4,22.5,108,1.7
1970,10,333,29.5,23,121,2.3
1970,11,69,29.4,22.2,98,2
1970,12,1,30,18.1,75,1
1971,1,0,30.1,20,67,0.7
1971,2,8,31.1,20.6,61,0.8
1971,3,5,32.3,22.8,65,0.8
1971,4,83,33.7,24.8,102,0.8
1971,5,224,32.1,24.8,163,1.2
1971,6,720,27.6,22.8,116,1.1
1971,7,847,27.4,22.5,104,1
1971,8,1097,27.9,22.4,110,0.9
1971,9,457,28.4,22.9,116,1.1
1971,10,144,29.3,22.3,113,-1.3
1971,11,18,30,20.4,81,-2.4
1971,12,24,29.2,19.3,80,-2.4
1972,1,0,30.2,18.6,68,-2.7
1972,2,1,31,20.3,57,-2.8
1972,3,0,33.3,22.1,61,-3.4
1972,4,44,33.5,25,73,-3.9
1972,5,150,31.8,25.1,143,-3.6
1972,6,662,30.6,24,129,-3.3
1972,7,1130,28.2,22.7,105,-2.9
1972,8,716,29,22.9,112,-2.6
1972,9,311,29.3,23.7,126,-2.7
1972,10,302,30.1,23.8,118,-1.9
1972,11,39,30.6,21.7,88,-2.5
1972,12,29,30.9,21.2,84,-2.2
1973,1,0,32,19.1,72,-2.2
1973,2,0,32.5,21.6,60,-2.3
1973,3,0,33.6,23.3,63,-2.8
1973,4,83,34.6,26.2,101,-2.4
1973,5,287,33.9,25.6,161,-1.1
1973,6,792,29.6,23.7,124,-1
1973,7,2912,27.6,23.3,107,-0.9
1973,8,858,27.4,22.5,102,-0.8
1973,9,144,28.8,22.8,114,-1.6
1973,10,175,29.5,23.2,118,-2.4
1973,11,41,30.4,21.4,91,-3
1973,12,17,30,19.9,78,-3
1974,1,0,30.7,19,69,-3.1
1974,2,0,32,20.1,58,-3.1
1974,3,2,33.5,23.1,63,-3.4
1974,4,70,34.1,25.5,92,-3.3
1974,5,106,32.4,24.5,113,-3.7
1974,6,789,29.6,22.9,123,-3.3
1974,7,1161,28.1,22.5,108,-2.9
1974,8,967,28.2,22.5,103,-2.6
1974,9,575,28.5,22.7,114,-1.6
1974,10,222,29.7,22.1,117,-1.9
1974,11,14,30.3,20.4,82,-3.1
1974,12,0,30.9,18.3,69,-4
1975,1,2,30.8,19,65,-4.3
1975,2,1,31.7,21.2,56,-4.5
1975,3,19,32.3,23.2,68,-4.3
1975,4,57,34.2,25.1,83,-4.4
1975,5,456,32.6,24.9,158,-1.2
1975,6,637,28.5,23,123,-1
1975,7,2870,27.4,22,99,-0.9
1975,8,987,27.4,22.9,104,-0.8
1975,9,673,27.9,22.4,102,2.9
1975,10,267,29.1,22.7,115,2.8
1975,11,74,29.1,20.8,103,2.5
1975,12,1,30,18.4,75,1.5
1976,1,0,29.7,18.8,69,1.1
1976,2,0,30.6,20.4,58,0.7
1976,3,1,33.7,22.7,61,-1.3
1976,4,106,33.1,24.6,120,0.7
1976,5,20,32.8,25,48,-1.6
1976,6,877,30.1,23.1,119,-1.4
1976,7,623,27.9,22.4,108,-1.2
1976,8,795,28,22.5,107,-1.1
1976,9,294,29,23.3,108,-1.3
1976,10,108,30.4,23.6,109,-2.8
1976,11,144,30,23.2,121,-0.9
1976,12,28,31.1,20.4,90,1.9
1977,1,0,31.5,18.9,76,2.3
1977,2,2,31.5,21.7,67,2.5
1977,3,10,33.3,24.1,75,2.9
1977,4,118,33.4,25.8,128,3.7
1977,5,126,31.8,25.2,134,2.8
1977,6,1665,29.4,23.6,121,2.5
1977,7,671,28.1,22.7,103,2.3
1977,8,645,28.7,22.8,115,2
1977,9,436,29.5,23.1,119,2
1977,10,519,29.2,23.7,120,4.7
1977,11,229,30.5,23,111,8
1977,12,0,30.7,19.8,79,6.6
1978,1,2,31,19.9,74,6.3
1978,2,10,30.8,21.7,65,6.3
1978,3,2,32.6,23.2,69,5.9
1978,4,42,33.4,25.9,78,4.6
1978,5,284,32.7,25.3,157,5.2
1978,6,1467,28.5,23,117,4.7
1978,7,1129,27,22.4,98,4.2
1978,8,1066,27.3,23.1,115,3.8
1978,9,349,28.5,22.9,112,3.3
1978,10,194,30,23.6,125,2.1
1978,11,128,31,22.5,115,3.2
1978,12,103,29.9,21.9,114,6.1
1979,1,0,31,21.4,81,7
1979,2,7,30.8,22.5,72,7.8
1979,3,8,32.4,24.1,80,8.3
1979,4,70,33.7,26.1,102,7.7
1979,5,59,32.6,25.9,92,5.7
1979,6,1455,29.6,24.4,131,5.1
1979,7,710,27.5,23.2,106,4.6
1979,8,1121,28.1,23.4,123,4.1
1979,9,397,28.4,23.7,117,3.7
1979,10,198,30.4,23.6,132,2.5
1979,11,191,29.7,23.5,110,5.1
1979,12,4,30.8,21.4,79,4.2
1980,1,0,31.5,19.9,77,4.1
1980,2,0,31.8,21.9,64,3.8
1980,3,2,32.8,24.1,68,3.5
1980,4,94,33.6,26.4,111,3.6
1980,5,592,33.7,26.4,169,7.4
1980,6,899,29,23.6,109,6.6
1980,7,2373,28.2,22.9,101,5.9
1980,8,516,28.1,22.8,108,5.3
1980,9,433,29.4,23.5,122,4.9
1980,10,185,30.3,23.8,128,3.5
1980,11,116,30.9,22.6,117,4.1
1980,12,9,30.9,20.4,82,3.4
1981,1,6,30.2,20.8,75,3.6
1981,2,0,31.7,21.5,65,3.5
1981,3,18,32.9,23.8,75,4
1981,4,29,33.5,25.9,70,2.5
1981,5,215,32.9,25.9,166,2.6
1981,6,1098,28.3,23.6,108,2.4
1981,7,1455,28.2,23.3,111,2.1
1981,8,1296,28.1,22.9,113,1.9
1981,9,452,28.4,23.6,115,2
1981,10,257,29.5,24,122,1.7
1981,11,67,30.1,22,99,1.3
1981,12,33,30.4,20.5,88,1.6
1982,1,0,30.9,20.1,69,1.5
1982,2,0,31.6,21.7,61,1.4
1982,3,0,32.9,23.8,65,1.1
1982,4,26,33.4,25.7,66,-1.3
1982,5,158,32.6,26.1,151,-1.4
1982,6,358,29.4,23.8,123,-1.2
1982,7,2642,28.4,23,106,-1.1
1982,8,1119,28.6,23.1,108,-1
1982,9,212,29.6,23.1,131,-1.6
1982,10,169,30.9,23.8,127,-2.6
1982,11,75,30.1,23,101,-2.3
1982,12,1,30.8,20.8,78,-2.8
1983,1,0,31.1,20,71,-2.8
1983,2,0,32,22.1,61,-2.8
1983,3,0,33.1,24.4,63,-3.3
1983,4,2,34,25.4,35,-5
1983,5,55,33.4,26.4,72,-5.8
1983,6,1056,30.9,24.6,134,-5.2
1983,7,2103,28.8,23.6,108,-4.6
1983,8,653,28,23.3,101,-4.2
1983,9,517,28.7,22.9,103,-3.2
1983,10,272,30.2,23.2,121,-2.8
1983,11,31,30.5,20.8,91,-3.5
1983,12,36,30.7,20.5,79,-2.9
1984,1,1,29.7,21.9,61,-2.7
1984,2,16,31.3,21.6,64,-1.6
1984,3,36,31.8,24.7,81,2.6
1984,4,151,32.9,25.7,146,4.6
1984,5,166,34,26,163,4
1984,6,564,29.3,23.2,111,3.6
1984,7,994,27.7,22.1,106,3.2
1984,8,722,28.9,22.6,117,2.9
1984,9,405,29.1,22.8,122,2.7
1984,10,314,30,22.5,116,3
1984,11,17,30.5,21.7,83,1.3
1984,12,24,31.3,20,82,0.9
1985,1,8,30.8,21.4,64,0.6
1985,2,3,31.9,21.8,58,-1.6
1985,3,11,34,24.3,66,-1.5
1985,4,46,33.9,26.1,76,-2.1
1985,5,296,33.4,25.6,169,-0.8
1985,6,338,28.7,22.8,114,-0.7
1985,7,1176,28,22.4,111,-0.6
1985,8,746,28.6,22.7,117,-0.5
1985,9,174,29.7,23.2,128,-1.3
1985,10,309,29.9,22.3,128,-0.7
1985,11,44,30,21.6,92,-1.4
1985,12,9,31,21,75,-1.9
1986,1,4,30.2,20.8,68,-1.9
1986,2,2,31.1,21.6,58,-2
1986,3,2,32.8,24.5,61,-2.2
1986,4,31,34.5,25.8,65,-3.2
1986,5,365,33.7,25.7,174,-1.1
1986,6,602,29.8,23.8,130,-1
1986,7,943,28.7,23.1,114,-0.9
1986,8,621,28,22.9,122,-0.8
1986,9,494,29.4,23.6,120,1.5
1986,10,159,31.1,23.4,129,-1.3
1986,11,175,31.2,21.8,118,2.5
1986,12,4,30.7,21.5,77,1.8
1987,1,0,31.5,20.7,76,2
1987,2,0,31.6,21.1,64,2
1987,3,4,32.8,23.5,70,2
1987,4,38,33.9,26.1,77,0.8
1987,5,182,33.2,26,172,0.7
1987,6,502,30.7,23.5,133,0.6
1987,7,959,29.1,23.7,124,0
1987,8,754,29.2,23,113,-0.7
1987,9,279,30.5,23.9,123,-1
1987,10,364,30.4,23.6,123,1.1
1987,11,31,31.3,22.6,86,-1
1987,12,71,30.5,21.6,100,1.6
1988,1,0,31.4,20.6,74,1.6
1988,2,0,32.6,22.1,62,1.4
1988,3,3,33.3,24.6,69,1.2
1988,4,157,33.1,26.1,152,3.1
1988,5,84,34.2,26.1,105,1.8
1988,6,722,30.5,23.5,122,1.6
1988,7,2013,28.3,22.8,106,1.4
1988,8,1134,28.2,23.3,109,1.3
1988,9,673,29.1,22.9,113,2.2
1988,10,73,30.8,23.2,109,-2.1
1988,11,28,30.3,22.2,88,-3.2
1988,12,16,31.9,19.6,77,-3.9
1989,1,0,31.5,20.1,64,-4.7
1989,2,0,32.3,20.2,53,-5.3
1989,3,9,32.7,23.5,55,-5.7
1989,4,70,34,25.5,87,-5.4
1989,5,66,33.8,25.2,78,-6.1
1989,6,569,29.3,22.8,106,-5.5
1989,7,1708,27.7,22.7,105,-4.9
1989,8,566,28.9,22.3,111,-4.4
1989,9,439,29.3,22.8,114,-3.7
1989,10,262,30.3,23.2,118,-3.3
1989,11,19,30.7,22.3,87,-4.4
1989,12,3,31.4,20.3,72,-5
1990,1,1,31.1,20.6,67,-5.3
1990,2,0,31.9,22.1,57,-5.6
1990,3,1,32.8,24.4,56,-6.2
1990,4,26,34.3,25.8,51,-7
1990,5,128,31.8,25.3,125,-6.6
1990,6,395,29.5,23,112,-5.9
1990,7,1413,28.4,22.4,99,-5.3
1990,8,617,28.4,22.9,105,-4.8
1990,9,192,29.8,23.2,124,-5
