Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 14.4792 North,75.9375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,30.5,16.8,4,-0.9
1958,2,0,32,18.4,2,-0.9
1958,3,7,34.8,20.2,8,-0.7
1958,4,38,35.4,22.2,37,-0.7
1958,5,134,33.7,22.2,128,1.3
1958,6,73,30.1,21.9,71,1.3
1958,7,156,26.2,20.3,108,2.2
1958,8,81,26.7,20.4,95,2.6
1958,9,85,28.2,19.8,90,2
1958,10,141,28.9,20.3,118,2.3
1958,11,27,29.5,18.7,39,2.2
1958,12,1,29.4,16.3,7,1.5
1959,1,0,30.5,17.1,3,1.2
1959,2,0,32.6,18.2,3,1
1959,3,0,35.3,19.4,2,0.7
1959,4,28,35.6,21.9,28,-0.4
1959,5,89,34.5,22.3,85,0.1
1959,6,134,28.5,20.7,125,2
1959,7,198,25.9,19.9,102,4
1959,8,52,27,19.9,84,4.6
1959,9,132,28.1,20,115,5.1
1959,10,54,28.8,20.4,78,3.8
1959,11,27,29,18.1,34,3.1
1959,12,4,29.5,16.3,8,2.5
1960,1,1,30.3,16.9,3,2.2
1960,2,0,32.3,17.4,2,1.9
1960,3,12,34.3,19.8,13,2.3
1960,4,32,35.4,21.7,31,1.8
1960,5,81,34,21.4,78,1.6
1960,6,48,29,20.7,46,1.1
1960,7,107,26.7,20.9,102,1
1960,8,32,27.7,20.6,31,-1.7
1960,9,112,27.7,20,105,-1.2
1960,10,119,29.3,20,114,-1.1
1960,11,27,29.2,17.3,26,-1.3
1960,12,0,29.6,16.3,1,-1.7
1961,1,0,30,17.1,1,-1.6
1961,2,1,31.2,17.4,1,-1.5
1961,3,1,35.2,20.2,1,-1.6
1961,4,49,35.9,21.8,47,-1.1
1961,5,185,33.1,21.4,169,2.4
1961,6,67,28.1,20,65,2.8
1961,7,241,25.7,19.9,102,5.5
1961,8,54,26.9,20.3,89,5.9
1961,9,42,28.1,19.5,57,4.4
1961,10,142,28.8,19.5,117,4.5
1961,11,7,28.9,17.8,25,3.8
1961,12,0,29,15.9,7,3
1962,1,0,29.3,15.4,4,2.7
1962,2,4,31.9,17.4,6,2.6
1962,3,4,34.2,19.1,5,2.4
1962,4,68,34.7,21.4,66,3
1962,5,107,33.5,21.3,102,3.3
1962,6,31,29.4,20.6,30,2.2
1962,7,120,26.6,20.4,104,2.3
1962,8,73,26.7,20,73,2.4
1962,9,84,27.8,19.6,82,1.7
1962,10,201,29.1,20.1,114,3.3
1962,11,22,29,17.1,71,3.9
1962,12,78,28.6,15.9,83,5.8
1963,1,1,29.4,16.3,6,5.4
1963,2,0,31.8,16.5,3,4.9
1963,3,13,34.4,19.6,14,5
1963,4,69,34.5,20.7,67,5.4
1963,5,94,34.2,21.5,90,5.2
1963,6,48,28.6,20.1,46,4.3
1963,7,88,27.1,20.4,84,3.4
