Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 15.4792 North,75.0208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,30,15.7,5,0.9
1958,2,0,31.6,17.3,3,0.8
1958,3,10,34.6,19.2,12,0.8
1958,4,55,35,21,54,0.9
1958,5,168,33.2,21.2,160,1.8
1958,6,120,29,21.7,115,1.2
1958,7,574,25.1,20,103,2.8
1958,8,184,25.6,19.9,110,2.4
1958,9,96,26.6,19.2,104,1.6
1958,10,115,28.6,19.2,116,1.3
1958,11,42,29.3,18,73,1.4
1958,12,0,28.4,15.7,9,0.8
1959,1,0,29.5,16.3,5,0.8
1959,2,0,31.9,17.3,3,0.6
1959,3,1,34.8,18.9,2,-0.3
1959,4,51,34.9,20.6,50,0.1
1959,5,119,33.6,21.3,114,0.4
1959,6,319,27.3,20.1,119,2.4
1959,7,544,24.8,19.2,96,4.3
1959,8,143,25.5,19.6,96,3.4
1959,9,194,26.6,19.1,101,3.8
1959,10,40,28.3,19.3,89,2.5
1959,11,49,28.7,17.3,56,1.8
1959,12,2,28.7,15.5,6,1.1
1960,1,0,29.5,15.6,3,0.9
1960,2,0,32.7,16.2,2,0.6
1960,3,21,33.6,19.1,22,1
1960,4,42,35,20.2,41,0.8
1960,5,164,33,20.3,156,1.7
1960,6,102,27.4,20.1,98,1.1
1960,7,335,25.7,20.4,107,0.7
1960,8,154,26.1,20,100,-0.4
1960,9,163,26.7,19.2,97,0.4
1960,10,54,28.9,18.9,93,-1.1
1960,11,34,28.9,16.7,47,-1.5
1960,12,0,28.7,15.7,6,-1.9
1961,1,0,29.6,15.7,4,-1.8
1961,2,0,30.6,15.9,2,-1.7
1961,3,2,34.7,19.3,3,-1.8
1961,4,51,35.3,20.4,50,-1.5
1961,5,351,32.3,20,156,3.2
1961,6,112,26.9,19.3,115,2.9
1961,7,664,24.5,19.4,96,5.7
1961,8,198,25.7,19.7,101,5.3
1961,9,125,26.6,18.7,100,4.6
1961,10,145,28.1,18.3,113,4.7
1961,11,12,28.5,17,62,4.1
1961,12,0,28.2,14.9,9,3.2
1962,1,0,28.8,13.5,5,2.9
1962,2,4,32.1,16,7,2.7
1962,3,4,33.6,18.2,6,2.3
1962,4,52,34.3,20.1,51,2.2
1962,5,90,32.8,19.9,87,2.1
1962,6,76,27.9,20.4,73,0.9
1962,7,418,25.4,19.8,99,1.3
1962,8,219,25.4,19.4,100,1.7
1962,9,121,26.6,18.6,106,1.2
1962,10,160,29.5,18.4,119,1.8
1962,11,37,28.5,16.3,75,1.9
1962,12,96,27.2,15.2,95,3.9
1963,1,1,29.2,14.9,14,4.5
1963,2,4,31.9,15.5,10,4.4
1963,3,28,34.1,18.6,30,4.7
1963,4,78,34.1,19.4,77,4.9
1963,5,116,33.3,20.2,112,4.8
1963,6,95,27.3,19.4,92,3.7
1963,7,295,26,19.9,109,2.8
1963,8,301,25.4,19.1,104,4.1
1963,9,52,27.3,18.8,88,2.7
1963,10,234,28.7,18.7,111,3.8
1963,11,5,28.7,17.6,56,3.1
1963,12,1,28.6,15.3,10,2.3
1964,1,0,28.9,13.9,5,2
1964,2,0,32,15.6,3,1.6
1964,3,16,34.6,18.7,17,1.7
1964,4,32,35.5,20.8,32,1.1
1964,5,23,33.4,20.7,23,-1.7
1964,6,129,28.1,19.8,123,-1.8
1964,7,391,25.7,19.4,109,-1.4
1964,8,405,25.4,18.9,97,3.4
1964,9,222,26.3,18.1,97,4.2
1964,10,182,28.7,18.4,111,4.9
1964,11,32,27.8,15.9,72,4.6
1964,12,8,27.8,13.4,23,4.2
1965,1,0,29.2,14.7,7,3.8
1965,2,0,31.1,16,4,3.4
1965,3,2,33.4,18,4,2.8
1965,4,55,34.3,19.5,54,2.7
1965,5,63,33.3,20.2,62,2.1
1965,6,131,28,19.7,122,1.6
1965,7,523,25.6,19.5,102,2.9
1965,8,146,26,19.5,108,1.9
1965,9,130,27.4,19,108,1.6
1965,10,32,30.6,18.9,81,-1.8
1965,11,15,30.1,17.1,23,-2.8
1965,12,80,28.7,15.8,81,-1.4
1966,1,2,29.3,15.2,4,-1.4
1966,2,3,32.4,16.6,5,-1.3
1966,3,6,34.3,18.6,7,-1.2
1966,4,9,35.1,20.3,10,-1.9
1966,5,203,32.7,19.8,181,1.3
1966,6,120,28.1,20.6,116,0.9
1966,7,435,26.1,20.4,102,1.6
1966,8,64,26.5,20.1,89,-1.3
1966,9,198,27.3,18.7,109,-0.9
1966,10,128,29.8,18.6,125,-0.7
1966,11,217,28.6,17.7,112,3.6
1966,12,26,27.9,15.1,76,4.9
1967,1,0,29.2,14.5,9,4.7
1967,2,0,32.3,15.5,5,4.2
1967,3,1,33.4,19,4,3.6
1967,4,54,35.6,20.3,53,3.4
1967,5,49,33.8,20.9,48,2.5
1967,6,236,28.2,20.6,125,3.1
1967,7,457,25.3,19.7,101,4.3
1967,8,182,25.7,19.6,99,3.9
1967,9,119,26.7,18.8,105,3.2
1967,10,130,28.9,18.2,120,3.1
1967,11,4,29,16.1,54,2.4
1967,12,28,27.7,16.9,36,2.2
1968,1,0,28.2,14.6,5,1.9
1968,2,8,30.8,16.1,11,2
1968,3,5,33.9,18.4,7,1.7
1968,4,61,34.6,19.6,59,1.8
1968,5,59,33.2,20.3,57,1.2
1968,6,253,28.2,20.4,126,2.2
1968,7,263,25.6,19.8,105,1.9
1968,8,100,26.1,20.1,100,-1.2
1968,9,112,27.4,18.9,107,-1.5
1968,10,158,29.4,17.5,119,-0.6
1968,11,28,29,16.6,76,0.1
1968,12,1,28.4,15,11,-0.3
1969,1,0,29,14.7,5,0
1969,2,0,31.7,16.8,3,0
1969,3,23,35.1,19.4,23,0.8
1969,4,49,36,20.9,48,0.7
1969,5,42,33.8,21.3,41,-0.6
1969,6,67,28.4,20.5,64,-1.6
1969,7,393,25.8,19.7,106,-1.2
1969,8,394,26.2,19.7,106,3.1
1969,9,105,26.3,18.7,104,2.3
1969,10,109,28.9,19,113,2
1969,11,52,29.4,17.7,76,2.3
1969,12,5,27.7,16.2,20,2.2
1970,1,0,29.3,15,7,2
1970,2,0,31.4,16.9,4,1.8
1970,3,0,33.8,18.9,3,1.3
1970,4,56,34.9,21.2,55,1.4
1970,5,151,32.9,20.7,144,2.1
1970,6,113,26.9,19.7,109,1.4
1970,7,381,25.9,20.1,106,1.4
1970,8,228,25.3,19.3,101,1.9
1970,9,128,26.5,18.7,101,1.6
1970,10,184,28.8,18.7,117,2.5
1970,11,1,28.7,16.1,52,2
1970,12,0,27.8,12.2,9,1.2
1971,1,0,28.3,14.8,5,1
1971,2,0,31.4,16,3,0.7
1971,3,0,33.8,18.5,2,-1.1
1971,4,52,35.6,20.5,51,-0.9
1971,5,93,32.7,20.4,90,-0.7
1971,6,238,25.9,19.6,118,1.1
1971,7,157,25.8,20.2,108,-0.9
1971,8,168,25.9,19.6,105,-1.1
1971,9,145,26.8,19.2,108,-0.9
1971,10,72,28.3,17.9,96,-1.2
1971,11,3,28.1,15.6,28,-1.9
1971,12,0,26.7,14.4,8,-2.3
1972,1,0,29.4,13.5,4,-2.1
1972,2,2,30.4,16,5,-1.9
1972,3,3,34.5,18.5,5,-1.8
1972,4,36,35,20.1,35,-1.9
1972,5,74,32.9,20.2,72,-1.8
1972,6,108,29.1,21.2,103,-2.2
1972,7,295,26.3,20.3,106,-2.5
1972,8,78,26.6,20.1,98,-3.5
1972,9,129,28.1,19.4,117,-3.7
1972,10,59,29.6,19.9,88,-4.3
