Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 15.4375 North,75.6458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,30.5,16.9,1,-0.6
1958,2,0,32.6,19.1,1,-0.6
1958,3,12,36.2,20.9,12,0.2
1958,4,56,36.3,22.1,53,0.2
1958,5,164,34.7,21.8,156,1.7
1958,6,55,30.7,22,52,1.1
1958,7,149,26.5,20.2,116,2.2
1958,8,92,27.1,20,98,2.4
1958,9,106,28.3,19.7,106,1.5
1958,10,124,29.8,20.1,119,1.2
1958,11,38,29.9,18.7,39,0.7
1958,12,0,28.9,16.4,2,-1.5
1959,1,0,30.2,17.4,1,-1.5
1959,2,0,32.9,19,1,-1.5
1959,3,1,36.5,20.5,2,-1.6
1959,4,53,36.2,21.7,51,-1.4
1959,5,85,35.2,21.8,81,-1.3
1959,6,135,28.9,20.4,128,1.7
1959,7,160,26.2,19.5,109,3.2
1959,8,60,27.1,19.6,81,3.2
1959,9,201,28.2,19.7,116,3.5
1959,10,37,29.5,20.3,80,2.3
1959,11,36,29.3,18.1,42,1.5
1959,12,2,29.2,16.3,6,0.9
1960,1,0,30.2,16.9,3,0.7
1960,2,0,33.4,17.8,2,-1.5
1960,3,24,35.2,20.8,24,-0.6
1960,4,39,36.2,21.3,38,-0.9
1960,5,146,34.6,20.8,140,1.4
1960,6,48,29.2,20.3,46,0.8
1960,7,87,27.1,20.7,84,0.6
1960,8,54,27.7,20.1,51,-1.3
1960,9,171,28.2,19.8,103,-1
1960,10,63,30.1,19.8,98,-1.5
1960,11,31,29.6,17.4,37,-1.8
1960,12,0,29.3,16.5,4,-2.1
1961,1,0,30.1,17,3,-1.9
1961,2,0,31.6,17.8,2,-1.8
1961,3,3,36.4,21.1,4,-1.8
1961,4,51,36.6,21.5,50,-1.6
1961,5,249,33.8,20.7,172,2.7
1961,6,51,28.6,19.6,93,3.6
1961,7,202,25.9,19.7,108,5.8
1961,8,74,27.3,19.8,100,6.2
1961,9,87,28.1,19.2,99,5
1961,10,138,29.3,19.2,122,4.8
1961,11,10,29.2,17.8,23,3.8
1961,12,0,28.7,15.8,6,3
1962,1,1,29.4,14.9,4,2.7
1962,2,4,32.9,17.7,6,2.6
1962,3,5,35.3,19.9,6,2.3
1962,4,86,35.5,21.1,83,2.9
1962,5,103,34.3,20.6,99,3
1962,6,37,29.6,20.5,35,2
1962,7,111,26.8,20.1,106,2.3
1962,8,93,27,19.5,89,2.3
1962,9,127,28.1,19.2,117,1.7
1962,10,161,30.5,19.5,121,2.1
1962,11,32,29.2,17.1,48,2.1
1962,12,88,28,16.1,89,4
1963,1,3,29.6,16.1,6,3.6
1963,2,5,32.7,17.1,7,3.5
1963,3,21,35.7,20.3,22,3.8
1963,4,87,35.3,20.4,84,4.3
1963,5,122,34.8,20.8,117,4.4
1963,6,48,29,19.7,46,3.6
1963,7,73,27.4,20.1,70,2.6
1963,8,150,27,19.1,118,3.8
1963,9,59,28.9,19.4,66,2.3
1963,10,222,29.9,19.7,117,3.7
1963,11,4,29.2,18.3,48,3.5
1963,12,1,29.1,16.2,9,2.7
1964,1,0,29.6,15.2,4,2.3
1964,2,0,33,17.5,3,2
1964,3,10,36.4,20.5,12,1.9
1964,4,33,36.8,21.7,32,1.2
1964,5,24,35.1,21.4,24,-1.9
1964,6,67,29.9,20,65,-1.7
1964,7,157,27.2,19.8,117,1.4
1964,8,155,26.9,19,111,3.5
1964,9,255,27.8,18.7,105,5.5
1964,10,152,29.9,19.3,120,6.1
1964,11,36,28.5,16.7,78,6.5
1964,12,9,28.4,14.3,17,5.9
1965,1,3,29.8,15.9,7,5.5
1965,2,0,32,17.7,3,5
1965,3,1,35.2,19.7,3,4.3
1965,4,35,35.6,20.6,35,3.5
1965,5,57,34.8,20.8,55,2.6
1965,6,62,29.8,19.9,59,2.2
1965,7,126,27,19.7,115,2.7
1965,8,80,27.6,19.5,78,2.4
1965,9,142,29,19.6,117,2
1965,10,23,31.7,19.9,31,-2.2
1965,11,16,30.6,18,20,-3.1
1965,12,63,29.2,16.7,63,-1.6
1966,1,17,30,16.5,18,-0.8
1966,2,2,33.3,18.3,3,-0.8
1966,3,5,36.1,20.4,6,-0.9
