Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 17.3125 North,76.8542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,31.1,16.5,4,-0.1
1958,2,6,33.2,18.9,8,0
1958,3,21,37.2,21.3,22,0.9
1958,4,47,38.8,24.9,46,1.6
1958,5,46,40.1,26.5,45,1.8
1958,6,50,36,25.1,48,-1.6
1958,7,199,29.6,21.3,148,-1.3
1958,8,245,30.2,21.5,139,1.4
1958,9,108,29.6,21.3,127,-0.9
1958,10,76,30.8,20.7,109,-0.9
1958,11,19,31.1,18.3,31,-1.1
1958,12,0,29.6,15.8,6,-1.1
1959,1,0,30.3,17.4,4,-1.1
1959,2,0,33.5,19.2,3,-1.3
1959,3,1,37.2,21.6,3,-1.5
1959,4,24,38.6,24.6,24,-1.3
1959,5,26,40.4,26.6,26,-1.4
1959,6,177,34.2,23,168,1.2
1959,7,186,29.8,20.7,140,1.3
1959,8,180,29.7,21.2,140,1.6
1959,9,206,29.7,21,134,1.1
1959,10,84,30.4,21.1,116,1.4
1959,11,7,30.4,17.6,37,1.4
1959,12,0,30.2,15.5,10,1.1
1960,1,0,30.6,16.5,5,0.9
1960,2,0,34.6,17.3,3,-0.3
1960,3,27,35.6,21.5,28,0.7
1960,4,11,38.7,23.8,12,-0.4
1960,5,71,39.8,25.6,69,1.2
1960,6,128,33.8,22.9,123,1.3
1960,7,124,30.5,21.8,119,0.6
1960,8,18,30.4,21.5,18,-3
1960,9,354,30.2,21.3,113,-2.1
1960,10,29,30.9,20.3,91,-2.2
1960,11,24,30.5,16.9,35,-2.2
1960,12,1,30.3,16.1,7,-2.1
1961,1,0,31,16.5,4,-2
1961,2,3,32.3,17.3,5,-1.9
1961,3,6,37.5,22.1,8,-1.9
1961,4,23,39.1,24.5,23,-1.6
1961,5,81,39.1,25.1,78,1.3
1961,6,176,33.8,22.2,162,2.4
1961,7,271,29.4,21.1,122,3.8
1961,8,108,30.4,21.3,126,3.2
1961,9,52,29.6,20.7,90,1.9
1961,10,153,30,19.9,127,2.4
1961,11,7,30.1,17.2,29,2.2
1961,12,1,29.6,14.7,9,1.7
1962,1,0,30,13.8,5,1.5
1962,2,16,34,17.1,18,1.7
1962,3,14,36.1,20.7,15,1.7
1962,4,80,37.7,23.8,77,3.4
1962,5,55,39.6,25,54,3.6
1962,6,115,34.5,23.5,110,3.2
1962,7,198,30.2,21.3,140,3
1962,8,198,30.3,21.2,129,3.5
