Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 14.8125 North,75.3958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,30.8,16.9,13,0.7
1958,2,0,32.6,18.9,7,0.6
1958,3,5,35.4,20.9,9,0.6
1958,4,54,35.3,22.4,55,0.7
1958,5,158,33.5,22.3,152,1.6
1958,6,84,29.6,22.1,82,1.4
1958,7,360,25.9,20.5,103,3.4
1958,8,114,26.5,20.4,111,3.3
1958,9,76,27.7,19.9,98,2.9
1958,10,140,28.9,20.1,118,3
1958,11,34,30,18.8,74,3.2
1958,12,0,29.6,16.5,39,3.2
1959,1,0,30.6,17.3,13,2.8
1959,2,0,33.1,18.7,7,2.5
1959,3,0,35.8,20.3,5,2.1
1959,4,45,35.3,22,46,1.7
1959,5,126,34.2,22.4,122,2
1959,6,166,28,20.8,121,3.5
1959,7,390,25.6,19.9,97,6.3
1959,8,83,26.5,20,91,5.6
1959,9,127,27.5,19.9,105,5.9
1959,10,53,28.8,20.3,95,4.6
1959,11,39,29.4,18.2,74,4.4
1959,12,2,29.7,16.3,22,3.6
1960,1,0,30.5,16.8,10,3.2
1960,2,0,33.2,17.8,6,2.8
1960,3,12,34.7,20.7,15,2.9
1960,4,51,35.3,21.7,51,2.5
1960,5,121,33.6,21.4,117,2.8
1960,6,58,28.3,20.7,56,2.1
1960,7,223,26.5,20.9,107,2
1960,8,76,27.1,20.4,89,1.3
1960,9,102,27.3,19.9,98,1.6
1960,10,101,29.2,19.8,107,1.2
1960,11,28,29.6,17.4,65,1
1960,12,0,29.8,16.5,15,-0.5
1961,1,0,30.4,17,8,-0.8
1961,2,0,31.7,17.7,5,-0.8
1961,3,0,35.7,20.9,3,-0.9
1961,4,58,35.6,21.9,57,-0.7
1961,5,296,32.8,21.3,157,3.1
1961,6,74,27.6,20,103,3.7
1961,7,451,25.3,19.9,97,7.9
1961,8,106,26.6,20.2,102,7.3
1961,9,68,27.5,19.4,89,6.5
1961,10,154,28.6,19.2,113,6.5
1961,11,8,29.2,17.8,69,5.9
1961,12,0,29.2,16,33,5.3
1962,1,1,29.6,15.1,13,4.8
1962,2,4,32.8,17.8,11,4.5
1962,3,3,34.6,19.9,7,4.1
1962,4,74,34.5,21.5,73,4.1
1962,5,96,33.1,21.1,93,3.9
1962,6,36,28.8,20.8,36,2.5
1962,7,262,26.3,20.4,101,3
1962,8,131,26.3,19.9,103,3.5
1962,9,80,27.4,19.4,96,3.2
1962,10,196,29.4,19.6,114,4.2
1962,11,27,29.3,17.2,73,4.2
1962,12,69,28.6,15.9,83,6.1
1963,1,2,29.8,16.2,33,6.7
1963,2,2,32.6,17,13,6.3
1963,3,16,35,20.4,22,6.4
1963,4,96,34.4,20.8,95,6.8
1963,5,119,33.8,21.4,116,6.5
1963,6,56,28.1,20.1,55,5.4
1963,7,176,26.8,20.4,109,4.4
1963,8,163,26.3,19.5,104,4.9
1963,9,37,28.1,19.6,81,3.6
1963,10,230,29.1,19.7,112,4.8
1963,11,6,29.4,18.5,71,4.3
1963,12,3,29.6,16.2,33,3.9
1964,1,0,30,15.1,12,3.5
1964,2,0,33.1,17.3,7,3.1
1964,3,4,35.6,20.4,8,2.8
1964,4,28,35.9,22.2,30,2
1964,5,29,34.2,22,29,0.8
1964,6,69,28.9,20.4,68,-1.6
1964,7,279,26.6,20.1,109,-0.6
1964,8,237,26.3,19.4,100,3.8
1964,9,121,27.1,18.9,100,4.3
1964,10,164,29.2,19.3,114,4.8
1964,11,28,28.5,16.7,73,4.8
1964,12,3,28.9,14.4,48,4.9
1965,1,4,30.1,15.8,17,4.5
1965,2,1,32,17.6,8,4
1965,3,2,34.5,19.8,6,3.5
1965,4,37,34.5,21,38,2.8
1965,5,54,33.7,21.4,54,2
1965,6,72,28.9,20.3,71,1.6
1965,7,289,26.5,19.9,102,2.6
1965,8,86,26.9,20,100,2.1
1965,9,81,28.2,19.7,96,1.9
1965,10,25,30.8,20.1,77,-1.6
1965,11,21,30.6,18.3,35,-2.5
1965,12,48,29.6,16.8,53,-1.9
1966,1,8,30.3,16.6,13,-1.7
1966,2,2,33.2,18.1,5,-1.6
1966,3,3,35.3,20.4,5,-1.5
1966,4,20,35.4,21.7,21,-2.1
1966,5,157,33.5,21.1,151,-1.1
1966,6,60,29,21,59,-1.4
1966,7,296,26.8,20.8,101,1.5
1966,8,34,27.5,20.6,79,-1.2
1966,9,137,28,19.5,111,0.8
1966,10,160,29.8,19.6,126,1.5
1966,11,147,29.3,18.3,110,4.1
1966,12,18,29,16,79,5.5
1967,1,6,30.2,15.7,39,6.4
1967,2,0,33.2,16.9,12,5.9
1967,3,1,34.6,20.4,8,5.3
1967,4,51,35.9,21.6,53,4.8
1967,5,56,34.3,22.1,57,3.8
1967,6,113,28.8,21.1,109,4
1967,7,297,26,20,101,4.9
1967,8,94,26.5,19.9,97,4.4
1967,9,54,27.5,19.5,86,3.5
1967,10,131,29,19.2,120,3.3
1967,11,2,29.3,16.7,55,2.7
1967,12,16,28.9,17.5,30,2.2
1968,1,0,29.2,15.7,8,1.9
1968,2,9,32,17.5,13,2.1
1968,3,3,34.8,20.2,6,1.8
1968,4,69,34.8,21.1,68,2.1
1968,5,58,33.7,21.5,57,1.4
1968,6,120,28.9,21,115,1.9
1968,7,178,26.4,20.5,105,1.3
1968,8,55,27.1,20.5,75,-1.4
1968,9,101,28.1,19.7,100,-1.3
1968,10,153,29.6,18.7,120,-0.9
1968,11,17,29.5,17.7,48,-1.3
1968,12,1,29.4,16,13,-1.7
1969,1,0,30,15.9,7,-1.8
1969,2,0,32.8,18.2,4,-1.7
1969,3,8,36.1,21,11,-1.3
1969,4,59,36.2,22.3,58,-1
1969,5,55,34.2,22.2,54,-1.5
1969,6,35,29.1,21,35,-2.2
1969,7,241,26.6,20.2,105,-1.6
