Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 13.1458 North,78.1458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,10,27.4,15.2,17,-0.9
1958,2,2,29.9,17.3,7,-1
1958,3,2,33,19.5,6,-1.1
1958,4,55,33.7,21.6,55,0.8
1958,5,108,32.4,21.7,105,1.7
1958,6,55,31.2,21.8,54,1.6
1958,7,37,28.1,20.3,37,0.8
1958,8,143,27.8,20.1,129,1.9
1958,9,116,28.9,19.6,112,1.3
1958,10,159,27.2,19.3,108,1.4
1958,11,70,26.7,17.5,76,1.6
1958,12,6,26,15,21,0.8
1959,1,0,27.8,15.2,8,-0.3
1959,2,8,30.6,16.7,12,0.2
1959,3,0,33.7,17.9,4,-0.8
1959,4,24,34.2,21.4,26,-0.8
1959,5,80,33.6,21.9,79,-0.6
1959,6,65,29.2,20.6,64,0.6
1959,7,33,27.4,19.9,33,-0.7
1959,8,79,28.7,19.8,76,-0.6
1959,9,161,28.7,20,124,0.1
1959,10,80,27.7,19.6,85,-1.2
1959,11,54,26.3,17.1,58,-1.5
1959,12,7,25.7,14.9,11,-2.2
1960,1,0,27.3,15.3,3,-2.4
1960,2,0,29.2,16.1,2,-2.4
1960,3,5,32.9,18.6,6,-2.3
1960,4,13,33.8,21.3,14,-2.5
1960,5,54,33.6,21.6,52,-2.8
1960,6,47,30.4,20.8,46,-2.5
1960,7,113,28.1,20.6,108,-1.3
1960,8,36,29.4,20.7,35,-2.1
1960,9,179,27.8,19.8,116,-1.4
1960,10,90,27.9,19.2,96,-1.8
1960,11,98,26.2,16.8,93,-1
1960,12,2,26,14.8,17,-1.5
1961,1,8,26.7,15.7,16,-1.4
1961,2,3,29.6,17,8,-1.2
1961,3,1,34,19.1,4,-1.3
1961,4,20,34.6,21.5,22,-1.4
1961,5,69,32.5,21.6,67,-1.4
1961,6,56,29.2,20.3,55,-1
1961,7,55,27.3,19.7,54,-1.2
1961,8,77,28,20.1,74,-1.2
1961,9,97,28.6,19.2,93,-1.9
1961,10,148,27.9,18.7,109,-1.7
1961,11,32,26.2,16.6,40,-2.1
1961,12,1,25.2,14.8,7,-2.8
1962,1,1,26.3,14.6,5,-2.9
1962,2,6,29.1,16.4,9,-2.6
1962,3,5,32.6,18.1,7,-2.4
1962,4,53,33.3,20.9,53,-1.4
1962,5,132,32.3,21,127,2.2
1962,6,39,30.6,20.3,38,1.8
1962,7,21,28.4,20.3,21,0.6
1962,8,90,28,20.1,87,0.8
1962,9,165,28.2,19.6,121,0.9
1962,10,188,26.6,19.4,105,1.8
1962,11,13,26.4,16.2,61,1.2
1962,12,58,25.8,14.7,74,1.9
1963,1,12,25.6,14.8,27,2.1
1963,2,0,29.1,15.1,8,1.9
1963,3,7,32.4,18.5,12,1.8
1963,4,46,33.1,20.3,47,2.2
1963,5,37,33.4,21.3,38,1.3
1963,6,50,30,20.7,50,1.2
1963,7,53,28.9,20.4,52,0.6
1963,8,82,28.4,19.9,79,0.6
1963,9,132,29.3,19.9,120,-1
1963,10,175,27.9,19.1,113,0.5
1963,11,25,26.2,17.4,51,-0.5
1963,12,20,25.8,15.1,31,-0.8
1964,1,0,27.7,13.9,7,-1
1964,2,0,30.7,16.1,4,-1.1
1964,3,0,33.6,19.1,3,-1.2
1964,4,8,35.1,21.6,10,-1.7
1964,5,50,34.5,22.3,49,-2.1
1964,6,43,30.9,20.5,42,-2
1964,7,201,28.6,20.3,116,2.7
1964,8,57,28.1,19.6,83,2.9
1964,9,177,28.1,19,120,3.3
1964,10,144,28.5,18.8,117,3.5
1964,11,124,25.7,16,99,4.8
1964,12,8,25.7,13.8,69,5.2
1965,1,2,27.1,14.1,38,5.5
1965,2,0,29.1,16.3,14,5.1
1965,3,1,32.6,18.3,8,4.5
1965,4,39,33.1,20.4,42,4.4
1965,5,29,33.3,21.5,31,3
1965,6,31,31,20.4,32,2.3
1965,7,35,29.2,19.6,35,1.3
1965,8,159,28.3,19.8,118,2.8
1965,9,67,29.3,19.8,77,1.6
1965,10,33,28.9,19.7,38,-2.9
1965,11,34,26.9,17.6,38,-3.5
1965,12,38,25.7,16,39,-3.3
1966,1,5,27.4,15.8,7,-3.3
1966,2,0,30.4,16.8,2,-3.2
1966,3,0,33.6,19.3,2,-3.2
1966,4,15,34.5,21.2,15,-3.4
1966,5,92,33.9,21.5,88,-2.7
1966,6,73,30.7,20.4,70,-1.7
1966,7,62,28.7,20.4,60,-1.6
1966,8,97,29.3,20.4,93,-1
1966,9,217,28.4,19.7,120,2.1
1966,10,167,27.6,18.8,117,2.7
1966,11,167,26.8,17.2,96,5
1966,12,26,25.6,15.1,75,5.7
1967,1,26,27.3,14.3,69,7.4
1967,2,0,30,14.9,19,7.1
1967,3,13,32.6,17.8,22,7
1967,4,12,34.7,20.9,17,5.9
1967,5,67,33.5,21.8,68,5.2
1967,6,42,30.2,20.8,43,4.7
1967,7,115,28.2,19.3,110,5.2
1967,8,33,28.2,19.3,33,3.9
1967,9,72,28.5,19.4,70,2.4
1967,10,81,26.8,18.7,78,1
1967,11,36,25.7,15.3,35,-3.3
1967,12,51,25.9,15.6,50,-2.8
1968,1,0,26.8,14.5,1,-3
1968,2,5,30.1,15.9,5,-2.8
1968,3,7,32.3,18.6,8,-2.5
1968,4,51,33.2,20.5,49,-1.5
1968,5,41,33.4,21.5,40,-2.1
1968,6,58,30.4,21,55,-1.6
