Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 12.5208 North,76.8958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,7,28.4,16.2,15,-0.6
1958,2,1,30.6,18.4,6,-0.8
1958,3,13,33.3,20.2,16,-0.6
1958,4,77,33.4,21.5,76,0.8
1958,5,181,31.5,21,157,1.9
1958,6,49,29.5,20.7,53,2.2
1958,7,56,26.7,19.8,58,2.3
1958,8,96,27.1,19.7,95,2.9
1958,9,121,28.8,19.3,116,2.5
1958,10,159,27.8,19.7,112,2.2
1958,11,87,27.7,18.5,89,2.7
1958,12,3,27.2,15.9,17,1.9
1959,1,0,29,16.2,8,1.4
1959,2,3,31.2,17.7,9,1.1
1959,3,0,34,18.7,4,0.6
1959,4,38,33.8,21.2,39,-1.2
1959,5,108,32.6,21.2,105,-1.5
1959,6,103,28,20,99,1.3
1959,7,52,26.1,19.4,51,1.4
1959,8,57,28,19.4,55,1.3
1959,9,177,28.6,19.7,121,2
1959,10,119,28.3,20,114,1.4
1959,11,43,27.4,18,57,1.1
1959,12,9,27,15.9,17,-1
1960,1,2,28.5,16.4,7,-1.2
1960,2,0,29.9,17.2,4,-1.3
1960,3,15,33.3,19.3,17,-1
1960,4,46,33.4,21.1,46,-0.9
1960,5,121,32.4,20.7,117,-1
1960,6,26,29,20,26,-1.5
1960,7,84,26.7,20,81,1
1960,8,34,28.4,20,34,-0.6
1960,9,134,27.6,19.4,115,0.2
1960,10,152,28.3,19.4,118,0
1960,11,85,27.2,17.8,87,1.1
1960,12,0,27.2,15.8,11,-0.5
1961,1,8,27.8,16.8,14,-0.5
1961,2,6,30.2,18,10,-0.4
1961,3,4,34.2,20,7,-0.6
1961,4,96,34.3,21.4,93,1.2
1961,5,145,31.5,20.8,140,1.4
1961,6,87,27.8,19.5,84,2.2
1961,7,85,25.9,19.2,82,3
1961,8,59,27.3,19.7,57,2.6
1961,9,54,28.5,19,53,1.1
1961,10,258,28.4,19.1,114,2.4
1961,11,21,27.4,17.7,67,2.1
1961,12,4,26.7,16,44,2
1962,1,3,27.5,15.7,19,1.8
1962,2,12,29.9,17.6,20,2.1
1962,3,8,33,18.9,13,1.9
1962,4,96,33,20.8,95,3
1962,5,189,31.5,20.4,155,3.9
1962,6,44,29.5,19.8,54,4
1962,7,32,26.9,19.7,37,3.2
1962,8,78,27.3,19.7,78,3.4
1962,9,110,28.1,19.4,107,2.8
1962,10,287,27.3,19.9,110,4.4
1962,11,15,27.5,17.2,75,4
1962,12,52,27,15.6,81,5.1
1963,1,8,27,16,44,5.4
1963,2,1,30,16.4,16,5.1
1963,3,7,32.8,19.3,15,4.6
1963,4,66,33,20.3,69,4.7
1963,5,77,32.7,20.7,77,3.5
1963,6,33,28.7,20,34,2.7
1963,7,38,27.4,19.9,39,2.1
1963,8,76,27.8,19.6,75,2.3
1963,9,123,29.2,19.5,117,2.1
1963,10,249,28.4,19.5,114,3.1
1963,11,24,27.3,18.4,68,2.8
1963,12,31,27.1,16.1,62,3.2
1964,1,0,28.9,15,17,3
1964,2,0,31.4,17.2,9,2.6
1964,3,1,33.9,19.7,7,2.1
1964,4,36,34.8,21.5,39,1.7
1964,5,149,33.4,21.5,144,1.9
1964,6,63,29.6,19.9,62,2
1964,7,124,27.1,19.6,115,3.8
1964,8,98,27.4,19.2,95,4.7
1964,9,153,28.1,18.7,115,4.7
1964,10,174,28.9,19.1,116,4.7
1964,11,129,26.8,16.9,106,6.2
1964,12,4,27,14.8,56,6.2
1965,1,5,28.3,15.2,24,6
1965,2,0,29.9,17.5,10,5.4
1965,3,3,33,19.1,9,4.8
1965,4,32,33,20.5,35,4
1965,5,64,32.3,20.7,64,2.5
1965,6,28,29.5,19.5,29,1.7
1965,7,26,27.8,19,26,1
1965,8,87,27.7,19.5,84,1.5
1965,9,64,29.2,19.5,63,-2.3
1965,10,30,29.4,20.1,29,-4.1
1965,11,30,28,18.7,29,-4.8
1965,12,24,26.9,16.8,23,-4.7
1966,1,5,28.4,16.8,6,-4.5
1966,2,0,31.2,18,1,-4.4
1966,3,4,33.9,19.9,5,-4.2
1966,4,37,34.3,21.2,35,-4.2
1966,5,124,32.7,20.6,119,-3.8
1966,6,41,29.4,19.7,40,-3.7
1966,7,46,27.2,19.9,45,-3.2
1966,8,44,28.6,20,42,-3.2
1966,9,204,28.4,19.4,117,-1.5
1966,10,198,28.2,19.3,120,2.1
1966,11,134,27.8,18,104,4.4
1966,12,21,26.9,16.1,78,5.5
1967,1,20,28.4,15.4,69,7.5
1967,2,0,30.8,16.1,21,7.2
1967,3,4,33.1,18.7,15,6.5
1967,4,18,34.5,20.9,24,5.3
1967,5,75,32.6,21.1,76,3.9
1967,6,70,28.9,20.1,70,4
1967,7,76,26.8,18.8,75,4.4
1967,8,34,27.6,19,34,3.4
1967,9,23,28.4,19.1,24,1.3
1967,10,99,27.4,19.1,96,-3
1967,11,24,27,16.5,24,-3.7
1967,12,29,27.1,16.5,29,-3.5
1968,1,0,28,15.6,1,-3.6
1968,2,22,30.7,16.9,22,-2.6
1968,3,14,32.7,19.4,14,-2.2
1968,4,55,33,20.5,53,-1.8
1968,5,99,32.6,20.9,94,-2
1968,6,47,28.9,20.1,45,-1.9
1968,7,26,26.5,19.6,25,-2.2
1968,8,31,28.5,19.7,30,-2.7
1968,9,169,28.4,19.4,117,-1.7
1968,10,114,28.4,19.1,111,-2
1968,11,28,27.1,18.2,38,-2.4
1968,12,5,27,16,12,-2.8
1969,1,0,28.3,15.5,5,-2.9
1969,2,0,30.8,17.4,4,-2.8
1969,3,5,34.4,19.8,8,-2.7
1969,4,48,34.6,21.5,47,-2.3
1969,5,123,32.8,21,119,-2.1
1969,6,22,29.6,20.2,23,-2.5
1969,7,34,27.1,19.5,34,-2.6
1969,8,99,28,20,95,-1.5
1969,9,46,28.8,19,44,-2.7
1969,10,169,28.1,19.5,114,-2.3
1969,11,69,28,18.1,76,-1.7
1969,12,42,26.1,16.6,51,-1.3
1970,1,3,28.2,16.2,9,-1.3
1970,2,7,30.7,17.5,11,-1.1
1970,3,11,33.7,19.5,14,-0.9
1970,4,44,33.7,21.8,45,-0.8
1970,5,143,31.9,21.1,138,0.4
1970,6,29,28.4,19.8,30,-0.5
1970,7,34,27.2,19.4,34,-0.8
1970,8,44,27.2,19.3,43,-1.1
1970,9,68,28.5,19.1,66,-1.9
1970,10,301,28,19.5,117,2
1970,11,31,26.5,18.4,76,2.2
1970,12,1,26.6,14.2,57,2.5
1971,1,1,27.9,16,29,2.5
1971,2,1,30.7,16.8,13,2.4
1971,3,5,32.9,18.8,12,2.1
1971,4,43,34.2,20.7,46,1.9
1971,5,130,32,20.6,127,1.9
1971,6,31,27.3,19.4,32,1.3
1971,7,17,27.1,19.4,18,-1.3
1971,8,135,27.6,19.1,118,1.8
1971,9,167,28.3,19.4,117,2.5
1971,10,144,28,18.9,114,2.4
1971,11,19,27.3,16.6,53,1.8
1971,12,22,25.6,15.2,36,1.7
1972,1,0,27.8,14.6,9,1.4
1972,2,0,30.7,16.5,6,1.2
1972,3,0,33.7,17.8,4,0.7
1972,4,23,34.1,21,25,-1.1
1972,5,214,31.5,20.7,145,1.8
1972,6,81,30.4,20.6,95,3.3
1972,7,24,27.9,19.6,40,2.8
1972,8,26,28.9,19.7,34,1.8
1972,9,166,29.2,20.3,121,2.4
1972,10,166,28.4,19.9,111,2.6
1972,11,22,27.9,17.9,61,2.2
1972,12,68,27.2,17,80,3.3
1973,1,0,29.7,15.1,19,3.2
1973,2,0,31.9,17.6,10,2.9
1973,3,0,34.3,19.4,6,2.4
1973,4,46,35,22,48,2.2
1973,5,109,33.8,21.2,107,1.8
1973,6,44,29.2,20.2,44,1.5
1973,7,46,27.3,20.2,46,1.3
1973,8,75,27.2,19.2,73,1.6
1973,9,90,28.8,19.4,87,0.8
1973,10,148,28.1,19.8,117,-0.2
1973,11,29,27.6,17.6,35,-1.3
1973,12,15,26.4,15.7,19,-1.7
1974,1,0,28.3,14.9,3,-1.9
1974,2,0,31.2,16,3,-2
1974,3,1,34,19,3,-2.2
1974,4,36,34.6,21.4,36,-2.2
1974,5,114,32.3,20.1,109,-2.1
1974,6,23,29.3,19.5,23,-2.6
1974,7,51,27.6,19.3,50,-2.2
1974,8,33,28,19.2,32,-2.6
1974,9,192,28.2,19.1,121,-1.2
1974,10,138,28.5,18.6,117,-1.1
1974,11,9,27.8,16.8,42,-1.7
1974,12,0,27.6,14.5,14,-2.1
1975,1,1,28.5,15,9,-2.1
1975,2,3,31.4,17.5,8,-2
1975,3,18,33.2,19.4,21,-1.4
1975,4,22,34.8,21.1,24,-1.8
1975,5,187,32.7,20.7,164,-0.6
1975,6,53,28.2,19.6,56,1.6
1975,7,89,26.9,18.8,89,2.5
1975,8,66,27.3,19.7,66,2.4
1975,9,145,27.8,18.9,110,2.7
1975,10,150,27.7,19.1,119,2.4
1975,11,65,26.5,17.1,77,2.5
1975,12,1,26.5,14.5,16,1.6
1976,1,0,27.5,14.9,9,1.3
1976,2,0,30.3,16.6,6,1
1976,3,1,34.2,18.6,5,0.6
1976,4,95,33.7,20.6,93,1.6
1976,5,49,33,20.9,49,-1.2
1976,6,14,30,19.9,15,-1.9
1976,7,28,27.6,19.3,29,-2.3
1976,8,59,27.9,19.3,58,-2
1976,9,58,28.8,19.7,57,-2.9
1976,10,77,28.8,19.9,74,-3.8
1976,11,85,26.9,19,81,-3.1
1976,12,1,27.4,16.1,2,-3.7
1977,1,0,29.1,14.7,1,-3.8
1977,2,2,30.8,17.6,3,-3.7
1977,3,16,33.9,19.7,16,-3.1
1977,4,83,33.8,21.6,80,-1.8
1977,5,147,31.5,20.7,140,-1.3
1977,6,65,29.1,20.2,63,-0.9
1977,7,28,27.7,19.6,27,-1.3
1977,8,67,28.5,19.4,64,-1.1
1977,9,129,29.4,19.6,123,-1
1977,10,268,27.5,20,118,2.1
1977,11,81,27.6,19,92,3.2
1977,12,0,27.2,15.8,58,3.4
1978,1,2,28.8,15.9,25,3.4
1978,2,9,30.5,17.9,20,3.4
1978,3,3,33.5,19.5,9,2.9
1978,4,46,34.1,22,48,2.7
1978,5,136,32.7,21.1,132,2.8
1978,6,42,28.3,19.7,42,2.4
1978,7,69,26.7,19.3,68,2.8
1978,8,39,27.2,19.8,39,2
1978,9,121,28.4,19.4,115,1.8
1978,10,120,28.5,20,114,1
1978,11,99,28,18.4,95,1.6
1978,12,35,26.2,17.8,34,1.5
1979,1,0,28.5,17.1,1,0.9
1979,2,25,30.5,18.8,25,1.6
1979,3,12,33,20.2,12,1.5
1979,4,49,34.4,22.2,48,1.5
1979,5,84,32.5,21.6,81,0.6
1979,6,83,29.2,21,79,1.2
1979,7,40,27,19.9,39,0.8
1979,8,69,28.1,20.3,66,0.8
1979,9,183,28.1,20.1,115,1.8
1979,10,158,28.8,19.8,127,1.7
1979,11,109,26.8,19.4,93,3.2
1979,12,1,27.3,17.3,43,3.3
1980,1,0,29.1,15.7,16,3.1
1980,2,0,31.3,17.9,9,2.8
1980,3,4,33.6,20.2,10,2.4
1980,4,44,34.1,22.3,46,2.2
1980,5,176,33.6,22.1,163,2.9
1980,6,48,28.7,20.2,50,2.9
1980,7,40,27.8,19.7,41,2.4
1980,8,37,28,19.6,37,1.6
1980,9,162,29.3,20,126,2
1980,10,122,28.8,20.1,118,1.3
1980,11,48,28,18.6,56,1
1980,12,3,27.5,16.6,9,-1.4
1981,1,2,28,16.9,6,-1.6
1981,2,0,31.1,17.6,3,-1.7
1981,3,40,33.6,19.9,40,1.2
1981,4,34,34.1,21.9,34,0.8
1981,5,125,32.8,21.6,120,0.7
1981,6,25,28.1,20.4,25,-0.6
1981,7,52,27.8,20.1,50,-0.7
1981,8,70,28,19.5,67,0.2
1981,9,183,28.1,19.9,115,1.2
1981,10,130,28,20.5,110,1
1981,11,32,27.4,18.2,59,0.7
1981,12,13,26.7,16.3,27,-0.3
1982,1,0,28.5,15.8,8,-0.6
1982,2,0,31.1,17.7,5,-0.7
