Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 16.2292 North,77.3542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,31.2,19,2,-1.8
1958,2,3,32.8,20.8,4,-1.6
1958,3,7,36.1,22.6,8,-1.5
1958,4,31,38.6,26.3,31,-0.9
1958,5,27,39.7,27.2,27,-0.8
1958,6,50,36.7,26,49,-1.9
1958,7,159,31.1,22.8,152,-1.9
1958,8,190,31.3,22.9,156,-1
1958,9,138,30.9,22.5,135,-1.5
1958,10,50,31.2,22.5,52,-2.2
1958,11,17,31,20.8,20,-2.5
1958,12,0,30,18.7,3,-2.8
1959,1,0,31,19.7,2,-2.8
1959,2,1,33.4,20.8,3,-2.7
1959,3,0,36.4,22.2,2,-2.8
1959,4,15,38.6,26,16,-2.6
1959,5,35,40.3,27.3,34,-2.3
1959,6,120,34.6,24.1,115,-1.1
1959,7,186,30.9,22.2,152,1.4
1959,8,140,31.3,22.5,137,1.4
1959,9,179,30.9,22.6,143,1.1
1959,10,53,31.1,22.7,67,-0.6
1959,11,2,30.5,20.2,11,-1.5
1959,12,2,30.3,18.6,8,-1.8
1960,1,0,31,19.1,4,-1.8
1960,2,0,33.5,19.3,3,-1.8
1960,3,24,35,22.3,25,-0.8
1960,4,8,38.6,25.6,10,-1.2
1960,5,33,39.8,26.4,32,-1
1960,6,75,34.7,23.9,73,-1
1960,7,112,31.7,23.3,107,-1.3
1960,8,16,32.2,23.3,16,-3.4
1960,9,338,31,22.7,112,-1.4
1960,10,51,31.5,22.2,107,-1
1960,11,11,30.6,19.4,60,2.3
1960,12,1,30.4,18.8,26,2.1
1961,1,0,31,19.3,12,2.1
1961,2,2,32.1,19.6,9,2
1961,3,5,36.6,23,9,1.8
1961,4,11,39.2,26,14,1.4
1961,5,48,39,26.3,48,1.9
1961,6,129,34.3,23.3,125,2.9
1961,7,262,30.7,22.4,139,4.5
1961,8,86,31.5,22.7,118,4
1961,9,34,30.8,22,68,2.1
1961,10,125,30.8,21.6,124,2.3
1961,11,3,30.1,19.7,15,1.5
1961,12,0,29.7,18,7,0.9
1962,1,0,29.9,17,5,0.8
1962,2,2,33,19.3,6,0.7
1962,3,4,35.2,21.6,7,0.6
1962,4,68,37.7,25.3,66,2.2
1962,5,37,39.3,25.9,37,2.3
1962,6,87,35.3,24.2,84,2.1
1962,7,130,31.5,22.8,125,1.4
1962,8,150,31.3,22.5,142,1.5
1962,9,170,30.7,22,132,1.2
1962,10,82,31.8,21.7,87,1
1962,11,13,30.3,19.2,18,-0.4
1962,12,49,29.1,18.4,50,1
1963,1,0,30.1,18.1,3,0.7
1963,2,1,32.7,18.5,3,-0.1
1963,3,6,35.5,21.9,8,0
1963,4,40,37.4,24.5,40,1.1
1963,5,24,39.8,26.2,25,0.8
1963,6,90,34.6,23.3,87,-0.1
1963,7,86,32,22.8,83,-1.6
1963,8,260,31.2,22.1,151,1.9
1963,9,63,31.6,22.3,97,0.7
1963,10,120,31.4,22.1,122,1.2
1963,11,0,30.4,20.5,19,-0.5
1963,12,4,30.2,18.5,14,-1
1964,1,0,30.7,17.8,6,-0.9
1964,2,1,33.6,19.4,5,-0.9
1964,3,1,36.6,22.5,4,-1.1
1964,4,9,39.3,26.2,11,-1.4
1964,5,2,40.4,27.1,4,-2.3
1964,6,101,35.4,23.6,97,-1.8
1964,7,258,31.9,22.5,140,2.2
1964,8,80,31.1,21.9,116,1.7
1964,9,451,30.4,21.5,119,4.7
1964,10,65,31.6,21.9,107,4.8
1964,11,11,29.6,18.8,69,5.2
1964,12,2,29.6,16.7,30,4.8
1965,1,0,30.6,18.2,13,4.4
1965,2,0,32.4,19.6,8,4
1965,3,0,35.3,21.6,5,3.3
1965,4,18,37.7,24.7,20,2.9
1965,5,7,39.8,26.3,9,1.8
1965,6,114,35.5,23.7,111,2.1
1965,7,146,31.7,22.4,141,1.5
1965,8,106,31.9,22.6,102,0.9
1965,9,165,31.6,22.3,138,-1.4
1965,10,0,33,22.2,6,-3.1
1965,11,4,31.6,20.1,8,-3.8
1965,12,29,30.5,19.2,31,-3.3
1966,1,7,30.9,18.9,9,-2.9
1966,2,0,33.7,20.1,2,-2.9
1966,3,3,36.2,22.3,4,-2.9
1966,4,12,38.9,25.7,13,-3
1966,5,18,39.8,26.3,18,-3.3
1966,6,51,35.6,24.5,49,-3.8
1966,7,193,32.3,23.4,131,-2.6
1966,8,141,32.4,23.2,132,-1.7
1966,9,202,31.3,22,131,-1.2
1966,10,31,32.1,21.8,89,-1.4
1966,11,38,30.7,20.8,57,-1
1966,12,19,29.6,18.3,28,-0.7
1967,1,2,30.8,18.1,9,1.3
1967,2,0,33.4,18.8,5,1.2
1967,3,6,34.9,22.1,9,1.1
1967,4,19,39,25.4,20,1
1967,5,10,40.3,26.9,12,-0.6
1967,6,79,35.4,24.4,77,0
1967,7,231,31.4,22.5,129,1.6
1967,8,68,31.4,22.5,102,0.9
1967,9,183,30.9,22.2,130,0.9
1967,10,66,31.3,21.5,94,1
1967,11,0,30.6,18.9,29,0.7
1967,12,4,29.7,20.1,17,-0.2
1968,1,2,29.6,18,9,0.1
1968,2,5,32.5,19.8,10,0.7
1968,3,10,35.2,21.7,13,0.9
1968,4,26,38,24.8,28,1.1
1968,5,20,39.8,26.4,21,0.8
1968,6,96,35.5,24.3,93,1
1968,7,144,31.8,23,137,0.8
1968,8,8,32.1,23.2,9,-2.2
1968,9,307,31.4,22.2,122,-0.8
1968,10,86,31.7,20.7,112,2
1968,11,14,30.5,19.4,73,2.9
1968,12,13,30.2,18.4,50,3.5
1969,1,0,30.5,18.2,15,3.4
1969,2,0,33.3,20.4,8,3.1
1969,3,7,37,23,12,3
1969,4,8,39.7,26.4,11,2.3
1969,5,46,40,26.8,47,2.6
1969,6,74,35.8,24.4,73,2.2
1969,7,165,31.8,22.6,150,2.2
1969,8,187,32,22.8,133,3.1
1969,9,147,30.5,22.1,134,2.6
1969,10,56,31.3,22.1,79,2.2
1969,11,15,31.2,20.6,26,1.9
1969,12,4,29,19,11,1.6
1970,1,0,30.8,18.6,5,1.4
1970,2,0,33,20.6,4,1.2
1970,3,2,35.9,22.7,4,0.9
1970,4,22,38.5,26.5,23,1
1970,5,34,39.5,26.9,34,1.1
1970,6,60,34,23.3,59,0.7
1970,7,143,31.9,22.9,133,0.7
1970,8,233,31,22.2,132,2.5
1970,9,223,30.9,22.2,125,3
1970,10,69,31.3,21.9,107,3.4
1970,11,0,30.1,18.9,60,3.8
1970,12,0,29.3,15.4,30,3.7
1971,1,0,29.9,18.5,13,3.5
1971,2,0,33.1,19.8,8,3.3
1971,3,5,35.2,21.8,10,3
1971,4,19,39.1,25.7,22,2.7
1971,5,41,39.2,26.2,41,2.9
1971,6,57,32.9,23.1,56,2
1971,7,68,32.1,23.3,67,-1.8
1971,8,103,32,22.9,99,-2.1
1971,9,87,31.2,22.7,84,-2.9
1971,10,108,31,21.4,104,-2.4
1971,11,1,29.6,18.2,2,-3
1971,12,0,28.2,17.4,1,-3.3
1972,1,0,30.5,16.9,1,-3.2
1972,2,1,32.1,19.6,1,-3
1972,3,0,36.3,21.9,1,-3
1972,4,16,38.9,25.7,15,-2.9
1972,5,24,39.9,26.8,23,-2.8
1972,6,76,36.8,25.4,72,-2.7
1972,7,72,32.5,23.3,68,-3.8
1972,8,18,32.8,23.4,17,-5.6
1972,9,144,32.4,23.1,126,-5.5
1972,10,28,31.9,22.9,28,-6.2
1972,11,15,30.7,20,15,-6
1972,12,2,30.4,19.8,3,-6.1
1973,1,0,32.1,18,1,-5.7
1973,2,0,34.1,20.4,1,-5.4
1973,3,0,36.8,22.4,1,-5.3
1973,4,4,40.2,27.5,4,-5.4
1973,5,13,40.9,28,13,-5.6
1973,6,91,35.4,24.6,87,-5
1973,7,76,31.9,23.1,72,-5.9
1973,8,191,31.3,22.3,144,-4.4
1973,9,101,30.9,22.8,107,-4.9
1973,10,123,31.2,22.3,120,-4
1973,11,8,30,19.2,13,-4.2
1973,12,9,29.5,18.4,12,-4.2
1974,1,0,30.7,17.4,3,-4
1974,2,0,33.3,19.4,2,-3.8
1974,3,1,36.6,22.4,3,-3.7
1974,4,16,39.2,26.4,17,-3.5
1974,5,79,39.4,26,76,-1.9
1974,6,74,35,23.8,71,-2
1974,7,84,32.4,23.4,81,-3
1974,8,117,31.9,22.5,112,-3
1974,9,247,31.6,22.4,143,-2.3
1974,10,152,30.8,22.2,132,1.9
1974,11,2,30.1,18.1,56,2.3
1974,12,0,29.9,16.4,18,2
1975,1,2,30.3,17.3,12,2
1975,2,0,33.2,19.9,6,1.9
1975,3,15,35.5,22.2,19,2.2
1975,4,7,39.3,26.2,10,1.5
1975,5,31,40.1,27,32,1.4
1975,6,50,34.2,23.6,50,-1.1
1975,7,231,31.5,22.4,142,1.4
1975,8,127,31.4,22.8,131,1.6
1975,9,195,30.4,21.7,115,1.9
1975,10,205,30.5,22.6,132,4.6
1975,11,7,28.9,18.6,78,5.4
1975,12,0,29.2,15.9,52,6
1976,1,0,29.7,16.9,17,5.7
1976,2,0,32.5,18.9,9,5.2
1976,3,0,36.9,21.9,6,4.5
1976,4,24,38.3,25.5,27,4.2
1976,5,17,39.8,26.7,19,3.3
1976,6,88,35.1,23.9,86,3
1976,7,150,31.7,22.4,124,3
1976,8,195,31.6,22.4,141,3.9
1976,9,93,31.2,22.3,98,3
1976,10,13,32.4,22.4,35,1.5
1976,11,27,30.5,21.7,37,1.2
