Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 13.9375 North,75.5625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,31.1,15.9,6,0.9
1958,2,0,32.8,17.6,3,0.7
1958,3,14,34.8,19.8,16,0.8
1958,4,49,34.4,22,48,0.9
1958,5,121,32.5,22.4,117,1.6
1958,6,129,29.2,22.2,123,1.7
1958,7,463,25.5,20.8,96,2.7
1958,8,195,26,20.9,108,3.1
1958,9,86,27.8,20,101,2.6
1958,10,167,28.5,20.5,113,2.9
1958,11,41,29.8,18.4,80,3.1
1958,12,1,29.7,15.4,14,2.8
1959,1,0,31.2,16,6,2.5
1959,2,0,33.3,17.2,3,2.2
1959,3,0,35.4,18.8,2,1.6
1959,4,27,34.6,21.7,27,1
1959,5,93,33.4,22.5,90,1.1
1959,6,236,27.5,21.2,119,3.1
1959,7,557,25.1,20.4,92,5.6
1959,8,137,26.5,20.6,96,4.8
1959,9,139,27.6,20.2,106,5.3
1959,10,80,28.5,20.5,101,4.2
1959,11,37,29.2,17.9,60,3.6
1959,12,3,29.8,15.4,11,2.8
1960,1,1,31,15.9,5,2.4
1960,2,0,33,16.7,3,1.9
1960,3,32,34.4,19.3,32,2.5
1960,4,47,34.4,21.5,46,2.3
1960,5,65,32.8,21.5,62,1.8
1960,6,83,28.2,21.2,79,1.2
1960,7,310,25.9,21.3,103,1
1960,8,87,27,21.1,94,-1.7
1960,9,110,27.1,20.2,100,-1.2
1960,10,176,28.9,20.1,115,1.3
1960,11,47,29.4,16.9,84,1.8
1960,12,0,29.9,15.3,15,1.7
1961,1,0,30.5,16.1,6,1.6
1961,2,1,32,16.7,4,1.4
1961,3,4,35.3,19.6,6,1
1961,4,73,35,21.7,71,1.6
1961,5,179,32.1,21.7,155,3.4
1961,6,147,27.2,20.5,119,3.9
1961,7,784,24.9,20.3,92,8
1961,8,123,26.2,20.9,100,6.7
1961,9,67,27.6,19.7,89,5.7
1961,10,176,28.5,19.6,109,5.8
1961,11,8,29.1,17.5,56,5
1961,12,1,29.3,15.1,9,4
1962,1,2,30,14.6,6,3.6
1962,2,11,32.6,16.7,13,3.6
1962,3,7,34.3,18.7,9,3.1
1962,4,72,33.8,21.2,69,3.5
1962,5,98,32.3,21.5,94,3.5
1962,6,46,28.7,21.1,44,2.1
1962,7,343,25.8,20.8,95,2
1962,8,175,26,20.7,102,2.2
1962,9,91,27.4,19.9,100,2
1962,10,254,28.6,20.4,112,4
1962,11,23,29.2,16.9,70,3.7
1962,12,43,29,14.9,50,4.2
1963,1,1,30,15.5,5,3.8
1963,2,1,32.6,15.7,4,3.3
1963,3,39,34.4,19.1,39,4
1963,4,76,33.7,20.6,73,4.4
1963,5,82,33.2,21.7,79,4
1963,6,86,27.8,20.8,82,3.3
1963,7,255,26.3,20.9,104,2.3
1963,8,225,26.2,20.4,102,3.3
1963,9,52,28.2,20,89,2.2
1963,10,215,28.8,20,111,3.1
1963,11,13,29.2,18.1,60,2.7
1963,12,7,29.7,15.3,15,2.1
1964,1,0,30.8,14.2,4,1.8
1964,2,0,33.3,16.1,3,1.4
1964,3,1,35.1,19.3,3,0.9
1964,4,19,35.4,21.8,20,-1.4
1964,5,32,33.7,22.4,31,-2.3
1964,6,103,28.8,20.9,98,-2.2
1964,7,490,26.1,20.6,106,-0.7
1964,8,329,26,20.1,99,4.3
1964,9,103,27.1,19.2,99,4.2
1964,10,135,29,19.5,111,4.1
1964,11,46,28.5,16.5,81,4.3
1964,12,4,29.2,13.6,19,4.1
1965,1,5,30.6,14.8,11,4
1965,2,1,32,16.5,5,3.5
1965,3,6,34.1,18.6,8,3
1965,4,15,33.9,20.8,16,2
1965,5,33,33,21.8,32,0.9
1965,6,88,28.7,20.7,85,-1.8
1965,7,315,26.5,20.3,100,-1.7
1965,8,124,26.6,20.6,109,-2.1
1965,9,71,28.4,20.1,95,-2.3
1965,10,18,30.2,20.6,40,-4.1
1965,11,34,30.2,18.2,40,-4.7
1965,12,23,29.6,15.9,26,-4.2
1966,1,5,30.8,16,8,-3.7
1966,2,0,33.4,17.1,2,-3.5
1966,3,9,35,19.4,9,-3.2
1966,4,25,34.8,21.4,25,-3.4
1966,5,93,32.9,21.5,89,-2.9
