Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 13.3542 North,74.7292 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,31.9,21.1,80,0.4
1958,2,0,31.5,22.6,69,0.4
1958,3,4,32.6,24.3,74,0
1958,4,41,32.5,25.8,81,0.1
1958,5,218,31.7,25.9,154,0.7
1958,6,665,29.9,24.6,117,0.7
1958,7,1832,27.4,23.3,93,0.6
1958,8,1113,27.5,23.4,100,0
1958,9,367,28.8,23.2,109,-0.1
1958,10,206,29.7,23.8,119,0.1
1958,11,100,32,23,112,1
1958,12,3,32.4,21.4,87,-0.5
1959,1,0,32.2,21.3,81,0.2
1959,2,0,31.9,22.2,69,0
1959,3,0,33.1,23.1,74,-0.2
1959,4,24,32.8,25.6,69,-0.9
1959,5,196,32.7,26.1,159,0.3
1959,6,1617,28.6,23.9,107,0
1959,7,1941,26.9,22.9,88,0
1959,8,869,28.1,23.1,92,0
1959,9,638,28.6,23.4,102,0.7
1959,10,122,29.7,23.8,117,-1.3
1959,11,68,31.5,22.5,103,-1.2
1959,12,14,32.5,21.5,86,-1.4
1960,1,0,31.9,21.2,80,-1.3
1960,2,0,31.7,21.8,68,-1.2
1960,3,16,32.2,23.6,78,-0.6
1960,4,65,32.5,25.3,95,1.5
1960,5,88,32,25,103,0.7
1960,6,551,29.1,23.7,101,0.6
1960,7,1298,27.6,23.7,102,0.6
1960,8,627,28.4,23.5,98,0
1960,9,585,28,23.3,95,0.8
1960,10,248,29.9,23.3,116,1.5
1960,11,111,31.7,21.6,114,2.4
1960,12,0,32.5,21.3,84,1.5
1961,1,0,31.4,21.5,81,1.7
1961,2,1,30.6,21.7,69,1.7
1961,3,2,32.8,23.8,74,1.6
1961,4,64,33.1,25.5,96,2.5
1961,5,475,31.4,25.4,146,5.8
1961,6,1207,28.1,23.1,104,5.2
1961,7,3848,26.6,22.7,88,4.6
1961,8,520,27.7,23.4,94,4.2
1961,9,673,28.6,22.8,93,4.3
1961,10,351,29.8,22.9,110,6.4
1961,11,24,31.5,22.3,86,4.6
1961,12,8,32.1,21.3,83,3.3
1962,1,0,31,20.1,76,2.4
1962,2,4,31.4,21.9,65,2
1962,3,2,32,23,67,1.3
1962,4,44,32.1,25.2,80,1.3
1962,5,136,31.6,25.1,134,0.9
1962,6,494,29.7,23.7,116,0.8
1962,7,1452,27.6,23.2,94,0.7
1962,8,956,27.5,23.2,99,0.7
1962,9,463,28.4,23.1,103,0.7
1962,10,404,29.7,23.7,117,3.9
1962,11,30,31.5,21.5,90,2.5
1962,12,123,31.8,21.1,129,5.6
1963,1,0,31,21,82,5.8
1963,2,1,31.4,20.9,72,5.8
1963,3,28,32.1,23.5,90,7
1963,4,91,31.9,24.5,113,8.4
1963,5,96,32.4,25.3,116,6.9
1963,6,552,28.8,23.4,103,6.2
1963,7,1161,28.1,23.3,100,5.6
1963,8,1382,27.8,22.9,95,5
1963,9,241,29.2,23.1,110,4.1
1963,10,317,30,23.3,117,5.5
1963,11,25,31.5,22.8,87,3.8
1963,12,28,32.4,21.4,91,3.3
1964,1,0,31.6,19.5,78,2.7
1964,2,0,31.9,21,66,2.1
1964,3,0,32.8,23.6,69,1.4
1964,4,13,33.5,25.6,61,-2.7
1964,5,39,33,26,72,-3.9
1964,6,547,29.8,23.5,111,-3.5
1964,7,1999,27.8,23,103,-3.1
1964,8,1621,27.6,22.7,96,-2.8
