Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 14.8125 North,74.6875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,30.7,17.5,59,0.1
1958,2,0,31.4,19.4,51,0.1
1958,3,2,33.4,21.3,38,0
1958,4,30,33.6,23.5,48,0.1
1958,5,153,32.5,23.9,148,1.1
1958,6,388,29.5,23.3,119,1
1958,7,2241,26,21.3,87,0.9
1958,8,630,26.6,21.7,101,0.8
1958,9,207,27.6,21.2,106,-0.4
1958,10,152,29.1,21.2,119,-0.1
1958,11,40,30.2,19.4,83,0
1958,12,0,29.6,17.2,71,-0.6
1959,1,0,30.4,18,59,-0.6
1959,2,0,31.7,19.2,51,-0.6
1959,3,0,33.7,20.8,36,-0.9
1959,4,24,33.6,23.1,42,-0.9
1959,5,173,33.2,24.1,164,1.1
1959,6,803,27.9,21.9,111,1
1959,7,2117,25.6,20.6,83,0.9
1959,8,510,26.6,21.3,88,0.6
1959,9,338,27.5,21.1,97,1.7
1959,10,65,28.8,21.3,98,-1.3
1959,11,48,29.6,18.8,85,-1.2
1959,12,4,29.9,17.1,64,-1.7
1960,1,0,30.4,17.4,56,-1.8
1960,2,0,32.2,18.3,47,-2
1960,3,6,32.4,21,35,-2
1960,4,36,33.6,22.8,51,-1.6
1960,5,128,32.6,23.1,126,-0.9
1960,6,280,28.1,21.9,105,-0.8
1960,7,1434,26.5,21.7,96,-0.7
1960,8,499,27.2,21.7,93,-0.8
1960,9,304,27.5,21.2,95,1.1
1960,10,104,29.4,20.8,108,-0.7
1960,11,33,29.8,18,81,-0.9
1960,12,0,29.8,17.1,64,-1.2
1961,1,0,30.2,17.5,58,-1.2
1961,2,0,30.4,18.1,48,-1.1
1961,3,0,33.4,21.2,35,-1.3
1961,4,34,33.8,22.9,51,-1
1961,5,424,31.7,22.9,152,5
