Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 9.9792 North,76.3125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,6,31.9,22.5,84,0
1958,2,52,31.9,24.1,91,1
1958,3,84,32.9,25.3,114,1.8
1958,4,127,32.4,25.6,128,2
1958,5,548,30.9,25.3,125,2.3
1958,6,472,29.4,24,110,2.1
1958,7,534,28.4,23.6,104,1.2
1958,8,434,27.8,23.6,102,1.4
1958,9,85,29.7,23.6,101,-1
1958,10,190,29.8,24,112,-1.7
1958,11,172,30.7,23.7,104,-1.1
1958,12,7,31.8,22.5,84,-1.8
1959,1,1,32.3,22.4,83,-2.2
1959,2,17,32.6,23.4,74,-2.2
1959,3,13,33.6,23.8,74,-2.9
1959,4,156,32.7,25.3,149,-2.1
1959,5,282,31.9,25.2,138,-2
1959,6,1507,28.4,23.8,102,-1.8
1959,7,774,27.7,23.1,101,-1.2
1959,8,378,28.8,23.4,102,-1.2
1959,9,441,29.3,23.8,110,-0.7
1959,10,223,30.2,24.2,107,-1
1959,11,128,30.6,23.5,111,-1.1
1959,12,41,31.5,22.3,93,-1
1960,1,9,31.7,22.4,88,-0.8
1960,2,6,31.6,23.2,71,-1
1960,3,59,32.7,24.4,99,-0.6
1960,4,216,32.2,25,142,2
1960,5,554,31.3,24.2,133,2.3
1960,6,404,29.3,23.8,103,2.1
1960,7,883,27.8,23.2,105,2.6
1960,8,332,28.9,23.6,103,2
1960,9,463,28.4,23.6,103,2.3
1960,10,265,30.1,23.5,114,1.9
1960,11,274,30.3,23.1,108,3.3
1960,12,17,31.7,22.2,86,2.4
1961,1,18,31.1,22.9,90,2.3
1961,2,52,31.6,23.7,91,2.8
1961,3,22,33.8,24.9,87,2.1
1961,4,114,33.2,25.4,124,1.8
1961,5,606,31.1,25.2,133,2.2
1961,6,1507,28.2,23.4,104,2
1961,7,821,27.4,22.8,103,2.3
1961,8,554,28,23.6,102,3.2
1961,9,412,29.3,23.2,113,3.1
1961,10,251,30.5,23.5,115,2.6
1961,11,83,30.8,23.4,103,1.6
1961,12,13,31.3,22.5,86,0.7
1962,1,28,31.2,22.2,90,0.7
1962,2,102,31.6,23.6,116,2.5
1962,3,46,32.6,24.1,97,2.4
1962,4,65,32,25,94,1.5
1962,5,433,31.1,24.8,131,1.5
1962,6,273,29.9,23.6,117,1.4
1962,7,1024,28.2,23.1,108,2.5
1962,8,440,28.2,23.8,110,2.6
1962,9,424,28.9,23.6,106,2.7
1962,10,419,29.1,24,106,3.4
1962,11,26,31,22.9,84,1.6
1962,12,67,31.7,22.4,102,1.6
1963,1,26,30.5,22.4,88,1.5
1963,2,36,31.8,22.5,84,1.6
1963,3,98,32.3,24.3,120,2.5
1963,4,94,32.2,24.8,111,2
1963,5,133,32.3,25.1,134,1.4
