Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 9.8542 North,76.9375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,32,26.5,17.1,81,0
1958,2,43,27.3,18.6,80,0.6
1958,3,142,29,19.7,139,1.4
1958,4,134,27.6,19.4,123,1.9
1958,5,304,26.6,19.6,113,3.3
1958,6,290,25.3,18.9,100,3.1
1958,7,390,24,18.5,94,2.3
1958,8,442,23.6,18,94,2.5
1958,9,67,25.4,17.9,89,1.2
1958,10,205,24.9,18.6,101,-1.6
1958,11,194,25.4,18.5,90,-1.1
1958,12,17,25.9,17.1,75,-1.9
1959,1,7,27,17.2,72,-2.4
1959,2,38,28.1,18.1,77,-2.3
1959,3,20,29.7,18.3,73,-3
1959,4,129,28,19.1,126,-2.5
1959,5,181,27.6,19.6,121,-2.1
1959,6,700,24.3,18.6,94,-1.3
1959,7,714,23.2,18,90,-1
1959,8,315,24.7,17.9,93,-1.2
1959,9,269,25,18.1,103,-0.7
1959,10,231,25.3,18.8,97,-0.8
1959,11,200,25.2,18.3,95,0.3
1959,12,96,25.4,16.8,100,-0.1
1960,1,24,26.4,17.1,84,-0.1
1960,2,14,27.1,17.9,73,-0.2
1960,3,74,28.8,18.7,104,0
1960,4,202,27.4,18.8,126,1.6
1960,5,273,26.6,18.1,117,2.8
1960,6,266,25.3,18.7,95,2.5
1960,7,889,23.4,18.2,92,2.8
1960,8,284,24.8,18.1,94,2.1
1960,9,259,24,17.9,97,2.2
1960,10,246,25.2,18.1,101,1.8
1960,11,356,24.7,17.7,89,3.4
1960,12,35,25.7,16.8,79,2.4
1961,1,85,25.7,17.6,103,2.9
1961,2,65,27,18.3,93,3.2
1961,3,29,29.8,19.2,93,2.4
1961,4,102,28.4,19.2,113,2.1
1961,5,283,26.8,19.6,117,3.1
1961,6,720,24.2,18.3,97,3.8
1961,7,833,23,17.7,95,3.8
1961,8,450,23.9,18.1,96,3.9
1961,9,193,25,17.5,106,3.3
1961,10,226,25.6,18.1,102,2.7
1961,11,101,25.5,18.2,98,1.8
1961,12,60,25.3,17.1,91,1.2
1962,1,88,25.8,16.8,106,1.9
1962,2,101,27,18.2,112,3.1
1962,3,74,28.7,18.5,113,3
1962,4,79,27.3,18.8,103,2.5
1962,5,217,26.8,19.1,118,2.9
1962,6,209,25.8,18.5,108,2.3
1962,7,814,23.8,18.1,98,2.4
1962,8,428,24.1,18.2,98,2.5
1962,9,276,24.6,17.9,99,2.7
1962,10,393,24.2,18.7,96,3.4
1962,11,44,25.7,17.7,80,2
1962,12,143,25.8,16.9,111,1.8
1963,1,107,25.1,17.1,112,2.9
1963,2,42,27.2,17.1,92,3.1
1963,3,152,28.4,18.7,146,3.9
1963,4,84,27.4,18.5,108,3.5
1963,5,74,27.9,19.4,99,2.6
1963,6,353,25.3,19,103,2.1
1963,7,753,24.2,18.1,104,2.2
1963,8,357,24.6,18.2,103,1.8
1963,9,209,25.5,18,105,1.6
1963,10,227,25.5,18.4,101,1.1
1963,11,156,25,18.5,94,1
1963,12,121,25.6,17.1,107,1
1964,1,5,27.1,16.1,81,-0.4
1964,2,5,28.4,17.8,71,-1.3
1964,3,145,29.5,19.2,141,0.8
1964,4,55,28.9,19.3,90,-0.7
1964,5,107,28.6,20.1,113,-1.2
1964,6,366,26.1,18.6,108,-1.4
1964,7,1033,23.8,17.9,95,0.9
1964,8,455,24.2,17.8,95,1.3
1964,9,293,24.8,17.5,100,1.7
1964,10,374,25.9,17.9,105,2.3
1964,11,131,25,17.5,97,1.8
1964,12,57,25.8,16.1,89,1.1
1965,1,14,26.6,16.4,78,-1.1
1965,2,8,27.1,18.2,67,-1.5
1965,3,57,28.7,18.7,94,-1.8
1965,4,112,27.4,18.6,114,-1.5
1965,5,130,27.3,19.1,124,-1.7
1965,6,275,25.9,18.2,101,-2.1
1965,7,380,25,17.7,111,-2.5
1965,8,382,24.3,17.8,106,-2.3
1965,9,156,25.8,18.1,107,-2.5
1965,10,163,25.9,18.4,109,-3
1965,11,106,25.6,18.7,96,-3.2
1965,12,324,25,17.5,105,-0.7
1966,1,24,26.4,17.7,83,-0.7
1966,2,11,28.2,18.5,74,-0.9
1966,3,71,29.5,19.4,107,-0.9
1966,4,89,28.4,19,105,-1
1966,5,37,28.2,19.5,68,-2
1966,6,413,25.4,18.1,103,-2.1
1966,7,548,24.2,18.3,89,-2
1966,8,261,25.1,18.3,97,-2.5
1966,9,261,24.9,18,106,-1.9
1966,10,372,25.1,18,101,-1
1966,11,264,25.7,18.4,93,1.8
1966,12,165,25.5,17.2,104,2.2
1967,1,67,26.4,16.2,98,2.7
1967,2,0,27.9,16.6,76,2.1
1967,3,77,29,18.4,109,2
1967,4,49,28.7,18.8,86,1.1
1967,5,150,27.6,19.6,121,0.9
1967,6,877,25,18.5,108,1.8
1967,7,558,24,17.5,99,1.5
1967,8,430,24.2,17.4,99,1.7
1967,9,115,25,17.7,110,0.7
1967,10,254,24.5,18,102,-0.1
1967,11,93,25,16.9,95,-1.4
1967,12,113,25.4,17.4,101,-1.2
1968,1,15,26.2,16.6,82,-1.3
1968,2,57,27.5,17.2,92,-0.7
1968,3,201,28.3,18.8,144,2.1
1968,4,157,27,18.2,130,2.9
1968,5,59,27.7,19.5,101,2.1
1968,6,947,25,18.5,105,3.3
1968,7,541,23.1,17.8,94,2.8
1968,8,282,24.8,17.9,99,1.9
1968,9,213,24.7,17.8,104,1.7
1968,10,161,25.6,18.2,103,0.8
1968,11,143,24.8,18.3,95,-1.4
1968,12,83,25.4,16.8,94,-1.4
1969,1,20,26.2,16.4,81,-1.5
1969,2,16,27.7,17.7,72,-1.6
1969,3,27,29.8,19.1,82,-2
1969,4,113,28.5,19.1,116,-1.7
1969,5,106,27.7,19.4,109,-2.2
1969,6,397,25.9,18.8,105,-2.2
1969,7,673,24.1,17.9,94,-1.9
1969,8,460,24.4,18.2,106,-1.2
1969,9,139,25.6,17.8,111,-1.8
1969,10,288,25.1,18.2,100,-1.4
1969,11,99,25.6,18.1,96,-1.9
1969,12,161,24.7,17.7,100,-1.1
1970,1,65,26.3,17.1,95,1.2
1970,2,41,27.8,18.1,88,1.5
1970,3,53,29.3,19,102,1.3
1970,4,171,27.7,19.4,128,2.2
1970,5,141,27.2,19.7,123,2
1970,6,320,25.1,18.8,103,1.7
1970,7,447,24.1,17.8,101,1.1
1970,8,424,23.9,17.8,99,1.3
1970,9,198,24.9,17.6,107,1
1970,10,295,24.9,18.2,102,1.1
1970,11,110,24.3,18.7,91,-0.4
1970,12,13,25.3,15.5,75,-1.3
1971,1,89,25.8,16.8,100,0.7
1971,2,32,27.5,17.1,78,0.7
1971,3,40,28.4,18.3,89,-0.4
1971,4,95,28.1,18.3,106,-0.1
1971,5,383,27.2,19.1,130,2
1971,6,348,23.9,18.3,104,2
1971,7,738,23.7,17.5,104,2
1971,8,463,24,17.3,107,2.3
1971,9,294,24.5,17.7,107,2.6
1971,10,249,25,17.7,104,2.2
1971,11,47,25.2,17,78,1
1971,12,154,24.1,16.3,101,1.2
1972,1,7,25.8,15.5,81,0.7
1972,2,13,27.5,16.8,71,-1.2
1972,3,3,29.2,17.1,72,-2
1972,4,76,28.1,18.7,92,-2.3
1972,5,323,26.5,19,117,-0.7
1972,6,299,26.3,18.8,110,-0.7
1972,7,681,24.7,17.9,103,1.1
1972,8,230,25.2,17.8,104,-0.8
1972,9,248,25.5,18.6,109,0.2
1972,10,366,25,18.4,101,1
1972,11,170,25.7,18.2,99,0.9
1972,12,292,25.6,18,105,2.7
1973,1,0,27.7,16,77,1.9
1973,2,0,29,18.2,69,1.1
1973,3,21,29.9,18.8,78,-1.7
1973,4,111,28.7,19.4,114,-1.5
1973,5,86,28.5,19.4,95,-2.2
1973,6,526,25.5,18.8,104,-2
1973,7,722,24.2,18.6,106,-1.6
1973,8,456,23.8,17.7,101,-0.9
1973,9,100,25.3,18,103,-1.7
1973,10,344,25.1,18.6,102,-1.1
1973,11,91,25.5,17.9,96,-1.6
1973,12,152,24.8,16.7,102,-1
1974,1,7,26.2,15.6,78,-1.3
1974,2,19,28.1,16.3,76,-1.4
1974,3,31,29.4,18.3,86,-1.8
1974,4,150,28.5,18.9,130,-1
1974,5,196,27.4,18.7,126,-0.6
1974,6,348,25.8,18.3,103,-0.7
1974,7,766,24.4,17.5,106,0.3
1974,8,409,24.5,17.6,102,1
1974,9,323,24.5,17.4,106,1.7
1974,10,149,25.7,17.6,102,0.7
1974,11,87,26,17.5,95,-1.4
1974,12,17,26.4,15.8,70,-2.1
1975,1,9,26.5,15.9,70,-2.7
1975,2,43,28.3,17.9,80,-2.5
1975,3,220,28.7,18.8,153,-0.7
1975,4,136,28.7,18.7,132,2
