Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 11.8542 North,75.3542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,4,31.4,21.9,86,0.7
1958,2,5,31.3,23.7,72,0.8
1958,3,21,32.5,25,86,1.1
1958,4,66,32.4,25.9,98,1.3
1958,5,270,31.3,25.6,146,1.3
1958,6,375,29.5,24.2,116,1.2
1958,7,1025,27.4,23.4,97,1
1958,8,652,27.2,23.3,101,1.3
1958,9,137,29.1,23.2,113,-0.7
1958,10,117,29.4,23.8,115,-1.8
1958,11,160,31,23.5,118,1.1
1958,12,7,31.6,21.8,90,-0.5
1959,1,0,32,22,85,-0.6
1959,2,1,32,23,72,-0.7
1959,3,0,33.3,23.6,77,-1.2
1959,4,77,32.8,25.6,103,-0.6
1959,5,115,32.4,25.6,123,-0.8
1959,6,2698,28.1,23.7,103,-0.7
1959,7,904,26.7,23,91,-0.6
1959,8,614,28.2,23.1,98,0.2
1959,9,477,28.8,23.5,109,1.3
1959,10,134,29.8,24,117,-0.9
1959,11,92,30.6,23.1,109,-1
1959,12,18,31.5,21.9,90,-1.1
1960,1,5,31.5,22.1,85,-1
1960,2,0,30.9,22.7,69,-1.1
1960,3,38,32.5,24.2,92,1
1960,4,127,32.4,25.4,133,2.8
1960,5,132,32.1,25,134,2.3
1960,6,505,29,23.5,102,2.1
1960,7,1128,27.1,23.4,101,1.9
1960,8,448,28.3,23.4,101,1.1
1960,9,373,27.9,23.3,101,1.5
1960,10,206,29.8,23.3,119,1.3
1960,11,243,30.8,23.1,122,3.8
1960,12,8,31.6,21.7,88,2.9
1961,1,8,30.9,22.6,87,2.9
1961,2,16,30.8,23.2,78,3.3
1961,3,6,33.5,24.8,84,2.8
1961,4,73,33.2,25.7,104,3
1961,5,600,31.3,25.3,146,3.6
1961,6,2065,27.8,23.1,104,3.2
1961,7,1765,26.5,22.7,92,2.9
1961,8,433,27.5,23.4,97,2
1961,9,584,28.8,22.9,104,3.4
1961,10,329,29.9,23.1,115,4.5
1961,11,59,30.8,22.9,98,3.3
1961,12,19,31.2,22,90,2.6
1962,1,38,30.6,21.5,96,3.4
1962,2,25,30.9,23.1,80,4
1962,3,3,32.2,23.8,78,3.4
1962,4,65,32.1,25.3,98,3.3
1962,5,164,31.4,25,139,2.8
1962,6,876,29.5,23.4,117,2.5
1962,7,612,27.3,23.1,97,2.3
1962,8,728,27.4,23.3,103,2.8
1962,9,318,28.4,23.3,105,2.7
1962,10,455,29,24,113,5.4
1962,11,16,30.8,22.3,85,3.3
1962,12,67,31.4,21.6,108,3.9
1963,1,18,30.3,22,87,3.7
1963,2,11,31.1,22,74,3.5
1963,3,32,32.1,24.2,89,3.9
1963,4,73,32.1,24.9,102,4
1963,5,46,32.6,25.3,82,3.1
1963,6,429,28.7,23.5,107,2.8
1963,7,1093,27.8,23.2,104,2.5
1963,8,860,27.9,23.2,101,3.6
1963,9,202,29.4,23.4,113,2.8
1963,10,248,30,23.4,118,2.9
1963,11,30,30.6,23.5,89,1.3
1963,12,35,31.6,22.1,95,1.1
1964,1,0,31.9,20.7,81,-1.8
1964,2,0,32.1,22.5,67,-2.2
1964,3,19,33,24.6,80,-2.1
1964,4,39,33.6,25.7,79,-2.5
1964,5,72,33.2,25.9,96,-2.7
1964,6,313,29.7,23.4,114,-2.4
1964,7,1620,27.4,22.9,103,-2.1
1964,8,709,27.6,22.8,102,-1.3
1964,9,357,28.4,22.7,106,-0.7
1964,10,224,30.2,22.9,116,1.1
1964,11,109,30.2,22.1,114,1.1
1964,12,25,31.4,20.7,95,1
1965,1,9,31.5,21,88,1.2
1965,2,0,30.7,22.8,70,1.1
