Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 12.4792 North,74.9792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,2,31.4,21.8,84,0.1
1958,2,1,30.8,23.4,70,0
1958,3,6,32,24.9,79,0.1
1958,4,71,32.1,26,103,0.7
1958,5,291,31.3,25.9,152,1
1958,6,428,29.5,24.4,117,0.9
1958,7,1175,27.3,23.4,97,0.8
1958,8,698,27.3,23.4,102,1.2
1958,9,203,28.8,23.3,112,-0.6
1958,10,167,29.3,23.9,119,-1.1
1958,11,134,31.1,23.5,120,1.1
1958,12,5,31.8,21.8,89,-0.4
1959,1,0,31.8,21.9,84,0.6
1959,2,0,31.5,22.8,71,0.6
1959,3,0,32.8,23.6,76,-0.2
1959,4,57,32.4,25.6,91,0
1959,5,171,32.3,25.9,155,-0.2
1959,6,1872,28.1,23.8,104,0
1959,7,1167,26.6,22.9,90,0
1959,8,606,28.1,23.1,96,0.2
1959,9,512,28.5,23.6,106,1.2
1959,10,133,29.5,23.9,118,-1
1959,11,75,30.8,23,104,-1.1
1959,12,14,31.7,21.8,88,-1.2
1960,1,3,31.4,21.9,81,-1.2
1960,2,0,30.6,22.6,67,-1.2
1960,3,22,31.9,24.1,83,0.7
1960,4,111,32.1,25.5,124,2.1
1960,5,104,31.5,24.9,114,1.5
1960,6,496,28.8,23.6,99,1.3
1960,7,993,27.2,23.5,103,1.2
1960,8,440,28.3,23.5,101,0.6
1960,9,438,27.7,23.5,95,1.2
1960,10,239,29.7,23.4,119,1.6
1960,11,182,30.5,22.3,116,3.5
1960,12,4,31.8,21.6,87,2.7
1961,1,2,30.7,22.3,83,2.7
1961,2,6,30.2,22.8,72,2.8
1961,3,3,32.4,24.6,78,2.6
1961,4,99,32.8,25.7,119,3.5
1961,5,576,31.1,25.5,144,4.9
1961,6,1432,27.8,23.2,103,4.4
1961,7,2534,26.5,22.7,91,3.9
1961,8,332,27.4,23.3,95,2.6
1961,9,600,28.5,23,97,3.9
1961,10,355,29.7,23.1,115,5.6
1961,11,43,30.8,22.7,93,4.2
1961,12,14,31.3,21.8,87,3.3
1962,1,22,30.4,21.1,88,3.5
1962,2,10,30.4,22.8,70,3.4
1962,3,1,31.6,23.6,72,2.8
1962,4,73,31.7,25.3,102,2.9
1962,5,160,31.2,25.2,139,2.4
1962,6,719,29.4,23.5,115,2.1
1962,7,744,27.3,23.1,97,1.9
1962,8,644,27.3,23.2,102,2
1962,9,340,28.1,23.4,103,2
1962,10,459,29,24,116,5.3
1962,11,25,30.8,22.1,89,3.6
1962,12,70,31.4,21.4,110,4.6
1963,1,4,30.2,21.8,81,4.1
1963,2,4,30.6,21.7,70,3.8
1963,3,25,31.6,24,84,4.4
1963,4,91,31.6,24.8,113,4.9
1963,5,77,32.3,25.5,103,3.7
1963,6,445,28.6,23.6,105,3.3
1963,7,940,27.8,23.2,102,3
1963,8,904,27.7,23.1,96,4.1
1963,9,212,29,23.4,111,3.1
1963,10,302,29.8,23.5,120,4.1
1963,11,25,30.6,23.3,88,2.4
1963,12,32,31.7,21.9,94,2.2
1964,1,0,31.6,20.4,80,1.5
1964,2,0,31.5,22.1,66,0.9
1964,3,3,32.4,24.3,71,-2.1
1964,4,32,33.3,25.8,75,-2.7
1964,5,63,32.8,26,91,-3.2
1964,6,405,29.5,23.4,112,-2.9
1964,7,1552,27.4,22.9,102,-2.6
1964,8,899,27.4,22.8,100,-1
1964,9,326,28,22.7,101,-0.7
1964,10,206,29.9,22.8,113,-0.6
1964,11,101,30.1,21.9,111,1.5
1964,12,28,31.3,20.4,95,1.7
1965,1,8,31.2,20.8,85,2.1
1965,2,0,30.1,22.5,69,2.1
1965,3,2,31.6,23.7,76,2
1965,4,26,31.7,25,76,1
1965,5,40,31.9,25.4,76,-1.5
1965,6,374,29.3,23.1,102,-1.4
1965,7,844,28.2,22.5,109,-1.2
1965,8,448,27.8,23.2,115,-1.6
1965,9,194,29.2,23.5,115,-2.1
1965,10,61,30.7,24,107,-4
1965,11,61,31.4,23.6,100,-4.4
1965,12,80,31.3,22.5,110,-2.4
1966,1,3,31.2,22.2,77,-2.3
1966,2,0,31.5,23.1,68,-2.4
1966,3,5,32.4,24.5,72,-2.3
1966,4,34,32.8,25.5,78,-2.8
1966,5,88,32.2,25.2,107,-3.2
1966,6,249,29.3,23.4,107,-2.8
1966,7,828,27.7,23.3,97,-2.6
1966,8,262,28.6,23.6,103,-3.5
1966,9,371,28.5,23.5,116,-2.9
1966,10,342,29.9,23.5,126,-0.8
1966,11,201,31,22.9,117,4.4
1966,12,36,31.4,21.8,96,4.7
1967,1,9,31.2,20.9,88,5.1
1967,2,0,31.3,21.3,72,5.1
1967,3,1,31.8,23.6,79,4.8
1967,4,30,33.1,25.3,81,3.7
1967,5,73,32.3,25.9,98,2.7
1967,6,1857,28.9,23.9,122,2.4
1967,7,612,27.4,22.5,95,2.1
1967,8,702,27.8,22.8,96,2.5
1967,9,145,28.4,23.1,110,1.3
1967,10,138,29,23.2,125,-2.1
1967,11,36,30.6,21.7,92,-2.9
1967,12,20,31.6,22.4,85,-2.8
1968,1,0,30.7,21,77,-3
1968,2,8,30.8,21.9,66,-2.6
1968,3,11,31.3,24,74,-2.2
1968,4,140,31.7,24.9,141,2.4
1968,5,203,32.1,25.6,157,2.2
1968,6,1235,28.8,23.7,112,1.9
1968,7,626,26.8,22.9,89,1.7
1968,8,463,28.2,23.1,103,1.1
1968,9,329,28.4,23.4,114,1.1
1968,10,143,29.8,23,123,-1.2
1968,11,41,30.5,23,92,-2
1968,12,5,31.5,21.7,83,-2.6
1969,1,0,31,21,77,-2.9
1969,2,0,31.2,22.5,65,-3.1
1969,3,4,32.9,24.5,70,-3.2
1969,4,106,33.2,25.8,122,-1.7
1969,5,75,32.6,25.9,98,-2.2
1969,6,825,29.5,23.8,109,-1.9
1969,7,654,27.7,23,96,-1.7
1969,8,522,28,23.5,122,-1.8
1969,9,380,28.7,22.9,114,-1.3
1969,10,200,29.6,23.6,121,-1.3
1969,11,134,31.3,23,122,1.2
1969,12,32,30.8,22.5,94,1.7
1970,1,3,31.1,21.7,83,2.2
1970,2,0,31,22.7,74,2.4
1970,3,9,32.1,24.1,83,2.7
1970,4,82,32.3,26.2,110,3.2
1970,5,158,31.5,25.7,149,2.7
1970,6,240,28.4,23.5,108,2.4
1970,7,879,27.7,22.9,100,2.2
1970,8,584,27.3,22.9,98,2
1970,9,238,28.3,23,108,1.4
1970,10,242,29.4,23.4,122,1.7
1970,11,75,29.9,23.3,103,1.4
1970,12,1,30.9,19.8,85,-0.7
1971,1,1,30.5,21.4,78,-1.1
1971,2,8,30.8,21.7,69,-0.8
1971,3,7,31.4,23.5,74,-0.7
1971,4,59,32.8,25.1,94,-0.6
1971,5,296,31.5,25.2,159,0.4
1971,6,598,27.2,23.1,106,0
