Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 9.6042 North,76.5208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,20,31.5,22.4,87,0.1
1958,2,54,31.4,24,90,0.9
1958,3,116,32.6,25.3,131,1.8
1958,4,163,32.1,25.4,137,2.1
1958,5,557,30.7,25.1,124,3.1
1958,6,445,29.4,23.8,109,2.8
1958,7,407,28.4,23.4,104,1.7
1958,8,466,27.9,23.3,102,2
1958,9,86,29.8,23.4,101,1
1958,10,232,29.5,24.1,114,-1.4
1958,11,172,30.2,23.7,105,-1.1
1958,12,8,31.5,22.4,84,-1.8
1959,1,2,32,22.4,81,-2.4
1959,2,33,32.1,23.4,78,-2.3
1959,3,22,33.4,23.8,78,-3
1959,4,184,32.5,25.1,150,-2.2
1959,5,313,31.6,25.1,132,-1.9
1959,6,935,28.4,23.6,103,-1.7
1959,7,784,27.6,22.9,102,-1.1
1959,8,347,28.9,23.1,103,-1.2
1959,9,407,29.4,23.6,112,-0.8
1959,10,232,29.9,24.2,108,-1.1
1959,11,156,30.1,23.5,111,-1
1959,12,43,31,22.1,93,-1.1
1960,1,18,31.4,22.4,89,-0.9
1960,2,13,31.1,23.2,72,-1.2
1960,3,63,32.4,24.3,99,-1
1960,4,253,31.9,24.8,140,1.5
1960,5,523,30.9,23.9,129,2.6
1960,6,370,29.4,23.6,105,2.3
1960,7,829,27.7,23.1,104,2.7
1960,8,342,28.9,23.3,104,2.1
1960,9,442,28.4,23.4,106,2.3
1960,10,259,29.7,23.5,115,1.8
1960,11,340,29.7,23,106,3.6
1960,12,18,31.3,22.1,86,2.6
1961,1,40,30.8,22.9,96,2.7
1961,2,72,31,23.7,99,3.4
1961,3,25,33.4,24.8,90,2.5
1961,4,140,32.9,25.2,140,2.1
1961,5,530,30.8,25.1,130,2.8
1961,6,1053,28.3,23.2,105,2.6
1961,7,849,27.4,22.6,104,3
1961,8,528,28.1,23.3,105,3.5
1961,9,341,29.4,23,116,3.2
1961,10,246,30.2,23.5,116,2.6
1961,11,94,30.3,23.5,107,1.6
1961,12,23,30.9,22.4,89,0.8
1962,1,57,30.8,22.1,101,1.4
1962,2,98,31.1,23.6,113,2.7
1962,3,66,32.3,24.1,109,2.7
1962,4,100,31.8,24.8,115,2
1962,5,396,30.8,24.7,131,2.2
1962,6,256,29.9,23.5,118,1.9
1962,7,941,28.1,23,111,2.7
1962,8,436,28.3,23.5,112,2.7
1962,9,447,29,23.4,110,2.8
1962,10,416,28.8,24,109,3.4
1962,11,35,30.6,23,88,1.7
1962,12,58,31.4,22.3,98,1.4
1963,1,51,30.2,22.4,96,1.7
1963,2,47,31.3,22.5,87,1.8
1963,3,122,32,24.3,133,2.6
1963,4,110,32,24.6,120,2
1963,5,137,32,24.9,135,1.2
1963,6,392,29.4,23.9,112,1.1
1963,7,750,28.5,23,116,1.3
1963,8,425,28.8,23.4,113,1.3
1963,9,340,29.9,23.4,114,1.2
1963,10,250,30.1,23.7,114,0.8
1963,11,133,29.9,23.7,111,-0.3
1963,12,51,31.2,22.5,98,-0.6
1964,1,4,32.2,21.4,87,-0.9
1964,2,7,32.5,23.1,70,-1.4
1964,3,149,33.1,24.8,149,1.4
1964,4,86,33.4,25.3,110,-0.7
1964,5,144,32.7,25.6,141,-1.3
1964,6,552,30.1,23.5,117,-1.2
1964,7,905,28.1,22.7,104,0.9
1964,8,403,28.4,23,108,0.9
1964,9,490,29.1,23,111,1.3
