Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 10.7708 North,76.6458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,1,32.6,21.7,75,0.5
1958,2,18,34.2,23.1,67,0.7
1958,3,73,36.5,24.7,93,1.5
1958,4,111,35.1,25.3,114,1.9
1958,5,199,32.1,24.6,139,2.2
1958,6,252,29.4,23.5,124,1.9
1958,7,622,27.9,22.7,107,1.8
1958,8,398,27.9,22.9,111,2.1
1958,9,61,30.3,22.8,98,0.9
1958,10,133,30,23.4,110,-2
1958,11,166,31.2,22.8,105,-1.2
1958,12,6,31.6,21.4,85,-1.6
1959,1,0,33.1,21.7,77,-1.7
1959,2,7,34.9,22.5,58,-1.8
1959,3,1,37.2,23.2,23,-2.4
1959,4,105,35.4,25,112,-1.9
1959,5,118,33.1,24.6,118,-2.1
1959,6,1182,28.2,23.2,114,-1.6
1959,7,788,27.1,22.3,102,-0.8
1959,8,303,28.9,22.7,108,-0.9
1959,9,237,29.9,23,120,1.3
1959,10,228,30.4,23.6,111,1.3
1959,11,138,30.9,22.4,112,1.4
1959,12,42,31.3,21.3,95,1.5
1960,1,1,32.6,21.7,82,1.7
1960,2,2,33.8,22.2,63,1.5
1960,3,44,36.4,23.8,69,1.6
1960,4,172,35,24.8,158,2.9
1960,5,207,32.4,23.6,150,3.2
1960,6,215,29.2,23.1,114,2.8
1960,7,844,27.4,22.6,108,3.1
1960,8,204,29,23,111,1.8
1960,9,185,28.9,22.7,115,1.9
1960,10,257,30.3,22.9,115,2
1960,11,229,30.7,22.1,109,3.3
1960,12,12,31.6,21.2,84,2.6
1961,1,11,31.9,22.2,82,2.6
1961,2,21,33.8,22.7,67,2.6
1961,3,16,37.5,24.4,45,1.9
1961,4,73,35.9,25.1,85,1.4
1961,5,270,32.3,24.6,147,2.4
1961,6,1124,28,22.7,118,2.4
1961,7,895,26.9,21.9,106,3
1961,8,407,28.1,22.9,112,3.3
1961,9,164,29.9,22.4,124,2.9
1961,10,221,30.7,22.9,116,2.6
1961,11,74,31.1,22.3,100,1.7
1961,12,14,31,21.4,85,1
1962,1,10,31.8,21.3,74,0.7
1962,2,67,33.7,22.5,94,1.6
1962,3,27,36.2,23.5,53,1.3
1962,4,66,34.7,24.7,78,0.8
1962,5,205,32.2,24.1,141,1.3
1962,6,177,29.7,23,130,1.1
1962,7,778,27.8,22.4,111,1.2
1962,8,387,28.2,23,116,1.5
1962,9,187,29.5,22.8,118,1.6
1962,10,390,29.4,23.5,108,3
1962,11,26,31.3,21.8,84,1.4
1962,12,84,31.5,21.3,109,2
1963,1,12,31.3,21.7,78,1.9
1963,2,12,34,21.5,63,1.6
1963,3,66,36,23.7,85,2.1
1963,4,95,34.8,24.3,103,2.1
1963,5,67,33.3,24.3,72,0.9
1963,6,198,29.1,23.4,121,0.8
1963,7,673,28.2,22.4,117,-0.2
1963,8,396,28.7,22.9,117,0.5
1963,9,123,30.4,22.8,120,0
1963,10,171,30.7,23.2,114,-0.4
1963,11,94,30.8,22.7,106,-0.8
1963,12,46,31.5,21.6,96,0.4
1964,1,0,33.2,20.6,79,0.1
1964,2,0,35.2,22.1,57,-0.3
1964,3,67,37,24.2,86,0.7
1964,4,43,36.4,25.2,54,-0.8
1964,5,124,34,25,126,-1.2
1964,6,315,30,23.1,129,-1.1
1964,7,1011,27.8,22.1,112,1
1964,8,631,28.3,22.5,111,3.3
1964,9,248,29.6,22.3,118,3.9
1964,10,309,31,22.8,116,4.2
1964,11,118,30.6,21.6,111,3.8
1964,12,25,31.6,20.5,92,3.3
