Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 9.2708 North,76.9792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,64,28.2,19.7,96,0.6
1958,2,66,28.8,21.1,92,1
1958,3,191,30.2,22,150,1.9
1958,4,172,29.2,21.9,122,2.3
1958,5,313,28.3,21.9,118,3.8
1958,6,282,27.4,21.2,106,3.7
1958,7,203,26.1,20.8,102,2.4
1958,8,340,25.8,20.4,100,3.1
1958,9,41,27.5,20.4,84,1.9
1958,10,223,26.9,21,110,1
1958,11,165,27.1,20.7,93,0.9
1958,12,15,27.7,19.5,77,-2
1959,1,9,28.7,19.7,73,-2.6
1959,2,69,29.5,20.5,91,-2.2
1959,3,33,31,20.6,80,-2.8
1959,4,165,29.6,21.6,138,-2.4
1959,5,218,29.2,21.8,120,-1.7
1959,6,372,26.4,21,102,-1.2
1959,7,521,25.4,20.3,100,-0.6
1959,8,195,26.9,20.3,101,-0.9
1959,9,196,27.1,20.6,110,-0.7
1959,10,204,27.3,21.2,103,-1
1959,11,182,27.1,20.6,98,-0.9
1959,12,70,27.1,19.2,92,-1
1960,1,37,28.1,19.6,88,-1
1960,2,27,28.5,20.3,76,-1.1
1960,3,76,30,21,104,-1.2
1960,4,248,29,21.3,128,1.1
1960,5,300,28.2,20.4,121,2.4
1960,6,191,27.4,21,103,2
1960,7,639,25.6,20.5,100,2.8
1960,8,187,26.9,20.5,101,2.1
1960,9,213,26.2,20.3,106,2.1
1960,10,225,27.2,20.5,109,1.7
1960,11,427,26.5,19.9,90,3.3
1960,12,30,27.5,19.2,79,2.3
1961,1,123,27.4,20.1,120,3
1961,2,94,28.4,20.7,106,3.5
1961,3,28,30.9,21.5,99,2.7
1961,4,126,30,21.7,129,2.2
1961,5,288,28.4,21.9,122,3
1961,6,636,26.2,20.5,104,4.7
1961,7,612,25.2,20,103,5.1
1961,8,281,26,20.4,105,4.9
1961,9,133,27.1,20,116,4
1961,10,205,27.6,20.5,109,3.2
1961,11,112,27.3,20.5,104,2.4
1961,12,52,27,19.5,92,1.7
1962,1,144,27.5,19.4,126,2.7
1962,2,95,28.4,20.6,112,3.4
1962,3,94,29.9,20.9,126,3.2
1962,4,139,28.9,21.3,134,3
1962,5,227,28.4,21.5,126,3.4
1962,6,230,27.9,20.8,116,3
1962,7,523,25.9,20.4,111,3.1
1962,8,293,26.3,20.7,110,3.2
1962,9,249,26.7,20.4,110,3.4
1962,10,375,26.2,21,103,3.8
1962,11,46,27.6,20.1,84,2.5
1962,12,72,27.5,19.4,95,1.8
1963,1,156,26.9,19.6,121,2.8
1963,2,52,28.8,19.7,96,2.9
1963,3,175,29.6,21,149,3.4
1963,4,118,29.1,21.1,124,3
1963,5,85,29.6,21.8,107,2.3
1963,6,336,27.4,21.3,110,2
1963,7,521,26.3,20.4,113,2.2
1963,8,231,26.8,20.6,112,1.9
1963,9,180,27.6,20.4,113,1.6
1963,10,234,27.5,20.7,107,1.3
1963,11,177,26.9,20.8,97,1.2
1963,12,117,27.4,19.5,109,1.2
1964,1,11,28.9,18.6,85,0.7
1964,2,13,29.9,20.2,74,-0.4
1964,3,197,30.7,21.5,148,0.9
1964,4,89,30.5,21.8,114,-0.5
1964,5,72,30.3,22.5,99,-1.1
1964,6,225,28.2,21,117,-1.8
1964,7,787,26,20.1,103,1.2
1964,8,209,26.4,20.2,104,0.9
1964,9,224,26.9,20,109,1.1
1964,10,362,27.8,20.2,114,1.5
1964,11,154,26.8,19.8,101,1.2
1964,12,23,27.6,18.6,79,-0.7
1965,1,19,28.4,19,79,-1.4
1965,2,14,28.6,20.7,64,-1.9
1965,3,69,29.9,20.9,97,-2.2
1965,4,148,29,21.1,132,-1.9
1965,5,148,28.9,21.5,129,-1.9
1965,6,275,28,20.6,109,-2.4
1965,7,221,27.1,20,119,-3.1
1965,8,219,26.5,20.3,114,-3
1965,9,116,27.9,20.6,113,-3.3
1965,10,200,27.9,20.8,114,-3.3
1965,11,116,27.5,21,99,-3.5
1965,12,319,26.8,19.9,106,-0.9
1966,1,22,28.1,20.2,84,-1
1966,2,25,29.8,21.1,80,-1.1
1966,3,99,30.7,21.7,122,-1
1966,4,99,30,21.5,112,-1.4
1966,5,24,30,22,61,-2.4
1966,6,370,27.4,20.3,109,-2.5
1966,7,299,26.3,20.5,95,-2.7
1966,8,188,27.3,20.7,105,-2.9
1966,9,260,27,20.5,113,-2
1966,10,349,27.1,20.4,106,-1.3
1966,11,272,27.6,20.7,97,1.6
1966,12,120,27.2,19.6,105,1.6
1967,1,68,28.1,18.8,99,1.9
1967,2,1,29.4,19.1,76,1.4
1967,3,118,30.2,20.8,129,1.5
1967,4,63,30.3,21.3,96,0.6
1967,5,184,29.2,21.9,123,0.7
1967,6,614,27.1,20.9,114,1.9
1967,7,335,26.1,19.8,108,1.4
1967,8,282,26.5,19.9,109,1.6
1967,9,115,27.2,20.2,116,0.9
1967,10,313,26.5,20.4,106,1.1
1967,11,87,26.9,19.3,95,-0.7
1967,12,115,27.1,19.8,105,0.1
1968,1,25,27.9,19.2,86,-0.8
1968,2,67,28.9,19.6,98,0.4
1968,3,215,29.5,21.2,148,1.5
1968,4,188,28.6,20.7,135,2.1
1968,5,47,29.3,21.8,103,1.4
1968,6,655,27.1,20.9,113,3
1968,7,441,25.2,20,104,2.8
1968,8,163,26.9,20.2,109,1.9
1968,9,205,26.8,20.3,112,1.8
1968,10,227,27.7,20.6,109,1.4
1968,11,169,26.6,20.5,99,1.2
1968,12,97,27.1,19.2,100,1.1
1969,1,28,28.1,19,87,0.8
1969,2,19,29,20,73,-0.2
1969,3,50,31,21.4,94,-1.3
1969,4,169,30.1,21.6,135,-0.9
1969,5,100,29.4,21.8,110,-1.3
1969,6,231,28,21.2,113,-1.9
1969,7,479,26.3,20.2,106,-1.8
1969,8,233,26.6,20.6,111,-1.7
1969,9,106,27.8,20.3,114,-2.2
1969,10,283,27.2,20.7,105,-1.9
1969,11,105,27.4,20.4,100,-2.3
1969,12,118,26.4,20.1,102,-1.8
1970,1,46,28,19.6,91,-1.5
1970,2,34,29.3,20.6,84,-1.3
1970,3,113,30.5,21.3,128,-0.9
1970,4,213,29.2,21.9,130,1.3
1970,5,130,28.8,22.1,126,1.2
1970,6,277,27.3,21.3,112,1
1970,7,272,26.3,20.1,111,-0.6
1970,8,263,26.1,20.2,110,0.2
1970,9,168,27,20.1,116,-0.5
1970,10,362,26.9,20.5,110,0.1
1970,11,111,26.2,21,93,-0.4
1970,12,16,27,17.9,78,-1.1
1971,1,135,27.5,19.4,114,1
1971,2,56,28.9,19.5,92,1.3
