Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 21.8125 North,80.1875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,5,28.4,13.8,46,-0.2
1958,2,2,31.8,14.8,48,-0.6
1958,3,14,35.7,18.9,56,-1
1958,4,14,39.5,24.1,34,-0.9
1958,5,2,42.9,28.2,14,-1.2
1958,6,106,41.3,28,110,-2.1
1958,7,538,29.2,24.3,112,-1.9
1958,8,539,30.5,24,104,-0.9
1958,9,366,28.6,24.7,110,1.4
1958,10,67,29.9,20.4,95,2
1958,11,9,29.3,15,60,2.5
1958,12,0,27,13,42,1.7
1959,1,21,27.8,13.2,52,2
1959,2,4,31.4,14.1,49,1.8
1959,3,1,37.2,18.1,50,1
1959,4,29,39.1,23,50,1.6
1959,5,13,42.5,28,25,1.4
1959,6,182,37.5,27.1,173,1.7
1959,7,638,29.3,23.8,119,2
1959,8,410,29.1,23.7,100,1.4
1959,9,431,28.9,24.2,105,2.5
1959,10,59,30.1,21.3,83,3
1959,11,0,28.9,13.9,53,3
1959,12,0,28.2,11.7,40,2.2
1960,1,43,27.2,11.9,59,3.2
1960,2,0,33.9,13.6,46,3
1960,3,44,34,18.2,83,3.5
1960,4,21,38.5,22.8,56,3.8
1960,5,3,42.9,27.2,22,3.3
1960,6,142,38.3,26.9,145,2.6
1960,7,721,30.6,23.5,109,3.1
1960,8,363,29,23.8,106,2
1960,9,133,31.4,23.3,113,0.9
1960,10,60,30.7,19.5,89,1.4
1960,11,0,29.5,12.3,56,1.5
1960,12,1,28.4,12.4,42,0.9
1961,1,9,27.9,13.7,44,0.7
1961,2,3,29,13.5,45,-0.1
1961,3,6,36.5,19.3,52,-1.3
1961,4,9,39.2,23.1,31,-1.2
1961,5,14,42.1,27.5,26,-0.9
1961,6,163,36.8,25.9,159,-0.7
1961,7,704,29.2,23.5,106,0.7
1961,8,589,29.5,24,104,2
1961,9,647,28.4,23.9,98,4.7
1961,10,58,29.4,19.6,90,4.8
1961,11,1,27.1,14.1,50,4.6
1961,12,32,26.3,10.1,54,4.4
1962,1,3,26.7,10.1,44,3.9
1962,2,9,30.4,14.1,48,3.8
1962,3,37,34.6,18,76,4.1
1962,4,28,38.2,22.2,61,4.6
1962,5,14,41.9,26.8,32,4.5
1962,6,60,39.2,26,69,2.5
1962,7,514,30.4,24,120,2.2
1962,8,462,30,23.4,105,2
1962,9,416,29,23.7,106,2.9
1962,10,3,30.7,18.2,75,1.9
1962,11,3,29.1,13.3,47,1.6
1962,12,148,27.1,12.4,76,4.2
1963,1,1,27.7,9.9,48,4.1
1963,2,10,32.4,14,57,4.5
1963,3,12,34.6,17.3,77,4.5
1963,4,32,36.3,21.6,75,5.1
1963,5,7,41,26.7,28,4.6
1963,6,221,36.4,25.6,187,4.9
1963,7,493,30.5,22.8,119,4.4
1963,8,528,29.2,23.7,99,4.6
1963,9,284,30.4,23.2,120,4.3
1963,10,58,31.1,20.1,94,4.4
1963,11,0,29,16.3,52,4.1
1963,12,0,28.1,11.4,42,3.1
1964,1,0,28.1,12,44,2.4
1964,2,2,31.8,14.7,44,1.9
1964,3,9,37.2,19.2,48,1.1
1964,4,0,39.9,24.1,20,-1.9
1964,5,1,42.4,27.3,13,-2.3
1964,6,157,37.8,26.5,156,-2.2
1964,7,452,29.6,23.8,115,-2.3
1964,8,684,29.3,23.5,94,2.1
1964,9,205,30.7,23.7,108,1.5
1964,10,23,31.7,20.2,81,1.1
1964,11,0,29.4,12.4,58,0.9
1964,12,0,27.8,11.5,42,-1.3
1965,1,16,28,12.9,47,-1.2
1965,2,3,31.3,14.4,44,-1.5
1965,3,23,34.8,17.9,54,-1.7
1965,4,17,37,22.9,33,-1.5
1965,5,3,42.3,28.4,14,-1.7
1965,6,153,38.8,27.2,153,-1.9
1965,7,325,30.4,24.1,119,-2.5
1965,8,221,31.2,23.8,116,-5.2
1965,9,285,30.6,22.9,118,-4.6
1965,10,9,31.3,21.1,77,-4.8
1965,11,0,29.8,14.4,51,-4.5
1965,12,1,28.7,11.7,41,-4.8
1966,1,7,28.1,12.1,42,-4.7
1966,2,0,32.7,16,40,-4.8
1966,3,13,36.1,17.8,43,-5
1966,4,10,38.9,23.3,27,-4.7
1966,5,34,42.1,27.2,43,-3.5
1966,6,113,37.9,27.1,115,-4
1966,7,623,32.8,24.5,126,-3.3
1966,8,305,30.2,23.9,112,-4.3
1966,9,228,31.3,23.7,127,-4.2
1966,10,5,32.6,20.6,81,-4.5
1966,11,12,29.3,17.4,62,-4
1966,12,55,28.7,10.1,67,-3
1967,1,1,28.6,11.3,41,-3.1
1967,2,0,33.8,14.3,38,-3.2
1967,3,103,33.2,18.3,111,-0.9
1967,4,10,37.7,22.6,42,-0.6
1967,5,4,42.9,27.7,21,-0.8
1967,6,178,38.8,27,172,-0.5
1967,7,676,30.4,24.1,119,1.9
1967,8,345,29.1,23.8,101,0.8
1967,9,127,29.8,23.6,112,-1.8
1967,10,3,31.9,19.9,72,-2.3
1967,11,0,28.9,15.2,48,-2.3
1967,12,167,29.6,13.9,81,3.2
1968,1,14,26,12.4,51,3.7
1968,2,13,30.6,13.6,55,4.3
1968,3,45,35.3,17.2,93,5.4
1968,4,30,37.9,20.8,85,6.8
1968,5,0,41.7,26.4,36,6.1
1968,6,120,37.9,26.3,130,4.9
1968,7,596,30.6,23.5,114,4.7
1968,8,318,29.9,23.2,113,3
1968,9,428,32.4,22.5,117,3.8
1968,10,12,31,19.4,76,2.9
1968,11,0,30.2,13.2,48,2.5
1968,12,10,28.1,11.9,44,1.8
1969,1,2,27.8,13.5,38,1.2
1969,2,0,32.8,17,40,0.7
1969,3,4,37.6,21.5,42,-2
1969,4,1,39.7,24.4,20,-2.3
1969,5,22,41.2,27,33,-1.5
1969,6,79,38.3,27.3,83,-2.4
1969,7,790,30.3,23,109,-1.1
1969,8,372,29.6,23.1,105,-1.7
1969,9,374,29.7,23.3,107,-0.7
1969,10,1,31.9,19.7,70,-1.4
1969,11,1,30.8,16.1,52,-1.5
1969,12,0,28.7,10.9,35,-2
1970,1,15,27.5,13.3,42,-1.7
1970,2,4,30.8,15.8,38,-1.8
1970,3,49,34.6,19.2,76,-1
1970,4,2,39.4,23.6,27,-1.2
1970,5,16,42.4,28.3,30,-0.8
1970,6,300,35.4,24.9,162,2.6
1970,7,545,31,23.1,120,2.9
1970,8,752,29.3,23.8,105,5.2
1970,9,355,29.5,23.9,108,5.3
1970,10,3,31.3,20.2,74,4.1
1970,11,0,29.1,12.1,47,3.4
1970,12,0,27.6,10.2,32,2.4
1971,1,10,27,12.7,39,2.1
1971,2,6,31.9,13.4,41,1.7
1971,3,24,35.2,16.4,60,1.6
1971,4,12,38.5,22.6,33,1.4
1971,5,25,40,26.1,38,2.1
1971,6,293,33.7,24.9,159,3.8
1971,7,285,28.8,23.6,115,3
1971,8,420,29.4,24.1,104,2.3
1971,9,245,30.5,23.5,115,1.9
1971,10,97,29.9,20.3,102,3.2
1971,11,0,28.3,12.8,55,3.3
1971,12,0,27.2,10,47,2.6
1972,1,0,27.3,11.4,39,2.2
1972,2,1,29.6,13.3,43,2
1972,3,0,35.8,18.4,51,1.6
1972,4,5,38.2,22.9,31,1.3
1972,5,1,42.8,27.5,17,0.9
1972,6,98,40.4,27.7,103,-1.7
1972,7,310,31.1,24,130,-2.4
1972,8,407,29.3,23.9,111,-3.7
