Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.5625 North,78.7708 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,10,24.3,9.5,27,-0.3
1958,2,2,27,10.5,11,-0.5
1958,3,6,34,17,12,-0.6
1958,4,0,40.2,23.5,4,-0.7
1958,5,0,42.9,27.7,3,-0.9
1958,6,16,42.6,29.6,17,-1.8
1958,7,428,33.3,27,139,2.1
1958,8,358,32.7,25.7,112,3.2
1958,9,294,31.3,25.7,126,4.7
1958,10,74,32,18.8,99,5.1
1958,11,2,29.1,11.7,44,5.3
1958,12,5,24.5,9.3,30,5.2
1959,1,28,22.7,7.8,40,5.3
1959,2,2,26.2,9.7,12,4.8
1959,3,1,35,16.1,7,4.1
1959,4,1,38.9,21.9,5,3.7
1959,5,15,42,27.2,17,3.9
1959,6,32,40.8,30.1,33,3.2
1959,7,265,33.5,26.6,142,3
1959,8,311,31.9,25.9,122,3
1959,9,145,31.9,25.8,123,2.5
1959,10,46,32.8,20,90,2.6
1959,11,4,29.2,11.1,43,2.8
1959,12,0,25.3,8,24,2.5
1960,1,13,22.3,6.9,23,2.2
1960,2,0,30.8,11.6,6,1.7
1960,3,22,32.1,15.9,25,2.2
1960,4,1,37.9,21.1,4,1.9
1960,5,4,43.1,27.1,6,1.6
1960,6,22,41.8,30.1,23,0.7
1960,7,297,34.6,26.3,140,1.1
1960,8,517,31.5,25.7,113,4
1960,9,85,33.9,24.8,112,2.7
1960,10,134,32.8,18.1,120,4.3
1960,11,0,29.5,9.2,50,4.7
1960,12,7,24.8,7.9,29,4.7
1961,1,47,22.8,8.1,51,5.7
1961,2,12,24.3,9.1,26,5.9
1961,3,0,33.7,16.7,8,5.2
1961,4,2,38.2,21.2,7,4.8
1961,5,2,42.2,27.3,5,4.2
1961,6,46,40.1,28.7,46,3.7
1961,7,215,33.8,26.6,139,2.9
1961,8,543,31.7,25.6,116,5.2
1961,9,169,31.9,25.5,114,4.8
1961,10,103,31.7,18.3,113,5.8
1961,11,3,26.8,11,47,6.2
1961,12,4,22.1,5.3,28,6.1
1962,1,31,22,5.8,44,6.6
1962,2,3,26.6,10.9,19,6.5
1962,3,9,32.5,15.8,17,6.2
1962,4,2,38.9,21.9,8,5.8
1962,5,1,42.4,27.2,5,5.1
1962,6,18,42.3,29.5,20,3.7
1962,7,291,35.1,27.3,138,3.7
1962,8,310,32.7,25.4,119,4.1
1962,9,271,31.5,24.7,123,5.2
1962,10,0,32.4,16.9,73,4.1
1962,11,1,29.3,11,34,3.5
1962,12,4,23.9,8.2,17,2.8
1963,1,18,23.2,5.5,24,2.5
